hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
The Motley Hotel,US$187,"9,3",Fantástico,277,https://cf.bstatic.com/xdata/images/hotel/max1024x768/445063357.webp?k=3a03c66f01b9367a3aaa95b24d2244a41410ff4ba3e2b5a744039bb2ccb6b030&o=,https://www.booking.com/hotel/au/the-motley.es.html?aid=2410095,"Guardaequipaje, WC elevado, Tetera/cafetera en todas las habitaciones, Toallas, Servicio de despertador, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Servicio de conserjería, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Albornoz, Bar, Vistas, Ropa de cama, Mesa de comedor, Ducha, Enchufe cerca de la cama, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Reloj despertador, Calefacción, Ventilador, Servicio de despertador / alarma, Aire acondicionado, Juegos de mesa / puzles, Cafetería en el alojamiento, Desayuno excepcional, Ascensor, Restaurante, TV de pantalla plana, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Zona de comedor, Lavamanos más bajo, Servicio de streaming (como Netflix), Desayuno en la habitación, Tarjeta de acceso, Perchero, Habitaciones sin humo, Cafetera, Vino / champán, Detector de monóxido de carbono, Salas de reuniones / banquetes, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, WC con barras de apoyo, Suelo de baldosa / mármol, Happy hour, Registro de entrada y salida exprés, Detectores de humo, Insonorización, Papel higiénico, Armario, WC, Hervidor eléctrico, Extintores, TV, Cuerda de emergencia en el baño, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Proporciona factura, Recepción 24 horas, Zona de estar",Richmond,Australia,"The Motley Hotel está en Melbourne, a 1,7 km de Campo de críquet de Melbourne (MCG), y dispone de servicio de conserjería, habitaciones libres de humo, restaurante, wifi gratis en todo el alojamiento y bar. Este hotel de 5 estrellas ofrece servicio de habitaciones y recepción 24 horas. El hotel tiene habitaciones familiares.

El hotel ofrece habitaciones con aire acondicionado, armario, cafetera, caja fuerte, TV de pantalla plana y baño privado con ducha. The Motley Hotel ofrece algunas habitaciones con terraza, y todas tienenhervidor. En el alojamiento, las habitaciones tienen ropa de cama y toallas.

En The Motley Hotel se puede disfrutar de un desayuno a la carta.

Teatro Princesa está a 2,6 km del alojamiento, y Federation Square está a 2,7 km. El aeropuerto (Aeropuerto de Essendon Fields) está a 14 km."
Lanbruk Richmond Hill,US$295,"9,0",Fantástico,703,https://cf.bstatic.com/xdata/images/hotel/max1024x768/253355950.webp?k=82a55e2c8dc11ce289d9961f20595de49f92342177208236fbdaa266671d168a&o=,https://www.booking.com/hotel/au/lanbruk-richmond-hill.es.html?aid=2410095,"Guardaequipaje, WC elevado, Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Artículos de aseo gratis, Calefacción, Zona de cocina, Taquillas, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Cámaras de seguridad fuera del alojamiento, Tostadora, Llave de acceso, Aire acondicionado, Proporciona factura, Ascensor, Cafetería en el alojamiento, TV de pantalla plana, Terraza, Microondas, Adaptado personas de movilidad reducida, Camas extralargas (más de 2 metros), Utensilios de cocina, Tarjeta de acceso, Fogones, Habitaciones sin humo, Cafetera, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Utensilios de planchado, WC con barras de apoyo, Detectores de humo, Acceso a pisos superiores en ascensor, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Entrada privada, Extintores, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares, Caja fuerte, Lavavajillas, Suelo de moqueta, Mobiliario exterior",Richmond,Australia,"Lanbruk Richmond Hill se encuentra en Melbourne, cerca de Campo de críquet de Melbourne (MCG), Estadio Rod Laver, y AAMI Park. Dispone de wifi gratis y terraza.

El alojamiento tiene aire acondicionado, zona de cocina totalmente equipada, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. También se ofrece nevera, lavavajillas y microondas, además de cafetera y hervidor.

Teatro Princesa está a 2,4 km del alojamiento, y Federation Square está a 2,5 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 14 km."
Top level one bedroom apartment with MCG views,US$106,"8,8",Fabuloso,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/463146175.webp?k=1acf644aaa5cc08c8b6b3aebaccf82297d254d2c511105f06a2129691862630c&o=,https://www.booking.com/hotel/au/top-level-one-bedroom-apartment-with-mcg-views.es.html?aid=2410095,"Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Artículos de aseo gratis, Cocina, Ventilador, Vistas, Mesa de comedor, Ropa de cama, Calefacción, Ducha, Zona de estar, Productos de limpieza, Tostadora, Aire acondicionado, Proporciona factura, Registro de entrada / salida privado, Microondas, Zona de comedor, Tendedero, Utensilios de cocina, Parking gratis, Fogones, Habitaciones sin humo, Apartamento privado en edificio, Inglés, WiFi gratis, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Secador de pelo, Sofá, Bañera, Horno, Suelo de moqueta, Parking adaptado para personas de movilidad reducida",Richmond,Australia,"Top level one bedroom apartment with MCG views está en el barrio de Richmond, en Melbourne, a 2,2 km de Teatro Princesa, a 2,3 km de Federation Square y a 2 km de Estadio Rod Laver. El alojamiento está a 14 min a pie de Campo de críquet de Melbourne (MCG) y ofrece parking privado en el propio alojamiento y wifi gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y hervidor, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Catedral de San Pablo está a 2,5 km del alojamiento, y Galería Nacional de Victoria está a 2,9 km. El aeropuerto (Aeropuerto de Essendon Fields) está a 14 km."
Cottage on Richmond Hill,US$311,"8,5",Muy bien,2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/523498892.webp?k=d9e25321edc0571ae6f28cc4b6fe7047d8d201df1ccbae14ac4418ebc47ee90c&o=,https://www.booking.com/hotel/au/cottage-on-richmond-hill.es.html?aid=2410095,"Secadora de ropa, Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Independiente, Baño privado, Toda la unidad en la planta baja, Bañera o ducha, Perchero, Cocina, Calefacción, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Productos de limpieza, Tostadora, Suelo de madera o parquet, Aire acondicionado, Registro de entrada / salida privado, Microondas, Tendedero, Utensilios de cocina, Fogones, Habitaciones sin humo, Inglés, WiFi gratis, Lavadora, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, Extintores, Tetera / cafetera, Sofá, Caja fuerte, Horno, Lavavajillas",Richmond,Australia,"Cottage on Richmond Hill se encuentra en el barrio de Richmond, en Melbourne, cerca de Campo de críquet de Melbourne (MCG). Dispone de wifi gratis y lavadora. Esta casa o chalet está a 1,8 km de Estadio Rod Laver y a 2,6 km de Galería Nacional de Victoria.

Esta casa o chalet con aire acondicionado se compone de 2 dormitorios independientes, una cocina totalmente equipada con nevera y lavavajillas, y 1 baño. Hay toallas y ropa de cama en la casa o chalet.

Arts Centre Melbourne está a 2,9 km del alojamiento, y Teatro Princesa está a 3,1 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 15 km."
Royal Derby Hotel,US$92,"7,8",Bien,139,https://cf.bstatic.com/xdata/images/hotel/max1024x768/234123841.webp?k=bf7b87ae3e7e8f7bba1d1dc3d14fa12b6cc68d1c8bc6927b61d572f328dd86d9&o=,https://www.booking.com/hotel/au/royal-derby.es.html?aid=2410095,"Guardaequipaje, Billar, Snack-bar, Toallas, Prohibido fumar en todo el alojamiento, Menú para niños, Cajero automático en el hotel, Solo para adultos, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Ventilador, Servicio de lavandería, Llave de acceso, Suelo de madera o parquet, Restaurante, Terraza, Eventos deportivos en directo (emisión), Habitaciones sin humo, Vino / champán, Inglés, WiFi gratis, Utensilios de planchado, Happy hour, Baño compartido, WC, Extintores, Campo de golf (a menos de 3 km), Mobiliario exterior, Zona de estar",Richmond,Australia,"Royal Derby Hotel, en Melbourne, ofrece alojamiento solo para adultos con terraza, restaurante y bar. El alojamiento está a 17 min a pie de Museo de Melbourne, a 2,5 km de Teatro Princesa y a 3 km de Estación central de Melbourne. El albergue libre de humo dispone de wifi gratis en todo el alojamiento.

Todas las habitaciones de este alojamiento están equipadas con zona de estar. En el albergue, las habitaciones cuentan con baño compartido y ropa de cama.

Biblioteca estatal de Victoria está a 3,2 km del alojamiento, y Zoo de Melbourne está a 3,3 km. El aeropuerto (Aeropuerto de Essendon Fields) está a 11 km."
Sakura Serviced Apartments,US$324,"7,7",Bien,463,https://cf.bstatic.com/xdata/images/hotel/max1024x768/456945626.webp?k=5142bcaecc95e9a2a8b1c4b99c1a4c96d6bcaa11b4e7291037e4a3ce1a824028&o=,https://www.booking.com/hotel/au/southern-cross-apartments-melbourne.es.html?aid=2410095,"Seguridad 24 horas, Secadora de ropa, Toallas, Vistas a la ciudad, Prohibido fumar en todo el alojamiento, Plancha para ropa, Sauna, Baño privado, Perchero, Artículos de aseo gratis, Cocina, Vistas, Calefacción, Mesa de comedor, Ropa de cama, Piscina interior, Ducha, Enchufe cerca de la cama, Baños públicos, Patio, Tostadora, Aseo compartido, Aire acondicionado, Abierta todo el año, Proporciona factura, Ascensor, TV de pantalla plana, Terraza, Horario de apertura, Microondas, Tendedero, Utensilios de cocina, Toda la unidad accesible en silla de ruedas, Fogones, Habitaciones sin humo, Sofá cama, Inglés, WiFi gratis, Utensilios de planchado, Balcón, Para todas las edades, Parking privado, Lavadora, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Vistas al jardín, Zona de comedor exterior, Secador de pelo, Sofá, Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Piscina privada, Gimnasio, Horno, Lavavajillas, Suelo de moqueta, Zona de estar",Richmond,Australia,"Sakura Serviced Apartments se encuentra a 300 metros del centro de Melbourne y a 12 min a pie de Casino Crown Melbourne. Ofrece alojamiento tienen aire acondicionado, balcón, jardín y terraza. Se ofrece wifi gratis y parking privado en el propio alojamiento.

El apartamento ofrece patio, vistas a la ciudad, zona de estar, TV de pantalla plana, cocina totalmente equipada con nevera y lavavajillas, y baño privado con ducha y artículos de aseo gratuitos. También hay horno, microondas y fogones, además de hervidor.

Durante su estancia en Sakura Serviced Apartments, la clientela puede disfrutar de instalaciones de spa y bienestar como una piscina cubierta y una sauna.

Cerca del alojamiento hay puntos de interés como The Block Arcade, Melbourne City Conference Centre y Estación Southern Cross. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 11 km del alojamiento."
Citadines on Bourke Melbourne,US$190,"8,3",Muy bien,6.112,https://cf.bstatic.com/xdata/images/hotel/max1024x768/307098891.webp?k=05e5d996b676d7d22e2bab362deb382de2901a5ba679d13959c0ec87f5b5f67f&o=,https://www.booking.com/hotel/au/citadines-melbourne-on-bourke.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Toallas, Servicio de despertador, Prohibido fumar en todo el alojamiento, Plancha para ropa, Sauna, Baño privado, Lavamanos más bajo, Artículos de aseo gratis, Calefacción, Zona de cocina, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Piscina interior, Ducha, Zona de estar, Enchufe cerca de la cama, Servicio de lavandería, Servicio de despertador / alarma, Tostadora, Toallas de playa/piscina, Abierta todo el año, Proporciona factura, Aire acondicionado, Piscina climatizada, Ascensor, TV de pantalla plana, Microondas, Adaptado personas de movilidad reducida, Radio, Trona, Terraza / solárium, Parking en un garaje, Utensilios de cocina, Servicio de limpieza en seco, Centro de negocios, Tarjeta de acceso, Fogones, Habitaciones sin humo, Salas de reuniones / banquetes, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Utensilios de planchado, WC con barras de apoyo, Parking privado, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Insonorización, Acceso a pisos superiores en ascensor, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Hipoalergénico, Extintores, Secador de pelo, Tetera / cafetera, Sofá, Cámaras de seguridad en las zonas comunitarias, Teléfono, Caja fuerte, Habitaciones familiares, Gimnasio, Lavavajillas, Suelo de moqueta, Mobiliario exterior, Recepción 24 horas, Parking adaptado para personas de movilidad reducida",Richmond,Australia,"Este establecimiento galardonado de 4,5 estrellas está situado a solo 200 metros de Chinatown y ofrece apartamentos modernos en pleno centro del distrito financiero de Melbourne. Ofrece WiFi gratuita en las habitaciones, piscina cubierta, sauna y centro de fitness.

El Citadines On Bourke se encuentra a 20 minutos a pie del estadio Melbourne Cricket Ground (MCG) y del estadio Rod Laver Arena. La estación Flinders Street está a solo 850 metros.

Todos los apartamentos disponen de aire acondicionado y TV LCD. El salón es de planta abierta y tiene zona de cocina con lavavajillas, microondas y nevera. Se facilitan zapatillas y sets de limpieza dental y afeitado bajo petición.

El personal de la recepción 24 horas puede organizar excursiones y otras actividades. El vestíbulo cuenta con una amplia variedad de mapas y revistas, algunas en chino.

Se proporciona aparcamiento privado, aunque está sujeto a disponibilidad al llegar. El Citadines On Bourke Melbourne está a unos 5 minutos a pie de una parada de tranvía que ofrece un servicio regular gratuito por el centro de la ciudad.

El personal habla inglés."
Rendezvous Hotel Melbourne,US$180,"8,3",Muy bien,6.325,https://cf.bstatic.com/xdata/images/hotel/max1024x768/406340418.webp?k=4e5c274cf980f9ce106f9a8c711d6a8f038e0feded9f8f1bb0934e897e35262b&o=,https://www.booking.com/hotel/au/rendezvous-melbourne.es.html?aid=2410095,"Snack-bar, Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Servicio de lavandería, Chino, Proporciona factura, Ascensor, Restaurante, Habitaciones hipoalergénicas, Centro de negocios, Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Italiano, Buffet para niños, Servicio de limpieza diario, Utensilios de planchado, Información turística, Happy hour, Acceso a pisos superiores solo mediante escaleras, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Alarma de seguridad, Parking en un garaje, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aseo adicional, Aire acondicionado, Malayo, Canales vía satélite, Escritorio, Nevera, Extintores, Teléfono, Caja fuerte, Parking, Recepción 24 horas, Guardaequipaje, Servicio de conserjería, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Calefacción, Ropa de cama, Estación de carga de vehículos eléctricos, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, WiFi gratis, Tarjetas de transporte público, Zona TV / salón de uso compartido, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Fruta, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Mandarín, Adaptado personas de movilidad reducida, Radio, Inglés, Minibar, Registro de entrada y salida exprés, Filipino, Suelo de moqueta, Zona de estar",Richmond,Australia,"""Situated in the heart of the CBD, this 4.5-star hotel holds a prime location and is steeped in heritage. Restored to preserve its original charm from 1913, the hotel seamlessly blends timeless style with modern amenities.

With its distinguished elegance, historical significance, and traditional luxury, Rendezvous Hotel Melbourne offers 340 exquisitely designed guest rooms and suites. Each room features individually controlled air conditioning, cable TV, a well-appointed en suite bathroom, and a private electronic safe, and complimentary Wi-Fi throughout your stay with us.

Conveniently located within walking distance of premier shopping destinations, theaters, sporting venues, entertainment hubs, and dining establishments, this award-winning hotel offers unparalleled accessibility. Federation Square and the iconic Flinders Street Railway Station stands directly opposite the hotel, adding to its allure.

Indulge in culinary delights at our hotel's expansive buffet breakfast and Mr. Tompkins, our restaurant serving European flared dishes infused with Australian flavors. For ultimate convenience, room service is available 24/7.

According to independent reviews, this area of Melbourne is highly regarded by our guests and holds a special place in their hearts."""
Tyrian Albert Park Lake,US$177,"8,9",Fabuloso,1.482,https://cf.bstatic.com/xdata/images/hotel/max1024x768/138818111.webp?k=8d64ccb0a09a7a0d8b6c2486b13d9946bd9b516a22dd1e098c268b97fada8a8c&o=,https://www.booking.com/hotel/au/tyrian-serviced-apartments-melbourne.es.html?aid=2410095,"Toallas, Baño privado, Fax / fotocopiadora, Albornoz, Zona de fumadores, Toallas de playa/piscina, Abierta todo el año, Proporciona factura, Piscina climatizada, Ascensor, Restaurante, Zona de comedor, Caja fuerte para ordenador portátil, Fogones, Habitaciones sin humo, Cafetera, Servicio de limpieza diario, Información turística, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Zona de comedor exterior, Secador de pelo, Sofá, Zona de pícnic, Valla alrededor de la piscina, Canales de pago, Servicio de despertador, Prohibido fumar en todo el alojamiento, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Tostadora, Piscina con vistas, Suelo de madera o parquet, Aire acondicionado, Terraza, Horario de apertura, Microondas, Canales vía satélite, Balcón, Parking privado, Insonorización, Nevera, Extintores, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Horno, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Secadora de ropa, Canales por cable, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Sauna, Perchero, Artículos de aseo gratis, Calefacción, Zona de cocina, Ropa de cama, TV de pantalla plana, Alquiler de bicicletas, Trona, Terraza / solárium, Utensilios de cocina, Barbacoa, Tarjeta de acceso, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Suelo de baldosa / mármol, Tarjetas de transporte público, Lavadora, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Lavavajillas, WC elevado, Alquiler de coches, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Piscina en la azotea, Productos de limpieza, Apoyo visual: braille, Adaptado personas de movilidad reducida, Servicio de streaming (como Netflix), Tendedero, Inglés, Zona poco profunda, Para todas las edades, Piscina al aire libre, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Richmond,Australia,"El establecimiento Tyrian Serviced Apartments Melbourne ofrece alojamientos modernos y lujosos en Melbourne. Hay una piscina en la terraza de la azotea con vistas al lago Albert, y el establecimiento también alberga un centro de fitness. Los huéspedes disponen de bañera de hidromasaje, sauna y vistas al circuito del Gran Premio de Melbourne.

El establecimiento está a solo 4 km del distrito financiero de Melbourne, repleto de cafeterías y tiendas. El Real Jardín Botánico de Melbourne está a solo 1,2 km.

Todos los apartamentos combinan estética y funcionalidad y están equipados con balcón privado y baño con artículos de aseo de lujo. Algunos alojamientos disponen de cocina totalmente equipada con electrodomésticos de acero inoxidable de calidad. Todos los apartamentos tienen WiFi gratuita.

En la terraza de la azotea se puede disfrutar de zona de barbacoa y vistas a la puesta de sol."
The Savoy Hotel on Little Collins Melbourne,US$242,"8,6",Fabuloso,3.661,https://cf.bstatic.com/xdata/images/hotel/max1024x768/404852187.webp?k=6257d7ad3657a64e488150058c2bbac6520a1330ac856c35f7bac8157cbfd449&o=,https://www.booking.com/hotel/au/vibe-savoy-melbourne.es.html?aid=2410095,"Snack-bar, Seguridad 24 horas, Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Silla de masajes, Servicio de lavandería, Masaje de manos, Spa y centro de bienestar, Clases de yoga, Masaje corporal completo, Proporciona factura, Ascensor, Restaurante, Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Habitaciones sin humo, Cafetera, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Tailandés, Happy hour, Acceso a pisos superiores en ascensor, Masaje de pies, Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Alarma de seguridad, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Servicio de entrega de comestibles, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aseo adicional, Aire acondicionado, Indonesio, Escritorio, Plancha para pantalones, Nevera, Extintores, Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Almuerzos para llevar, Masaje de espalda, Servicio de conserjería, Sauna, Desayuno en la habitación, Perchero, Artículos de aseo gratis, Calefacción, Ropa de cama, TV de pantalla plana, Pediluvio, 2 restaurantes, Trona, Tarjeta de acceso, Masajes, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Instalaciones de spa, Armario, Tetera / cafetera, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Zona de spa / relajación, Servicio de planchado, Masaje en pareja, Tetera/cafetera en todas las habitaciones, Alquiler de coches, Plancha para ropa, Enchufe cerca de la cama, Ducha, Paquetes de spa / bienestar, Reloj despertador, Mandarín, Adaptado personas de movilidad reducida, Radio, Inglés, Minibar, Registro de entrada y salida exprés, Masaje de cabeza, Gimnasio, Suelo de moqueta",Richmond,Australia,"Conveniently located in Melbourne CBD, The Savoy Hotel is located within 5 minutes' walk of Collins Street and the Southern Cross Railway Station, which offers shops, cafes and restaurants. It features a fitness centre and a restaurant. Free WiFi is provided at the hotel.

Daily breakfast is served in the Curve Restaurant. Guests of the Savoy can also enjoy a drink at Alexander Bar and choose from an extensive wine list, where dinner is also served.

The Savoy Hotel Melbourne is situated 300 metres from the bank of the Yarra River. Tram connection is around the corner from the hotel and Marvel Stadium, Melbourne Aquarium and Melbourne Convention Centre are all within 1 km. Tullamarine Airport is less than 25 km away.

The newly refurbished spacious guest rooms feature stylish furnishings and include a work desk, a minibar, cable TV and in-house movies. Each air-conditioned room features a private bathroom with hairdryer."
Georgian Court B&B Guest House,US$121,"7,1",Bien,1.484,https://cf.bstatic.com/xdata/images/hotel/max1024x768/10319330.webp?k=3d8e157c3ae3d2a1686e5f1e5d4baa9ac70e446a36189e4a749dc858e985a409&o=,https://www.booking.com/hotel/au/georgian-court-b.es.html?aid=2410095,"Guardaequipaje, Baño privado, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Servicio de lavandería, Chino, Llave de acceso, Aire acondicionado, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Detectores de humo, Extintores, Buen desayuno, Cámaras de seguridad en las zonas comunitarias, Jardín, Habitaciones familiares, Proporciona factura",Richmond,Australia,"El Georgian Court está situado a solo 3 km del centro de Melbourne y ofrece desayuno buffet gratuito, salón y zona de internet. Todas las habitaciones cuentan con aire acondicionado y microondas. Hay plazas limitadas de aparcamiento gratuito. El establecimiento también tiene WiFi gratuita en las zonas comunes y en algunas habitaciones.

Las habitaciones disponen de set de té y café y baño con secador de pelo. Algunas de ellas también incluyen una bañera de hidromasaje.

El Georgian Court B&B Guest House se encuentra a 10 minutos a pie de los jardines Fitzroy, a 4 minutos en coche del campo de cricket de Melbourne y a unos 7 minutos en coche del estadio Rod Laver, el estadio Hisense y el hospital St Vincents.

El desayuno se sirve en el comedor e incluye cereales, panes, fruta, zumos, té y café."
Causeway 353 Hotel,US$242,"8,1",Muy bien,8.012,https://cf.bstatic.com/xdata/images/hotel/max1024x768/282083242.webp?k=9cda6954cb0a00a154f441a22c38757ef115032ccb67642d3e403bd66df9162c&o=,https://www.booking.com/hotel/au/causeway-353-melbourne.es.html?aid=2410095,"Guardaequipaje, WC elevado, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Servicio de despertador, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Servicio de conserjería, Plancha para ropa, Baño privado, Lavamanos más bajo, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Servicio de despertador / alarma, Ducha, Servicio de lavandería, Reloj despertador, Chino, Soporte para iPod, Aire acondicionado, Ascensor, Baño de vapor, Restaurante, TV de pantalla plana, Mandarín, Adaptado personas de movilidad reducida, Microondas, Radio, Zapatillas, Centro de negocios, Tarjeta de acceso, Habitaciones sin humo, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, WC con barras de apoyo, Información turística, Minibar, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Caja fuerte, Teléfono, Alarma de seguridad, Gimnasio, Proporciona factura, Parking, Recepción 24 horas",Richmond,Australia,"El Causeway 353 Hotel se encuentra en la calle Little Collins, en el distrito financiero de Melbourne, y cuenta con habitaciones modernas y elegantes con TV LCD, baño privado y aire acondicionado. Entre las instalaciones se incluyen un centro de fitness, un sala de vapor y un centro de negocios.

El Causeway 353 Hotel se encuentra en la mejor zona comercial de Melbourne y está rodeado de restaurantes internacionales, cafeterías y tiendas exclusivas. También está a solo 300 metros del animado centro comercial Bourke Street.

El Causeway 353 Hotel Melbourne está a pocos pasos de varios locales de ocio, deportivos y culturales. El aeropuerto internacional de Tullamarine se halla a 25 minutos en coche."
Clarion Suites Gateway,US$210,"8,5",Muy bien,3.762,https://cf.bstatic.com/xdata/images/hotel/max1024x768/37460679.webp?k=74cb2e641dc30144e240e1eee9bc7af2e371112bc111b15c8db3d43d87b83f0b&o=,https://www.booking.com/hotel/au/clarion-suites-gateway.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Prohibido fumar en todo el alojamiento, Servicio de conserjería, Servicio de habitaciones, Fax / fotocopiadora, Calefacción, Zona de fumadores, Piscina interior, Servicio de lavandería, Aire acondicionado, Abierta todo el año, Piscina climatizada, Ascensor, Japonés, Terraza / solárium, Centro de negocios, Servicio de limpieza en seco, Tarjeta de acceso, Español, Habitaciones sin humo, Vino / champán, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Información turística, Parking en el alojamiento, Para todas las edades, Cambio de moneda, Zona TV / salón de uso compartido, Detectores de humo, Extintores, Cámaras de seguridad en las zonas comunitarias, Filipino, Habitaciones familiares, Servicio de planchado, Caja fuerte, Recepción 24 horas, Parking en un garaje",Richmond,Australia,"El Clarion Suites Gateway ofrece estudios y suites de 1 y 2 dormitorios, todos amplios e independientes y con todos los servicios, así como una situación ideal para disfrutar de lo mejor de Melbourne. Hay WiFi gratuita.

El Clarion Suites Gateway está ubicado a orillas del río Yarra, en el corazón de Melbourne CBD. El Crown Entertainment Complex, Southbank, Southgate y el Centro de Exposiciones y Convenciones de Melbourne se encuentran a un paseo del establecimiento."
