hotel,hotel_url,description,popular_facilities,highres_url,city,country
Escape,https://www.booking.com/hotel/hn/escape.es.html?aid=2410095,"Escape está en Comayagua. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Esta casa o chalet de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 10 km.","Cocina, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Vistas al jardín, Aire acondicionado, Parking gratis, Inglés, Piscina, Piscina privada, Español, WiFi gratis, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568219607.jpg?k=25eb61876964622a38cf123054d0e6b5080e851bb9d359dced76b9c348240b8b&o=&hp=1,La Libertad,Honduras
Aparta Hotel Palmerola,https://www.booking.com/hotel/hn/aparta-palmerola-palmerola.es.html?aid=2410095,"Aparta Hotel Palmerola se encuentra en Comayagua y dispone de jardín. Este alojamiento ofrece restaurante, cocina compartida y servicio de habitaciones, además de wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.

Todas las habitaciones tienen baño privado, algunas ofrecen balcón y otras también tienen vistas al jardín.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 4 km.","2 restaurantes, Fax / fotocopiadora, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Desayuno en la habitación, Supermercado pequeño en el alojamiento, Cocina compartida, Servicio de traslado, Barbacoa, Zona de fumadores, Restaurante, Servicio de lavandería, Jardín, Cambio de moneda, Mobiliario exterior, Servicio de entrega de comestibles, Zona de pícnic, Servicio de limpieza diario, Parking en un garaje, Servicio de habitaciones, WiFi gratis, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582686741.jpg?k=8aa750c0a7654173e7183d41155b0cafbe683cd088dd412109ed05abf1742e56&o=&hp=1,La Libertad,Honduras
Palmerola Inn,https://www.booking.com/hotel/hn/palmerola-inn.es.html?aid=2410095,"Palmerola Inn dispone de alojamiento con aire acondicionado en Comayagua. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación cuenta con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 4 km.","Papel higiénico, Ropa de cama, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, TV de pantalla plana, Toallas, Bañera o ducha, WC, Servicio de traslado, Terraza, Ducha, Artículos de aseo gratis, Zona de comedor, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, WiFi gratis, Traslado aeropuerto (gratis), Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504577778.jpg?k=6b12cc4397767767d6d14263c6cd58f5de09f3745e3fb7562e46008376dcb7fb&o=&hp=1,La Libertad,Honduras
Casavana,https://www.booking.com/hotel/hn/casavana.es.html?aid=2410095,"Casavana se encuentra en Comayagua y ofrece terraza. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un patio.

Este apartamento de 1 dormitorio tiene aire acondicionado y cuenta con zona de comedor, TV de pantalla plana y cocina con nevera.

En el apartamento se puede disfrutar de un desayuno continental.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 7 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Inglés, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Patio, Seguridad 24 horas, TV de pantalla plana, Español, Horario de apertura, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, WC, Barbacoa, Nevera, Almuerzos para llevar, Terraza, Ducha, Abierta todo el año, Zona de comedor, Prohibido fumar en todo el alojamiento, Para todas las edades, Piscina al aire libre, WiFi gratis, Cocina, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Desayuno, Parque acuático",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547185987.jpg?k=c1bde0b3f88c45bdb1e26ae2b82b4b0c2f6dc7ab278212455a389f73ddb58886&o=&hp=1,La Libertad,Honduras
Magnificent Private Room Near Airport #1,https://www.booking.com/hotel/hn/palmerola-inn-comayagua.es.html?aid=2410095,"Magnificent Private Room Near Airport #1 dispone de alojamiento con aire acondicionado en Comayagua. Hay terraza, wifi gratis y parking privado gratis.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las habitaciones tienen baño privado, artículos de aseo gratuitos y ropa de cama.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 4 km.","Papel higiénico, Ropa de cama, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Seguridad 24 horas, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Toallas, Terraza, Ducha, Artículos de aseo gratis, Jardín, Prohibido fumar en todo el alojamiento, WiFi gratis, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/457295915.jpg?k=7e08aaa9c25ed0b7b4af0c8d3f814b907790cb6631559d498f03e7c4b293cf9f&o=&hp=1,La Libertad,Honduras
Hotel Internacional Palmerola,https://www.booking.com/hotel/hn/internacional-palmerola.es.html?aid=2410095,"Hotel Internacional Palmerola tiene piscina al aire libre, jardín, terraza y restaurante en Comayagua. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, las habitaciones incluyen aire acondicionado y baño privado.

En la recepción 24 horas se habla inglés y español, y el personal está dispuesto a ayudar en cualquier momento.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 8 km.","Papel higiénico, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, TV de pantalla plana, Bañera o ducha, WC, Servicio de traslado, Restaurante, Bañera, Recepción 24 horas, Terraza, Artículos de aseo gratis, Abierta todo el año, Zona de comedor, Jardín, Piscina pequeña, Para todas las edades, Piscina al aire libre, WiFi gratis, TV, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/408314887.jpg?k=1daf480d3a2f55f15d044e4b99c81c62e748e18884b9f6024293dbd73a95f19e&o=&hp=1,La Libertad,Honduras
"Habitación Cerezo en Palmerola, Comayagua",https://www.booking.com/hotel/hn/habitacion-cerezo-en-palmerola-comayagua.es.html?aid=2410095,"Habitación Cerezo en Palmerola, Comayagua se encuentra en Comayagua. Hay parking privado en el propio alojamiento y wifi gratis.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y aire acondicionado.

El apartamento ofrece bañera de hidromasaje.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 4 km.","Papel higiénico, Aire acondicionado, Parking gratis, Habitaciones sin humo, Secador de pelo, TV de pantalla plana, Toallas, Bañera o ducha, Entrada privada, Ducha, Lavadora, Escritorio, Prohibido fumar en todo el alojamiento, WiFi gratis, Bañera de hidromasaje / jacuzzi, Secadora de ropa, Apartamento privado en edificio, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/463936126.jpg?k=ea3fb882d6c8e65e833653dd0e24152326a050bb8a83278232978d8d9f326f46&o=&hp=1,La Libertad,Honduras
"Habitación Cedro en Palmerola, Comayagua",https://www.booking.com/hotel/hn/habitacion-cedros-en-palmerola-comayagua.es.html?aid=2410095,"Habitación Cedro en Palmerola, Comayagua está en Comayagua. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento de 1 dormitorio tiene aire acondicionado y ofrece 1 baño con ducha y artículos de aseo gratuitos. Hay TV de pantalla plana con canales por cable.

En el apartamento, la clientela puede disfrutar de bañera de hidromasaje.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 4 km.","Papel higiénico, Inglés, Baño privado, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Utensilios de planchado, Parking gratis, Habitaciones sin humo, Secador de pelo, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Cámaras de seguridad en las zonas comunitarias, Toallas, Plancha para ropa, Plancha para pantalones, Enchufe cerca de la cama, Ducha, Artículos de aseo gratis, Lavadora, Escritorio, Prohibido fumar en todo el alojamiento, Extintores, WiFi gratis, Bañera de hidromasaje / jacuzzi, Secadora de ropa, Apartamento privado en edificio, Armario, Habitaciones familiares, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580639092.jpg?k=488264bffaff062fdd5649dcad23c3b1b1bcce641ef40ba8cd325e1bb7ac98c0&o=&hp=1,La Libertad,Honduras
Mango Hostel,https://www.booking.com/hotel/hn/mango-hostel-comayagua1.es.html?aid=2410095,"Mango Hostel dispone de jardín, salón de uso común, terraza y restaurante en Comayagua. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación incluye balcón. Las habitaciones incluyen baño privado, artículos de aseo gratuitos y ropa de cama.

Mango Hostel ofrece desayuno continental o americano.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 8 km del alojamiento.","Papel higiénico, Ropa de cama, Alarma de seguridad, Servicio de despertador, Baño privado, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Traslado aeropuerto, Juegos de mesa / puzles, Detectores de humo, Seguridad 24 horas, Vistas, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Plancha para ropa, Bañera o ducha, WC, Cocina compartida, Servicio de traslado, Guardaequipaje, Proporciona factura, Senderismo, Zona de fumadores, Restaurante, Habitaciones insonorizadas, Recepción 24 horas, Servicio de lavandería, Almuerzos para llevar, Terraza, Ducha, Artículos de aseo gratis, Tours a pie, Jardín, Llave de acceso, Mobiliario exterior, Zona TV / salón de uso compartido, Equitación, Menú para niños, Servicio de entrega de comestibles, Calefacción, Servicio de limpieza diario, Piragüismo, Extintores, WiFi gratis, Perchero, Armario, Pesca, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552595252.jpg?k=a0e71f8e2922ea61ed7ad9981820f230494c5c51e744028992af01ee20e5ff91&o=&hp=1,La Libertad,Honduras
Casa en Comayagua cerca de Palmerola,https://www.booking.com/hotel/hn/casa-en-comayagua-cerca-de-palmerola.es.html?aid=2410095,"Casa en Comayagua cerca de Palmerola es un alojamiento con wifi gratis y vistas al jardín que se encuentra en Comayagua. Esta casa o chalet dispone de jardín y parking privado gratis.

Esta casa o chalet tiene aire acondicionado y cuenta con 3 dormitorios, TV de pantalla plana y cocina con nevera.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 7 km del alojamiento.","Cocina, Escritorio, Jardín, Plancha para ropa, Prohibido fumar en todo el alojamiento, Vistas al jardín, Barbacoa, Aire acondicionado, Parking gratis, Nevera, Tetera / cafetera, Inglés, TV de pantalla plana, Español, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524085591.jpg?k=55f76046ce3a7656bb9f60071a988a675899055e2bc1955246222836bc733942&o=&hp=1,La Libertad,Honduras
Casa dentro del Campo de Golf,https://www.booking.com/hotel/hn/casa-dentro-del-campo-de-golf.es.html?aid=2410095,"Casa dentro del Campo de Golf se encuentra en Comayagua y ofrece piscina al aire libre y bar. Esta casa o chalet dispone de piscina privada, jardín y parking privado gratis.

Esta casa o chalet con aire acondicionado da a una terraza con vistas al jardín y cuenta con 4 dormitorios y cocina totalmente equipada. Se ofrece TV de pantalla plana.

En la casa o chalet, la clientela puede jugar al mini golf en el propio alojamiento o practicar golf en los alrededores.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 11 km del alojamiento.","Piscina infantil, Papel higiénico, Vistas al jardín, Aire acondicionado, Parking gratis, Campo de golf (a menos de 3 km), Secador de pelo, TV de pantalla plana, Seguridad 24 horas, Zona de cocina, Horario de apertura, Vistas, Plancha para ropa, Bañera o ducha, Zona de spa / relajación, Bar, Entrada privada, Plancha para pantalones, Bañera, Sofá, Almuerzos para llevar, Utensilios de cocina, Artículos de aseo gratis, Terraza, Abierta todo el año, Lavadora, Jardín, Llave de acceso, Servicio de entrega de comestibles, Minigolf, Chimenea, Bañera de hidromasaje, Servicio de limpieza diario, Para todas las edades, Piscina al aire libre, WiFi gratis, Cocina, Instalaciones de spa, Tendedero, Perchero, Zona de estar, Habitaciones familiares, Inglés, Balcón, Piscina privada, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/479699055.jpg?k=e6e146219a50cbb3e87b25b3f763377b868b8be3db83d7b461668148f6959a5f&o=&hp=1,La Libertad,Honduras
