hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Bombonaje,https://www.booking.com/hotel/pe/gran-bombonaje.es.html?aid=2410095,"Hotel Bombonaje está en Rioja, a 21 km de Estadio IPD de Nueva Cajamarca, y dispone de servicio de conserjería, habitaciones libres de humo, jardín, wifi gratis en todo el alojamiento y terraza. Este hotel de 3 estrellas ofrece servicio de habitaciones y recepción 24 horas. Las habitaciones incluyen TV de pantalla plana con canales por cable.

El hotel ofrece algunas habitaciones con patio, y todas tienen baño privado con ducha y artículos de aseo gratuitos. En Hotel Bombonaje, las habitaciones tienen ropa de cama y toallas.

En el alojamiento se sirve cada mañana un desayuno buffet. Hotel Bombonaje cuenta con un restaurante que sirve cocina peruana.

Estadio IPD de Moyobamba está a 27 km del alojamiento. El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 137 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Parking en un garaje, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Muy buen desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, WC, Canales por cable, Proporciona factura, Servicio de traslado, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Información turística, Centro de negocios, Zona de fumadores, Productos de limpieza, Fax / fotocopiadora, Almuerzos para llevar, Español, Baño privado, Máquina expendedora (bebidas), Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Entrada privada, Ducha, Ventilador, Desayuno en la habitación, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537899041.jpg?k=d8b044ca78406b82533d942f9bf97a21cbd2eb5d97d280d3dde37cde312e9e8a&o=&hp=1,Rioja,Perú
"Alojamiento ""Selva Del Sol""",https://www.booking.com/hotel/pe/alojamiento-selva-del-sol-ii.es.html?aid=2410095,"Alojamiento ""Selva Del Sol"" se encuentra en Rioja, a 21 km de Estadio IPD de Nueva Cajamarca y a 27 km de Estadio IPD de Moyobamba. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento ofrece recepción 24 horas, mostrador de información turística y guardaequipaje.

En el hostal o pensión, las habitaciones cuentan con armario. Las habitaciones disponen de baño privado con ducha, y algunas tienen además zona de estar. En Alojamiento ""Selva Del Sol"", cada habitación incluye TV de pantalla plana con canales por cable.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 140 km del alojamiento.","Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Parking gratis, Servicio de limpieza diario, Perchero, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Mobiliario exterior, WiFi gratis, TV, Toallas / sábanas (por un suplemento), Baños públicos, Gimnasio, Canales por cable, Servicio de traslado, Proporciona factura, Toallas, Registro de entrada / salida privado, Jardín, Información turística, Productos de limpieza, Fax / fotocopiadora, Español, Baño privado, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, TV de pantalla plana, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/249862319.jpg?k=9788c9941a512106810265458c49c3100d7faa74933b633a452bb66b89c09504&o=&hp=1,Rioja,Perú
Perlawasi - Tioyacu Lodge,https://www.booking.com/hotel/pe/perlawasi-tioyacu-lodge.es.html?aid=2410095,"Perlawasi - Tioyacu Lodge tiene vistas a la montaña y está en Rioja. Cuenta con restaurante, servicio de habitaciones, bar y jardín. Hay wifi gratis en todo el alojamiento.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

En el lodge se puede disfrutar de un desayuno a la carta.

Estadio IPD de Nueva Cajamarca está a 6,2 km del alojamiento, y Estadio IPD de Moyobamba está a 41 km. El aeropuerto (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 151 km.","Habitaciones sin humo, Papel higiénico, Artículos de aseo gratis, Vistas, Jardín, Prohibido fumar en todo el alojamiento, Bar, Recepción 24 horas, WiFi gratis, Vistas a la montaña, Desayuno, TV de pantalla plana, WC, Ducha, Español, Baño privado, Servicio de habitaciones, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/571537327.jpg?k=f888edc4fb582f9aa3ceaeeaaec3d6f865b22d0fcddf32013fca9154f5f57ae9&o=&hp=1,Rioja,Perú
Hostal Selva Bella,https://www.booking.com/hotel/pe/hostal-selva-bella.es.html?aid=2410095,"Hostal Selva Bella se encuentra en Rioja, a 21 km de Estadio IPD de Nueva Cajamarca, y ofrece alojamiento con wifi gratis y parking privado gratis. Este alojamiento libre de humo está a 27 km de Estadio IPD de Moyobamba.

En el hostal o pensión, todas las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades cuentan con nevera.

En Hostal Selva Bella se puede disfrutar de un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 137 km.","Armario, Papel higiénico, Artículos de aseo gratis, Prohibido fumar en todo el alojamiento, WiFi gratis, Desayuno, TV de pantalla plana, Ropa de cama, Parking gratis, Nevera, WC, Ducha, Español, Baño privado, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564580228.jpg?k=60dd73975774e551209644ac97df9297e81286bc49d7aab31987bf0edb4e1b5e&o=&hp=1,Rioja,Perú
HOSPEDAJE DOJA,https://www.booking.com/hotel/pe/hospedaje-doja.es.html?aid=2410095,"HOSPEDAJE DOJA está en Rioja, a 21 km de Estadio IPD de Nueva Cajamarca y a 27 km de Estadio IPD de Moyobamba. Ofrece alojamiento con terraza y wifi gratis en todo el alojamiento, además de parking privado gratis. Las habitaciones tienen balcón.

En el hostal o pensión, las habitaciones están equipadas con armario y TV de pantalla plana. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también tienen vistas a la ciudad.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 140 km.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de comedor, Parking gratis, Terraza, Armario, Papel higiénico, WiFi gratis, Inglés, Tetera/cafetera en todas las habitaciones, Hervidor eléctrico, WC, Toallas, Artículos de aseo gratis, Español, Baño privado, Balcón, TV de pantalla plana, Tetera / cafetera, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/480490638.jpg?k=14856b36abd9d454d64bbf3c9b083d3adcd4ddffaa2973c8f29d4a341b462051&o=&hp=1,Rioja,Perú
Camping Perlawasi-Tioyacu,https://www.booking.com/hotel/pe/camping-perlawasi-tioyacu.es.html?aid=2410095,"Camping Perlawasi-Tioyacu se encuentra a 6,2 km de Estadio IPD de Nueva Cajamarca y ofrece jardín y bar, además de alojamiento con terraza y wifi gratis.

Todas las unidades cuentan con un balcón con vistas al río.

Estadio IPD de Moyobamba está a 41 km del alojamiento. El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 151 km.","Vistas al jardín, Zona de comedor exterior, Zona de comedor, Terraza, Bañera o ducha, Zona de estar, Papel higiénico, Bar, WiFi gratis, Vistas al río, Toallas, Jardín, Artículos de aseo gratis, Muebles de exterior, Español, Patio, Balcón, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Insonorización, Servicio de streaming (como Netflix), Entrada privada, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569388673.jpg?k=cd513ba3f19a3b3547fd3544d009673e7c3d968b12d66b64f37d3c7abfea0c20&o=&hp=1,Rioja,Perú
Residencial Rocío,https://www.booking.com/hotel/pe/residencial-rocio.es.html?aid=2410095,"Residencial Rocío es un alojamiento de 3 estrellas que se encuentra en Rioja, a 21 km de Estadio IPD de Nueva Cajamarca, y que dispone de jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo está a 27 km de Estadio IPD de Moyobamba.

En el hotel, cada habitación incluye escritorio y TV de pantalla plana. Todas las habitaciones cuentan con baño privado con ducha, y algunas también ofrecen vistas a la ciudad. Todas las unidades incluyen armario.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 140 km del alojamiento.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de comedor, Armario, Papel higiénico, WiFi gratis, Toallas / sábanas (por un suplemento), Servicio de habitaciones, Toallas, Jardín, Bañera, Español, Baño privado, Vistas, Recepción 24 horas, Escritorio, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516441008.jpg?k=6b04e54e3d6e39a6f36fc97fcb256aa58888f5b42e0ecde3641a79913a28eac2&o=&hp=1,Rioja,Perú
Country Club Eco Casajardin,https://www.booking.com/hotel/pe/country-club-eco.es.html?aid=2410095,"Country Club Eco Casajardin se encuentra en Moyobamba, a 1,9 km de Estadio IPD de Moyobamba, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. El alojamiento tiene un bar y un restaurante que sirve cocina italiana. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones incluyen armario, un patio con vistas al jardín, baño privado, TV de pantalla plana, ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta, americano o vegetariano.

La zona es idea para practicar ciclismo, y hay alquiler de bicicletas y alquiler de coches en Country Club Eco Casajardin.

Estadio IPD de Nueva Cajamarca está a 44 km del alojamiento. El aeropuerto (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 116 km.","Sala de juegos, Prohibido fumar en todo el alojamiento, Vistas al jardín, Eventos deportivos en directo (emisión), Plancha para pantalones, Plancha para ropa, Muy buen desayuno, Parking gratis, Aseo adicional, Tours en bici, Perchero, Terraza, Bañera o ducha, Toda la unidad en la planta baja, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, Canales por cable, Proporciona factura, Canales de pago, Terraza / solárium, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Centro de negocios, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Ropa de cama, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Mesa de comedor, Traslado aeropuerto, Vistas a un patio interior, Armario, Suelo de moqueta, WC, Vino / champán, Artículos de aseo gratis, Fax / fotocopiadora, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Vistas, Entrada privada, Ventilador, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Servicio de planchado, Zona de comedor, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Alquiler de bicicletas, TV, Cámaras de seguridad fuera del alojamiento, Snack-bar, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Baño privado, Patio, Aire acondicionado, Vestidor, Servicio de streaming (como Netflix), Adaptado para sillas de ruedas, Ducha, Ciclismo, Canales vía satélite, Zona de juegos interior, Menús para dietas especiales (bajo petición), Cambio de moneda, Llave de acceso, Servicio de despertador, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Alquiler de coches, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Información turística, Restaurante, Zona de pícnic, Recepción 24 horas, Suelo de baldosa / mármol, Servicio de despertador / alarma, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/333369081.jpg?k=85dc94092dc9e9c5b38e9e2e46d958864239e2ac9f352bb08bffdaf32e1e7ff6&o=&hp=1,Rioja,Perú
Hospedaje Miraflores,https://www.booking.com/hotel/pe/hospedaje-miraflores-moyobamba.es.html?aid=2410095,"Hospedaje Miraflores se encuentra en Moyobamba, a 3,1 km de Estadio IPD de Moyobamba y a 44 km de Estadio IPD de Nueva Cajamarca. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis. Hay vistas a la ciudad.

Las habitaciones de este alojamiento incluyen zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y ducha.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 118 km del alojamiento.","Vistas al jardín, Parking gratis, Aseo adicional, Bañera o ducha, Vistas a un patio interior, Zona de estar, Papel higiénico, Mobiliario exterior, WiFi gratis, TV, WC, Canales por cable, Proporciona factura, Canales de pago, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Servicio de streaming (como Netflix), Recepción 24 horas, Suelo de baldosa / mármol, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/477489982.jpg?k=7d6f65285c7821d4511cfe3296b52ad3a3b1be55a202fe8dc13b9636e65d8f68&o=&hp=1,Rioja,Perú
Hospedaje callao,https://www.booking.com/hotel/pe/hospedaje-callao.es.html?aid=2410095,"Hospedaje callao, que se encuentra a 2,1 km de Estadio IPD de Moyobamba y a 44 km de Estadio IPD de Nueva Cajamarca, ofrece habitaciones en Moyobamba. El alojamiento ofrece recepción 24 horas, servicio de traslado, mostrador de información turística y wifi gratis en todo el alojamiento.

En el hostal o pensión, todas las habitaciones disponen de armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 117 km.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Servicio de limpieza diario, Armario, Papel higiénico, WiFi gratis, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Información turística, Toallas, Fax / fotocopiadora, Español, Baño privado, Habitaciones sin humo, Vistas, Extintores, Supermercado pequeño en el alojamiento, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426063853.jpg?k=93a0a3f24a31b2eed6995d11ce502f2995a319abcb62225f5477379841fc65b3&o=&hp=1,Rioja,Perú
Hospedaje EDUCOL,https://www.booking.com/hotel/pe/hospedaje-almir.es.html?aid=2410095,"Hospedaje EDUCOL dispone de vistas a la ciudad, wifi gratis y parking privado gratis. Se encuentra en Moyobamba, a 2,2 km de Estadio IPD de Moyobamba.

Todas las unidades cuentan con TV de pantalla plana y cocina totalmente equipada con nevera, lavavajillas y cafetera. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

También hay un jardín ideal para relajarse.

Estadio IPD de Nueva Cajamarca está a 44 km del alojamiento. El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 118 km del alojamiento.","Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Vistas al jardín, Zona de cocina, Zona de comedor, Parking gratis, Italiano, Aseo adicional, Tours en bici, Perchero, Bañera o ducha, Seguridad 24 horas, Wifi rápida gratis (74 Mbps), Papel higiénico, Utensilios de cocina, Apartamento privado en edificio, TV, Lavavajillas, Inglés, Nevera, Toallas / sábanas (por un suplemento), Acceso a pisos superiores solo mediante escaleras, Toallas, Jardín, Artículos de aseo gratis, Independiente, Sofá, Vistas a la montaña, Productos de limpieza, Bañera de hidromasaje / jacuzzi, Bañera, Español, Aire acondicionado, Patio, Vistas a la ciudad, Chimenea, Habitaciones sin humo, Enchufe cerca de la cama, Vistas, Cocina, Tendedero, Francés, TV de pantalla plana, Entrada privada, Lavadora, Tetera / cafetera, Ducha, Ventilador, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528916872.jpg?k=19b7beb8b8a7f1526e4cb7ebc96fb875ebdb66dc8120d5f6028338461b738708&o=&hp=1,Rioja,Perú
ALOJAMIENTO-EDUCOL,https://www.booking.com/hotel/pe/alojamiento-educol.es.html?aid=2410095,"ALOJAMIENTO-EDUCOL está a 2,2 km de Estadio IPD de Moyobamba y ofrece alojamiento con wifi gratis y parking privado gratis.

Estadio IPD de Nueva Cajamarca está a 44 km del alojamiento. El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 118 km.","Prohibido fumar en todo el alojamiento, Japonés, Catalán, Parking gratis, Italiano, Ruso, Wifi rápida gratis (74 Mbps), Inglés, Turco, Alemán, Eslovaco, Polaco, Portugués, Rumano, Piscina privada, Coreano, Árabe, Griego, Español, Aire acondicionado, Baño privado, Francés, TV de pantalla plana, Letón, Chino, Lavadora, Checo, Ucraniano, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583766822.jpg?k=7eb350249b6508953e0947a693573e18a9f3c8226c9294c29bd5ae85cf486e5b&o=&hp=1,Rioja,Perú
Selva Mayo,https://www.booking.com/hotel/pe/selva-mayo-moyobamba.es.html?aid=2410095,"Selva Mayo se encuentra en Moyobamba, en la región de San Martín, y ofrece alojamiento con parking privado gratis.

Hay una terraza von vistas a la ciudad, cocina totalmente equipada y baño privado con ducha en todas las unidades.

También hay un jardín ideal para relajarse.

Estadio IPD de Moyobamba está a 5 km del alojamiento, y Estadio IPD de Nueva Cajamarca está a 43 km. El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 118 km.","Mesa de comedor, Vistas al jardín, Zona de cocina, Desayuno, Zona de comedor, Parking gratis, Perchero, Terraza, Bañera o ducha, Vistas a un patio interior, Papel higiénico, Mosquitera, Vistas a un lugar de interés, WC, Toallas, Jardín, Artículos de aseo gratis, Vistas a la montaña, Productos de limpieza, Español, Baño privado, Patio, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Vistas al lago, Cocina, Tendedero, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/380536395.jpg?k=d451e90b48c0947d83ac3e2826bf33637a22fdc86f46e164b5bdc7370214122b&o=&hp=1,Rioja,Perú
