hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Wingham House,US$213,"8,8",Fabuloso,20,https://cf.bstatic.com/xdata/images/hotel/max1024x768/372920772.webp?k=a37c5efd0196a545423be532906583ae01ddeef34c4ce7a10f554f0a688146ae&o=,https://www.booking.com/hotel/au/wingham-house.es.html?aid=2410095,"Parking gratis, Desayuno, Habitaciones sin humo, Aire acondicionado, Chimenea exterior, Prohibido fumar en todo el alojamiento, Inglés, Wifi buena gratis (44 Mbps), Baño privado, Juegos de mesa / puzles, Jardín, Calefacción, Habitaciones familiares, Terraza / solárium, Proporciona factura, Mobiliario exterior",Taree,Australia,"Wingham House se encuentra a 43 km de Puerto deportivo de Manning Point y ofrece alojamiento con wifi gratis y parking privado gratis.

Algunas unidades disponen de TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y baño privado con ducha y artículos de aseo gratuitos.

El bed and breakfast dispone de jardín y terraza solárium.

Puerto deportivo de Forster está a 48 km del alojamiento. El aeropuerto (Aeropuerto de Taree) está a 17 km."
Harrington River Lodge,US$165,"8,6",Fabuloso,1.710,https://cf.bstatic.com/xdata/images/hotel/max1024x768/206382915.webp?k=d383341514bd30312337f6b35ea9e38110303af8704b87771c38ec1103620be2&o=,https://www.booking.com/hotel/au/styles-harrington.es.html?aid=2410095,"Billar, Toallas, Habitaciones insonorizadas, Menú para niños, Cajero automático en el hotel, Baño privado, Plancha para ropa, Bañera o ducha, Artículos de aseo gratis, Albornoz, Fax / fotocopiadora, Bar, Zona de fumadores, Ropa de cama, Calefacción, Ducha, Piscina con vistas, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Juegos de mesa / puzles, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Pesca, Música / espectáculos en directo, Eventos deportivos en directo (emisión), Parking gratis, Cenas temáticas, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Playa, Parking en la calle, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Zona poco profunda, Para todas las edades, Happy hour, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Piscina de agua salada, Secador de pelo, Campo de golf (a menos de 3 km), Jardín, Habitaciones familiares, Alarma de seguridad, Suelo de moqueta, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Taree,Australia,"El Harrington River Lodge, de 4 estrellas, está situado en un terreno ajardinado y ofrece algunas habitaciones con balcón o patio privado y TV de pantalla plana.El establecimiento cuenta con una piscina al aire libre y un pub.

El Harrington River Lodge está situado junto al pintoresco río Manning, a 30 km de Taree. El aeropuerto de Taree se halla a 7,3 km y el aeropuerto de Port Macquarie, a 67 km.

Las habitaciones son elegantes, están decoradas en tonos neutros y cuentan con zona de estar al aire libre y reproductor de DVD. Algunas habitaciones tienen bañera de hidromasaje y todas disponen de baño amplio con bañera.

Los huéspedes podrán pasar la tarde en la biblioteca o pescar en el río cercano. También hay un cajero automático.

También se ofrecen desayunos occidentales."
Palms Oasis Motel,US$100,"6,6",Puntuación,229,https://cf.bstatic.com/xdata/images/hotel/max1024x768/6901847.webp?k=b12b8cd79ab7a7d3fc436731029a7828408f73c2d486f5ae09e7e9b18cc54ca9&o=,https://www.booking.com/hotel/au/palms-oasis-motel.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Habitaciones comunicadas disponibles, Baño privado, Desayuno en la habitación, Fax / fotocopiadora, Zona de cocina, Ducha, Reproductor de DVD, Servicio de lavandería, Chino, Tostadora, Aire acondicionado, TV de pantalla plana, Microondas, Zona de comedor, Barbacoa, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Hervidor eléctrico, WC, Vistas al jardín, Nevera, Tetera / cafetera, Jardín, Habitaciones familiares, Recepción 24 horas, Zona de estar",Taree,Australia,"El Palms Oasis Motel Coopernook está ubicado en 2,5 hectáreas de jardines preciosos y árboles antiguos, a menos de 1 minuto en coche de la autopista del Pacífico, y cuenta con 16 alojamientos situados en la planta baja con aparcamiento en la puerta principal.

Todas las habitaciones están equipadas con sistema de calefacción y aire acondicionado silencioso y eficiente. Todas cuentan con conexión Wi-Fi gratuita, TV digital y reproductor de DVD.

El Palms Oasis Motel está a solo 8 minutos en coche de Harrington Waters, a solo 12 minutos de Taree y a solo 3 horas y media en coche de Sydney. Si viaja más hacia el norte, llegará a Port Macquarie en 35 minutos.

Coopernook es una pequeña ciudad dormitorio con un gran número de edificios declarados patrimonio histórico. Este destino es ideal tanto para una parada rápida justo al lado de la carretera como para unas vacaciones largas para explorar el valle de Manning."
Harrington Marina,US$210,"9,8",Excepcional,6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/530667873.webp?k=c9edcb7b6d385b032c81e5d7bba122e23be7146397940e65573228747d36e5df&o=,https://www.booking.com/hotel/au/harrington-maina.es.html?aid=2410095,"Parking gratis, Aire acondicionado, Prohibido fumar en todo el alojamiento, Inglés, Piscina, Baño privado, WiFi gratis, Cocina, TV de pantalla plana, Lavadora",Taree,Australia,"Harrington Marina se encuentra a 10 km de Crowdy Head Boat Harbour y ofrece alojamiento con wifi gratis y parking privado gratis.

Todas las unidades tienen aire acondicionado y disponen de baño privado, TV de pantalla plana y cocina totalmente equipada.

Dunbogan Boatshed and Marina está a 47 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Taree) está a 27 km."
Highway Motor Inn Taree,US$85,"8,3",Muy bien,810,https://cf.bstatic.com/xdata/images/hotel/max1024x768/421522324.webp?k=5b5c7665450ad010732885b4e5b593cc45c1cf108d6c1de8a058f33124e72948&o=,https://www.booking.com/hotel/au/highway-motor-inn-taree.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Plancha para ropa, Baño privado, Desayuno en la habitación, Perchero, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Toda la unidad en la planta baja, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de despertador / alarma, Chino, Productos de limpieza, Tostadora, Suelo de madera o parquet, Aire acondicionado, Mosquitera, TV de pantalla plana, Microondas, Radio, Barbacoa, Parking gratis, Habitaciones sin humo, Parking en la calle, Canales vía satélite, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Máquina expendedora (bebidas), Registro de entrada y salida exprés, Escritorio, Detectores de humo, Insonorización, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Teléfono, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Zona de pícnic, Suelo de moqueta, Mobiliario exterior, Zona de estar",Taree,Australia,"El Highway Motor Inn, situado a 15 minutos a pie del centro de Taree, ofrece habitaciones en la planta baja con conexión WiFi gratuita y TV de pantalla plana con canales por cable.

Todas las habitaciones disponen de aire acondicionado, calefacción y baño privado con secador de pelo. Están equipadas con microondas, tostadora, nevera y set de té y café.

El desayuno se puede servir en la habitación. El establecimiento también cuenta con zona de barbacoa y aparcamiento amplio para coches, caravanas, caravanas y camiones.

El Highway Motor Inn Taree se encuentra a 6 minutos en coche de la estación de tren de Taree. La autopista del Pacífico está a 10 minutos en coche. A 5 minutos a pie hay varios sitios para comer."
Marco Polo Motor Inn Taree,US$97,"8,3",Muy bien,567,https://cf.bstatic.com/xdata/images/hotel/max1024x768/463229304.webp?k=3b3dcf13f858883f1b7e37fefa4bc4d2babb6bfcc12c2b11c004c22f2cd6712e&o=,https://www.booking.com/hotel/au/comfort-inn-marco-polo.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Guyaratí, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Zona de fumadores, Toallas de playa/piscina, Sombrillas, Centro de negocios, Habitaciones sin humo, Parking en la calle, Cafetera, Servicio de limpieza diario, Utensilios de planchado, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Secador de pelo, Alarma de seguridad, Zona de pícnic, Valla alrededor de la piscina, Prohibido fumar en todo el alojamiento, Cámaras de seguridad fuera del alojamiento, Hindi, Tostadora, Aire acondicionado, Horario de apertura, Microondas, Canales vía satélite, Escritorio, Insonorización, Nevera, Extintores, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Tumbonas/sillas de playa, Perchero, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Zona de cocina, Calefacción, Ropa de cama, TV de pantalla plana, Barbacoa, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Piscina de agua salada, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Parking adaptado para personas de movilidad reducida, WC elevado, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Llave de acceso, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Radio, Parking gratis, Boles para mascotas, Inglés, De temporada, Para todas las edades, Registro de entrada y salida exprés, Piscina al aire libre, Jardín, Suelo de moqueta, Zona de estar",Taree,Australia,"El Marco Polo Motor Inn Taree se encuentra a solo 50 metros del hermoso río Manning y ofrece alojamientos con aire acondicionado de ciclo inverso, set de té y café y microondas. El establecimiento cuenta con piscina de agua salada y zona de barbacoa.

El Marco Polo Motor Inn Taree está a solo 5 minutos en coche del aeropuerto de Taree y a 15 minutos en coche de la playa de Old Bar. Las famosas cataratas de Ellenborough están a 30 minutos en coche.

Las habitaciones están decoradas al estilo tradicional y la mayoría cuenta con ladrillos a la vista. Todas tienen minibar, escritorio y artículos de aseo.

Los huéspedes pueden relajarse en los hermosos jardines, que cuentan con zona de estar al aire libre junto al río y zona de barbacoa.

La sala de desayunos ofrece un menú de desayuno informal con productos locales. A 5 minutos a pie hay varios restaurantes."
Caravilla Motor Inn,US$76,"8,2",Muy bien,783,https://cf.bstatic.com/xdata/images/hotel/max1024x768/6335873.webp?k=8a5fa32ec7603795a8893375a16b0bd0eae323d18283926fee0e8b8e4f73993c&o=,https://www.booking.com/hotel/au/best-western-caravilla-motor-inn.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Menú para niños, Plancha para ropa, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ducha, Servicio de lavandería, Tostadora, Aire acondicionado, TV de pantalla plana, Microondas, Pesca, Servicio de streaming (como Netflix), Barbacoa, Parking gratis, Habitaciones sin humo, Parking en la calle, Vino / champán, Canales vía satélite, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Detectores de humo, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Extintores, Piscina al aire libre, Entrada privada, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Zona de pícnic, Proporciona factura, Mobiliario exterior, Zona de estar",Taree,Australia,"El Caravilla Motor Inn ofrece conexión WiFi gratuita, piscina al aire libre y habitaciones cómodas con TV de pantalla plana grande con canales vía satélite. Hay aparcamiento gratuito.

El Caravilla Motor Inn Taree se encuentra a 10 minutos a pie. Centro de Taree. El aeropuerto de Taree está a 5 minutos en coche, mientras que las cataratas Ellenborough quedan a 1 hora en coche.

Las habitaciones están reformadas y disponen de aire acondicionado, nevera y set de té/café. Además, incluyen utensilios de planchado y baño privado con secador de pelo."
Alabaster Motor Inn,US$88,"7,7",Bien,822,https://cf.bstatic.com/xdata/images/hotel/max1024x768/200529928.webp?k=3e011b15e79b761e78553ef9e31c942d4707426175c0fce466aba33c1d1493ea&o=,https://www.booking.com/hotel/au/alabaster-motor-inn.es.html?aid=2410095,"Vistas a la piscina, Tetera/cafetera en todas las habitaciones, Toallas, Suelo de moqueta, Plancha para ropa, Baño privado, Perchero, Artículos de aseo gratis, Fax / fotocopiadora, Zona de fumadores, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Llave de acceso, Aire acondicionado, Estación de carga de vehículos eléctricos, Abierta todo el año, TV de pantalla plana, Registro de entrada / salida privado, Microondas, Camas extralargas (más de 2 metros), Radio, Barbacoa, Parking gratis, Valla alrededor de la piscina, Habitaciones sin humo, Parking en la calle, Canales vía satélite, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Zona poco profunda, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Insonorización, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Piscina de agua salada, Teléfono, Habitaciones familiares, Zona de pícnic, Proporciona factura, Mobiliario exterior",Taree,Australia,"El Alabaster Motor Inn ofrece piscina al aire libre, conexión WiFi gratuita y habitaciones con TV por cable, calefacción y aire acondicionado.

Todas las habitaciones del Alabaster Inn incluyen set de té/café, utensilios de planchado y baño privado con secador de pelo. Todas las habitaciones cuentan con microondas y tostadora.

Hay servicio de habitaciones y zona de barbacoa.

El Alabaster Lodge Motor Inn se encuentra a solo 2 km del centro de Taree. La playa de Old Bar está a 20 minutos en coche del motel."
Taree Country Motel,US$79,"8,9",Fabuloso,672,https://cf.bstatic.com/xdata/images/hotel/max1024x768/268397934.webp?k=3c887496ab015725e8cc24c21e7d36772e6c3b721ae6171625c3644d93f3b429&o=,https://www.booking.com/hotel/au/taree-country-motel.es.html?aid=2410095,"Guardaequipaje, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Senderismo, Plancha para ropa, Baño privado, Piragüismo, Fax / fotocopiadora, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ducha, Servicio de lavandería, Tostadora, Llave de acceso, Aire acondicionado, Abierta todo el año, Máquina expendedora (aperitivos), TV de pantalla plana, Microondas, Pesca, Barbacoa, Parking gratis, Valla alrededor de la piscina, Ciclismo, Habitaciones sin humo, Playa, Parking en la calle, Vino / champán, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Zona poco profunda, Máquina expendedora (bebidas), Detectores de humo, Armario, Hervidor eléctrico, WC, Nevera, TV, Extintores, Piscina al aire libre, Piscina de agua salada, Secador de pelo, Juguetes para la piscina, Campo de golf (a menos de 3 km), Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Zona de pícnic, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Taree,Australia,"El Taree Country Motel se encuentra a 2 minutos en coche del centro de la ciudad y el río Manning. El establecimiento dispone de piscina exterior de temporada, zona de barbacoa y aparcamiento gratuito.

Todas las habitaciones cuentan con aire acondicionado, nevera pequeña, hervidor de agua, set de té/café, tostadora, microondas, plancha, secador de pelo y TV.

El motel está a 5 minutos en coche de varios restaurantes y locales de comida para llevar. También es posible pedir comidas y recibirlas en la habitación.

El Motel Taree Country se encuentra a 10 minutos en coche del Taree RSL & Golf Club, la estación de tren de Taree y el aeropuerto de Taree. La playa Old Bar se sitúa a 15 minutos en coche.

El establecimiento proporciona aparcamiento fuera de la calle para coches, caravanas y vehículos pesados."
Midlands Motel,US$94,"8,0",Muy bien,350,https://cf.bstatic.com/xdata/images/hotel/max1024x768/325482070.webp?k=e58834b8dc652edb47b7e1c9f860c267e22c59045812a858ece37f7a9dce2735&o=,https://www.booking.com/hotel/au/midlands-motel.es.html?aid=2410095,"Guardaequipaje, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Fax / fotocopiadora, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Servicio de lavandería, Aire acondicionado, Abierta todo el año, Sombrillas, Traslado aeropuerto, Registro de entrada / salida privado, Terraza / solárium, Barbacoa, Parking gratis, Valla alrededor de la piscina, Habitaciones sin humo, Traslado aeropuerto (gratis), Inglés, WiFi gratis, Zona poco profunda, Para todas las edades, Detectores de humo, Extintores, Piscina al aire libre, Piscina de agua salada, Campo de golf (a menos de 3 km), Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Alarma de seguridad, Gimnasio, Zona de pícnic, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Taree,Australia,"El Midlands Motel, situado a orillas del río Manning, ofrece habitaciones de estilo individual con conexión WiFi gratuita, microondas, nevera, TV vía satélite y reproductor de DVD. También consta de una piscina al aire libre.

El Midlands Motel Taree cuenta con suites executive con balcón privado y apartamentos independientes con cocina completa. También se proporcionan TVs de pantalla plana y aparcamiento gratuito.

Los huéspedes podrán acceder directamente a la zona de parque a orillas del río desde la parte trasera del establecimiento. Se facilitan servicios de lavandería y el desayuno se puede servir en la habitación a diario.

El Midlands Motel se encuentra a 3 minutos a pie de numerosos restaurantes locales, y a entre 15 y 30 minutos en coche de las playas de Harrington, Old Bar y Crowdy Head. El establecimiento se sitúa además a 7,4 km de la salida norte de la autopista y a 4,8 km de la salida sur."
All Seasons Country Lodge,US$82,"7,0",Bien,795,https://cf.bstatic.com/xdata/images/hotel/max1024x768/121372223.webp?k=e9e268f1e2b87e49e684712432b6894b119566f6f453ec1b625629aa4c2feff8&o=,https://www.booking.com/hotel/au/all-seasons-country-lodge.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Servicio de despertador, Habitaciones insonorizadas, Suelo de moqueta, Servicio de conserjería, Plancha para ropa, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ducha, Servicio de lavandería, Reloj despertador, Aire acondicionado, Registro de entrada / salida privado, Microondas, Radio, Barbacoa, Parking gratis, Habitaciones sin humo, Canales vía satélite, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Hervidor eléctrico, WC, Nevera, Extintores, Secador de pelo, Campo de golf (a menos de 3 km), Jardín, Teléfono, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Zona de pícnic, Proporciona factura, Mobiliario exterior",Taree,Australia,"El All Seasons Country Lodge está situado a solo 7 minutos en coche de la playa de Old Bar y cuenta con una piscina al aire libre y una zona de barbacoa rodeada de jardines preciosos. Incluye conexión Wi-Fi gratuita y TV vía satélite.

Todas las habitaciones disponen de aire acondicionado, microondas, nevera, hervidor de agua y tetera/cafetera. También incluyen escritorio y TV de pantalla plana.

El All Seasons Country Lodge Taree se encuentra a 5 minutos en coche de la estación de tren de Taree y a 10 minutos en coche del centro de ocio Manning. El aeropuerto de Taree y la playa de Wallabi Point están a 25 minutos en coche.

También hay una zona de barbacoa. El establecimiento también ofrece aparcamiento gratuito para coches, barcos y camiones."
Taree Motor Inn,US$89,"6,7",Puntuación,928,https://cf.bstatic.com/xdata/images/hotel/max1024x768/264689747.webp?k=ecc6885eda1b813a5d400cfa399daf5d3ac5c657d99f375dfd3fa54adfc8ad7e&o=,https://www.booking.com/hotel/au/best-western-taree-motor-inn.es.html?aid=2410095,"Guardaequipaje, Tetera/cafetera en todas las habitaciones, Toallas, Plancha para ropa, Baño privado, Desayuno en la habitación, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de despertador / alarma, Reloj despertador, Aseo adicional, Tostadora, Llave de acceso, Aire acondicionado, Abierta todo el año, TV de pantalla plana, Terraza, Registro de entrada / salida privado, Microondas, Radio, Parking gratis, Valla alrededor de la piscina, Habitaciones sin humo, Canales vía satélite, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Zona poco profunda, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Entrada privada, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Jardín, Teléfono, Cámaras de seguridad en las zonas comunitarias, Piscina de agua salada, Habitaciones familiares, Caja fuerte, Suelo de moqueta, Mobiliario exterior, Zona de estar",Taree,Australia,"El Taree Motor Inn está situado en Taree y ofrece conexión WiFi gratuita y vistas al río Manning. Hay aparcamiento privado gratuito.

Las habitaciones disponen de TV de pantalla plana con canales por cable. Algunos alojamientos tienen zona de estar. Las habitaciones disponen de hervidor de agua. Todas las habitaciones incluyen baño privado.

Se ofrece servicio de habitaciones para el desayuno todos los días de la semana.

Forster se encuentra a 31 km del Taree Motor Inn y Harrington, a 22 km."
Country Plaza Motel Taree,US$84,"7,6",Bien,700,https://cf.bstatic.com/xdata/images/hotel/max1024x768/354866993.webp?k=490ac9bd22e37b721789fa23fa98fac402f81485b4176ba6a30cf4b4539c3f91&o=,https://www.booking.com/hotel/au/comfort-inn-country-plaza-taree.es.html?aid=2410095,"Snack-bar, Tetera/cafetera en todas las habitaciones, Tumbonas/sillas de playa, Suelo de moqueta, Plancha para ropa, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Taquillas, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Solo para adultos, Ducha, Reproductor de DVD, Servicio de lavandería, Llave de acceso, Aire acondicionado, Abierta todo el año, Sombrillas, TV de pantalla plana, Microondas, Barbacoa, Parking gratis, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Zona de juegos para niños, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Zona poco profunda, Escritorio, Detectores de humo, Hervidor eléctrico, WC, Nevera, Extintores, Piscina al aire libre, Piscina de agua salada, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Sofá, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Caja fuerte, Zona de pícnic, Proporciona factura, Mobiliario exterior",Taree,Australia,"El Comfort Inn Country Plaza Motel Taree se encuentra a solo 3 minutos a pie del río Manning y cuenta con piscina al aire libre y sauna. TV LCD de pantalla plana y reproductor de DVD.

El Country Plaza Motel Taree se encuentra a 5 minutos en coche del aeropuerto de Taree y del centro de ocio Manning. La playa de Old Bar se encuentra a 10 minutos en coche.

Todas las habitaciones tienen aire acondicionado, microondas, botella de agua, utensilios de planchado y set de té y café. El baño es privado e incluye secador de pelo y artículos de aseo.

También hay zona de barbacoa. El establecimiento también cuenta con parque infantil y lavandería. Hay aparcamiento gratuito."
Crescent Motel Taree,US$89,"8,5",Muy bien,1.347,https://cf.bstatic.com/xdata/images/hotel/max1024x768/138832879.webp?k=1ffd70859c9b0c0ca9ff532c6b2f1705aafd739f3b216528e6fb245ca9305aa4&o=,https://www.booking.com/hotel/au/crescent-motel.es.html?aid=2410095,"Guardaequipaje, Tumbonas/sillas de playa, Senderismo, Servicio de habitaciones, Desayuno en la habitación, Fax / fotocopiadora, Servicio de entrega de comestibles, Zona de fumadores, Calefacción, Servicio de lavandería, Portugués, Llave de acceso, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Sombrillas, Terraza, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Pesca, Horario de apertura, Terraza / solárium, Muy buen desayuno, Barbacoa, Parking gratis, Piscina pequeña, Español, Valla alrededor de la piscina, Ciclismo, Habitaciones sin humo, Parking en la calle, Menús para dietas especiales (bajo petición), Inglés, Francés, Italiano, WiFi gratis, Servicio de limpieza diario, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Para todas las edades, Registro de entrada y salida exprés, Detectores de humo, Extintores, Piscina al aire libre, Piscina de agua salada, Campo de golf (a menos de 3 km), Jardín, Habitaciones familiares, Zona de pícnic, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Fruta",Taree,Australia,"El Crescent Motel se encuentra a solo 5 minutos a pie del río Manning y cuenta con piscina al aire libre y zona de barbacoa con mesas al aire libre. Ofrece habitaciones con aire acondicionado y TV por cable de pantalla plana. Además, los huéspedes podrán disfrutar de 500 MB de conexión WiFi gratuita al día.

El Crescent Motel Taree está a 5 minutos en coche de la estación de trenes de Taree y a 5 km del aeropuerto de Taree.

Las habitaciones están equipadas con microondas, nevera y set de té y café. Todas ellas ofrecen utensilios de planchado y baño con ducha, secador de pelo y artículos de aseo gratuitos.

Asimismo, se proporciona servicio de habitaciones y se sirve un desayuno continental."
Riverside vintage home,US$60,10,Excepcional,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/532531122.webp?k=69f3115cba009ffddfd40bafba6a45cb94ac44818f5f2eec3a6751437906b1c9&o=,https://www.booking.com/hotel/au/riverside-vintage-home.es.html?aid=2410095,"Parking gratis, Chino, Baño compartido, Aire acondicionado, Prohibido fumar en todo el alojamiento, Inglés, Jardín, WiFi gratis, Terraza",Taree,Australia,"Riverside vintage home se encuentra en Taree, a 33 km de Puerto deportivo de Manning Point y a 38 km de Crowdy Head Boat Harbour. Ofrece alojamiento con wifi gratis y acceso a un jardín con terraza.

Puerto deportivo de Forster está a 38 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Taree) está a 7 km del alojamiento."
In Town Motor Inn,US$118,"8,5",Muy bien,338,https://cf.bstatic.com/xdata/images/hotel/max1024x768/62699292.webp?k=ad4f400cc19fef24a8e47266e246e361a3630cd0d81bf3e78acdd51221b892cc&o=,https://www.booking.com/hotel/au/in-town-motor-inn-taree-nsw.es.html?aid=2410095,"Guardaequipaje, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Perchero, Desayuno en la habitación, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Servicio de despertador / alarma, Ducha, Zona de fumadores, Calefacción, Servicio de lavandería, Reloj despertador, Aseo adicional, Patio, Tostadora, Llave de acceso, Aire acondicionado, Estación de carga de vehículos eléctricos, Microondas, Zona de comedor, Radio, Parking gratis, Habitaciones sin humo, Vistas a un patio interior, Canales vía satélite, Inglés, WiFi gratis, Balcón, Servicio de limpieza diario, Utensilios de planchado, Parking adaptado para personas de movilidad reducida, Información turística, Cama plegable, Minibar, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Entrada privada, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Habitaciones familiares, Suelo de moqueta, Mobiliario exterior, Zona de estar",Taree,Australia,"El In Town Motor Inn está situado en el centro de Taree y ofrece habitaciones con aire acondicionado y TV por cable gratuita. Hay conexión Wi-Fi gratuita.  Los huéspedes pueden cargar sus comidas en algunos restaurantes locales a su habitación.

Las habitaciones del In Town Motor Inn Taree son amplias y disponen de baño privado, escritorio, calefacción y nevera. Algunas habitaciones tienen zona de cocina con microondas.

Los huéspedes tienen acceso a una lavandería que funciona con monedas. El aeropuerto de Taree está a solo 5 km. El centro de ocio Manning está a 10 minutos en coche."
