hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Cinco Monteria,https://www.booking.com/hotel/co/cinco.es.html?aid=2410095,"El Hotel Cinco Monteria está situado en Montería y alberga un restaurante y una terraza en la azotea con una bañera de hidromasaje. Sirve un desayuno americano gratuito a diario y cuenta con conexión WiFi y aparcamiento privado gratuitos.

Todas las habitaciones tienen vistas a la ciudad y disponen de TV por cable, aire acondicionado, ropa de cama y baño privado con secador de pelo y artículos de aseo gratuitos.

El Hotel Cinco Monteria cuenta con recepción abierta las 24 horas, zona de barbacoa, bar, instalaciones para reuniones, servicio de planchado y servicio de lavandería.

El establecimiento se encuentra a 5 minutos en coche del centro comercial Alameda y del centro de Montería. La playa de Coveñas está a 90 km, mientras que el aeropuerto Los Garzones se halla a tan solo 12 km del hotel.","Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Teléfono, Habitaciones sin humo, Parking en la calle, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Acceso a pisos superiores en ascensor, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Servicio de aparcacoches, Tarjeta de acceso, Aseo adicional, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/141336711.jpg?k=83d1714943fa720c7b35c504aa0708f4f936c20f254101f5b67ae26cd16cbdec&o=&hp=1,Montería,Colombia
Riviera Central Hotel,https://www.booking.com/hotel/co/riviera-central-monteria2.es.html?aid=2410095,"Riviera Central Hotel ofrece habitaciones con aire acondicionado en Montería. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

En el hotel, todas las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Los Garzones) está a 11 km.","Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Canales de pago, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Perchero, Cámaras de seguridad en las zonas comunitarias, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Plancha para ropa, Canales por cable, WC, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520400580.jpg?k=5a32bee12bf597688ee5a73d25bd179a52ee7134c3b43ab3ae1a2b7a37996187&o=&hp=1,Montería,Colombia
Hotel Sexta Avenida Inn,https://www.booking.com/hotel/co/sexta-avenida-inn.es.html?aid=2410095,"Hotel Sexta Avenida Inn ofrece alojamiento en Montería. Este hotel de 4 estrellas ofrece centro de fitness y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. En el restaurante que hay en el propio alojamiento se sirve cocina americana, cocina cajún criolla, cocina caribeña y carnes.

Todas las unidades de este alojamiento incluyen TV de pantalla plana con canales por cable y caja fuerte. Algunas de las habitaciones disponen de cocina con lavavajillas, microondas y fogones. En el hotel, todas las habitaciones disponen de ropa de cama y toallas.

Hotel Sexta Avenida Inn ofrece desayuno buffet o americano.

El alojamiento cuenta con recepción 24 horas, salón de uso común y centro de negocios.

El aeropuerto (Aeropuerto de Los Garzones) está a 9 km.","Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Almuerzos para llevar, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baños públicos, Recepción 24 horas, Baño privado, Centro de negocios, Extintores, Hipoalergénico, TV, Aire acondicionado, Armario, Vino / champán, Menú para niños, Tetera / cafetera, Snack-bar, Toda la unidad accesible en silla de ruedas, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Desayuno fabuloso, Ropa de cama, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Barbacoa, Canales por cable, Habitaciones insonorizadas, Gimnasio, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Salas de reuniones / banquetes, WC, Tetera/cafetera en todas las habitaciones, Insonorización, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Nevera, Minibar, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/386155377.jpg?k=5e466cc8563bc8e49d9642ffad258868224d4706308c527c36660dcd87bc3b3b&o=&hp=1,Montería,Colombia
Hotel Centro Monteria,https://www.booking.com/hotel/co/centro-monteria-monteria.es.html?aid=2410095,"El Hotel Centro Montería se encuentra en Montería y alberga un restaurante y una terraza. Este hotel de 3 estrellas cuenta con recepción 24 horas. El hotel dispone de habitaciones familiares.

Las habitaciones del hotel están equipadas con TV de pantalla plana con canales por cable. Las habitaciones disponen de baño privado con secador de pelo y artículos de aseo gratuitos.


El aeropuerto más cercano es el de Los Garzones, ubicado a 9 km del Hotel Centro Montería.","Secador de pelo, Terraza, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Extintores, Hipoalergénico, TV, Aire acondicionado, Perchero, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Entrada privada, Desayuno fabuloso, Ropa de cama, Boles para mascotas, WiFi gratis, Ducha, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Proporciona factura, Cesta para mascotas, Zona de fumadores, Mobiliario exterior, Productos de limpieza, Canales por cable, Tarjeta de acceso, Aseo adicional, Llave de acceso, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/297585609.jpg?k=3072cf1ce404839af621a3e020d77ccedddf53af5b6ef6b4adf339c3ed6e8848&o=&hp=1,Montería,Colombia
Hotel La Casa N. 3,https://www.booking.com/hotel/co/la-casa-n-3.es.html?aid=2410095,"El Hotel La Casa N. 3 ofrece un desayuno americano diario gratis, un restaurante de cocina regional y conexión WiFi gratuita en todas las instalaciones. Hay recepción 24 horas.

Las habitaciones cuentan con aire acondicionado, TV de pantalla plana, escritorio y ropa de cama. Incluyen baño privado con ducha, artículos de aseo gratuitos y toallas limpias.

El Hotel La Casa N. 3 tiene un mostrador de información turística ideal para organizar excursiones por la zona o las localidades cercanas. El centro comercial Alamedas Del Sinu se encuentra a solo 5 minutos en coche y la catedral de Montería, a menos de 10 minutos en coche.

El aeropuerto Los Garzones queda a 15 km.","Prohibido fumar en todo el alojamiento, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Aire acondicionado, TV, Información turística, Parking gratis, Registro de entrada / salida privado, Desayuno fabuloso, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Ascensor, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/396627913.jpg?k=66990de0ca664e2f9ccdcd6424dafd57496d1031dea148fe89dd9c962ab513f5&o=&hp=1,Montería,Colombia
Stanza Hotel Monteria,https://www.booking.com/hotel/co/stanza-hoteles.es.html?aid=2410095,"Stanza Hotel Monteria está en Montería y tiene jardín, terraza y wifi gratis en todo el alojamiento. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

El aeropuerto (Aeropuerto de Los Garzones) está a 9 km.","Terraza, Parking adaptado para personas de movilidad reducida, Habitaciones sin humo, Recepción 24 horas, Inglés, Jardín, Extintores, Aire acondicionado, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Fruta, WiFi gratis, Servicio de habitaciones, Mobiliario exterior, Guardaequipaje, Cámaras de seguridad fuera del alojamiento, Plancha para pantalones, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546341485.jpg?k=f129e90ceb1338298567129fe99e440c326aef52888c944c99c9dbbb86a237b6&o=&hp=1,Montería,Colombia
Hotel Sabana del Sinu By GEH Suites,https://www.booking.com/hotel/co/sabana-del-sinu-monteria.es.html?aid=2410095,"El Hotel Sabana del Sinu By GEH Suites se encuentra en Montería y ofrece WiFi gratuita en todo el recinto. Este hotel de 4 estrellas cuenta con recepción 24 horas. Hay TV de pantalla plana por cable en todas las habitaciones.

Las habitaciones del hotel incluyen ropero y aire acondicionado y algunas tienen balcón.","Prohibido fumar en todo el alojamiento, Baños públicos, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Cenas temáticas, Baño privado, Aire acondicionado, Extintores, TV, Tour o clase sobre cultura local, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Servicio de conserjería, Muy buen desayuno, Tours en bici, Acceso a pisos superiores en ascensor, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Máquina expendedora (aperitivos), Servicio de habitaciones, Proporciona factura, Plancha para ropa, Canales por cable, Tarjeta de acceso, Llave de acceso, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/286572885.jpg?k=2532af1b5761a3e4da4ce0c50e4134bb6babd53f0de804d2f7f28b21f3811d89&o=&hp=1,Montería,Colombia
Ayenda Hotel Trinidad,https://www.booking.com/hotel/co/trinidad.es.html?aid=2410095,"Ayenda Hotel Trinidad está en Montería y tiene salón de uso común, terraza, bar y wifi gratis en todo el alojamiento. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, las habitaciones disponen de armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto (Aeropuerto de Los Garzones) está a 12 km.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, Extintores, TV, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Desayuno fabuloso, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Servicio de aparcacoches, Mobiliario exterior, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, WC, Máquina expendedora (bebidas), Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, TV de pantalla plana, Toallas, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/299226428.jpg?k=4a1a78518d0beae019cf4cc2ebc5de018f721f2b86949fd4df2e5e554fc9ff71&o=&hp=1,Montería,Colombia
Ayenda Casa Real,https://www.booking.com/hotel/co/casa-real-monteria.es.html?aid=2410095,"El Ayenda Casa Real se encuentra en Montería, a solo 5 minutos a pie de la Avenida Primera, junto al río. Ofrece desayunos, un restaurante y habitaciones con conexión Wi-Fi gratuita y TV de plasma. La catedral de San Jerónimo está a 5 minutos a pie.

Las habitaciones del Casa Real son frescas y ventiladas y cuentan con suelo de baldosa y colchas coloridas. Disponen de ventilador y baño privado. Hay servicio de habitaciones disponible.

Todos los días se ofrece un desayuno americano. En el restaurante gourmet Santa Ana se pueden degustar platos regionales.

Los huéspedes podrán relajarse en la terraza o visitar el parque Sino, situado a 3 km, a orillas del río. El Ayenda Casa Real está a 17 km del aeropuerto de Los Garzones.","Desayuno, Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Teléfono, Recepción 24 horas, Inglés, Centro de negocios, Aire acondicionado, TV, Registro de entrada / salida privado, WiFi gratis, Ducha, Servicio de habitaciones, Canales por cable, Llave de acceso, Servicio de lavandería, Salas de reuniones / banquetes, Toallas, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/300216682.jpg?k=b3a13776d6aca48a7a00f23aea6fac5a71fe5f04f41ebdf5214db299dd04573a&o=&hp=1,Montería,Colombia
Ayenda Hotel Alejandría,https://www.booking.com/hotel/co/alejandria-city.es.html?aid=2410095,"El Ayenda Hotel Alejandría se encuentra a 450 metros del río Sinú y a 1,2 km de la plaza principal de Montería. Ofrece conexión WiFi gratuita en todas las zonas.

Todas las habitaciones tienen TV vía satélite, ropa de cama y ventilador. El baño privado incluye ducha.

El Ayenda Hotel Alejandría ofrece una recepción abierta las 24 horas y un bar. Se proporciona aparcamiento gratuito.

El Hotel Alejandría City está a 3,1 km del estadio de béisbol 18 de Junio ​​y a 2,5 km de la estación de autobuses de Montería. El aeropuerto Los Garzones queda a 13 km.","Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Parking en un garaje, WiFi gratis, Ducha, Llave de acceso, Guardaequipaje, Servicio de lavandería, WC, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/386117083.jpg?k=3aa5d341487187ef603117cd704307a0845041d69f1ca1e7549e7ae457eff73d&o=&hp=1,Montería,Colombia
Altamira Hotel,https://www.booking.com/hotel/co/altamira.es.html?aid=2410095,"Altamira Hotel tiene jardín, salón de uso común, terraza y restaurante en Montería. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación cuenta con aire acondicionado y baño privado.

El aeropuerto más cercano (Aeropuerto de Los Garzones) está a 12 km.","Desayuno, Terraza, Dardos, Juegos de mesa / puzles, Habitaciones sin humo, Parking en la calle, Recepción 24 horas, Inglés, Baño privado, Jardín, Extintores, Aire acondicionado, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Cocina compartida, Servicio de habitaciones, Zona de fumadores, Parking privado, Mobiliario exterior, Llave de acceso, Servicio de despertador, Guardaequipaje, Servicio de lavandería, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Toda la unidad en la planta baja, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/211985549.jpg?k=b66936db17b0bb756f74e827737ce322d9ff7fe10f30980077e036d8625ddd33&o=&hp=1,Montería,Colombia
Hostal Familiar Hopen Nel,https://www.booking.com/hotel/co/hostal-familiar-hopen-nel.es.html?aid=2410095,"Hostal Familiar Hopen Nel está en Montería y dispone de terraza y wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación dispone de baño privado.

Hostal Familiar Hopen Nel ofrece desayuno a la carta o americano.

El aeropuerto (Aeropuerto de Los Garzones) está a 12 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Baño privado, Toallas, Español, WiFi gratis, Aire acondicionado, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582512369.jpg?k=012526749a6d9ff7f3a73c75a1e93771169cb0efeecbf7c6bb0508925b774501&o=&hp=1,Montería,Colombia
Hotel Ribera Sinu,https://www.booking.com/hotel/co/ribera-sinu.es.html?aid=2410095,"Hotel Ribera Sinu dispone de alojamiento en Montería. Este hotel de 3 estrellas ofrece terraza y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El hotel tiene habitaciones familiares.

En el hotel, todas las habitaciones incluyen escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En Hotel Ribera Sinu, cada habitación dispone de ropa de cama y toallas.

Hay parking privado gratis y centro de negocios, así como recepción 24 horas.

El aeropuerto (Aeropuerto de Los Garzones) está a 14 km.","Terraza, Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, Centro de negocios, Aire acondicionado, TV, Información turística, Parking gratis, Desayuno fabuloso, Ropa de cama, WiFi gratis, Ducha, Canales por cable, Habitaciones insonorizadas, Llave de acceso, Servicio de despertador, Escritorio, Guardaequipaje, Salas de reuniones / banquetes, WC, Terraza / solárium, Insonorización, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Ascensor, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/355490770.jpg?k=a42b849986be45ac6de623b4927af5e1dbe48acfbaac18b6ad9fe8e05a3b3a4d&o=&hp=1,Montería,Colombia
Laurel plaza,https://www.booking.com/hotel/co/laurel-plaza-monteria.es.html?aid=2410095,"Laurel plaza dispone de habitaciones con aire acondicionado en Montería. Hotel ofrece parking privado gratis y wifi gratis.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las unidades disponen de baño privado, artículos de aseo gratuitos y ropa de cama.

El personal de recepción está disponible a cualquier hora del día.

El aeropuerto más cercano (Aeropuerto de Los Garzones) está a 10 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Perchero, Parking gratis, Registro de entrada / salida privado, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Servicio de despertador, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/525250451.jpg?k=f2d9bb81a2a6ec8c0e26867b1a54365ff0e92f14643b7eb0cc2a990529ac1109&o=&hp=1,Montería,Colombia
Hotel Santa Clara Boutique,https://www.booking.com/hotel/co/santa-clara-boutique.es.html?aid=2410095,"El Hotel Santa Clara Boutique se encuentra a 500 metros de la orilla del río Sinú, en el centro de la ciudad de Montería, y ofrece habitaciones con conexión Wi-Fi gratuita y TV de pantalla plana por cable.

Las habitaciones del Hotel Santa Clara Boutique presentan una elegante decoración minimalista y disponen de minibar y baño privado moderno con ducha.

El Hotel Santa Clara Boutique cuenta con recepción 24 horas, una terraza, zona de salón compartida y aparcamiento gratuito.

El Santa Clara está cerca del centro financiero de Montería, a solo 1 km de la catedral y de la plaza principal de la ciudad. El estadio de béisbol 18 de Junio ​​se encuentra a 2,5 km del alojamiento y el aeropuerto Los Garzones, a 12 km.","Desayuno, Terraza, Almuerzos para llevar, Caja fuerte, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Menú para niños, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Plancha para ropa, Zona de fumadores, Canales por cable, Desayuno en la habitación, Gimnasio, Servicio de planchado, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Nevera, Minibar, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/455724139.jpg?k=7b92f1e45eb99599e92b9c768841727abd51b184a05447929c26f37b5253087a&o=&hp=1,Montería,Colombia
