hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Fiore Hotel,US$65,"9,2",Fantástico,297,https://cf.bstatic.com/xdata/images/hotel/max1024x768/306026133.webp?k=8276eb8688769699dd0f55560c35deab407d55ae81e2dc6bcc0b1875b6f93801&o=,https://www.booking.com/hotel/al/fiore.es.html?aid=2410095,"Personal de animación, Estación de carga de vehículos eléctricos, Papel higiénico, Canales vía satélite, Secador de pelo, Sombrillas, Extintores, Artículos de aseo gratis, Adaptado para sillas de ruedas, Piscina al aire libre, Cafetería en el alojamiento, Habitaciones insonorizadas, Italiano, Zona de juegos para niños, Detectores de humo, Servicio de conserjería, Sala de juegos, Zona de estar, Ducha, Parking en un garaje, Perchero, Valla alrededor de la piscina, Juegos de mesa / puzles, Zona de juegos interior, Escritorio, Tetera / cafetera, Prohibido fumar en todo el alojamiento, Calefacción, Zona de comedor exterior, WiFi gratis, Equipamiento de juegos para exterior, Adaptado personas de movilidad reducida, Almuerzos para llevar, Teléfono, Snack-bar, Cochecitos de bebé, Armario, Hervidor eléctrico, WC, Toallas de playa/piscina, Cambio de moneda, Fax / fotocopiadora, Servicio de traslado, TV de pantalla plana, Zona TV / salón de uso compartido, Bidet, Zapatillas, De temporada, Servicio de planchado, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Parking adaptado para personas de movilidad reducida, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Canguro / servicios para niños, Bar en la piscina, Registro de entrada y salida exprés, Para todas las edades, Servicio de habitaciones, Jardín, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Suelo de madera o parquet, Caja fuerte, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Gimnasio, Tetera/cafetera en todas las habitaciones, Nevera, Información turística, Muy buen desayuno, Salas de reuniones / banquetes, Bar, Restaurante, Tarjeta de acceso, Taquillas, Ascensor, Terraza / solárium, Mobiliario exterior, Camas extralargas (más de 2 metros), Canales por cable, Habitaciones sin humo, Happy hour, Horario de apertura, Parking gratis, Centro de negocios, Tumbonas/sillas de playa, Piscina infantil, Música / espectáculos en directo, Minibar, Alarma de seguridad",Kavaje,Albania,"Fiore Hotel está en Kavajë, a 10 km de Peñón de Kavaje, y dispone de alojamiento con piscina de temporada al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece restaurante, servicio de habitaciones y servicio de conserjería, además de wifi gratis en todo el alojamiento. Hay bar.

Las unidades en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. Todas las habitaciones cuentan con escritorio y hervidor.

El desayuno diario ofrece opciones continentales, italianas o vegetarianas.

Fiore Hotel ofrece terraza solárium.

Anfiteatro de Durrës está a 21 km del alojamiento. El aeropuerto (Aeropuerto Internacional de Tirana-Madre Teresa) está a 45 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Hotel H. Veza,US$48,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/520546734.webp?k=576f6162b0565d112e01a0c5a49fb56fc733aec190b7e9d40180f82e3111eb21&o=,https://www.booking.com/hotel/al/h-veza.es.html?aid=2410095,"Servicio de habitaciones, Bar, Habitaciones sin humo, Playa, Desayuno, Prohibido fumar en todo el alojamiento, Parking gratis, Aire acondicionado, Habitaciones familiares, Inglés, WiFi gratis, Italiano",Kavaje,Albania,"Hotel H. Veza está en Kavajë, a pocos pasos de Playa de Spille, y dispone de alojamiento con restaurante, parking privado gratis y bar. El resort está a unos 33 km de Peñón de Kavaje y a 44 km de Anfiteatro de Durrës. El alojamiento ofrece servicio de habitaciones y wifi gratis en todo el alojamiento.

El aeropuerto (Aeropuerto Internacional de Tirana-Madre Teresa) está a 69 km."
Apartament i kendshem,US$38,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/492981333.webp?k=933ab4a794f0ba7f5bb51cdcb54d7569243e520e423e71b81e0796f64fa19a82&o=,https://www.booking.com/hotel/al/apartament-i-kendshem.es.html?aid=2410095,"TV de pantalla plana, Baño privado, Jardín, Parking gratis, Cocina, Inglés, WiFi gratis, Lavadora, Italiano, Vistas",Kavaje,Albania,"Apartament i kendshem está en Kavajë y ofrece alojamiento con wifi gratis a 26 km de Anfiteatro de Durrës. El alojamiento, que está a 16 km de Peñón de Kavaje, dispone de jardín y parking privado gratis.

El apartamento se compone de 1 dormitorio, una cocina totalmente equipada y 1 baño. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto Internacional de Tirana-Madre Teresa) está a 51 km."
Posh villa 1,US$147,"8,7",Fabuloso,21,https://cf.bstatic.com/xdata/images/hotel/max1024x768/477249885.webp?k=d819a05f428652a400dbee29801746bb9dc87b97ceea527309ce99ab35ab0fe6&o=,https://www.booking.com/hotel/al/sea-view-private-villa.es.html?aid=2410095,"Wifi rápida gratis (143 Mbps), Papel higiénico, Guardaequipaje, Extintores, Cocina, Zona de comedor, Habitaciones insonorizadas, Italiano, Zona de juegos para niños, Habitaciones hipoalergénicas, Muebles de exterior, Sofá, Tendedero, Pesca, Submarinismo, Zona de estar, Ducha, Peluquería / salón de belleza, Lavavajillas, Perchero, Balcón, Senderismo, Zona de pícnic, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Zona de comedor exterior, Enchufe cerca de la cama, Habitaciones familiares, Lavadora, Discoteca / DJ, Snack-bar, Vistas, Armario, Vistas al jardín, Cocina compartida, Supermercado pequeño en el alojamiento, WC, Cambio de moneda, TV de pantalla plana, Recepción 24 horas, Bañera, Zona TV / salón de uso compartido, Bidet, Chimenea exterior, Vistas a un lugar de interés, Vistas a la montaña, Baño privado, Toallas, Inglés, Utensilios de cocina, Insonorización, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Horno, Registro de entrada y salida exprés, Jardín, Toallas / sábanas (por un suplemento), Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Entrada privada, Suelo de madera o parquet, TV, Aire acondicionado, Proporciona factura, Nevera, Salas de reuniones / banquetes, Fogones, Bar, Mesa de comedor, Restaurante, Suelo de baldosa / mármol, Vistas al mar, Terraza / solárium, Camas extralargas (más de 2 metros), Parking gratis, Centro de negocios, Zona de cocina, Alarma de seguridad",Kavaje,Albania,"Posh villa 1 está a solo 34 km de Peñón de Kavaje y dispone de alojamiento en Kavajë con restaurante y bar, además de cocina compartida. Este alojamiento con aire acondicionado está a pocos pasos de Playa de Spille y ofrece wifi gratis y parking privado en el propio alojamiento.

La villa cuenta con balcón y vistas al mar, y tiene 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y lavavajillas, y 2 baños con bidet. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En la recepción 24 horas se habla inglés y italiano, y el personal está dispuesto a ayudar en cualquier momento.

La villa ofrece terraza solárium. Después de un día de senderismo, submarinismo o pesca, la clientela puede relajarse en el jardín o el salón de uso común.

Anfiteatro de Durrës está a 45 km del alojamiento. El aeropuerto (Aeropuerto Internacional de Tirana-Madre Teresa) está a 69 km."
Univers Apartment Qerret,US$65,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/493118816.webp?k=a1639d365d024d03f2e6ca0c756abaaec500041b2cee287216f357253a1c8502&o=,https://www.booking.com/hotel/al/univers-apartment-qerret.es.html?aid=2410095,"Zona de estar, Ducha, TV de pantalla plana, Terraza, Balcón, Vistas al río, Bañera, Papel higiénico, Bidet, Bañera o ducha, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, TV, Artículos de aseo gratis, Cocina, Aire acondicionado, Zona de comedor, Nevera, Italiano, Patio, Fogones, Mesa de comedor, Suelo de baldosa / mármol, Habitaciones familiares, Toallas, Albornoz, Inglés, Lavadora, Utensilios de cocina, Muebles de exterior, Vistas, Habitaciones sin humo, Parking gratis, WC, Horno, Acceso a pisos superiores en ascensor, Ropa de cama",Kavaje,Albania,"Univers Apartment Qerret está en Kavajë, a menos de 1 km de Playa del Qerret y a 2,7 km de Playa Malí I Robit, y ofrece terraza y aire acondicionado. Este alojamiento con vistas al río dispone de balcón.

Este apartamento dispone de 2 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 1 baño con bidet. Hay toallas y ropa de cama en el apartamento.

Peñón de Kavaje está a 12 km del alojamiento, y Anfiteatro de Durrës está a 23 km. El aeropuerto (Aeropuerto Internacional de Tirana-Madre Teresa) está a 48 km."
Plazhi Gjeneralit,US$71,"6,2",Puntuación,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/474064039.webp?k=19c2233b4de1106d87ff3e5bbcf2eb3ed97b6ea08f087d9528f2f03e5bfe26ab&o=,https://www.booking.com/hotel/al/plazhi-gjeneralit.es.html?aid=2410095,"Zona de estar, Ducha, Desayuno, Terraza, Balcón, Jardín, Bañera, Papel higiénico, Bidet, Bañera o ducha, Entrada privada, Noruego, Artículos de aseo gratis, Aire acondicionado, Zona de comedor exterior, Zona de comedor, Italiano, Mosquitera, Bar, Mesa de comedor, Baño privado, Suelo de baldosa / mármol, Habitaciones familiares, Albornoz, Inglés, Muebles de exterior, Vistas, Albanés, Habitaciones sin humo, Parking gratis, WC",Kavaje,Albania,"Plazhi Gjeneralit se encuentra en Kavajë, a pocos pasos de Playa General y a 24 km de Peñón de Kavaje. Ofrece alojamiento con aire acondicionado y acceso a un jardín con terraza.

Hay un baño privado con bidet en todas las unidades, además de artículos de aseo gratuitos y albornoces.

Anfiteatro de Durrës está a 35 km del alojamiento. El aeropuerto (Aeropuerto Internacional de Tirana-Madre Teresa) está a 59 km."
Posh villa 2,US$179,"9,7",Excepcional,6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/376718680.webp?k=5dddd0952bddeeaf8690b1ae8c45fc29427725a3635a3dbd899b169baf797df7&o=,https://www.booking.com/hotel/al/villa-with-sea-view.es.html?aid=2410095,"Zona de estar, Ducha, TV de pantalla plana, Wifi rápida gratis (143 Mbps), Lavavajillas, Perchero, Balcón, Papel higiénico, Bidet, Bañera o ducha, Entrada privada, Suelo de madera o parquet, Hipoalergénico, Prohibido fumar en todo el alojamiento, Calefacción, TV, Aire acondicionado, Cocina, Zona de comedor, Nevera, Italiano, Sofá cama, Patio, Fogones, Bar, Mesa de comedor, Baño privado, Suelo de baldosa / mármol, Habitaciones familiares, Toallas, Inglés, Lavadora, Utensilios de cocina, Muebles de exterior, Insonorización, Vistas, Armario, Habitaciones sin humo, Sofá, Tendedero, Parking gratis, WC, Horno, Ropa de cama",Kavaje,Albania,"Posh villa 2 se encuentra en Kavajë y ofrece alojamiento con balcón y wifi gratis. El alojamiento, que está a pocos pasos de Playa de Spille, dispone de bar y parking privado gratis.

Esta villa con aire acondicionado se compone de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada con nevera y lavavajillas, y 2 baños. Hay toallas y ropa de cama en la villa.

Peñón de Kavaje está a 34 km del alojamiento, y Anfiteatro de Durrës está a 45 km. El aeropuerto (Aeropuerto Internacional de Tirana-Madre Teresa) está a 69 km."
Guesthouse Ndroq,US$44,"9,6",Excepcional,16,https://cf.bstatic.com/xdata/images/hotel/max1024x768/485104628.webp?k=f4ecc0cb884661b7945384fcfb3043b5ad0a45fce6bb521f5cb0cece21f43b31&o=,https://www.booking.com/hotel/al/guesthouse-ndroq.es.html?aid=2410095,"Ducha, Servicio de limpieza en seco, Desayuno, Traslado aeropuerto (gratis), Terraza, Jardín, Perchero, TV de pantalla plana, Zona TV / salón de uso compartido, Seguridad 24 horas, Zona de pícnic, Fruta, Papel higiénico, Bidet, Bañera o ducha, Chimenea exterior, Guardaequipaje, Alquiler de coches, Zona de juegos interior, Suelo de madera o parquet, Escritorio, Caja fuerte, Servicio de lavandería, Plancha para ropa, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Barandillas protectoras para bebés, Calefacción, TV, Artículos de aseo gratis, Aire acondicionado, Proporciona factura, WiFi gratis, Barbacoa, Cafetería en el alojamiento, Zona de fumadores, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Toallas, Albornoz, Inglés, Tarjetas de transporte público, Traslado aeropuerto, Vistas, Terraza / solárium, Armario, Suelo de moqueta, Cocina compartida, Parking gratis, Pesca, Vino / champán, Cambio de moneda, Canguro / servicios para niños",Kavaje,Albania,"Guesthouse Ndroq se encuentra en Ndroq, a 18 km de Plaza Skanderbeg, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. El hostal o pensión tiene wifi gratis y está a unos 23 km de Teleférico Dajti Ekspres y a 19 km de Peñón de Kavaje. El alojamiento dispone de cocina compartida, servicio de guardería y cambio de moneda.

En el hostal o pensión, todas las habitaciones disponen de armario. En Guesthouse Ndroq, todas las habitaciones cuentan con aire acondicionado, escritorio y TV de pantalla plana, y algunas también ofrecen balcón.

En el alojamiento se sirve todos los días un desayuno continental.

Guesthouse Ndroq ofrece barbacoa. La zona es ideal para practicar pesca, y en el hostal o pensión hay alquiler de coches.

Former Residence of Enver Hoxha está a 19 km del alojamiento, y House of Leaves está a 18 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 29 km del alojamiento."
Family Tree - best in area-SELF check in,US$27,"8,7",Fabuloso,330,https://cf.bstatic.com/xdata/images/hotel/max1024x768/361332504.webp?k=7c9857ed4d9ede861f2043b964c2711901c8e21aa4ff3d63bf22399c03d35d3f&o=,https://www.booking.com/hotel/al/family-tree.es.html?aid=2410095,"Ruso, Ducha, Productos de limpieza, Tour o clase sobre cultura local, Terraza, Balcón, Perchero, Toallas / sábanas (por un suplemento), Jardín, Senderismo, Zona de pícnic, Papel higiénico, Bidet, Bañera o ducha, Chimenea exterior, Alquiler de coches, Juegos de mesa / puzles, Entrada privada, Vistas a un patio interior, Escritorio, Secador de pelo, Servicio de lavandería, Playa, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Extintores, Cama plegable, Vistas a la ciudad, Proporciona factura, Zona de comedor exterior, Aire acondicionado, WiFi gratis, Nevera, Barbacoa, Información turística, Servicio de planchado, Mosquitera, Zona de juegos para niños, Zona de fumadores, Patio, Mesa de comedor, Equipamiento de juegos para exterior, Llave de acceso, Baño privado, Enchufe cerca de la cama, Suelo de baldosa / mármol, Habitaciones familiares, Toallas, Ucraniano, Inglés, Independiente, Traslado aeropuerto, Insonorización, Vistas, Albanés, Mobiliario exterior, Habitaciones sin humo, Parking gratis, WC, Registro de entrada y salida exprés, Servicio de traslado, Ropa de cama",Kavaje,Albania,"Family Tree - best in area-SELF check in se encuentra a 8 min a pie de Playa Malí I Robit y ofrece jardín y terraza, así como alojamiento con aire acondicionado, balcón y wifi gratis.

Hay un baño privado totalmente equipado con bidet y secador de pelo.

Hay zona de juegos infantil en este alojamiento y en la zona se puede practicar senderismo.

Playa del Qerret está a 14 min a pie del alojamiento, y Playa de Golem está a 1,7 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 42 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Andor Luxury Hotel,US$29,"9,1",Fantástico,35,https://cf.bstatic.com/xdata/images/hotel/max1024x768/532561105.webp?k=74a06ec755c7adf354b7ad6e359dd1d8683a6bc0f1590b9528c4e6a1b11312c3&o=,https://www.booking.com/hotel/al/andor-luxury.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Zona de estar, Desayuno, Terraza, Jardín, TV de pantalla plana, Papel higiénico, Alarma de seguridad, Escritorio, Secador de pelo, Caja fuerte, Prohibido fumar en todo el alojamiento, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, WiFi gratis, Habitaciones insonorizadas, Bar, Detectores de humo, Baño privado, Habitaciones familiares, Toallas, Inglés, Vistas, Terraza / solárium, Albanés, Armario, Habitaciones sin humo, Sofá, Parking gratis, Cámaras de seguridad fuera del alojamiento, WC, Ropa de cama",Kavaje,Albania,"Andor Luxury Hotel se encuentra en Durrës, a 13 min a pie de Playa de Shkëmbi i Kavajës, y ofrece alojamiento con jardín, parking privado gratis, terraza y bar. Este hotel de 3 estrellas tiene wifi gratis y servicio de habitaciones. Este alojamiento libre de humo está a 17 min a pie de Playa de Golem.

En el hotel, todas las habitaciones están equipadas con escritorio. Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también tienen balcón. En Andor Luxury Hotel, todas las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se sirve todos los días un desayuno buffet.

Playa de Durres está a 2,4 km del alojamiento, y Plaza Skanderbeg está a 43 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 37 km del alojamiento."
Hotel Arvi,US$64,"8,7",Fabuloso,463,https://cf.bstatic.com/xdata/images/hotel/max1024x768/161231139.webp?k=d3397cb20a424d1583d7c27cb9cf0486b01ab38f37ba03c24343fff271901e00&o=,https://www.booking.com/hotel/al/arvi.es.html?aid=2410095,"Personal de animación, Masaje de pies, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Masaje de espalda, Cafetería en el alojamiento, Italiano, Zona de fumadores, Noches de cine, Parking en la calle, Detectores de humo, Masaje de manos, Masaje en pareja, Buffet para niños, Ciclismo, Zona de estar, Ducha, Cajero automático en el hotel, Escritorio, Registro de entrada / salida privado, Calefacción, WiFi gratis, Eventos deportivos en directo (emisión), Almuerzos para llevar, Tours en bici, Habitaciones familiares, Teléfono, Snack-bar, Cochecitos de bebé, Vistas, Armario, Masaje de cabeza, Máquina expendedora (bebidas), WC, Masaje de cuello, Cambio de moneda, Fax / fotocopiadora, Servicio de traslado, TV de pantalla plana, Recepción 24 horas, Zona TV / salón de uso compartido, Fruta, Servicio de planchado, Masaje corporal completo, Desayuno en la habitación, Servicio de limpieza diario, Baño privado, Silla de masajes, Inglés, Masajes, Traslado aeropuerto, Menús para dietas especiales (bajo petición), Vino / champán, Registro de entrada y salida exprés, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Bañera o ducha, Alquiler de coches, Suelo de madera o parquet, Caja fuerte, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Información turística, Salas de reuniones / banquetes, Bar, Restaurante, Vistas al mar, Taquillas, Ascensor, Terraza / solárium, Habitaciones sin humo, Parking gratis, Tours a pie, Minibar, Alarma de seguridad, Servicio de despertador",Kavaje,Albania,"El Hotel Arvi dispone de restaurante elegante, conexión Wi-Fi gratuita, aparcamiento gratuito y habitaciones con aire acondicionado y vistas panorámicas. El hotel está cerca del puerto de Durrës, a pocos pasos de las instituciones administrativas, financieras y culturales de la ciudad.

Las habitaciones luminosas cuentan con ventanas grandes, TV vía satélite, minibar y baño privado con secador de pelo.

El establecimiento se encuentra a 300 metros del teatro Nacional y a unos 150 metros del Museo Arqueológico y el castillo de Durrës y su torre veneciana.

El hotel está justo enfrente de una parada de autobús. La terminal de ferris se halla a 5 minutos a pie. Tirana, la capital, está ubicada a 36 km, mientras que el aeropuerto de la ciudad se encuentra a 25 km."
Hotel Veliera,US$52,"8,7",Fabuloso,445,https://cf.bstatic.com/xdata/images/hotel/max1024x768/158648537.webp?k=d618c0fb8873237f7a804f956337c00cd54372fc51221169057989f4f7659c5d&o=,https://www.booking.com/hotel/al/veliera-durres.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Tour o clase sobre cultura local, Fax / fotocopiadora, TV de pantalla plana, Recepción 24 horas, Menú para niños, Perchero, Peluquería / salón de belleza, Zona TV / salón de uso compartido, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bidet, Bañera o ducha, Canales vía satélite, Alquiler de coches, Zapatillas, Tetera / cafetera, Secador de pelo, Secadora de ropa, Prohibido fumar en todo el alojamiento, Extintores, TV, Artículos de aseo gratis, Vistas a la ciudad, Aire acondicionado, Calefacción, Adaptado para sillas de ruedas, WiFi gratis, Tetera/cafetera en todas las habitaciones, Buen desayuno, Nevera, Zona de comedor, Desayuno en la habitación, Zona de fumadores, Trona, Habitaciones insonorizadas, Salas de reuniones / banquetes, Italiano, Alquiler de bicicletas, Parking en la calle, Mesa de comedor, Servicio de limpieza diario, Tarjeta de acceso, Adaptado personas de movilidad reducida, Baño privado, Enchufe cerca de la cama, Detectores de humo, Llave de acceso, Tours en bici, Habitaciones familiares, Toallas, Teléfono, Inglés, Tarjetas de transporte público, Vistas, Parking adaptado para personas de movilidad reducida, Insonorización, Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Parking gratis, Centro de negocios, Cámaras de seguridad fuera del alojamiento, WC, Tours a pie, Acceso a pisos superiores en ascensor, Cambio de moneda, Buffet para niños, Alarma de seguridad",Kavaje,Albania,"Hotel Veliera se encuentra en Durrës, a 3 min a pie de Playa de Currila, y ofrece vistas a la ciudad. Este hotel de 4 estrellas ofrece salón de uso común, recepción 24 horas y wifi gratis. Algunas unidades del alojamiento disponen de un balcón con vistas al mar.

Todas las habitaciones de este alojamiento incluyen zona de estar. Todas las unidades del alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también disponen de terraza. Las unidades cuentan con nevera.

Playa de Kallmi está a 2,1 km del alojamiento, y Playa de Durres está a 2,4 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 33 km."
Marinaj Hotel,US$96,"9,3",Fantástico,266,https://cf.bstatic.com/xdata/images/hotel/max1024x768/508809795.webp?k=066ce766b01120d3bcdacaddc8969fc93dab94126fe62051e0b153d92c424296&o=,https://www.booking.com/hotel/al/marinaj.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Productos de limpieza, Zona de estar, Desayuno, Recepción 24 horas, TV de pantalla plana, Perchero, Zona TV / salón de uso compartido, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Alemán, Papel higiénico, Detector de monóxido de carbono, Guardaequipaje, Acceso al salón executive, Turco, Alarma de seguridad, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Caja fuerte, Hipoalergénico, Vistas a la montaña, Prohibido fumar en todo el alojamiento, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Proporciona factura, Calefacción, WiFi gratis, Zona de comedor, Cafetería en el alojamiento, Desayuno en la habitación, Zona de fumadores, Habitaciones insonorizadas, Italiano, Salas de reuniones / banquetes, Bar, Servicio de limpieza diario, Restaurante, Tarjeta de acceso, Detectores de humo, Baño privado, Llave de acceso, Bañera de hidromasaje / jacuzzi, Toda la unidad accesible en silla de ruedas, Almuerzos para llevar, Habitaciones familiares, Toallas, Inglés, Ascensor, Traslado aeropuerto, Servicio de conserjería, Vistas, Insonorización, Albanés, Mobiliario exterior, Armario, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Baño adicional, Parking gratis, Hervidor eléctrico, WC, Vino / champán, Minibar, Acceso a pisos superiores en ascensor, Fax / fotocopiadora, Servicio de traslado, Ropa de cama, Servicio de despertador",Kavaje,Albania,"Marinaj Hotel se encuentra en Tirana, a 3,6 km de Plaza Skanderbeg, y ofrece alojamiento con salón de uso común, parking privado gratis, restaurante y bar. Todas las opciones de alojamiento de este hotel de 4 estrellas tienen vistas a la montaña y bañera de hidromasaje. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

El hotel ofrece habitaciones con aire acondicionado, escritorio, hervidor, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. En Marinaj Hotel, cada habitación está equipada con ropa de cama y toallas.

Teleférico Dajti Ekspres está a 8,3 km del alojamiento, y Former Residence of Enver Hoxha está a 4,6 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 13 km del alojamiento."
The King Resort,US$104,"9,1",Fantástico,388,https://cf.bstatic.com/xdata/images/hotel/max1024x768/236249923.webp?k=12400f572586fad54d78811ee088a84d02fdf430cf72162c89102aebbe0c39f3&o=,https://www.booking.com/hotel/al/resort-the-king.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Zona de estar, Parking en un garaje, Fax / fotocopiadora, TV de pantalla plana, Jardín, Menú para niños, Zona TV / salón de uso compartido, Seguridad 24 horas, Papel higiénico, Vistas a un lugar de interés, Canales vía satélite, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Caja fuerte, Prohibido fumar en todo el alojamiento, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Entretenimiento nocturno, Desayuno fantástico, Proporciona factura, Calefacción, WiFi gratis, Nevera, Zona de comedor, Desayuno en la habitación, Información turística, Zona de fumadores, Habitaciones insonorizadas, Patio, Salas de reuniones / banquetes, Bar, Equipamiento de juegos para exterior, Servicio de limpieza diario, Restaurante, Tarjeta de acceso, Detectores de humo, Baño privado, Enchufe cerca de la cama, Habitaciones familiares, Teléfono, Taquillas, Inglés, Ascensor, Servicio de conserjería, Vistas, Insonorización, Albanés, Mobiliario exterior, Armario, Canales por cable, Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Parking gratis, WC, Vino / champán, Registro de entrada y salida exprés, Alarma de seguridad",Kavaje,Albania,"The King Resort se encuentra en Tirana, a 10 km de Plaza Skanderbeg, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y restaurante. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y servicio de conserjería. Hay bar.

Todas las unidades en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. Las unidades cuentan con nevera.

Teleférico Dajti Ekspres está a 13 km del alojamiento, y Former Residence of Enver Hoxha está a 10 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 7 km."
