hotel,hotel_url,description,popular_facilities,highres_url,city,country
Finca Santa Martha,https://www.booking.com/hotel/co/finca-santa-martha.es.html?aid=2410095,"Finca Santa Martha, que tiene vistas a la montaña, ofrece alojamiento con terraza y balcón a unos 16 km de Viaducto entre Pereira y Dosquebradas. El alojamiento, que está a 32 km de Ukumari Zoo, dispone de jardín y parking privado gratis.

Esta villa dispone de 4 dormitorios, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 3 baños con ducha. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Plaza Bolívar de Pereira está a 17 km del alojamiento, y Monumento a los Fundadores está a 17 km. El aeropuerto (Aeropuerto internacional Matecaña) está a 22 km.","Servicio de streaming (como Netflix), Bañera de hidromasaje, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Tendedero, Utensilios de cocina, Canales por cable, Lavavajillas, Vistas a la montaña, Escritorio, Toallas / sábanas (por un suplemento), Lavadora, Zona de estar, Vistas al jardín, Enchufe cerca de la cama, Juegos de mesa / puzles, Cafetera, Perchero, Fogones, Patio, Muebles de exterior, Habitaciones familiares, Ducha, Radio, Entrada privada, Parking gratis, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Bañera, Armario, Canales de pago, Jardín, Zona de cocina, Microondas, Suelo de madera o parquet, Toallas, Nevera, Zona de comedor, Balcón, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/344190205.jpg?k=967bc1038633a723a28773bfd83452438316e4091d476fdd1bf7c68253d43844&o=&hp=1,Finca Santa Rosa,Panamá
Find Land & a Rest,https://www.booking.com/hotel/co/find-land-a-rest.es.html?aid=2410095,"Find Land & a Rest, que tiene salón de uso común, está en la región de Quindío, Filandia, a 39 km de Ukumari Zoo y a 30 km de Jardín Botánico de Pereira. El alojamiento se encuentra a 30 km de Universidad Tecnológica de Pereira, a 37 km de Catedral de Nuestra Señora de la Pobreza y a 37 km de Plaza Bolívar de Pereira. Hay wifi gratis y se ofrece parking privado por un suplemento.

En el hostal o pensión, las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Find Land & a Rest ofrece desayuno a la carta o americano.

Museo de Arte de Pereira está a 37 km del alojamiento, y Monumento a los Fundadores está a 38 km. El aeropuerto más cercano (Aeropuerto internacional Matecaña) está a 35 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de aparcacoches, Zona TV / salón de uso compartido, WiFi gratis, Tendedero, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Zona de fumadores, Productos de limpieza, Servicio de traslado, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Desayuno fabuloso, Enchufe cerca de la cama, Aseo adicional, Juegos de mesa / puzles, Servicio de despertador, Artículos de aseo gratis, Seguridad 24 horas, Baños públicos, Tours a pie, Registro de entrada / salida privado, Hipoalergénico, Habitaciones familiares, Ducha, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Servicio de despertador / alarma, Plancha para pantalones, Registro de entrada y salida exprés, Servicio de lavandería, Senderismo, Traslado aeropuerto, Chimenea, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Parking privado, Servicio de conserjería, Llave de acceso, Toallas, Guardaequipaje, Información turística, Ropa de cama, WC, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/322667278.jpg?k=c49f3229c959d417e071f181532c355d1d26cde679e57c5b01f943ee87b2d40e&o=&hp=1,Finca Santa Rosa,Panamá
Termales El Otoño,https://www.booking.com/hotel/co/termales-el-otoao.es.html?aid=2410095,"El establecimiento Termales El Otoño se encuentra en Manizales y alberga un spa, 3 piscinas termales, restaurante y habitaciones con minibar y WiFi gratuita. Hay aparcamiento gratuito. El centro de la ciudad está a 18 km.

Las habitaciones del establecimiento Termales El Otoño están decoradas con suelo de parquet y muebles elegantes. Tienen TV y algunas incluyen chimenea.

El restaurante del establecimiento sirve platos de comida internacional y especialidades regionales.

El spa ofrece tratamientos de belleza. También hay piscinas termales cubiertas y al aire libre. El volcán Nevado del Ruiz se encuentra a 40 km.

El establecimiento Termales El Otoño se encuentra a 8 km del aeropuerto de La Nubia.","Restaurante, Muy buen desayuno, Horario de apertura, Spa y centro de bienestar, Mobiliario exterior, Salas de reuniones / banquetes, Zona de fumadores, Servicio de traslado, Menú para niños, Proporciona factura, Extintores, Zona poco profunda, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Piscina al aire libre, Artículos de aseo gratis, Pista de tenis, Abierta todo el año, Seguridad 24 horas, Baños públicos, Bar, Recepción 24 horas, Capilla, Zona de spa / relajación, Masajes, Habitaciones familiares, Centro de negocios, Menús para dietas especiales (bajo petición), Parking gratis, WC con barras de apoyo, Español, Adaptado personas de movilidad reducida, Gimnasio, Detectores de humo, Caja fuerte, Adaptado para sillas de ruedas, Servicio de lavandería, Máquina expendedora (aperitivos), Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Servicio de limpieza diario, Servicio de habitaciones, Máquina expendedora (bebidas), Habitaciones sin humo, Instalaciones de spa, Jardín, Servicio de conserjería, Alarma de seguridad, Almuerzos para llevar, Habitaciones insonorizadas, Cafetería en el alojamiento, Tarjeta de acceso, Guardaequipaje, Información turística, Para todas las edades, Terraza, Baños termales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/282209986.jpg?k=2561e92f78de9972a301f799b81820b8989b2cc142a5168a4abc8dc37b0ac430&o=&hp=1,Finca Santa Rosa,Panamá
Termales Santa Rosa De Cabal,https://www.booking.com/hotel/co/termales-santa-rosa-de-cabal.es.html?aid=2410095,"Este hotel ofrece exclusivas piscinas termales naturales y está rodeado de naturaleza tropical, montañas y cascadas. Se encuentra a menos de 10 km de Santa Rosa de Cabal.

Las habitaciones del Termales Santa Rosa De Cabal disponen de una decoración acogedora, con madera de la zona en el sector Casa Finca o interiores modernos en los sectores Las Montañas y La Cabaña. Incluyen zona de estar con TV vía satélite, zona de comedor y balcón privado con vistas a las piscinas termales y a la selva tropical.

Los huéspedes pueden disfrutar de diferentes tratamientos de bienestar, masajes y terapias con barro. También se organizan rutas termales que guían a los huéspedes por la zona. El Santa Rosa dispone de conexión Wi-Fi gratuita y una sala de juegos con juegos de mesa.

El restaurante del Santa Rosa De Cabal sirve un desayuno continental todos los días. Por la noche, se ofrece cocina típica de la región acompañada de excelentes vinos de la zona e internacionales.

El Termales Santa Rosa De Cabal se encuentra a 25 km de Pereira y a 45 km del aeropuerto internacional de Manizales. El hotel dispone de aparcamiento gratuito.","Restaurante, Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, WiFi gratis, Parking en la calle, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Salas de reuniones / banquetes, Canales vía satélite, Zona de fumadores, Fruta, Menú para niños, Proporciona factura, Extintores, Tarjetas de transporte público, Sala de juegos, Zona poco profunda, Clases de fitness, Piscina con vistas, Juegos de mesa / puzles, Piscina al aire libre, Sauna, Snack-bar, Teléfono, Abierta todo el año, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Tours a pie, Zona de spa / relajación, Masajes, Habitaciones familiares, Ducha, Centro de negocios, Menús para dietas especiales (bajo petición), Piscina climatizada, Toallas de playa/piscina, Parking gratis, Español, Baño de vapor, TV, Detectores de humo, Caja fuerte, Inglés, Servicio de lavandería, Senderismo, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Servicio de limpieza diario, Instalaciones de spa, Desayuno fantástico, Jardín, Servicio de conserjería, Alarma de seguridad, Tour o clase sobre cultura local, Clases de yoga, Cafetería en el alojamiento, Desayuno en la habitación, Guardaequipaje, Información turística, Tarjeta de acceso, Taquillas, WC, Baños termales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/149706221.jpg?k=4b960eab6a12ace6d3cad93169600e96d5e99569b6c95fef51e937e9ecf479e7&o=&hp=1,Finca Santa Rosa,Panamá
Hotel Dibeni Pereira,https://www.booking.com/hotel/co/dibeni-pereira.es.html?aid=2410095,"Hotel Dibeni Pereira, que cuenta con terraza y zona de barbacoa, se encuentra en Pereira, a 16 km de Ukumari Zoo y a 8 min a pie de Plaza Bolívar de Pereira. Este hotel de 4 estrellas ofrece recepción 24 horas y cajero automático. El hotel libre de humo cuenta con wifi gratisen todo el alojamiento, sauna y karaoke.

En el hotel, cada habitación incluye escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Cada habitación cuenta con caja fuerte, y algunas también ofrecen balcón. Las habitaciones cuentan con nevera.

El desayuno está disponible todos los días e incluye opciones buffet, continentales o americanas.

Hotel Dibeni Pereira ofrece baño termal.

Cerca del alojamiento hay puntos de interés como Monumento a los Fundadores, Catedral de Nuestra Señora de la Pobreza y Viaducto César Gaviria Trujillo. El aeropuerto más cercano (Aeropuerto internacional Matecaña) está a 5 km del alojamiento.","Zapatillas, Baño privado, Servicio de planchado, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Cajero automático en el hotel, Servicio de despertador, Sauna, Cesta para mascotas, Playa, Registro de entrada / salida privado, Entrada privada, Plancha para ropa, TV, Gimnasio, Registro de entrada y salida exprés, Habitaciones sin humo, Máquina expendedora (bebidas), Almuerzos para llevar, Tarjeta de acceso, Guardaequipaje, Nevera, Vistas a un lugar de interés, Acceso a pisos superiores en ascensor, Cenas temáticas, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Secador de pelo, Alquiler de coches, Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Clases de cocina, Español, Adaptado personas de movilidad reducida, Buffet para niños, Plancha para pantalones, Servicio de lavandería, Máquina expendedora (aperitivos), Cochecitos de bebé, Servicio de limpieza diario, Habitaciones insonorizadas, Ropa de cama, Terraza, TV de pantalla plana, Baños termales, WiFi gratis, Calefacción, Mobiliario exterior, Canales por cable, Escritorio, Zona de juegos interior, Extintores, Karaoke, Desayuno, Enchufe cerca de la cama, Ventilador, Teléfono, Baños públicos, Recepción 24 horas, Capilla, Habitaciones familiares, Suelo de baldosa / mármol, Caja fuerte, Papel higiénico, Música / espectáculos en directo, Reloj despertador, Servicio de conserjería, Toallas, Desayuno en la habitación, Información turística, Silla de masajes, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Equitación, Barbacoa, Barandillas protectoras para bebés, Perchero, Ascensor, Centro de negocios, Servicio de despertador / alarma, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502705775.jpg?k=8769908765795cb0974bb161ade567e27736ce99db26ac806e14d62f21bc868b&o=&hp=1,Finca Santa Rosa,Panamá
Sonesta Hotel Pereira,https://www.booking.com/hotel/co/sonesta-pereira.es.html?aid=2410095,"El Sonesta Hotel Pereira ofrece piscina al aire libre, restaurante, centro de convenciones y conexión Wi-Fi gratuita. Se sirve un desayuno gratuito a diario.

Las habitaciones tienen aire acondicionado, TV por cable, minibar y baño privado con bañera o ducha y secador de pelo. También hay soporte para iPod.

El Sonesta Hotel Pereira alberga pista de tenis, centro de fitness y mostrador de información turística. Tanto en el establecimiento como en los alrededores es posible hacer diversas actividades, como visitar un parque acuático. Además, hay aparcamiento gratuito.

El hotel está a 10 km del centro de convenciones Expofuturo y a 11 km de Villa Olímpica de Pereira y el estadio Hernán Ramírez Villegas. El aeropuerto internacional de Matecaña se halla a 20 minutos en coche.","Baño privado, Restaurante, Servicio de planchado, Prohibido fumar en todo el alojamiento, Muy buen desayuno, WiFi gratis, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Productos de limpieza, Fax / fotocopiadora, Escritorio, Extintores, Caja fuerte para ordenador portátil, Parque acuático, Piscina al aire libre, Artículos de aseo gratis, Pista de tenis, Teléfono, Abierta todo el año, Secador de pelo, Seguridad 24 horas, Bar, Recepción 24 horas, Aire acondicionado, Ascensor, Hipoalergénico, Habitaciones familiares, Ducha, Centro de negocios, Radio, Sofá, Parking gratis, Español, TV, Gimnasio, Suelo de baldosa / mármol, Detectores de humo, Caja fuerte, Adaptado personas de movilidad reducida, Inglés, Servicio de lavandería, Boles para mascotas, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Habitaciones sin humo, Servicio de limpieza diario, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Instalaciones de spa, Armario, Reloj despertador, Jardín, Alarma de seguridad, 2 restaurantes, Habitaciones insonorizadas, Toallas, Minibar, Guardaequipaje, Ropa de cama, Información turística, Tarjeta de acceso, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581032798.jpg?k=a18a1676484807828bd711beb1f5cc7c008f061a79e608b4a1126e4895df4047&o=&hp=1,Finca Santa Rosa,Panamá
Nazca Glamping,https://www.booking.com/hotel/co/nazca-glamping-villamaria.es.html?aid=2410095,"Nazca Glamping tiene vistas a la montaña y se encuentra en Villamaría. Cuenta con restaurante, servicio de habitaciones, cafetería, jardín y terraza.

Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

En el tented camp, la clientela puede disfrutar de bañera de hidromasaje.

Nevado de Santa Isabel está a 49 km del alojamiento, y Cable Aéreo de Manizales está a 6,6 km. El aeropuerto más cercano (Aeropuerto de La Nubia) está a 7 km.","Restaurante, Baño privado, Servicio de entrega de comestibles, Vistas, Tetera/cafetera en todas las habitaciones, Vistas a la montaña, Zona de estar, Extintores, Vistas al jardín, Desayuno, Enchufe cerca de la cama, Artículos de aseo gratis, Snack-bar, Tetera / cafetera, Seguridad 24 horas, Muebles de exterior, Ducha, Parking gratis, Español, Mesa de comedor, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Nevera, Jardín, Alarma de seguridad, Suelo de madera o parquet, Toallas, Desayuno en la habitación, Minibar, Ropa de cama, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/354292390.jpg?k=c3095b7432f9106e4ac7fe91ae20845536f01d852aa64a5f55a423b6e465baf5&o=&hp=1,Finca Santa Rosa,Panamá
Tu apartamento muy cerca al centro Pereira,https://www.booking.com/hotel/co/tu-apartamento-muy-cerca-al-centro-pereira.es.html?aid=2410095,"Tu apartamento muy cerca al centro Pereira se encuentra en La Badea y ofrece alojamiento con balcón y wifi gratis. Este apartamento dispone de piscina privada, jardín y parking privado gratis.

El apartamento cuenta con 2 dormitorios, una cocina con nevera y horno, y 2 baños con bañera de hidromasaje, secador de pelo y lavadora. Hay toallas y ropa de cama en el apartamento.

Ukumari Zoo está a 17 km del alojamiento, y Viaducto entre Pereira y Dosquebradas está a 2,6 km. El aeropuerto más cercano (Aeropuerto internacional Matecaña) está a 7 km del alojamiento.","Baño privado, Wifi rápida gratis (111 Mbps), Bañera de hidromasaje, Prohibido fumar en todo el alojamiento, Cocina, Vistas, Escritorio, Lavadora, Piscina privada, Barbacoa, Horno, Sauna, Secador de pelo, Ascensor, Fogones, Entrada privada, Plancha para ropa, Parking gratis, Español, Piscina, Papel higiénico, Jardín, Zona de cocina, Microondas, Ropa de cama, Toallas, Minibar, Nevera, Balcón, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490400282.jpg?k=c9b7218f14b45225b221043ded7c8c2c6e97ee9107fb6f64dae900a43163a40b&o=&hp=1,Finca Santa Rosa,Panamá
Ayenda 1138 Apartahotel 109,https://www.booking.com/hotel/co/apartahotel-109.es.html?aid=2410095,"El Ayenda 1138 Apartahotel 109 alberga un restaurante y ofrece alojamientos independientes en Dosquebradas. Este aparthotel también proporciona conexión WiFi gratuita.

Los apartamentos disponen de cocina o zona de cocina, TV de pantalla plana por cable y baño privado con bañera o ducha y artículos de aseo gratuitos.

El Ayenda 1138 Apartahotel 109 cuenta con aparcamiento gratuito y ofrece servicio de habitaciones y de lavandería.

El aeropuerto internacional Matecaña se sitúa a 9,6 km del alojamiento.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Vistas a la ciudad, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Canales vía satélite, Productos de limpieza, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Enchufe cerca de la cama, Servicio de despertador, Ventilador, Seguridad 24 horas, Recepción 24 horas, Registro de entrada / salida privado, Hipoalergénico, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Detectores de humo, Servicio de despertador / alarma, Inglés, Habitaciones sin humo, Servicio de limpieza diario, Papel higiénico, Servicio de conserjería, Alarma de seguridad, Toallas, Ropa de cama, Japonés, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/272496244.jpg?k=2d0d60ebeba35a5357ca042719e8b14f9bed14919a44cc1d0e1224163af71221&o=&hp=1,Finca Santa Rosa,Panamá
Hotel Soratama,https://www.booking.com/hotel/co/soratama.es.html?aid=2410095,"Este hotel cuenta con un restaurante y una terraza y está muy bien situado, en el centro de la ciudad de Pereira, justo frente a la plaza Bolivar. Tiene un bar salón panorámico abierto hasta las 22:00, así como WiFi gratuita.

Las habitaciones y suites del Hotel Soratama disponen de baño privado, minibar y TV por cable. Hay servicio de habitaciones de lunes a sábado hasta las 21:00.

La recepción del Soratama permanece abierta las 24 horas y el restaurante sirve platos regionales. Se facilita servicio de lavandería bajo petición.

El Hotel Soratama está a 45 minutos en coche de los baños termales de Santa Rosa y a 10 minutos en coche del aeropuerto de Pereira. Hay aparcamiento privado de pago en las inmediaciones.","Restaurante, Baño privado, Cenas temáticas, Servicio de planchado, Prohibido fumar en todo el alojamiento, Insonorización, WiFi gratis, Vistas, Acceso a pisos superiores en ascensor, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Productos de limpieza, Menú para niños, Escritorio, Extintores, Apoyo visual: braille, Desayuno fabuloso, Enchufe cerca de la cama, Aseo adicional, Servicio de despertador, Cafetera, Artículos de aseo gratis, Teléfono, Secador de pelo, Seguridad 24 horas, Bar, Recepción 24 horas, Aire acondicionado, Ascensor, Habitaciones familiares, Ducha, Plancha para ropa, Parking gratis, Terraza / solárium, WC con barras de apoyo, Español, Adaptado personas de movilidad reducida, TV, Detectores de humo, Caja fuerte, Servicio de despertador / alarma, Adaptado para sillas de ruedas, Servicio de lavandería, Inglés, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Vino / champán, Servicio de limpieza diario, Bañera de hidromasaje / jacuzzi, Armario, Nevera, Servicio de conserjería, Alarma de seguridad, Habitaciones insonorizadas, Cafetería en el alojamiento, Toallas, Guardaequipaje, Información turística, Ropa de cama, Tarjeta de acceso, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/486418377.jpg?k=ce46ca061121c3ffa5e437a4f7b4e10916b206975d5dd2f0945e749dae78a046&o=&hp=1,Finca Santa Rosa,Panamá
Movich Hotel de Pereira,https://www.booking.com/hotel/co/de-pereira-spa-y-centro-de-convenciones.es.html?aid=2410095,"El lujoso Movich Hotel De Pereira, situado a 5 minutos a pie del centro de Pereira, ofrece habitaciones con conexión Wi-Fi gratuita y alberga una piscina al aire libre, un spa, un gimnasio y 3 restaurantes.

El Hotel De Pereira, de 5 estrellas, presenta suelos de mármol pulido y esculturas de madera tallada. Entre las instalaciones del hotel, cabe destacar una bañera de hidromasaje.

Las habitaciones presentan un mobiliario elegante de madera oscura.

Todas las habitaciones disponen de aire acondicionado, minibar y baño. Algunas habitaciones también cuentan con un panel giratorio con TV de pantalla y una zona de estar amplia con arreglos florales y obras de arte contemporáneo.

El restaurante Arrayanes, situado junto a la piscina, sirve un desayuno bufé con dulces típicos y café colombiano. El restaurante Patio de Las Guadas propone comidas ligeras y el restaurante gourmet Ébano, de ambiente formal, ofrece especialidades del chef.

El hotel ofrece servicios de traslado al aeropuerto de Matecaña, situado a 3 km.","Restaurante, Baño privado, WiFi gratis, Vistas, Calefacción, Spa y centro de bienestar, Canales por cable, Salas de reuniones / banquetes, Escritorio, Desayuno fabuloso, Piscina al aire libre, Sauna, Teléfono, Bar, Recepción 24 horas, Aire acondicionado, Masajes, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Gimnasio, Adaptado personas de movilidad reducida, Caja fuerte, Inglés, Servicio de lavandería, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/165894766.jpg?k=24ef8d971f8d00511eaed2a7aab313c389f26cd569adf2d22312260dce27f23f&o=&hp=1,Finca Santa Rosa,Panamá
Glamping Orosierra,https://www.booking.com/hotel/co/glamping-orosierra.es.html?aid=2410095,"Glamping Orosierra, que cuenta con vistas a la ciudad, ofrece alojamiento con piscina al aire libre, jardín y terraza a unos 42 km de Ukumari Zoo. El alojamiento, que se encuentra a 25 km de Viaducto entre Pereira y Dosquebradas, dispone de restaurante y parking privado gratis.

Hay toallas y ropa de cama en el tented camp.

El tented camp ofrece desayuno a la carta o americano.

Glamping Orosierra ofrece bañera de hidromasaje. Se puede descubrir la zona practicando senderismo en los alrededores.

Plaza Bolívar de Pereira está a 27 km del alojamiento, y Monumento a los Fundadores está a 27 km. El aeropuerto más cercano (Aeropuerto internacional Matecaña) está a 32 km del alojamiento.","Restaurante, Baño privado, Bañera de hidromasaje, Vistas, Horario de apertura, Vistas a la ciudad, Balcón, Mobiliario exterior, Productos de limpieza, Baño compartido, Vistas a la montaña, Zona de estar, Extintores, Vistas al jardín, Zona poco profunda, Piscina con vistas, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Ventilador, Abierta todo el año, Habitaciones familiares, Ducha, Parking gratis, Terraza / solárium, Español, Mesa de comedor, Inglés, Senderismo, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Vino / champán, Bañera de hidromasaje / jacuzzi, Jardín, Tour o clase sobre cultura local, Cafetería en el alojamiento, Toallas, Ropa de cama, Zona de comedor, Para todas las edades, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/455911767.jpg?k=fb1c9d7534c15f1747d263eb6d2287b368e7bdf3c8ce333c22857b72ac298f33&o=&hp=1,Finca Santa Rosa,Panamá
