hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Club Laverton,US$107,"8,4",Muy bien,756,https://cf.bstatic.com/xdata/images/hotel/max1024x768/157857633.webp?k=aa99b4b6ae21cb7bcd645c0f182408d77ca5889359a8ff6bce42d72c1570e00c&o=,https://www.booking.com/hotel/au/club-laverton.es.html?aid=2410095,"Guardaequipaje, WC elevado, Snack-bar, Seguridad 24 horas, Toallas, Canales por cable, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Cajero automático en el hotel, Baño privado, Servicio de habitaciones, Desayuno en la habitación, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Calefacción, Aseo adicional, Tostadora, Aire acondicionado, Máquina expendedora (aperitivos), Restaurante, TV de pantalla plana, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Microondas, Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Vino / champán, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Máquina expendedora (bebidas), Happy hour, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Plancha para ropa, Habitaciones familiares, Alarma de seguridad, Proporciona factura, Parking adaptado para personas de movilidad reducida",Werribee,Australia,"El Club Laverton está situado en el centro de Laverton, a 10 minutos en coche del zoológico de Werribee y a 22 minutos en coche del centro de Melbourne. Ofrece conexión Wi-Fi gratuita y un bistró.

Las habitaciones disponen de aire acondicionado, TV de pantalla plana por cable con una selección de películas, nevera, tostadora y set de té y café.

El bistró sirve especialidades locales para el almuerzo y la cena.

El Laverton Club se encuentra a menos de 25 minutos en coche de Federation Square y el aeropuerto internacional de Melbourne."
"Holiday Inn Werribee, an IHG Hotel",US$143,"8,8",Fabuloso,1.438,https://cf.bstatic.com/xdata/images/hotel/max1024x768/317127930.webp?k=c327c35264cdbbca1b02ae55df184a88b5cac9841cd6631ee9af4628ec4b9d11&o=,https://www.booking.com/hotel/au/holiday-inn-werribee.es.html?aid=2410095,"Guardaequipaje, WC elevado, Snack-bar, Seguridad 24 horas, Toallas, Habitaciones insonorizadas, Apoyo visual: carteles táctiles, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Desayuno en la habitación, Fax / fotocopiadora, Bar, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Zona de fumadores, Calefacción, Alarma de seguridad, Reloj despertador, Llave de acceso, Apoyo visual: braille, Aire acondicionado, Cafetería en el alojamiento, Ascensor, Restaurante, TV de pantalla plana, Terraza, Adaptado personas de movilidad reducida, Lavamanos más bajo, Muy buen desayuno, Centro de negocios, Servicio de limpieza en seco, Tarjeta de acceso, Habitaciones sin humo, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Buffet para niños, Inglés, Adaptado para sillas de ruedas, WC con barras de apoyo, Servicio de limpieza diario, Parking en el alojamiento, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Hervidor eléctrico, Extintores, TV, Guiado auditivo, Cuerda de emergencia en el baño, Secador de pelo, Caja fuerte, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares, Servicio de planchado, Gimnasio, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Fruta",Werribee,Australia,"Holiday Inn Werribee, an IHG Hotel tiene centro de fitness, terraza, restaurante y bar en Werribee. El alojamiento está a 29 km de Centro de Convenciones y Exposiciones de Melbourne, a 30 km de Estadio Marvel y a 30 km de Casino Crown Melbourne. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y guardaequipaje.

En el hotel, todas las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. En Holiday Inn Werribee, an IHG Hotel, todas las habitaciones cuentan con aire acondicionado y caja fuerte.

En el alojamiento se puede disfrutar de un desayuno buffet o a la carta.

Hay una cafetería en el alojamiento, y también se puede usar la zona business.

The Block Arcade está a 31 km del alojamiento, y Torre Eureka está a 31 km. El aeropuerto más cercano (Aeropuerto de Avalon) está a 24 km."
Lancemore Mansion Hotel Werribee Park,US$167,"7,8",Bien,659,https://cf.bstatic.com/xdata/images/hotel/max1024x768/16878665.webp?k=4e4da0215cffe05e8a728aea54d17c2fc3fe59a16b38c23ef05c700ae622ee2b&o=,https://www.booking.com/hotel/au/mansion-and-spa.es.html?aid=2410095,"Billar, Guardaequipaje, Desayuno, Toallas, Canales por cable, Canales de pago, Servicio de despertador, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Bañera de hidromasaje / jacuzzi, Menú para niños, Servicio de conserjería, Baño privado, Servicio de habitaciones, Desayuno en la habitación, Artículos de aseo gratis, Albornoz, Fax / fotocopiadora, Bar, Zona de fumadores, Ropa de cama, Piscina interior, Ducha, Calefacción, Servicio de lavandería, Spa y centro de bienestar, Aire acondicionado, Ascensor, Baño de vapor, TV de pantalla plana, Restaurante, Terraza, Adaptado personas de movilidad reducida, Zapatillas, Centro de negocios, Parking gratis, Masajes, Ciclismo, Habitaciones sin humo, Vino / champán, Canales vía satélite, Salas de reuniones / banquetes, Buffet para niños, Inglés, Francés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Información turística, Minibar, Registro de entrada y salida exprés, Escritorio, Instalaciones de spa, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, Hammam, Nevera, TV, Secador de pelo, Caja fuerte, Campo de golf (a menos de 3 km), Jardín, Teléfono, Plancha para ropa, Servicio de planchado, Gimnasio, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Zona de estar",Werribee,Australia,"Set amongst 10 acres of beautiful gardens, Lancemore Mansion Hotel Werribee Park offers contemporary accommodation with garden views. It features a day spa, an indoor swimming pool and a European restaurant.

Lancemore Mansion Hotel Werribee Park is located next to the historic Chirnside Mansion. Werribee's Open Range Zoo and the National Equestrian Centre are each a 3-minute drive away.

Guests can take a walk in the peaceful surroundings of the lovely gardens, or soak up the atmosphere around the open fire of the library. A range of beauty therapies are available at The Spa.

Joseph’s Restaurant and Bar offers modern European cuisine and an extensive wine list featuring many premium varieties. It features beautiful views of Werribee Park."
Werribee Park Motor Inn,US$117,"9,1",Fantástico,606,https://cf.bstatic.com/xdata/images/hotel/max1024x768/528625869.webp?k=c84db46c9702a4cdde2316511d3ce8c3863f1ea5514482b0b9616579859ca114&o=,https://www.booking.com/hotel/au/best-western-werribee-park-motor-inn.es.html?aid=2410095,"Guardaequipaje, Snack-bar, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Tumbonas/sillas de playa, Suelo de moqueta, Plancha para ropa, Baño privado, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Vistas, Zona de cocina, Perchero, Servicio de entrega de comestibles, Ropa de cama, Enchufe cerca de la cama, Ducha, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Servicio de lavandería, Calefacción, Toda la unidad en la planta baja, Tostadora, Aire acondicionado, Toallas de playa/piscina, Sombrillas, TV de pantalla plana, Horario de apertura, Adaptado personas de movilidad reducida, Microondas, Servicio de streaming (como Netflix), Barbacoa, Parking gratis, Utensilios de cocina, Habitaciones sin humo, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, WC con barras de apoyo, De temporada, Para todas las edades, Zona poco profunda, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Habitaciones familiares, Mobiliario exterior, Zona de pícnic, Proporciona factura, Desayuno fabuloso, Parking adaptado para personas de movilidad reducida",Werribee,Australia,"El Werribee Park Motor Inn se encuentra en el centro de Werribee. El Werribee está en el centro de Duncans Road, en la zona de la emblemática calle Watton, cerca de numerosos restaurantes, cafeterías y servicios.

A poca distancia en coche se encuentra el centro de turismo Werribee Park, que alberga el histórico parque y mansión de Werribee, el jardín de rosas Victoria State, el centro ecuestre nacional, el zoológico Werribee Open Range, el puerto Wyndham y la bodega y viñedo Shadowfax.

El establecimiento ofrece conexión WiFi gratuita, piscina al aire libre, zona de barbacoa y aparcamiento gratuito. Las habitaciones disponen de aire acondicionado, utensilios de planchado y TV. El baño incluye artículos de aseo y secador de pelo. Hay servicio de lavandería. Hay servicio de habitaciones y los huéspedes pueden tomar el desayuno en la habitación.

El Werribee Park Motor Inn se encuentra a 7 minutos en coche del club de golf Werribee Park, la mansión Werribee y el Victoria State Rose Garden. Se encuentra a 20 minutos en coche de Melbourne y a 30 minutos en coche de Geelong."
Quest Werribee,US$146,"8,1",Muy bien,843,https://cf.bstatic.com/xdata/images/hotel/max1024x768/490437395.webp?k=7fb3e5d6f2e02f679b0bc01cc76c39a10282d50a14bac101ee076f4844954dd8&o=,https://www.booking.com/hotel/au/quest-werribee.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Canales por cable, Habitaciones insonorizadas, Galerías de arte temporales, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Servicio de habitaciones, Perchero, Artículos de aseo gratis, Cocina, Servicio de entrega de comestibles, Desayuno en la habitación, Mesa de comedor, Servicio de despertador / alarma, Enchufe cerca de la cama, Ducha, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Reloj despertador, Calefacción, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, Tours en bici, Tostadora, Llave de acceso, Aire acondicionado, Proporciona factura, Ascensor, Máquina expendedora (aperitivos), TV de pantalla plana, Microondas, Adaptado personas de movilidad reducida, Radio, Parking en un garaje, Utensilios de cocina, Barbacoa, Servicio de limpieza en seco, Tarjeta de acceso, Fogones, Habitaciones sin humo, Salas de reuniones / banquetes, Inglés, WiFi gratis, Utensilios de planchado, Tours a pie, Parking en el alojamiento, Suelo de baldosa / mármol, Máquina expendedora (bebidas), Registro de entrada y salida exprés, Escritorio, Detectores de humo, Insonorización, Acceso a pisos superiores en ascensor, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, Extintores, Canguro / servicios para niños, Secador de pelo, Caja fuerte, Cámaras de seguridad en las zonas comunitarias, Filipino, Teléfono, Habitaciones familiares, Servicio de planchado, Gimnasio, Suelo de moqueta, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Werribee,Australia,"El Quest Werribee se encuentra a solo 200 metros del río Werribee y cuenta con gimnasio, supermercado y zona de barbacoa con mesas al aire libre. Todos los apartamentos disponen de TV de pantalla plana por cable y reproductor de DVD.

El Quest Werribee Apartments se encuentra a 5 minutos en coche del zoo Werribee Open Range, del hipódromo de Werribee y del club de golf Werribee Park. El aeropuerto internacional de Melbourne está a 35 minutos en coche.

Todos los apartamentos disponen de aire acondicionado y cocina o zona de cocina con microondas y nevera. Además, todos incluyen una amplia zona de estar con escritorio y conexión a internet de banda ancha. La mayoría de los apartamentos cuenta con balcón privado y lavadora."
Private room with shared facilities W,US$42,"7,0",Bien,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515595619.webp?k=e94a9e22ecfd96e71b6052bbaf28227733c044f8e7b70ea6610ae16f11da477c&o=,https://www.booking.com/hotel/au/private-room-with-shared-facilities.es.html?aid=2410095,"Parking gratis, Papel higiénico, Toallas, WC, Nevera, Prohibido fumar en todo el alojamiento, Inglés, Artículos de aseo gratis, Calefacción, Zona de comedor, Ducha",Werribee,Australia,"Private room with shared facilities W se encuentra en Werribee y ofrece alojamiento a 29 km de Centro de Convenciones y Exposiciones de Melbourne, a 30 km de Estadio Marvel y a 30 km de Casino Crown Melbourne. Esta habitación en casa particular está a 30 km de The Block Arcade y a 31 km de Torre Eureka.

Southbank Promenade está a 31 km del alojamiento, y Estación Southern Cross está a 31 km. El aeropuerto más cercano (Aeropuerto de Avalon) está a 26 km."
Private room with shared facilities W,US$42,"7,0",Bien,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515594270.webp?k=af550c3d125cc7c6f6b0da3c5b7decbbb7c33c76c2017f9c778405031234f2fd&o=,https://www.booking.com/hotel/au/private-room-with-shared-facilities-werribee.es.html?aid=2410095,"Utensilios de cocina, Papel higiénico, Toallas, WC, Nevera, Prohibido fumar en todo el alojamiento, Inglés, WiFi gratis, Artículos de aseo gratis, Calefacción, Ducha",Werribee,Australia,"Private room with shared facilities W se encuentra en Werribee, a 29 km de Centro de Convenciones y Exposiciones de Melbourne y a 30 km de Estadio Marvel, y ofrece alojamiento con wifi gratis.

Casino Crown Melbourne está a 30 km del alojamiento, y The Block Arcade está a 31 km. El aeropuerto más cercano (Aeropuerto de Avalon) está a 26 km del alojamiento."
COZY 2 BEDROOM HOUSE /MELBOURNE,US$103,"8,4",Muy bien,11,https://cf.bstatic.com/xdata/images/hotel/max1024x768/474212750.webp?k=3e2f84cc7a8211897c0ff62374f04f909799b99764dd1fead66b70441357cdc6&o=,https://www.booking.com/hotel/au/cozy-2-bedroom-house-melbourne.es.html?aid=2410095,"Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Croata, Baño privado, Toda la unidad en la planta baja, Bañera o ducha, Perchero, Cocina, Calefacción, Ventilador, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Muebles de exterior, Tostadora, Aire acondicionado, Mosquitera, TV de pantalla plana, Microondas, Zona de comedor, Tendedero, Utensilios de cocina, Parking gratis, Fogones, Sofá cama, Inglés, WiFi gratis, Eslovaco, Suelo de baldosa / mármol, Serbio, Lavadora, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Entrada privada, Zona de comedor exterior, Secador de pelo, Bañera, Horno, Suelo de moqueta, Zona de estar",Werribee,Australia,"COZY 2 BEDROOM HOUSE /MELBOURNE está en Werribee, a 30 km de Estadio Marvel, a 30 km de Casino Crown Melbourne y a 31 km de Zoo de Melbourne. Este alojamiento está a 29 km de Centro de Convenciones y Exposiciones de Melbourne y ofrece wifi gratis y parking privado en el propio alojamiento.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y hervidor, y 1 baño con ducha y secador de pelo. Hay toallas y ropa de cama en la casa o chalet.

The Block Arcade está a 31 km del alojamiento, y Torre Eureka está a 31 km. El aeropuerto más cercano (Aeropuerto de Avalon) está a 26 km."
Affordable and easy access to everything,US$132,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/525280278.webp?k=1b3d66ba2cb6baa35d12f71d32d88ad655befc7098d7939c08531500fa644af2&o=,https://www.booking.com/hotel/au/affordable-and-easy-access-to-everything.es.html?aid=2410095,"Parking gratis, Prohibido fumar en todo el alojamiento, Inglés, Baño privado, WiFi gratis, Cocina, Calefacción",Werribee,Australia,"Affordable and easy access to everything se encuentra en Werribee, a 30 km de Estadio Marvel, a 30 km de Casino Crown Melbourne y a 30 km de The Block Arcade. Este alojamiento está a 29 km de Centro de Convenciones y Exposiciones de Melbourne y ofrece wifi gratis y parking privado en el propio alojamiento.

La casa o chalet se compone de 3 dormitorios, una sala de estar, una cocina totalmente equipada y 1 baño.

Torre Eureka está a 31 km del alojamiento, y Southbank Promenade está a 31 km. El aeropuerto más cercano (Aeropuerto de Avalon) está a 26 km."
Apple House Upper Point Cook,US$78,"8,5",Muy bien,78,https://cf.bstatic.com/xdata/images/hotel/max1024x768/253646828.webp?k=54f9222a79e66edbf993ec4a9022a037e48bba7de8f7f5a41edc4a04f3e51e2d&o=,https://www.booking.com/hotel/au/apple-house-upc.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Toallas, Secadora de ropa, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Plancha para ropa, Toda la unidad en la planta baja, Perchero, Artículos de aseo gratis, Cocina, Zona de cocina, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Calefacción, Cantonés, Chino, Productos de limpieza, Tostadora, Aire acondicionado, Microondas, Tendedero, Utensilios de cocina, Parking gratis, Fogones, Habitaciones sin humo, Parking en la calle, Inglés, WiFi gratis, Utensilios de planchado, Zona TV / salón de uso compartido, Lavadora, Escritorio, Detectores de humo, Papel higiénico, Armario, Nevera, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Alarma de seguridad, Horno, Lavavajillas, Proporciona factura, Zona de juegos interior, Zona de estar",Werribee,Australia,"Apple House Upper Point Cook se encuentra en Point Cook, a 25 km de Centro de Convenciones y Exposiciones de Melbourne y a 26 km de Estadio Marvel, y ofrece alojamiento con wifi gratis, aire acondicionado, jardín y salón de uso común.

Cada unidad dispone de una cocina totalmente equipada con nevera, lavavajillas, horno, microondas, fogones y tostadora.

Casino Crown Melbourne está a 26 km del alojamiento, y The Block Arcade está a 27 km. El aeropuerto más cercano (Aeropuerto de Avalon) está a 28 km."
Home stay,US$44,"4,5",Puntuación,13,https://cf.bstatic.com/xdata/images/hotel/max1024x768/447977438.webp?k=f953fe3bfe3458366fdb4143b407f516aa25963e90591d16566fe2dcafeb7b23&o=,https://www.booking.com/hotel/au/home-stay-wyndham-vale.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Toda la unidad en la planta baja, Albornoz, Zona de fumadores, Ventilador, Servicio de lavandería, Zona de comedor, Eventos deportivos en directo (emisión), Fogones, Habitaciones sin humo, Parking en la calle, Noches de cine, Servicio de limpieza diario, Utensilios de planchado, Papel higiénico, Hervidor eléctrico, WC, TV, Zona de comedor exterior, Sofá, Wifi rápida gratis (53 Mbps), Zona de pícnic, Clases de cocina, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Bañera de hidromasaje, Servicio de entrega de comestibles, Vistas, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Tostadora, Aseo compartido, Juegos de mesa / puzles, Microondas, Ciclismo, Tour o clase sobre cultura local, Nevera, Teléfono, Horno, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Perchero, Cocina compartida, Calefacción, Ropa de cama, Zapatillas, Utensilios de cocina, Cenas temáticas, Vino / champán, Suelo de baldosa / mármol, Zona TV / salón de uso compartido, Lavadora, Detectores de humo, Equipamiento de bádminton, Baño compartido, Armario, Habitaciones familiares, Servicio de planchado, Servicio de traslado, Bañera, Lavavajillas, Fruta, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Reloj despertador, Patio, Productos de limpieza, Servicio de streaming (como Netflix), Tendedero, Parking gratis, Vistas a un patio interior, Inglés, Entretenimiento nocturno, Tours a pie, Vistas al jardín, Jardín, Proporciona factura, Zona de estar",Werribee,Australia,"Home stay se encuentra en Wyndham Vale, a 35 km de Centro de Convenciones y Exposiciones de Melbourne, y ofrece alojamiento con jardín, wifi gratis, cocina compartida y salón de uso común. Esta habitación en casa particular dispone de parking privado gratis y recepción 24 horas.

La habitación en casa particular tiene TV. La cocina cuenta con nevera, lavavajillas y horno, y hay ducha, artículos de aseo gratuitos y zapatillas.

Se puede descubrir la zona practicando ciclismo en los alrededores.

Estadio Marvel está a 36 km del alojamiento, y Casino Crown Melbourne está a 36 km. El aeropuerto más cercano (Aeropuerto de Avalon) está a 25 km del alojamiento."
House of twenty Eight,US$70,"3,8",Puntuación,5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/511497054.webp?k=c8fbb73aac17b861baf2be6b4a03a7fc3f9a650d921ef05e7944488790065eee&o=,https://www.booking.com/hotel/au/budget-room.es.html?aid=2410095,"Toallas, Vestidor, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Bañera o ducha, Toallas / sábanas (por un suplemento), Perchero, Calefacción, Ventilador, Ropa de cama, Ducha, Traslado aeropuerto, Registro de entrada / salida privado, Microondas, Parking gratis, Inglés, Escritorio, Insonorización, Bidet, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, Tetera / cafetera, Habitaciones familiares, Bañera",Werribee,Australia,"House of twenty Eight se encuentra en Tarneit, a 29 km de Casino Crown Melbourne, a 29 km de Zoo de Melbourne y a 30 km de The Block Arcade. El alojamiento tiene parking privado gratis y está a 28 km de Centro de Convenciones y Exposiciones de Melbourne y a 29 km de Estadio Marvel.

Hay toallas y ropa de cama en la habitación en casa particular.

Torre Eureka está a 30 km del alojamiento, y Southbank Promenade está a 30 km. El aeropuerto más cercano (Aeropuerto de Melbourne) está a 28 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
alin vacation house,US$217,"8,3",Muy bien,6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/508109807.webp?k=09b04ad35f08c54d838bc0f628b9cbe24be391341ddba18792377b176623c3b7&o=,https://www.booking.com/hotel/au/alin-vacation-house.es.html?aid=2410095,"Guardaequipaje, Toallas, Canales por cable, Vestidor, Bañera de hidromasaje / jacuzzi, Prohibido fumar en todo el alojamiento, Independiente, Bañera o ducha, Artículos de aseo gratis, Cocina, Perchero, Calefacción, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Ventilador, Muebles de exterior, Chino, Aseo adicional, Patio, Productos de limpieza, Tostadora, Aseo compartido, Aire acondicionado, TV de pantalla plana, Terraza, Microondas, Zona de comedor, Trona, Zapatillas, Tendedero, Utensilios de cocina, Toda la unidad accesible en silla de ruedas, Barbacoa, Fogones, Apartamento privado en edificio, Canales vía satélite, Inglés, Wifi rápida gratis (57 Mbps), Balcón, Vistas, Suelo de baldosa / mármol, Minibar, Lavadora, Escritorio, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Entrada privada, Vistas al jardín, Zona de comedor exterior, Secador de pelo, Sofá, Jardín, Habitaciones familiares, Bañera, Horno, Lavavajillas, Suelo de moqueta, Zona de estar",Werribee,Australia,"Alin vacation house está en Point Cook, a 26 km de Centro de Convenciones y Exposiciones de Melbourne y a 27 km de Estadio Marvel, y dispone de alojamiento con wifi gratis, aire acondicionado, jardín y terraza. Este alojamiento con vistas al jardín ofrece balcón.

Esta casa o chalet tiene 4 dormitorios, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 2 baños con ducha. Hay toallas y ropa de cama en la casa o chalet.

Casino Crown Melbourne está a 27 km del alojamiento, y The Block Arcade está a 28 km. El aeropuerto más cercano (Aeropuerto de Avalon) está a 27 km."
1 Bedroom House,US$114,"3,0",Puntuación,3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/404466751.webp?k=80f2b4fdce4da9d5404bb04959abe3090bb3ec7f0d7f141de57d8587b21c2435&o=,https://www.booking.com/hotel/au/1-bedroom-house.es.html?aid=2410095,"Parking gratis, Aire acondicionado, Prohibido fumar en todo el alojamiento, Inglés, TV de pantalla plana, Cocina, Lavadora",Werribee,Australia,"1 Bedroom House se encuentra a 27 km de Casino Crown Melbourne y a 28 km de The Block Arcade, en Tarneit, y ofrece alojamiento con cocina. El alojamiento tiene parking privado gratis y está a 26 km de Centro de Convenciones y Exposiciones de Melbourne y a 27 km de Estadio Marvel.

Esta casa o chalet de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar.

Torre Eureka está a 28 km del alojamiento, y Southbank Promenade está a 28 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 30 km del alojamiento."
Melbourne holiday house for 13 people in Sanctuary Lake,US$181,"8,3",Muy bien,3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/503568356.webp?k=20cafad6fec0f732c42e743692feab6c4268b6690bcde6d11fa724d25d5d7b2c&o=,https://www.booking.com/hotel/au/melbourne-seabrook-house-4rooms-new-stylist-modern-seabrook.es.html?aid=2410095,"Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Bañera de hidromasaje, Toda la unidad en la planta baja, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Vistas, Cocina, Mesa de comedor, Ropa de cama, Zona de cocina, Ducha, Enchufe cerca de la cama, Cámaras de seguridad fuera del alojamiento, Calefacción, Ventilador, Aseo adicional, Productos de limpieza, Tostadora, Suelo de madera o parquet, Aire acondicionado, Terraza, Microondas, Zona de comedor, Utensilios de cocina, Parking gratis, Toda la unidad accesible en silla de ruedas, Perchero, Fogones, Habitaciones sin humo, Inglés, WiFi gratis, Lavadora, Escritorio, Detectores de humo, Insonorización, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, Entrada privada, Zona de comedor exterior, Secador de pelo, Vietnamita, Jardín, Habitaciones familiares, Bañera, Horno, Lavavajillas, Proporciona factura, Mobiliario exterior, Parking en un garaje",Werribee,Australia,"Melbourne holiday house for 13 people in Sanctuary Lake está en Altona Meadows, a 22 km de Centro de Convenciones y Exposiciones de Melbourne y a 23 km de Estadio Marvel, y ofrece alojamiento con wifi gratis, aire acondicionado, jardín y terraza. El alojamiento dispone de bañera de hidromasaje.

Cada unidad tiene una cocina totalmente equipada con nevera, lavavajillas, horno, microondas, fogones y tostadora. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Casino Crown Melbourne está a 23 km del alojamiento, y The Block Arcade está a 24 km. El aeropuerto (Aeropuerto de Essendon Fields) está a 26 km."
