hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Villa Mercedes Colonial,https://www.booking.com/hotel/co/colonial-villa-mercedes.es.html?aid=2410095,"Hotel Villa Mercedes Colonial se encuentra en Sopó, a 33 km de Centro Comercial Unicentro y a 39 km de Estadio El Campín. Ofrece alojamiento con jardín y wifi gratis, además de parking privado gratis. El alojamiento está a unos 43 km de Plaza de Bolívar, a 44 km de Biblioteca Luis Ángel Arango y a 44 km de Plazoleta del Chorro de Quevedo. Este alojamiento libre de humo está a 43 km de Centro Internacional de Negocios y Exposiciones - Corferias.

En el hotel, las habitaciones tienen patio. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la montaña. En Hotel Villa Mercedes Colonial, cada habitación está equipada con escritorio y TV.

En el alojamiento se puede disfrutar de un desayuno americano.

Cerro de Monserrate está a 45 km del alojamiento, y Parque Jaime Duque está a 12 min a pie. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 43 km del alojamiento.","Juegos de mesa / puzles, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Caja fuerte, Bañera o ducha, Habitaciones sin humo, Cambio de moneda, Vistas, Baño privado, Jardín, Extintores, TV, Armario, Vino / champán, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Patio, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Enchufe cerca de la cama, Traslado aeropuerto (gratis), Productos de limpieza, Tarjeta de acceso, Vistas a un patio interior, Vistas a la montaña, Escritorio, Servicio de lavandería, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/471775638.jpg?k=20c74ce8134979f46496bd7511c8ba80025c5f7697d21e65d269d07e74d30153&o=&hp=1,Sopó,Colombia
El Pedregal Sopó,https://www.booking.com/hotel/co/el-pedregal-sopo.es.html?aid=2410095,"El Pedregal Sopó se encuentra en Sopó, en las montañas, y ofrece vistas panorámicas al valle. Está rodeado por un bosque nativo. El establecimiento sirve desayunos.

TV de pantalla plana, reproductor de Blu-ray y ordenador portátil. Algunas habitaciones tienen zona de estar. Todas incluyen cafetera. El baño es privado e incluye bañera o ducha.

El Pedregal Sopó ofrece un ambiente tranquilo para los huéspedes que deseen relajarse en un tranquilo bed and breakfast. La recepción está abierta las 24 horas. Se ofrece servicio de traslado a lugares de interés cercanos, como el restaurante Isla Morada, el parapente El Paraíso, el parque ecológico Pionono, el parque Jaime Duque y la catedral de la sal de Zipaquirá y Nemocón, entre otros.

En los alrededores se pueden practicar diversas actividades, como golf, ciclismo y senderismo. El Pedregal Sopó se encuentra a 35 km de Bogotá y a 29 km de Suesca. El aeropuerto internacional El Dorado está a 31 km. Se ofrece servicio de traslado por un suplemento.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Cafetería en el alojamiento, Habitaciones sin humo, Senderismo, Servicio de limpieza diario, Cenas temáticas, Calefacción, Baño privado, Jardín, Extintores, Campo de golf (a menos de 3 km), Ciclismo, Traslado aeropuerto, Vino / champán, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Servicio de traslado, Desayuno excepcional, Fruta, Seguridad 24 horas, WiFi gratis, Cocina compartida, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Zona de juegos interior, Mobiliario exterior, Alquiler de bicicletas, Llave de acceso, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Habitaciones familiares, Español, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/144048176.jpg?k=8cb362cd70fcef025cb24d7432037e4629d3c49e1f4ff9d44a0a93b2128313cd&o=&hp=1,Sopó,Colombia
Hotel Cerro Fuerte,https://www.booking.com/hotel/co/cerro-fuerte.es.html?aid=2410095,"Hotel Cerro Fuerte está en Sopó, a 37 km de Centro Comercial Unicentro, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. El alojamiento dispone de bar y se encuentra a 41 km de Cerro de Monserrate. El hotel también ofrece wifi gratis y servicio de traslado de pago para ir o volver del aeropuerto.

Estadio El Campín está a 44 km del alojamiento, y Centro Internacional de Negocios y Exposiciones - Corferias está a 48 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 46 km.","Desayuno, Terraza, Cafetería en el alojamiento, Habitaciones sin humo, Vistas, Calefacción, Jardín, Extintores, Traslado aeropuerto, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Proporciona factura, Zona de pícnic, Barbacoa, Mobiliario exterior, Llave de acceso, Chimenea exterior, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Habitaciones familiares, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/437963676.jpg?k=cd3541e30974cc148a695f55c49a0829ae889821d80ce22612a07920b98d54fb&o=&hp=1,Sopó,Colombia
Tu Casa - Hotel Rural,https://www.booking.com/hotel/co/tu-casa-hotel-rural.es.html?aid=2410095,"Tu Casa - Hotel Rural se encuentra en Sopó, a 30 km de Centro Comercial Unicentro, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este alojamiento ofrece servicio de habitaciones y mostrador de información turística, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento incluyen un balcón con vistas a la montaña.

En el hostal o pensión, las habitaciones incluyen un patio con vistas al jardín. Cada habitación incluye baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen cocina con nevera. Las habitaciones tienen escritorio.

Tu Casa - Hotel Rural ofrece zona de juegos infantil. La clientela puede practicar actividades en Sopó y alrededores, como senderismo y ciclismo.

Cerro de Monserrate está a 39 km del alojamiento, y Estadio El Campín está a 39 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 42 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Secador de pelo, Terraza, Dardos, Juegos de mesa / puzles, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Chimenea, Habitaciones sin humo, Servicios de belleza, Senderismo, Vistas, Servicio de limpieza diario, Inglés, Libros, DVD o música para niños, Baño privado, Jardín, Extintores, Calefacción, Manicura, Campo de golf (a menos de 3 km), Ciclismo, Armario, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Italiano, Equipamiento de juegos para exterior, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Patio, Entrada privada, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, Ducha, Wifi básica gratis (8 Mbps), Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Zona de fumadores, Zona de pícnic, Zona de juegos interior, Mobiliario exterior, Productos de limpieza, Sofá, Desayuno en la habitación, Zona de estar, Vistas al jardín, Servicio de planchado, Escritorio, Servicio de lavandería, WC, Zona de comedor exterior, Terraza / solárium, Sofá cama, Zona de comedor, Restaurante, Pedicura, Toallas, Lavadora, Habitaciones familiares, Español, Artículos de aseo gratis, Tratamientos faciales, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527134793.jpg?k=99ff24bb262350698293e819d91fb1fe58054e615df09a1fdf934e5fc0167e42&o=&hp=1,Sopó,Colombia
Cabañas Sinduly Bed & Breakfast,https://www.booking.com/hotel/co/cabana-agrreste.es.html?aid=2410095,"Cabañas Sinduly Bed & Breakfast tiene vistas a la ciudad y se encuentra en Sopó. Cuenta con restaurante, salón de uso común, bar, jardín, terraza y barbacoa. En la casa o chalet, tanto el wifi como el parking privado son gratis.

Las unidades están equipadas con patio y disponen de TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Cabañas Sinduly Bed & Breakfast ofrece sauna.

Centro Comercial Unicentro está a 38 km del alojamiento, y Cerro de Monserrate está a 43 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 46 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Almuerzos para llevar, Chimenea, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Ventilador, Servicio de limpieza diario, Calefacción, Baño privado, Jardín, Solárium, Libros, DVD o música para niños, TV, Extintores, Inglés, Traslado aeropuerto, Perchero, Vino / champán, Tetera / cafetera, Snack-bar, Sala de juegos, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Patio, Ropa de cama, Desayuno excepcional, Menús para dietas especiales (bajo petición), Servicio de traslado, Artículos de aseo gratis, WiFi gratis, Ducha, Sauna, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Boles para mascotas, Plancha para ropa, Proporciona factura, Zona de fumadores, Zona de pícnic, Barbacoa, Mobiliario exterior, Productos de limpieza, Sofá, Vistas a la montaña, Aseo adicional, Desayuno en la habitación, Zona de estar, Vistas al jardín, Servicio de despertador, Servicio de lavandería, WC, Zona de comedor exterior, Microondas, Reproductor de DVD, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Zona de comedor, TV de pantalla plana, Toallas, Español, Vistas a la ciudad, Nevera, Utensilios de cocina, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/401394824.jpg?k=a7ff111ab74104d1bf796a145b0f75be928d3c571d496339668102cc2919ffa1&o=&hp=1,Sopó,Colombia
Cabaña Sopó,https://www.booking.com/hotel/co/cabana-sopo.es.html?aid=2410095,"Cabaña Sopó está en Sopó, a solo 31 km de Centro Comercial Unicentro, y dispone de alojamiento con vistas a la montaña, wifi gratis y parking privado gratis. El alojamiento ofrece vistas al jardín y está a 35 km de Cerro de Monserrate y a 41 km de Estadio El Campín.

El chalet de montaña tiene patio, 1 dormitorio, sala de estar y cocina bien equipada con nevera y fogones.

Centro Internacional de Negocios y Exposiciones - Corferias está a 45 km del alojamiento, y Plaza de Bolívar está a 46 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 43 km.","Independiente, Prohibido fumar en todo el alojamiento, Chimenea, Bañera o ducha, Muebles de exterior, Suelo de madera o parquet, Vistas, Inglés, Libros, DVD o música para niños, Cocina, Parking gratis, Fogones, Patio, Ropa de cama, WiFi gratis, Ducha, Mesa de comedor, Vistas a un lugar de interés, Zona de cocina, Barbacoa, Cafetera, Cama plegable, Vistas a un patio interior, Vistas a la montaña, Zona de estar, Vistas al jardín, Escritorio, Tostadora, Zona de comedor exterior, Sofá cama, Zona de comedor, Español, Nevera, Utensilios de cocina, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528250567.jpg?k=5d5ed98d92084b9e1bc6298fe463cb966fbaec550561a3d813aebec06759d692&o=&hp=1,Sopó,Colombia
CASA MIRADOR AL CERRO,https://www.booking.com/hotel/co/casa-mirador-al-cerro.es.html?aid=2410095,"CASA MIRADOR AL CERRO se encuentra en Sopó, a solo 36 km de Centro Comercial Unicentro, y ofrece alojamiento con vistas al jardín, wifi gratis y parking privado gratis. Esta casa o chalet está a 42 km de Estadio El Campín y a 42 km de Cerro de Monserrate.

La casa o chalet dispone de terraza, 2 dormitorios, sala de estar y cocina bien equipada. Se ofrece TV de pantalla plana.

Centro Internacional de Negocios y Exposiciones - Corferias está a 46 km del alojamiento, y Plaza de Bolívar está a 47 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 44 km del alojamiento.","Zona de cocina, Terraza, Parking gratis, TV de pantalla plana, Lavadora, Español, WiFi gratis, Vistas al jardín, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529335588.jpg?k=224fb0bb2ce256b8a9be41c05bc21bf8b0f869dea129cbd2fc36546af1a68a73&o=&hp=1,Sopó,Colombia
Córest Hotel B&B,https://www.booking.com/hotel/co/hostal-corest.es.html?aid=2410095,"El Córest Hotel B&B, situado en Tocancipá, ofrece restaurante y conexión WiFi y aparcamiento privado, ambos de forma gratuita.

Todas las habitaciones cuentan con TV por cable, ropa de cama y baño privado con artículos de aseo gratuitos.

El Córest Hotel B&B tiene recepción 24 horas, jardín, campo de fútbol artificial y servicios de limpieza en seco, de planchado y de lavandería.

El Aeropuerto Internacional El Dorado se encuentra a 60 minutos en coche.","Desayuno, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Baños públicos, Habitaciones sin humo, Senderismo, Recepción 24 horas, Inglés, Baño privado, Jardín, Extintores, TV, Campo de golf (a menos de 3 km), Ciclismo, Tour o clase sobre cultura local, Traslado aeropuerto, Información turística, Servicio de limpieza en seco, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Entrada privada, Ropa de cama, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Zona de fumadores, Radio, Canales por cable, Tours a pie, Equitación, Servicio de planchado, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/338259864.jpg?k=eb08ad025ee20934a4991ba04773a948f8cdeed7a3d0b2fde856bb3ad6d1f06f&o=&hp=1,Sopó,Colombia
Tocancipa Hotel THEMIS,https://www.booking.com/hotel/co/casa-themis-tocancipa-rural.es.html?aid=2410095,"Tocancipa Hotel THEMIS tiene vistas a la montaña, wifi gratis y parking privado gratis. Está en Tocancipá, a 39 km de Centro Comercial Unicentro.

Las unidades están equipadas con patio y disponen de TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

La habitación en casa particular ofrece terraza solárium.

Después de un día de senderismo o ciclismo, la clientela puede relajarse en el jardín o el salón de uso común.

Estadio El Campín está a 46 km del alojamiento, y Cerro de Monserrate está a 47 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 48 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de entrega de comestibles, Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Alarma de seguridad, Prohibido fumar en todo el alojamiento, Baños públicos, Cafetería en el alojamiento, Toallas / sábanas (por un suplemento), Senderismo, Cenas temáticas, Baño privado, Jardín, Extintores, TV, Campo de golf (a menos de 3 km), Ciclismo, Armario, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Patio, Tours en bici, Ropa de cama, Desayuno excepcional, Fruta, Menús para dietas especiales (bajo petición), Seguridad 24 horas, Cocina compartida, Ducha, Servicio de traslado, Wifi básica gratis (8 Mbps), Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Proporciona factura, Bañera de hidromasaje / jacuzzi, Zona de fumadores, Zona de pícnic, Mobiliario exterior, Productos de limpieza, Tours a pie, Vistas a la montaña, Aseo adicional, Desayuno en la habitación, Zona de estar, Llave de acceso, Servicio de planchado, Servicio de lavandería, WC, Baño de vapor, Terraza / solárium, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Bar, Zona de comedor, TV de pantalla plana, Habitaciones comunicadas disponibles, Toallas, Plancha para pantalones, Español, Happy hour, Artículos de aseo gratis, Aseo compartido, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582049700.jpg?k=1a8f720d7a47789d4de8999617387877c4c99b13a1d7206a540a6dc17699e561&o=&hp=1,Sopó,Colombia
Hotel Boston,https://www.booking.com/hotel/co/boston-sopo.es.html?aid=2410095,"Hotel Boston está en Sopó, a 32 km de Centro Comercial Unicentro, y dispone de alojamiento con jardín, parking privado gratis, restaurante y bar. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo se encuentra a 39 km de Estadio El Campín.

En el hotel, todas las habitaciones incluyen un patio con vistas al jardín. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas al lago. En Hotel Boston, las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno americano.

Centro Internacional de Negocios y Exposiciones - Corferias está a 43 km del alojamiento, y Plaza de Bolívar está a 43 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 42 km.","Desayuno, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Inglés, Baño privado, Jardín, Traslado aeropuerto, Parking gratis, Patio, Ropa de cama, Vistas al lago, WiFi gratis, Ducha, Servicio de habitaciones, Mesa de comedor, Traslado aeropuerto (gratis), Vistas al jardín, Servicio de despertador, Bar, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522442523.jpg?k=d02dc1fc36d5813eacf82f081ee9bd552bb93f0f54010df0b8b8df8e05417b77&o=&hp=1,Sopó,Colombia
Pop Art Hotel Tocancipá y Centro de Convenciones,https://www.booking.com/hotel/co/pop-art.es.html?aid=2410095,"Pop Art Hotel Tocancipá y Centro de Convenciones está en Tocancipá, a 38 km de Centro Comercial Unicentro, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y restaurante. Este hotel de 4 estrellas ofrece centro de negocios y servicio de conserjería. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas habitaciones también cuentan con zona de cocina con nevera y microondas. Las unidades tienen caja fuerte.

En Pop Art Hotel Tocancipá y Centro de Convenciones se puede disfrutar de un desayuno buffet.

En el alojamiento, la clientela puede disfrutar de sauna. Puedes jugar al billar en Pop Art Hotel Tocancipá y Centro de Convenciones.

Estadio El Campín está a 44 km del alojamiento, y Cerro de Monserrate está a 47 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 47 km.","Secador de pelo, Spa y centro de bienestar, Alarma de seguridad, Teléfono, Habitaciones sin humo, Suelo de madera o parquet, Baño privado, Jardín, Centro de negocios, Extintores, Instalaciones de spa, Parking gratis, Ropa de cama, Servicio de habitaciones, Masaje de pies, Proporciona factura, Máquina expendedora (bebidas), Restaurante, Masaje de espalda, Sala de juegos, Personal de animación, Cafetería en el alojamiento, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, WiFi gratis, Máquina expendedora (aperitivos), Taquillas en el gimnasio / spa, Canales por cable, Desayuno en la habitación, Escritorio, Salas de reuniones / banquetes, Baño de vapor, Cámaras de seguridad fuera del alojamiento, Masaje de cuello, Canales vía satélite, Habitaciones familiares, Servicio de despertador / alarma, Papel higiénico, Fax / fotocopiadora, Caja fuerte, Masaje de manos, TV, Armario, Masajes, Servicio de traslado, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Detectores de humo, Sauna, Zona de pícnic, Caja fuerte para ordenador portátil, Productos de limpieza, Servicio de planchado, Guardaequipaje, WC, Bar, TV de pantalla plana, Toallas, Español, Prohibido fumar en todo el alojamiento, Vistas, Recepción 24 horas, Inglés, Masaje en pareja, Traslado aeropuerto, Vino / champán, Servicio de conserjería, Entrada privada, Menús para dietas especiales (bajo petición), Fruta, Ducha, Servicio de despertador, Servicio de lavandería, Masaje corporal completo, Billar, Ascensor, Artículos de aseo gratis, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/225625916.jpg?k=82bdf26b5bcdfa3c794263c8771c345a3883450ed5608972df08bc91bb4f6eba&o=&hp=1,Sopó,Colombia
Skyline Glamping Guasca,https://www.booking.com/hotel/co/skyline-glamping-guasca-guasca.es.html?aid=2410095,"Skyline Glamping Guasca se encuentra a 42 km de Centro Comercial Unicentro y ofrece alojamiento conjardín, terraza y servicio de habitaciones.

Cerro de Monserrate está a 46 km del alojamiento, y Parque Jaime Duque está a 18 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 54 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Recepción 24 horas, Calefacción, Baño privado, Jardín, Extintores, Desayuno fantástico, Aire acondicionado, Menú para niños, Servicio de limpieza en seco, Parking gratis, Registro de entrada / salida privado, Servicio de traslado, Servicio de habitaciones, Desayuno en la habitación, Solo para adultos, Chimenea exterior, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/312375821.jpg?k=479beb1c86c8bb66b73b489763c925e90ed7054577ba6a1b86eb2afc60acfa60&o=&hp=1,Sopó,Colombia
Jardin Colibri RNT 33633,https://www.booking.com/hotel/co/jardin-colibri.es.html?aid=2410095,"El Jardin Colibri RNT 33633 es una pequeña casa rural ecológica de gestión familiar que está situada en plena naturaleza, entre Guasca y Guatavita, y cuenta con cocina compartida.

El alojamiento tiene balcón con vistas al jardín y a los alrededores y baño privado con ducha y toallas.

El Jardin Colibri RNT 33633 alberga un restaurante especializado en alimentos ecológicos cultivados en la propia granja. Además, el establecimiento ofrece servicio de información turística y aparcamiento privado gratuito.

Guatavita es un lugar ideal para disfrutar de la naturaleza y realizar actividades al aire libre como parapente, senderismo y trekking. El aeropuerto internacional El Dorado se halla a 36 km.","Terraza, Dardos, Juegos de mesa / puzles, Chimenea, Habitaciones sin humo, Senderismo, Vistas, Cenas temáticas, Inglés, Baño privado, Jardín, Extintores, Masajes, Vino / champán, Información turística, Parking gratis, Ping pong, Ropa de cama, Servicio de traslado, Fruta, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Tours a pie, Sofá, Vistas a la montaña, Desayuno en la habitación, Vistas al jardín, Barandillas de seguridad para bebés, Restaurante, Balcón, Toallas, Habitaciones familiares, Español, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/50921556.jpg?k=f19015a567d312fba2f80827271113d305d1987bf5f72c1e30e48b2fe9b10d11&o=&hp=1,Sopó,Colombia
La Comarca de los Sueños,https://www.booking.com/hotel/co/la-comarca-de-los-suenos.es.html?aid=2410095,"La Comarca de los Sueños se encuentra en Sopó, a 41 km de Centro Comercial Unicentro, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. El alojamiento está a unos 46 km de Cerro de Monserrate, a 47 km de Estadio El Campín y a 10 km de Parque Jaime Duque. El alojamiento dispone de servicio de habitaciones y wifi gratis.

En el hostal o pensión, todas las habitaciones disponen de escritorio. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la montaña. En La Comarca de los Sueños, cada habitación incluye ropa de cama y toallas.

La clientela puede practicar actividades en Sopó y alrededores, como senderismo y ciclismo.

Parque Deportivo 222 está a 33 km del alojamiento, y Museo El Chico está a 44 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 50 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Chimenea, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Minibar, Suelo de madera o parquet, Vistas, Cenas temáticas, Inglés, Baño privado, Jardín, Extintores, 2 restaurantes, Ciclismo, Masajes, Vino / champán, Perchero, Menú para niños, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Entrada privada, Ropa de cama, Vistas al lago, WiFi gratis, Ducha, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Zona de pícnic, Mobiliario exterior, Productos de limpieza, Vistas a la montaña, Desayuno en la habitación, Zona de estar, Llave de acceso, Vistas al jardín, Chimenea exterior, Escritorio, WC, Cámaras de seguridad fuera del alojamiento, Toda la unidad en la planta baja, Instalaciones para deportes acuáticos en el alojamiento, Zona de comedor, Restaurante, Toallas, Español, Nevera, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/278558286.jpg?k=207ad5c803be47ad43bf1742838e7f6d280bced1f7ea226a5d2d4a00932a007d&o=&hp=1,Sopó,Colombia
Casa rural tipo loft,https://www.booking.com/hotel/co/casa-rural-tipo-loft.es.html?aid=2410095,"Casa rural tipo loft ofrece restaurante y vistas a la montaña. Está en Guatavita, a 50 km de Cerro de Monserrate y a 12 km de Parque Jaime Duque. El alojamiento, que se encuentra a 44 km de Centro Comercial Unicentro, ofrece jardín y parking privado gratis.

El apartamento cuenta con terraza y vistas a la ciudad, y dispone de 2 dormitorios, una sala de estar, TV, una cocina equipada con nevera y lavavajillas, y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

Hay barbacoa en el propio alojamiento, y se puede practicar senderismo cerca.

Parque Deportivo 222 está a 36 km del alojamiento, y Museo El Chico está a 48 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 53 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Independiente, Chimenea, Bañera o ducha, Senderismo, Muebles de exterior, Suelo de madera o parquet, Vistas, Baño privado, Jardín, Cocina, TV, Armario, Traslado aeropuerto, Información turística, Parking gratis, Fogones, Entrada privada, Ropa de cama, Vistas al lago, Artículos de aseo gratis, Ducha, Mesa de comedor, Enchufe cerca de la cama, Vistas a un lugar de interés, Zona de cocina, Zona de pícnic, Barbacoa, Productos de limpieza, Canales por cable, Cafetera, Sofá, Vistas a la montaña, Lavavajillas, Zona de estar, Vistas al jardín, WC, Zona de comedor exterior, Reproductor de DVD, Terraza / solárium, Toda la unidad en la planta baja, Zona de comedor, Restaurante, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Nevera, Utensilios de cocina, Papel higiénico, Horno, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/221535770.jpg?k=e31cda454efff957d1da0bdc5890efe531aa5fb3f5f14e7fec53967ac1ebfc32&o=&hp=1,Sopó,Colombia
