hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
"Amedia Luxury Suites Graz, Trademark Collection by Wyndham",US$105,"9,0",Fantástico,1.367,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514704552.webp?k=25561f9228eb76e3df3cda6df56f3529a2424ab6cb50104f390938b99272af0b&o=,https://www.booking.com/hotel/at/amedia-luxury-suites-graz.es.html?aid=2410095,"Sauna, Cafetería en el alojamiento, Terraza, Parking en un garaje, Inglés, Teléfono, Servicio de lavandería, Parking privado, Habitaciones insonorizadas, Zona TV / salón de uso compartido, Bar, Registro de entrada / salida privado, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Almuerzos para llevar, Desayuno fabuloso, Canales vía satélite, Vino / champán, TV de pantalla plana, Reproductor de CD, Aire acondicionado, Papel higiénico, Buffet para niños, Servicio de conserjería, Extintores, Registro de entrada y salida exprés, Cámaras de seguridad en las zonas comunitarias, Ascensor, Snack-bar, Adaptado personas de movilidad reducida, Caja fuerte, Ducha, Bañera o ducha, Habitaciones familiares, Cesta para mascotas, Alemán, Ropa de cama, Servicio de planchado, Mobiliario exterior, Tarjeta de acceso, Zapatillas, Boles para mascotas, Cafetera, Servicio de entrega de comestibles, Servicio de limpieza en seco, Información turística, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Insonorización, Menús para dietas especiales (bajo petición), Eventos deportivos en directo (emisión), Proporciona factura, Terraza / solárium, Tetera / cafetera, Calefacción, Servicio de habitaciones, Tetera/cafetera en todas las habitaciones, WiFi gratis, Tarjetas de transporte público, Jardín, Habitaciones sin humo, TV, Desayuno en la habitación, Reloj despertador, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Parking adaptado para personas de movilidad reducida",Eggenberg,Austria,"AMEDIA Luxury Suites Graz is 1 km from the Stadthalle and the Messe Graz exhibition centre, and a 10-minute tram ride from the Old Town. It offers free WiFi and free use of the sauna.

The spacious suites are all air-conditioned and individually furnished with modern artworks. They are equipped with a flat-screen TV with satellite channels, a coffee machine and kettle, and a private bathroom. Bathrobes and slippers are provided. Some suites feature a kitchen.

Guests of AMEDIA Graz can enjoy snacks and light meals, as well as international wine specialities on site. Grocery deliveries and dry cleaning services are available at a surcharge, and a private parking garage is available at an extra cost.

The Jauerburggasse Tram Stop, offering connections to the city centre, is just around the corner. The A2 motorway is just a 1-minute drive away, and Graz Airport can be reached by car in 10 minutes.

Please note that Accessible rooms and Connecting rooms are available upon request."
Haus Mobene - Hotel Garni,US$70,"7,7",Bien,670,https://cf.bstatic.com/xdata/images/hotel/max1024x768/124499731.webp?k=d849f650f255834e97d03a7ae8fe438f0436d445de0627269777c69e0aa61cec&o=,https://www.booking.com/hotel/at/haus-mobene-garni.es.html?aid=2410095,"Inglés, Terraza, Parking en un garaje, Teléfono, Servicio de lavandería, Alarma de seguridad, Parking privado, Enchufe cerca de la cama, Zona de cocina, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Canales vía satélite, WC con barras de apoyo, Adaptado para sillas de ruedas, Extintores, Ascensor, Adaptado personas de movilidad reducida, Caja fuerte, Bañera o ducha, Habitaciones familiares, Alemán, Servicio de planchado, Mobiliario exterior, Cuerda de emergencia en el baño, Productos de limpieza, Llave de acceso, Microondas, Información turística, Prohibido fumar en todo el alojamiento, Nevera, Zona de comedor, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Minibar, Tetera / cafetera, Tetera/cafetera en todas las habitaciones, WiFi gratis, Jardín, Habitaciones sin humo, TV, Estación de carga de vehículos eléctricos, Detectores de humo, WC, Muy buen desayuno, Servicio de despertador",Eggenberg,Austria,"El Haus Mobene - Hotel Garni, situado en un lugar tranquilo, a 10 minutos a pie del centro de Graz, ofrece habitaciones con pequeña nevera, microondas, hervidor eléctrico, TV vía satélite, patio tranquilo y conexión WiFi gratuita.

Todo el edificio está adaptado para personas de movilidad reducida.

La red de transporte público de Jakominiplatz, el centro de convenciones y sala de conciertos Stadthalle, así como el recinto ferial se encuentran a 5 minutos a pie. La UPC Arena está a 1 km del Haus Mobene."
Augarten Art Hotel,US$105,"8,8",Fabuloso,1.417,https://cf.bstatic.com/xdata/images/hotel/max1024x768/57793180.webp?k=23d8c0b8fa95af6b4b48c774a8350b6403bcffefdaca84611f6e573bb7deac97&o=,https://www.booking.com/hotel/at/augartenhotel.es.html?aid=2410095,"Sauna, Cafetería en el alojamiento, Bar, Servicio de limpieza diario, Tumbonas/sillas de playa, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Ascensor, Servicio de planchado, Zapatillas, Información turística, Fax / fotocopiadora, Albornoz, Armario, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Servicio de lavandería, Recepción 24 horas, Parking privado, Baño privado, Extintores, Registro de entrada y salida exprés, Snack-bar, Adaptado personas de movilidad reducida, Alemán, Boles para mascotas, Habitaciones hipoalergénicas, Toallas de playa/piscina, Minibar, Servicio de habitaciones, Detectores de humo, Terraza / solárium, Servicio de despertador, Inglés, Parking en un garaje, Zona de spa / relajación, Sombrillas, Abierta todo el año, Guardaequipaje, Secador de pelo, Seguridad 24 horas, Vino / champán, Aire acondicionado, Almuerzos para llevar, Fruta, Piscina interior, Buffet para niños, Gimnasio, Para todas las edades, Habitaciones familiares, Ropa de cama, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Artículos de aseo gratis, Desayuno fantástico, Toallas, TV, WC, Escritorio, Terraza, Teléfono, Salas de reuniones / banquetes, Canales vía satélite, Alquiler de bicicletas, Adaptado para sillas de ruedas, Caja fuerte, Piscina climatizada, Suelo de madera o parquet, Llave de acceso, Servicio de limpieza en seco, Menús para dietas especiales (bajo petición), Canales por cable, Proporciona factura, Calefacción, Zona de fumadores, WiFi gratis, Estación de carga de vehículos eléctricos, Desayuno en la habitación",Eggenberg,Austria,"Built by the famous Austrian architect Günther Domenig, this design hotel is only 1 km away from the centre of Graz. Besides the over 200 pieces of contemporary art, Augarten Art Hotel also offers a 24-hour leisure zone with a sauna, a fitness room and an indoor pool.

The modern, air-conditioned rooms provide free WiFi access and are decorated with high-quality artworks. Most rooms have a balcony with views of the courtyard or the Clock Tower. Nespresso coffee machines are available at the 24-hour reception.

Augarten Art Hotel also features a 24-hour bar, conference rooms, a sun terrace and an underground car park.

The staff at the 24-hour reception, who speak German and English, are available to guests at all times."
Lendhotel,US$127,"9,1",Fantástico,1.919,https://cf.bstatic.com/xdata/images/hotel/max1024x768/438481944.webp?k=f6452ab8084191852a97b3ecbbdf5742687eb160ba0d52ea64d73d1118d53626&o=,https://www.booking.com/hotel/at/lendhotel.es.html?aid=2410095,"Cafetería en el alojamiento, Bar, Servicio de limpieza diario, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Ascensor, Hipoalergénico, Caja fuerte para ordenador portátil, WC elevado, Servicio de planchado, Zapatillas, Italiano, Senderismo, Clases de yoga, Vistas a la montaña, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Parking adaptado para personas de movilidad reducida, Tours en bici, Servicio de lavandería, Happy hour, Menú para niños, Recepción 24 horas, Parking privado, Habitaciones insonorizadas, Registro de entrada / salida privado, Baño privado, Desayuno fabuloso, WC con barras de apoyo, Ciclismo, Servicio de conserjería, Extintores, Registro de entrada y salida exprés, Snack-bar, Adaptado personas de movilidad reducida, Vistas a la ciudad, Bañera o ducha, Alemán, Boles para mascotas, Habitaciones hipoalergénicas, Insonorización, Servicio de habitaciones, Tarjetas de transporte público, Detectores de humo, Terraza / solárium, Servicio de despertador, Máquina expendedora (aperitivos), Inglés, Parking en un garaje, Servicio de despertador / alarma, Sombrillas, Servicio de aparcacoches, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Seguridad 24 horas, Vino / champán, Aire acondicionado, Almuerzos para llevar, Fruta, Buffet para niños, Gimnasio, Ropa de cama, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Artículos de aseo gratis, Toallas, TV, WC, Escritorio, Terraza, Teléfono, Salas de reuniones / banquetes, Vistas a un lugar de interés, Canales vía satélite, Alquiler de bicicletas, TV de pantalla plana, Adaptado para sillas de ruedas, Caja fuerte, Ducha, Suelo de madera o parquet, Tarjeta de acceso, Alquiler de coches, Cuerda de emergencia en el baño, Servicio de limpieza en seco, Menús para dietas especiales (bajo petición), Tours a pie, Proporciona factura, Calefacción, Acceso a pisos superiores en ascensor, Zona de fumadores, WiFi gratis, Galerías de arte temporales, Lavamanos más bajo, Estación de carga de vehículos eléctricos, Desayuno en la habitación, Máquina expendedora (bebidas)",Eggenberg,Austria,"Featuring free WiFi throughout the property, Lendhotel is set in Graz, 1 km from Graz Clock Tower. Guests can enjoy the on-site restaurant offering a variety of Smørrebrød, the classic dish from Denmark.

Each room at this hotel is air conditioned and is fitted with a flat-screen TV with satellite channels. All rooms come with a private bathroom equipped with a shower. For your comfort, you will find free toiletries and a hairdryer.

The front desk is served 24 hours a day. Paid private parking is available on site.

Bike hire is available at this hotel and the area is popular for cycling. Graz Town Hall is 1.2 km from Lendhotel, while Casino Graz is 1.3 km away. The nearest airport is Graz Airport, 9 km from Lendhotel."
"APSTAY Serviced Apartments, kontaktlos mit Self Check-in",US$91,"8,7",Fabuloso,2.649,https://cf.bstatic.com/xdata/images/hotel/max1024x768/513464416.webp?k=f3bd6a695f04ff460efd0f66d1a8a4af210f741800eb58a6c7bc3c27b539fe26&o=,https://www.booking.com/hotel/at/apstay-apartments.es.html?aid=2410095,"Fogones, Inglés, Terraza, Restaurante, Servicio de lavandería, Horno, Utensilios de cocina, Zona de cocina, Enchufe cerca de la cama, Registro de entrada / salida privado, Lavavajillas, Secador de pelo, Baño privado, Trona, 2 restaurantes, TV de pantalla plana, Apartamento privado en edificio, Secadora de ropa, Cocina, Papel higiénico, Servicio de conserjería, Utensilios de planchado, Ascensor, Tostadora, Registro de entrada y salida exprés, Extintores, Hipoalergénico, Caja fuerte, Ducha, Bañera o ducha, Habitaciones familiares, Perchero, Alemán, Ropa de cama, Suelo de madera o parquet, Cafetera, Microondas, Parking en la calle, Habitaciones hipoalergénicas, Mesa de comedor, Nevera, Prohibido fumar en todo el alojamiento, Lavadora, Zona de comedor, Ruso, Ventilador, Proporciona factura, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Plancha para ropa, Acceso a pisos superiores en ascensor, Tetera / cafetera, Servicio de streaming (como Netflix), Vistas, Zona de fumadores, Parking, WiFi gratis, Armario, Parque acuático, Jardín, Toallas, Habitaciones sin humo, TV, Detectores de humo, Sofá, Tendedero, WC, Sofá cama, Escritorio, Camas extralargas (más de 2 metros), Zona de estar",Eggenberg,Austria,"APSTAY Serviced Apartments, kontaktlos mit Self Check-in está en Graz y dispone de wifi gratis, jardín, terraza y restaurante.

El alojamiento está equipado con TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. La cocina tiene nevera, lavavajillas y horno. También hay microondas, fogones y tostadora, además de cafetera y hervidor.

Palacio Eggenberg está a 8 min a pie del alojamiento, y Estación de tren Graz Central está a 1,1 km. El aeropuerto (Aeropuerto de Graz) está a 10 km."
Appartement Steinbichler,US$88,"8,0",Muy bien,297,https://cf.bstatic.com/xdata/images/hotel/max1024x768/466630116.webp?k=cafbd061e78c29a6a363cff063c6dcc0a05aecc2a06abde159d7f671b784bc5e&o=,https://www.booking.com/hotel/at/appartement-pension-steinbichler.es.html?aid=2410095,"Inglés, Restaurante, Enchufe cerca de la cama, Baño privado, Canales vía satélite, TV de pantalla plana, Ciclismo, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ducha, Alemán, Ropa de cama, Tarjeta de acceso, Senderismo, Llave de acceso, Pista de tenis, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Proporciona factura, Calefacción, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Parking gratis, Habitaciones sin humo, Toallas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Muy buen desayuno, Zona de estar",Eggenberg,Austria,"Appartement Steinbichler está en Graz, a 13 min a pie de Palacio Eggenberg y a 3,4 km de Estación de tren Graz Central. Ofrece alojamiento con restaurante y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento se encuentra a 4,4 km de Casino Graz, a 5,1 km de Ayuntamiento de Graz y a 5,5 km de Torre del reloj de Graz. Algunas habitaciones del alojamiento tienen una terraza con vistas a la ciudad.

En el hostal o pensión, las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas habitaciones también incluyen zona de cocina con nevera, microondas y fogones. En Appartement Steinbichler, todas las habitaciones cuentan con zona de estar.

La clientela puede practicar actividades en Graz y alrededores, como senderismo y ciclismo.

Catedral y Mausoleo está a 6,1 km del alojamiento, y Ópera de Graz está a 6,3 km. El aeropuerto (Aeropuerto de Graz) está a 14 km."
Gasthof Bokan,US$71,"7,7",Bien,452,https://cf.bstatic.com/xdata/images/hotel/max1024x768/86284106.webp?k=184bf09117cc20cc29c1b3903dde862763284eecd1a1a15709176238bc618384&o=,https://www.booking.com/hotel/at/gasthof-bokan.es.html?aid=2410095,"Radio, Inglés, Restaurante, Teléfono, Bar, Secador de pelo, Baño privado, TV de pantalla plana, Papel higiénico, Registro de entrada y salida exprés, Ducha, Alemán, Instalaciones de spa, Prohibido fumar en todo el alojamiento, Proporciona factura, Minibar, Zona de fumadores, WiFi gratis, Tarjetas de transporte público, Jardín, Parking gratis, Habitaciones sin humo, Desayuno fantástico, Toallas, TV, Baño de vapor, WC, Parking adaptado para personas de movilidad reducida",Eggenberg,Austria,"El Gasthof Bokan goza de una ubicación tranquila en el norte de Graz, muy cerca del palacio de Eggenberg. Dispone de aparcamiento gratuito.

Los huéspedes del Gasthof pueden utilizar la zona de spa, las salas de conferencias y la conexión a internet del Hotel Bokan, situado al lado.

Desde el Gasthof Bokan se puede llegar fácilmente a la estación de tren principal y al casco antiguo de Graz. Cerca del hotel encontrará muchas rutas de senderismo."
Hotel Bokan Exclusiv,US$116,"8,1",Muy bien,292,https://cf.bstatic.com/xdata/images/hotel/max1024x768/86328799.webp?k=c7cf2fb2cb413e254982a7979dfeccb96cbca5824638a1df4436c21943b27efc&o=,https://www.booking.com/hotel/at/bokanexclusiv.es.html?aid=2410095,"Radio, Sauna, Inglés, Terraza, Parking en un garaje, Restaurante, Teléfono, Bar, Guardaequipaje, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Solárium, Aire acondicionado, Canales vía satélite, TV de pantalla plana, WC con barras de apoyo, Adaptado para sillas de ruedas, Extintores, Ascensor, Adaptado personas de movilidad reducida, Caja fuerte, Suelo de moqueta, Ducha, Bañera o ducha, Instalaciones de spa, Tarjeta de acceso, Llave de acceso, Servicio de despertador, Habitaciones hipoalergénicas, Hammam, Prohibido fumar en todo el alojamiento, Insonorización, Menús para dietas especiales (bajo petición), Ventilador, Calefacción, Minibar, Fax / fotocopiadora, Acceso a pisos superiores en ascensor, Servicio de habitaciones, WiFi gratis, Tarjetas de transporte público, Parking gratis, Habitaciones sin humo, Desayuno fantástico, TV, Detectores de humo, Baño de vapor, Bañera de hidromasaje / jacuzzi, WC, Escritorio, Parking adaptado para personas de movilidad reducida, Zona de estar",Eggenberg,Austria,"El Hotel Bokan Exclusiv goza de una ubicación tranquila, en el norte de Graz y cerca del palacio de Eggenberg, y ofrece restaurante con terraza, aparcamiento gratuito y conexión Wi-Fi gratuita.

Todas las habitaciones disponen de aire acondicionado y TV vía satélite.

Las instalaciones del spa incluyen sauna, solárium y baño de vapor.

El Bokan Hotel está a sólo 200 metros de una parada de autobús, a 4 km del centro de Moya y bien comunicado con la autopista A9 Phyrn."
Graz / Eggenberg,US$77,10,Excepcional,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/518245312.webp?k=f5366aff0d963c1ca5b922e920f8daf9a823136d61bcaead45d943546b4e3cb1&o=,https://www.booking.com/hotel/at/graz-eggenberg.es.html?aid=2410095,"TV de pantalla plana, Calefacción, Cocina, Inglés, Alemán, Extintores, Ascensor, WiFi gratis, Vistas al jardín, Prohibido fumar en todo el alojamiento, Parking gratis, Habitaciones sin humo, Lavadora, Detectores de humo, Ruso, Balcón",Eggenberg,Austria,"Graz / Eggenberg se encuentra en Graz, a 4 min a pie de Palacio Eggenberg y a 2,9 km de Estación de tren Graz Central, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. Este apartamento está a 4 km de Casino Graz y a 4,6 km de Ayuntamiento de Graz.

Este apartamento da a un balcón con vistas al jardín y cuenta con 1 dormitorio y cocina totalmente equipada.

Torre del reloj de Graz está a 5 km del alojamiento, y Catedral y Mausoleo está a 5,6 km. El aeropuerto más cercano (Aeropuerto de Graz) está a 13 km del alojamiento."
Retro Apartment Graz,US$126,"9,0",Fantástico,38,https://cf.bstatic.com/xdata/images/hotel/max1024x768/463843454.webp?k=ab2c0ac76efd2f5965779a288568fa6ddd34d5312909493fcee7c0dae9ab42ef&o=,https://www.booking.com/hotel/at/retro-apartment-graz.es.html?aid=2410095,"Chimenea, Radio, Fogones, Inglés, Habitaciones insonorizadas, Horno, Utensilios de cocina, Zona de cocina, Registro de entrada / salida privado, Guardaequipaje, Lavavajillas, Secador de pelo, Baño privado, Juegos de mesa / puzles, Vistas a un lugar de interés, Vino / champán, Aire acondicionado, Alquiler de bicicletas, TV de pantalla plana, Reproductor de CD, Apartamento privado en edificio, Papel higiénico, Extintores, Tostadora, Ordenador, Vistas al jardín, Snack-bar, Hipoalergénico, Caja fuerte, Vistas a la ciudad, Ducha, Bañera o ducha, Perchero, Alemán, Ropa de cama, Suelo de madera o parquet, Productos de limpieza, Cafetera, Microondas, Mesa de comedor, Nevera, Baños públicos, Prohibido fumar en todo el alojamiento, Zona de comedor, Insonorización, Proporciona factura, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Videoconsola Nintendo Wii, Entrada privada, Plancha para ropa, Servicio de streaming (como Netflix), Minibar, Tetera / cafetera, Vistas a la montaña, Videoconsola, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Vistas, Parking gratis, Estación de carga de vehículos eléctricos, Habitaciones sin humo, Toallas, Sofá, TV, Detectores de humo, WC, Sofá cama, Escritorio, Zona de estar",Eggenberg,Austria,"Retro Apartment Graz se encuentra en Graz, a solo 16 min a pie de Palacio Eggenberg, y ofrece alojamiento con vistas a la ciudad, wifi gratis y parking privado gratis. El alojamiento ofrece vistas a la montaña y al jardín y está a 3 km de Estación de tren Graz Central.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una zona de cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Se ofrece TV de pantalla plana, videoconsola y Nintendo Wii, además de ordenador y reproductor de CD.

El apartamento ofrece servicio de alquiler de bicicletas.

Casino Graz está a 4,7 km del alojamiento, y Torre del reloj de Graz está a 5 km. El aeropuerto (Aeropuerto de Graz) está a 11 km."
Space Loft Graz,US$112,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/503092044.webp?k=0661316ffef23b5f8fe6c589559cf39142611b4c9c2c0f3a61a24b3560e1e195&o=,https://www.booking.com/hotel/at/retro-loft-graz.es.html?aid=2410095,"Chimenea, Inglés, Tours en bici, Alarma de seguridad, Recepción 24 horas, Habitaciones insonorizadas, Horno, Zona de cocina, Registro de entrada / salida privado, Guardaequipaje, Lavavajillas, Secador de pelo, Baño privado, Juegos de mesa / puzles, Aire acondicionado, Alquiler de bicicletas, TV de pantalla plana, Ciclismo, Papel higiénico, Extintores, Registro de entrada y salida exprés, Caja fuerte, Habitaciones familiares, Alemán, Ropa de cama, Mobiliario exterior, Senderismo, Pista de tenis, Información turística, Baños públicos, Nevera, Prohibido fumar en todo el alojamiento, Proporciona factura, Calefacción, Tetera / cafetera, Plancha para ropa, Entrada privada, Tiro con arco, Vistas, Zona de fumadores, Videoconsola, WiFi gratis, Jardín, Parking gratis, Habitaciones sin humo, Estación de carga de vehículos eléctricos, Toallas, Detectores de humo, Parque acuático, Escritorio",Eggenberg,Austria,"Space Loft Graz está en Graz, a 16 min a pie de Palacio Eggenberg, y dispone de alojamiento con jardín, wifi gratis, recepción 24 horas y mostrador de información turística. El apartamento, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

Este apartamento con aire acondicionado se compone de 1 dormitorio independiente, una sala de estar, una zona de cocina totalmente equipada con nevera y lavavajillas, y 1 baño. Hay toallas y ropa de cama en el apartamento.

El apartamento ofrece servicio de alquiler de bicicletas.

Estación de tren Graz Central está a 3 km del alojamiento, y Casino Graz está a 4,7 km. El aeropuerto más cercano (Aeropuerto de Graz) está a 11 km."
a&o Graz Hauptbahnhof,US$28,"7,3",Bien,7.163,https://cf.bstatic.com/xdata/images/hotel/max1024x768/442542334.webp?k=be64b6c61a2b4b44d4134de37ae8b59109b7a694082dff3fd04acd7e1becb3f3&o=,https://www.booking.com/hotel/at/a-amp-o-graz-hauptbahnhof.es.html?aid=2410095,"Máquina expendedora (aperitivos), Taquillas, Inglés, Recepción 24 horas, Parking privado, Enchufe cerca de la cama, Bar, Guardaequipaje, Juegos de mesa / puzles, Secador de pelo, Baño privado, Servicio de limpieza diario, Salas de reuniones / banquetes, Billar, Cochecitos de bebé, Almuerzos para llevar, TV de pantalla plana, Papel higiénico, Ascensor, Registro de entrada y salida exprés, Snack-bar, Zona de juegos interior, Adaptado personas de movilidad reducida, Caja fuerte, Ducha, Habitaciones familiares, Alemán, Ropa de cama, Suelo de madera o parquet, Tarjeta de acceso, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Eventos deportivos en directo (emisión), Calefacción, Acceso a pisos superiores en ascensor, Buen desayuno, WiFi gratis, Tarjetas de transporte público, Cocina compartida, Habitaciones sin humo, WC, Máquina expendedora (bebidas)",Eggenberg,Austria,"The a&o Graz Hauptbahnhof is located just 100 meters from the Graz Main Train Station. All rooms have a private bathroom with free toiletries and a hairdryer. Free WiFi is available in all areas.

There are football and billiard tables in the lobby.

Guests can enjoy satellite TV broadcasting various sport channels in the lobby and bar.

Various restaurants and shops in the centre of Graz can be reached on foot in 20 minutes from a&o Graz Hauptbahnhof."
Best Western Hotel Strasser,US$73,"8,1",Muy bien,1.974,https://cf.bstatic.com/xdata/images/hotel/max1024x768/86425177.webp?k=c95ed570c04e717b7a735355469535243db1ba0b903d94291577dafea837b795&o=,https://www.booking.com/hotel/at/strasser.es.html?aid=2410095,"Cafetería en el alojamiento, Terraza, Inglés, Alarma de seguridad, Recepción 24 horas, Parking privado, Zona TV / salón de uso compartido, Bar, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Almuerzos para llevar, Vino / champán, Desayuno fabuloso, Seguridad 24 horas, Aire acondicionado, Papel higiénico, Buffet para niños, Extintores, Ascensor, Cámaras de seguridad en las zonas comunitarias, Supermercado pequeño en el alojamiento, Mobiliario exterior, Tarjeta de acceso, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Calefacción, Tetera / cafetera, Fax / fotocopiadora, Tetera/cafetera en todas las habitaciones, WiFi gratis, Armario, Toallas, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Detectores de humo",Eggenberg,Austria,"Este hotel tradicional, situado a solo 3 minutos a pie de la estación de tren principal de Graz y a 10 minutos a pie del centro histórico, ofrece conexión WiFi gratuita y recepción las 24 horas.

El Hotel Strasser ofrece habitaciones luminosas con muebles modernos y baño moderno con artículos de aseo gratuitos. La mayoría de las habitaciones cuenta con TV de pantalla plana.

Todas las mañanas se sirve un desayuno buffet variado. El hotel también alberga un bar bien surtido que ofrece bebidas.

A 5 minutos a pie, se puede llegar a la parada de tranvía más cercana, que ofrece fácil acceso a los principales lugares de interés turístico y zonas de negocios del Hotel Strasser.

Las autopistas A2 y A9 se encuentran a 10 minutos en coche del establecimiento."
Hotel Daniel Graz - Smart Luxury Near City Centre,US$101,"8,4",Muy bien,3.814,https://cf.bstatic.com/xdata/images/hotel/max1024x768/216186074.webp?k=3908eb263c69cf6b002717497bd55e9d91ec4693193b7a8a98004456da4a6ad8&o=,https://www.booking.com/hotel/at/hoteddaniel.es.html?aid=2410095,"Taquillas, Sauna, Terraza, Parking en un garaje, Inglés, Servicio de lavandería, Alarma de seguridad, Recepción 24 horas, Parking privado, Habitaciones insonorizadas, Bar, Guardaequipaje, Juegos de mesa / puzles, Baño privado, Servicio de limpieza diario, Salas de reuniones / banquetes, Seguridad 24 horas, Aire acondicionado, Alquiler de bicicletas, Almuerzos para llevar, Ciclismo, Cámaras de seguridad en las zonas comunitarias, Extintores, Ascensor, Snack-bar, Caja fuerte, Vistas a la ciudad, Ducha, Alemán, Ropa de cama, Servicio de planchado, Mobiliario exterior, Plancha para pantalones, Tarjeta de acceso, Habitaciones hipoalergénicas, Servicio de limpieza en seco, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Calefacción, Artículos de aseo gratis, Fax / fotocopiadora, Vistas, Desayuno fantástico, Habitaciones sin humo, Toallas, Estación de carga de vehículos eléctricos, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Terraza / solárium, Parking adaptado para personas de movilidad reducida",Eggenberg,Austria,"Este hotel moderno está al lado de la principal estación de tren de Graz y a unos 10 minutos a pie del Kunsthaus y del centro histórico. Las instalaciones incluyen un salón con chimenea y una terraza para desayunar.

El registro de entrada se hace en el moderno bar café Daniel’s, con personal disponible las 24 horas. El Hotel Daniel Graz - Smart Luxury Near City Centre ha sido diseñado por su propietario, Florian Weitzer. Sus modernas habitaciones son de estilo funcional, innovador y elegante.

En el hotel y en la máquina expendedora del establecimiento hay aperitivos y bebidas.

Se pueden alquilar Vespas y bicicletas eléctricas. El establecimiento tiene WiFi gratuita."
