hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Bebej Tradicional,US$27,"9,6",Excepcional,1.084,https://cf.bstatic.com/xdata/images/hotel/max1024x768/298350376.webp?k=f8f7c5dd0b9b74c9b6eff2d63f11bc5d24f66e8f5dc9306a06628c8019454eae&o=,https://www.booking.com/hotel/al/bebej-tradicional.es.html?aid=2410095,"Ducha, Terraza, TV de pantalla plana, Recepción 24 horas, Griego, Papel higiénico, Guardaequipaje, TV, Aire acondicionado, Desayuno fantástico, WiFi gratis, Nevera, Servicio de entrega de comestibles, Parking en la calle, Servicio de limpieza diario, Restaurante, Baño privado, Habitaciones familiares, Toallas, Inglés, Tarjetas de transporte público, Habitaciones sin humo, Supermercado pequeño en el alojamiento, Parking gratis, WC",Gjirokaster,Albania,"Hotel Bebej Tradicional está en Gjirokastra, a 43 km de Lago Zaravina, y dispone de alojamiento con terraza, parking privado gratis y restaurante. Este hotel de 3 estrellas ofrece recepción 24 horas, guardaequipaje y wifi gratis. El hotel tiene habitaciones familiares.

Todas las habitaciones del alojamiento disponen de baño privado con ducha, TV de pantalla plana y aire acondicionado. Algunas de las habitaciones incluyen balcón. Todas las unidades cuentan con nevera.

El aeropuerto (Aeropuerto de Ioánnina) está a 82 km."
Bed and Breakfast Kotoni,US$33,"8,6",Fabuloso,315,https://cf.bstatic.com/xdata/images/hotel/max1024x768/143195195.webp?k=a8016b79ee5143f565a16dcfb68b668b674ea8d2551ace7efd63bd45f9bcd88a&o=,https://www.booking.com/hotel/al/kotoni-b-b.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Terraza, TV de pantalla plana, Recepción 24 horas, Perchero, Cajero automático en el hotel, Griego, Papel higiénico, Guardaequipaje, Alquiler de coches, Suelo de madera o parquet, Secador de pelo, Servicio de lavandería, Vistas a la montaña, Calefacción, Artículos de aseo gratis, Vistas a la ciudad, Proporciona factura, Aire acondicionado, WiFi gratis, Servicio de planchado, Desayuno en la habitación, Italiano, Zona de fumadores, Muy buen desayuno, Parking en la calle, Bar, Restaurante, Baño privado, Toallas, Inglés, Traslado aeropuerto, Canales por cable, Habitaciones sin humo, Parking gratis, WC, Cambio de moneda, Ropa de cama",Gjirokaster,Albania,"El B&B Kotoni ocupa un edificio de interés histórico de más de 3 siglos de antigüedad situado en la ciudad de Gjirokastra, protegida por la UNESCO, y ofrece alojamientos de decoración tradicional con TV, conexión Wi-Fi gratuita y aire acondicionado. Las habitaciones están construidas a mano con piedra otomana y tienen el techo de madera.

El restaurante a la carta sirve especialidades tradicionales albanesas. Hay una estación de autobús a escasos 50 metros del Kotoni, mientras que el obelisco y la mezquita de Gjirokastra están a poca distancia a pie.

La famosa fortaleza de Gjirokastra y el Museo Etnográfico se encuentran a 200 metros. El antiguo bazar está a 300 metros del Kotoni B&B."
Friends' Guesthouse & Hostel,US$11,"9,3",Fantástico,621,https://cf.bstatic.com/xdata/images/hotel/max1024x768/153315147.webp?k=93f30109fa7799439d1820a50ffd9b7a59aa2fe3ffaad2de902d2f31665656f2&o=,https://www.booking.com/hotel/al/friends-39-hostel.es.html?aid=2410095,"Zona de estar, Ducha, Servicio de limpieza en seco, Tour o clase sobre cultura local, Terraza, Recepción 24 horas, Jardín, Lavavajillas, Senderismo, Videoconsola PS3, Menú para niños, Zona TV / salón de uso compartido, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Griego, Papel higiénico, Vistas a un lugar de interés, Guardaequipaje, Juegos de mesa / puzles, Suelo de madera o parquet, Zapatillas, Tetera / cafetera, Secador de pelo, Caja fuerte, Servicio de lavandería, Vistas a la montaña, Plancha para ropa, Tostadora, Calefacción, Vistas a la ciudad, Aire acondicionado, Entretenimiento nocturno, Desayuno fantástico, Zona de comedor exterior, Proporciona factura, WiFi gratis, Tetera/cafetera en todas las habitaciones, Barbacoa, Zona de comedor, Utensilios de planchado, Italiano, Libros, DVD o música para niños, Trona, Noches de cine, Alquiler de bicicletas, Parking en la calle, Bar, Mesa de comedor, Restaurante, Suelo de baldosa / mármol, Tours en bici, Habitaciones familiares, Toallas, Taquillas, Inglés, Lavadora, Snack-bar, Vistas, Insonorización, Terraza / solárium, Mobiliario exterior, Armario, Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Cocina compartida, Parking gratis, Zona de cocina, WC, Vino / champán, Tours a pie, Cambio de moneda, Fax / fotocopiadora, Servicio de traslado, Ropa de cama",Gjirokaster,Albania,"Friends' Guesthouse & Hostel dispone de jardín, salón de uso común, terraza y restaurante en Gjirokastra. El alojamiento cuenta con bar y se encuentra a 44 km de Lago Zaravina. El alojamiento ofrece cocina compartida, recepción 24 horas y cambio de moneda.

En el albergue, las habitaciones cuentan con armario. En Friends' Guesthouse & Hostel, cada habitación está equipada con aire acondicionado y algunas también ofrecen balcón. En el alojamiento, cada habitación tiene ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Ioánnina) está a 83 km del alojamiento."
Hotel Fantasy,US$67,"9,1",Fantástico,903,https://cf.bstatic.com/xdata/images/hotel/max1024x768/253621946.webp?k=f135c37d646a12aeafed6e18382207d414b84f098dd7af52856e77f24eb16c7b&o=,https://www.booking.com/hotel/al/fantasy.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Zona de estar, Servicio de limpieza en seco, Fax / fotocopiadora, Terraza, TV de pantalla plana, Jardín, Perchero, Toallas / sábanas (por un suplemento), Bañera, Recepción 24 horas, Zona TV / salón de uso compartido, Seguridad 24 horas, Fruta, Desayuno fabuloso, Griego, Papel higiénico, Detector de monóxido de carbono, Bañera o ducha, Canales vía satélite, Guardaequipaje, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Caja fuerte, Servicio de lavandería, Secadora de ropa, Equitación, Extintores, TV, Aire acondicionado, Calefacción, Entretenimiento nocturno, WiFi gratis, Nevera, Cafetería en el alojamiento, Información turística, Servicio de planchado, Utensilios de planchado, Italiano, Salas de reuniones / banquetes, Servicio de despertador / alarma, Bar, Equipamiento de juegos para exterior, Servicio de limpieza diario, Restaurante, Tarjeta de acceso, Detectores de humo, Baño privado, Enchufe cerca de la cama, Llave de acceso, Almuerzos para llevar, Habitaciones familiares, Toallas, Teléfono, Taquillas, Inglés, Ascensor, Snack-bar, Mobiliario exterior, Armario, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Centro de negocios, WC, Vino / champán, Tours a pie, Acceso a pisos superiores en ascensor, Registro de entrada y salida exprés, Alarma de seguridad, Servicio de despertador",Gjirokaster,Albania,"Hotel Fantasy dispone de jardín, salón de uso común, terraza y restaurante en Gjirokastra. Este hotel de 4 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece ocio nocturno y servicio de habitaciones.

En el hotel, las habitaciones cuentan con armario. En Hotel Fantasy, cada habitación tiene escritorio y TV de pantalla plana, y algunas también ofrecen balcón. Las habitaciones cuentan con nevera.

El personal de la recepción 24 horas habla griego, inglés y italiano, y puede ayudar a la clientela a planificar su estancia.

Lago Zaravina está a 44 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Ioánnina) está a 83 km del alojamiento."
KERCULLA Resort,US$76,"9,5",Excepcional,575,https://cf.bstatic.com/xdata/images/hotel/max1024x768/478102113.webp?k=e1f27b2267f054c8aae66cd5fa0f157af9428d7cca679ee4dfb5ab86fcf582a8&o=,https://www.booking.com/hotel/al/kerculla-resort.es.html?aid=2410095,"Servicio de limpieza en seco, Fax / fotocopiadora, Terraza, Personal de animación, Jardín, Menú para niños, Recepción 24 horas, Zona TV / salón de uso compartido, Máquina expendedora (aperitivos), Juguetes para la piscina, Seguridad 24 horas, WC elevado, Zona de pícnic, Fruta, Griego, Chimenea exterior, Caja fuerte, Servicio de lavandería, Sombrillas, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Barandillas protectoras para bebés, Lavamanos más bajo, Extintores, Calefacción, Aire acondicionado, Cuerda de emergencia en el baño, Gimnasio, Entretenimiento nocturno, Piscina al aire libre, Adaptado para sillas de ruedas, De temporada, WiFi gratis, Servicio de planchado, Habitaciones insonorizadas, Piscina con vistas, Zona de fumadores, Italiano, WC con barras de apoyo, Salas de reuniones / banquetes, Apoyo visual: braille, Bar, Equipamiento de juegos para exterior, Desayuno excepcional, Restaurante, Servicio de limpieza diario, Adaptado personas de movilidad reducida, Detectores de humo, Tarjeta de acceso, Llave de acceso, Habitaciones familiares, Habitaciones hipoalergénicas, Inglés, Snack-bar, Cesta para mascotas, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Habitaciones sin humo, Baño de vapor, Apoyo visual: carteles táctiles, Menús para dietas especiales (bajo petición), Horario de apertura, Máquina expendedora (bebidas), Parking gratis, Tumbonas/sillas de playa, Piscina infantil, Vino / champán, Toallas de playa/piscina, Cambio de moneda, Bar en la piscina, Registro de entrada y salida exprés, Alarma de seguridad, Para todas las edades",Gjirokaster,Albania,"El KERCULLA Resort se encuentra en Gjirokastër, a 62 km de Sarandë, y ofrece piscina al aire libre, barbacoa y parque infantil. Además, hay WiFi y aparcamiento privado gratuitos.

Todas las habitaciones incluyen TV de pantalla plana.

Hay recepción 24 horas. Además, alberga un bar.

Ksamil se encuentra a 72 km."
Palorto Hotel,US$38,"9,2",Fantástico,754,https://cf.bstatic.com/xdata/images/hotel/max1024x768/472520546.webp?k=57008df1f62f56ad29dda395855b855bc369fce71bf2612174cda7341f1f4620&o=,https://www.booking.com/hotel/al/palorto.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Servicio de limpieza en seco, Terraza, TV de pantalla plana, Jardín, Menú para niños, Recepción 24 horas, Zona TV / salón de uso compartido, Peluquería / salón de belleza, Seguridad 24 horas, Papel higiénico, Chimenea exterior, Bañera o ducha, Canales vía satélite, Guardaequipaje, Entrada privada, Zapatillas, Secador de pelo, Servicio de lavandería, Sombrillas, Registro de entrada / salida privado, Calefacción, TV, Artículos de aseo gratis, Aire acondicionado, Proporciona factura, WiFi gratis, Nevera, Cafetería en el alojamiento, Desayuno en la habitación, Información turística, Servicio de planchado, Zona de fumadores, Habitaciones insonorizadas, Italiano, Parking en la calle, Desayuno excepcional, Tarjeta de acceso, Detectores de humo, Baño privado, Llave de acceso, Habitaciones familiares, Habitaciones hipoalergénicas, Toallas, Inglés, Traslado aeropuerto, Insonorización, Terraza / solárium, Canales por cable, Habitaciones sin humo, Suelo de moqueta, Supermercado pequeño en el alojamiento, Parking gratis, WC, Cambio de moneda, Registro de entrada y salida exprés, Ciclismo, Alarma de seguridad, Servicio de despertador",Gjirokaster,Albania,"Palorto Hotel, que cuenta con terraza, se encuentra en la región de Qarku i Gjirokastrës, Gjirokastra, a 45 km de Lago Zaravina. Esta posada u hostería de 3 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de traslado gratuito, salón de uso común y cambio de moneda.

En la posada u hostería, todas las habitaciones tienen TV de pantalla plana y algunas también ofrecen vistas a la ciudad. Todas las unidades cuentan con nevera.

La clientela puede practicar actividades en Gjirokastra y alrededores, como ciclismo.

El personal habla inglés y italiano, y estará encantado de dar información sobre la zona en la recepción 24 horas.

El aeropuerto más cercano (Aeropuerto de Ioánnina) está a 83 km."
4 Rooms Gjirokastra,US$38,"9,6",Excepcional,28,https://cf.bstatic.com/xdata/images/hotel/max1024x768/496633864.webp?k=ee2cade773b8e38279cb134cf79d27cc416683b198ba543f27caace19646ea57&o=,https://www.booking.com/hotel/al/4-rooms-gjirokastra-gjirokaster1.es.html?aid=2410095,"Ducha, Desayuno, Terraza, TV de pantalla plana, Perchero, Griego, Papel higiénico, Secador de pelo, Prohibido fumar en todo el alojamiento, Vistas a la ciudad, Aire acondicionado, WiFi gratis, Baño privado, Habitaciones familiares, Toallas, Inglés, Vistas, Parking adaptado para personas de movilidad reducida, Habitaciones sin humo, Parking privado, WC",Gjirokaster,Albania,"4 Rooms Gjirokastra está en Gjirokastra, a 45 km de Lago Zaravina, y ofrece vistas a la ciudad. Este hotel de 3 estrellas ofrece terraza y habitaciones con aire acondicionado, wifi gratis y baño privado. Se ofrece parking privado por un suplemento.

Las unidades del alojamiento están equipadas con TV de pantalla plana y secador de pelo.

En el hotel se puede disfrutar de un desayuno continental.

El aeropuerto (Aeropuerto de Ioánnina) está a 83 km."
The Stone Sky Hotel,US$49,"9,7",Excepcional,440,https://cf.bstatic.com/xdata/images/hotel/max1024x768/466443930.webp?k=996a839071546c48db92d0f4a5806386510c36c14d2bce368ba2806e6c90bef1&o=,https://www.booking.com/hotel/al/the-stone-sky.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Vestidor, Productos de limpieza, Zona de estar, Servicio de limpieza en seco, TV de pantalla plana, Recepción 24 horas, Jardín, Perchero, Menú para niños, Zona TV / salón de uso compartido, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Griego, Papel higiénico, Bidet, Vistas a un lugar de interés, Alquiler de coches, Alarma de seguridad, Entrada privada, Suelo de madera o parquet, Zapatillas, Secador de pelo, Caja fuerte, Servicio de lavandería, Vistas a la montaña, Secadora de ropa, Registro de entrada / salida privado, Extintores, Calefacción, Artículos de aseo gratis, Vistas a la ciudad, Proporciona factura, Aire acondicionado, WiFi gratis, Nevera, Servicio de planchado, Habitaciones insonorizadas, Zona de fumadores, Mosquitera, Patio, Alquiler de bicicletas, Bar, Servicio de limpieza diario, Desayuno excepcional, Restaurante, Tarjeta de acceso, Detectores de humo, Baño privado, Enchufe cerca de la cama, Llave de acceso, Habitaciones familiares, Toallas, Inglés, Ventilador, Vistas, Insonorización, Albanés, Mobiliario exterior, Armario, Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Tendedero, Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, Registro de entrada y salida exprés, Ropa de cama",Gjirokaster,Albania,"The Stone Sky Hotel tiene jardín, salón de uso común, restaurante y bar en Gjirokastra. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Hay vistas a la montaña.

En el hotel, las habitaciones disponen de aire acondicionado, armario, patio con vistas a la ciudad, baño privado, TV de pantalla plana, ropa de cama y toallas. Las unidades cuentan con nevera.

Lago Zaravina está a 43 km del alojamiento. El aeropuerto (Aeropuerto de Ioánnina) está a 82 km."
Bora Hotel,US$29,"9,0",Fantástico,28,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514972414.webp?k=b28cf720a4ce7dfdd337d60fd8e4a123ef32174a8ccdff84f596d86550b3abe2&o=,https://www.booking.com/hotel/al/bora-gjirokaster1.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Zona de estar, Servicio de limpieza en seco, Terraza, TV de pantalla plana, Jardín, Perchero, Bañera, Peluquería / salón de belleza, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Griego, Papel higiénico, Bañera o ducha, Canales vía satélite, Guardaequipaje, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Servicio de aparcacoches, Servicio de lavandería, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, TV, Artículos de aseo gratis, Vistas a la ciudad, Aire acondicionado, Zona de comedor exterior, Calefacción, WiFi gratis, Cafetería en el alojamiento, Servicio de planchado, Zona de fumadores, Mosquitera, Bar, Mesa de comedor, Servicio de limpieza diario, Detectores de humo, Baño privado, Toallas, Inglés, Vistas, Parking adaptado para personas de movilidad reducida, Terraza / solárium, Mobiliario exterior, Armario, Albanés, Ruta de bares, Habitaciones sin humo, Suelo de moqueta, Menús para dietas especiales (bajo petición), Supermercado pequeño en el alojamiento, Parking gratis, Cámaras de seguridad fuera del alojamiento, WC, Vino / champán, Cambio de moneda, Canguro / servicios para niños, Registro de entrada y salida exprés, Alarma de seguridad",Gjirokaster,Albania,"Bora Hotel está en Gjirokastra, a 44 km de Lago Zaravina, y dispone de alojamiento con jardín, parking privado gratis, terraza y bar. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y servicio de guardería. El alojamiento ofrece guardaequipaje y cambio de moneda.

En el hotel, las habitaciones tienen escritorio. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones incluyen balcón. Todas las unidades tienen armario.

El desayuno diario ofrece opciones continentales, inglesas/irlandesas o italianas.

El aeropuerto (Aeropuerto de Ioánnina) está a 83 km."
Boutique Hotel Musée,US$63,"9,7",Excepcional,450,https://cf.bstatic.com/xdata/images/hotel/max1024x768/355425878.webp?k=e61ba61fd814ebc257622d94796961d40a836c5c5fcf5809ff1a907e27141dd1&o=,https://www.booking.com/hotel/al/muse-39-e.es.html?aid=2410095,"Griego, Papel higiénico, Secador de pelo, Servicio de lavandería, Secadora de ropa, Extintores, Artículos de aseo gratis, Adaptado para sillas de ruedas, Utensilios de planchado, Mantas eléctricas, Italiano, Parking en la calle, Detectores de humo, Habitaciones hipoalergénicas, Servicio de conserjería, Protector de enchufes para niños, Buffet para niños, Ducha, Perchero, WC elevado, Juegos de mesa / puzles, Tetera / cafetera, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Cama plegable, WiFi gratis, Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Aseo adicional, Habitaciones familiares, Lavadora, Tarjetas de transporte público, Ventilador, Vistas, Armario, Cocina compartida, Hervidor eléctrico, WC, Productos de limpieza, TV de pantalla plana, Recepción 24 horas, Fruta, Bidet, Vistas a un lugar de interés, Zapatillas, Vistas a la montaña, Servicio de planchado, Vídeo, Desayuno en la habitación, Servicio de despertador / alarma, Servicio de limpieza diario, Desayuno excepcional, Llave de acceso, Baño privado, Toallas, Inglés, Insonorización, Parking adaptado para personas de movilidad reducida, Cámaras de seguridad fuera del alojamiento, Vino / champán, Ropa de cama, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Jardín, Toallas / sábanas (por un suplemento), Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Alquiler de coches, Suelo de madera o parquet, Plancha para ropa, TV, Vistas a la ciudad, Aire acondicionado, Tetera/cafetera en todas las habitaciones, Nevera, Mosquitera, Mesa de comedor, Tarjeta de acceso, Mobiliario exterior, Camas extralargas (más de 2 metros), Canales por cable, Habitaciones sin humo, Parking gratis, Reproductor de CD, Radio, Alarma de seguridad, Servicio de despertador",Gjirokaster,Albania,"Boutique Hotel Musée está en Gjirokastra, a 45 km de Lago Zaravina, y dispone de servicio de conserjería, habitaciones libres de humo, jardín, wifi gratis y terraza. El alojamiento ofrece cocina compartida y servicio de habitaciones.

Las unidades están equipadas con aire acondicionado, TV de pantalla plana con canales por cable, nevera, hervidor, bidet, artículos de aseo gratuitos y armario. Las habitaciones del alojamiento tienen baño privado con ducha y secador de pelo, y también cuentan con vistas a la ciudad. En el hotel, las habitaciones disponen de ropa de cama y toallas.

En la recepción 24 horas se hablan varios idiomas, como griego, inglés y italiano.

El aeropuerto (Aeropuerto de Ioánnina) está a 83 km."
THE OLD TOWN CLOCK,US$22,"9,1",Fantástico,332,https://cf.bstatic.com/xdata/images/hotel/max1024x768/257189803.webp?k=724b2a6460fa7bb043a2f99d0c0992c6f7079c9a2fd52b1cb0fb38085b0c7c25&o=,https://www.booking.com/hotel/al/the-old-town-clock.es.html?aid=2410095,"Habitaciones sin humo, TV de pantalla plana, Baño privado, Jardín, Parking gratis, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Inglés, WiFi gratis, Vistas",Gjirokaster,Albania,"THE OLD TOWN CLOCK se encuentra en Gjirokastra, a 44 km de Lago Zaravina, y ofrece habitaciones con aire acondicionado y jardín. El alojamiento dispone de recepción 24 horas y wifi gratis en todo el alojamiento.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones tienen baño privado.

El aeropuerto más cercano (Aeropuerto de Ioánnina) está a 82 km."
Hotel Kalemi 2,US$70,"9,2",Fantástico,784,https://cf.bstatic.com/xdata/images/hotel/max1024x768/214169986.webp?k=537623548c4a393a024ef637797922da5541384fd9fcedba3d507968c31fefd0&o=,https://www.booking.com/hotel/al/kalemi-2.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Productos de limpieza, Fax / fotocopiadora, Terraza, TV de pantalla plana, Jardín, Perchero, Senderismo, Menú para niños, Recepción 24 horas, Zona TV / salón de uso compartido, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Griego, Papel higiénico, Bañera o ducha, Canales vía satélite, Guardaequipaje, Alarma de seguridad, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, Servicio de lavandería, Equitación, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Calefacción, WiFi gratis, Tetera/cafetera en todas las habitaciones, Cafetería en el alojamiento, Servicio de planchado, Zona de fumadores, Habitaciones insonorizadas, Libros, DVD o música para niños, Francés, Italiano, Servicio de despertador / alarma, Bar, Tarjeta de acceso, Detectores de humo, Baño privado, Enchufe cerca de la cama, Registro de entrada y salida exprés, Llave de acceso, Habitaciones familiares, Toallas, Teléfono, Inglés, Insonorización, Parking adaptado para personas de movilidad reducida, Habitaciones sin humo, Suelo de moqueta, Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, WC, Vino / champán, Tours a pie, Minibar, Cambio de moneda, Buffet para niños, Servicio de traslado, Ropa de cama, Servicio de despertador",Gjirokaster,Albania,"Hotel Kalemi 2 se encuentra en Gjirokastra, a 44 km de Lago Zaravina, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Hay bar.

Todas las unidades incluyen aire acondicionado, TV de pantalla plana con canales vía satélite, minibar, hervidor, ducha, artículos de aseo gratuitos y escritorio. Todas las habitaciones cuentan con baño privado con secador de pelo, algunas ofrecen balcón y otras también disponen de vistas a la ciudad. En el hotel, las habitaciones cuentan con ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Ioánnina) está a 83 km del alojamiento."
Trigona Hostel,US$10,"9,1",Fantástico,378,https://cf.bstatic.com/xdata/images/hotel/max1024x768/205736592.webp?k=f03620060a81cbe46f22c0ae55059301e6e2355dc7e362b6f4f6f5d1652cadbe&o=,https://www.booking.com/hotel/al/trigona-hostel.es.html?aid=2410095,"Productos de limpieza, Terraza, TV de pantalla plana, Balcón, Jardín, Toallas / sábanas (por un suplemento), Perchero, Seguridad 24 horas, Zona de pícnic, Alarma de seguridad, Entrada privada, Suelo de madera o parquet, Escritorio, Tetera / cafetera, Caja fuerte, Baño compartido, Tostadora, Calefacción, TV, Aire acondicionado, Cocina, WiFi gratis, Tetera/cafetera en todas las habitaciones, Nevera, Zona de comedor, Utensilios de planchado, Zona de juegos para niños, Fogones, Servicio de limpieza diario, Equipamiento de juegos para exterior, Habitaciones familiares, Inglés, Utensilios de cocina, Terraza / solárium, Mobiliario exterior, Armario, Albanés, Habitaciones sin humo, Suelo de moqueta, Cocina compartida, Parking gratis, Cámaras de seguridad fuera del alojamiento, Horno, Ropa de cama",Gjirokaster,Albania,"Trigona Hostel, que cuenta con jardín, terraza y vistas a la ciudad, se encuentra en Gjirokastra, a 44 km de Lago Zaravina. Este alojamiento, que tiene habitaciones familiares, también ofrece zona de juegos infantil. El alojamiento ofrece cocina compartida y wifi gratis en todo el alojamiento.

En el albergue, todas las habitaciones tienen escritorio, TV de pantalla plana, baño compartido y ropa de cama. Trigona Hostel dispone de algunas unidades con vistas a la montaña, y todas cuentan con balcón. Todas las unidades de este alojamiento disponen de aire acondicionado y armario.

El aeropuerto más cercano (Aeropuerto de Ioánnina) está a 82 km."
"""Villa 70"" Guesthouse",US$51,"9,4",Fantástico,393,https://cf.bstatic.com/xdata/images/hotel/max1024x768/456265869.webp?k=339f472c7a757589d67f73ce6c102a4cb272ee2561cb8a81bad64c8ead5d5b9a&o=,https://www.booking.com/hotel/al/villa-70.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Terraza, TV de pantalla plana, Jardín, Perchero, Toallas / sábanas (por un suplemento), Bañera, Papel higiénico, Bañera o ducha, Cafetera, Entrada privada, Vistas a un patio interior, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, Plancha para ropa, Prohibido fumar en todo el alojamiento, Tostadora, Calefacción, TV, Artículos de aseo gratis, Cocina, Aire acondicionado, Zona de comedor exterior, Chimenea, Zona de comedor, Tetera/cafetera en todas las habitaciones, Nevera, Servicio de planchado, Utensilios de planchado, Italiano, Patio, Parking en la calle, Equipamiento de juegos para exterior, Desayuno excepcional, Baño privado, Aseo adicional, Habitaciones familiares, Toallas, Inglés, Wifi básica gratis (9 Mbps), Ventilador, Vistas, Mobiliario exterior, Armario, Vistas al jardín, Habitaciones sin humo, Cocina compartida, Tendedero, Parking gratis, Hervidor eléctrico, Zona de cocina, WC, Ropa de cama",Gjirokaster,Albania,"""Villa 70"" Guesthouse está en Gjirokastra, a 44 km de Lago Zaravina, y tiene jardín, habitaciones libres de humo y wifi gratis en todo el alojamiento. Las habitaciones tienen patio.

En el hostal o pensión, las habitaciones cuentan con aire acondicionado, escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y terraza con vistas al jardín. Cada habitación está equipada con cafetera, algunas ofrecen balcón y otras también cuentan con vistas a la ciudad. Las unidades cuentan con nevera.

Hay opciones continentales o sin gluten de desayuno disponibles cada mañana en ""Villa 70"" Guesthouse.

El aeropuerto (Aeropuerto de Ioánnina) está a 83 km."
Guesthouse Klement,US$26,"9,4",Fantástico,22,https://cf.bstatic.com/xdata/images/hotel/max1024x768/502866069.webp?k=e2a87124df4a2f506ccb1136232aa49e522938d91fd562cb08200ae001e5257f&o=,https://www.booking.com/hotel/al/guesthouse-klement.es.html?aid=2410095,"Zona de estar, Ducha, Servicio de limpieza en seco, Tour o clase sobre cultura local, Desayuno, Terraza, Balcón, Jardín, Toallas / sábanas (por un suplemento), Perchero, Senderismo, Recepción 24 horas, Seguridad 24 horas, Zona de pícnic, Papel higiénico, Bañera o ducha, Entrada privada, Zapatillas, Secador de pelo, Servicio de lavandería, Vistas a la montaña, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Vistas a la ciudad, Aire acondicionado, WiFi gratis, Servicio de planchado, Habitaciones insonorizadas, Italiano, Zona de fumadores, Mosquitera, Patio, Alquiler de bicicletas, Parking en la calle, Clases de cocina, Detectores de humo, Baño privado, Llave de acceso, Tours en bici, Habitaciones familiares, Toallas, Inglés, Ventilador, Vistas, Parking adaptado para personas de movilidad reducida, Insonorización, Mobiliario exterior, Armario, Vistas al jardín, Habitaciones sin humo, Parking gratis, Cámaras de seguridad fuera del alojamiento, WC, Tours a pie, Cambio de moneda, Registro de entrada y salida exprés, Ciclismo",Gjirokaster,Albania,"Guesthouse Klement se encuentra en Gjirokastra, a 45 km de Lago Zaravina, y ofrece servicio de check-in y check-out exprés, habitaciones libres de humo, jardín, wifi gratis en todo el alojamiento y terraza. El alojamiento dispone de recepción 24 horas y cambio de moneda.

En el hostal o pensión, cada habitación incluye un balcón con vistas a la montaña. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la ciudad. Las habitaciones incluyen armario.

Guesthouse Klement ofrece desayuno continental o vegetariano.

La zona es idea para practicar senderismo y ciclismo, y en el alojamiento hay alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto de Ioánnina) está a 83 km del alojamiento."
