hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Plaza Cúcuta Center,https://www.booking.com/hotel/co/plaza-cucuta-center.es.html?aid=2410095,"Hotel Plaza Cúcuta Center es un alojamiento de 3 estrellas situado en Cúcuta, a 12 min a pie de Biblioteca Pública de Cucuta y a 4,5 km de Ecoparque Comfanorte. Este alojamiento ofrece restaurante, salón de uso común y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El alojamiento dispone de recepción 24 horas.

En el hotel, las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

En Hotel Plaza Cúcuta Center se sirve cada mañana un desayuno americano.

El aeropuerto (Aeropuerto internacional Camilo Daza) está a 4 km.","Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Habitaciones sin humo, Servicios de belleza, Masaje de manos, Tinte, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, Instalaciones de spa, Extintores, Manicura, TV, Armario, Masajes, Menú para niños, Perchero, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Envoltura corporal, Tratamientos corporales, Entrada privada, Desayuno fabuloso, Ropa de cama, Fruta, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Servicios de maquillaje, Servicio de habitaciones, Enchufe cerca de la cama, Masaje de pies, Zona de fumadores, Mobiliario exterior, Canales por cable, Servicios de depilación, Masaje de cabeza, Peinado, Llave de acceso, Servicio de planchado, Servicio de lavandería, Masaje corporal completo, WC, Exfoliación corporal, Tratamientos capilares, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Masaje de cuello, Corte de pelo, Restaurante, TV de pantalla plana, Pedicura, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Paquetes de spa / bienestar, Masaje de espalda, Español, Tratamientos faciales, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/160174106.jpg?k=8513f220bc863ad630e20cec96f7f5b232d45bf7b6b4d7bc6dbdb9a2e981f11d&o=&hp=1,Cúcuta,Colombia
ibis Cucuta,https://www.booking.com/hotel/co/ibis-cucuta.es.html?aid=2410095,"Ibis Cucuta está en Cúcuta, a 5 min a pie de Biblioteca Pública de Cucuta, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y restaurante. Este hotel de 3 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece traslado para ir o volver del aeropuerto y también hay servicio de alquiler de coches.

En el hotel, todas las habitaciones tienen escritorio y TV de pantalla plana. En ibis Cucuta, las habitaciones están equipadas con ropa de cama y toallas.

En el alojamiento se sirve todas las mañanas un desayuno buffet.

En la recepción 24 horas se hablan varios idiomas, como inglés y español.

Ecoparque Comfanorte está a 3,1 km del alojamiento. El aeropuerto (Aeropuerto internacional Camilo Daza) está a 6 km.","Secador de pelo, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Teléfono, Suelo de madera o parquet, Lavamanos más bajo, Baño privado, Jardín, Extintores, WC con barras de apoyo, Parking gratis, Parking en un garaje, Ropa de cama, Buen desayuno, Proporciona factura, Alquiler de coches, Servicio de aparcacoches, Insonorización, Restaurante, Servicio de entrega de comestibles, Cafetería en el alojamiento, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Enchufe cerca de la cama, Habitaciones insonorizadas, Tarjeta de acceso, Llave de acceso, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Toda la unidad en la planta baja, Papel higiénico, Fax / fotocopiadora, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Adaptado para sillas de ruedas, TV, Armario, Servicio de traslado, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Detectores de humo, Vistas a un lugar de interés, Caja fuerte para ordenador portátil, Productos de limpieza, Buffet para niños, Servicio de planchado, Guardaequipaje, Apoyo visual: braille, WC, Bar, TV de pantalla plana, Toallas, Español, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Recepción 24 horas, Inglés, Calefacción, Traslado aeropuerto, Vino / champán, Información turística, Snack-bar, Servicio de conserjería, Menús para dietas especiales (bajo petición), Fruta, Ducha, Aseo adicional, Servicio de despertador, Servicio de lavandería, Vistas a la ciudad, Ascensor, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/236074159.jpg?k=9dbef931dde14e79d569ca98117c46e70077df0fac7e6d826a453bc0fe53c575&o=&hp=1,Cúcuta,Colombia
Hotel Victoria Plaza Millenium,https://www.booking.com/hotel/co/victoria-plaza-millenium.es.html?aid=2410095,"Hotel Victoria Plaza Millenium se encuentra en Cúcuta, a 9 min a pie de Biblioteca Pública de Cucuta, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis. Este alojamiento libre de humo está a 4,4 km de Ecoparque Comfanorte.

En el hotel, todas las habitaciones tienen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades de este alojamiento disponen de aire acondicionado y armario.

En Hotel Victoria Plaza Millenium se sirve todas las mañanas un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Camilo Daza) está a 4 km.","Terraza, Horario de apertura, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Bañera o ducha, Teléfono, Vistas a la piscina, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Baño privado, Jardín, Extintores, Aire acondicionado, TV, WC con barras de apoyo, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Muy buen desayuno, Ropa de cama, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Peluquería / salón de belleza, Canales por cable, Piscina al aire libre, Tarjeta de acceso, Llave de acceso, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Insonorización, Restaurante, TV de pantalla plana, Abierta todo el año, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Servicio de despertador / alarma, Español, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490607394.jpg?k=9566ecdf8cc44217ac49571ea13e006331e5262150f047bd5ca45af2a82d360b&o=&hp=1,Cúcuta,Colombia
Hotel HR AMADA Cúcuta,https://www.booking.com/hotel/co/ramada-cucuta.es.html?aid=2410095,"El Hotel HR AMADA Cúcuta se encuentra en Cúcuta y alberga un restaurante. Ofrece conexión WiFi gratuita en las zonas comunes. El aeropuerto internacional Camilo Daza está a 7 km.

Todas las habitaciones del hotel disponen de aire acondicionado y minibar. TV de pantalla plana por cable. El baño privado incluye secador de pelo y artículos de aseo gratuitos.

El Hotel HR AMADA Cúcuta Hotel ofrece recepción 24 horas e instalaciones de negocios. Hay consigna de equipaje. Se facilita aparcamiento gratuito.

El Hotel HR AMADA Cúcuta Hotel se encuentra a 5 minutos a pie del parque Santander, a 3 minutos a pie del centro comercial Lecs y a 5 minutos a pie de la Universidad Simón Bolívar.","Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Caja fuerte, Teléfono, Cambio de moneda, Vistas, Lavamanos más bajo, Recepción 24 horas, Cenas temáticas, Adaptado para sillas de ruedas, Centro de negocios, Aire acondicionado, Extintores, WC con barras de apoyo, TV, Inglés, Armario, Tour o clase sobre cultura local, Vino / champán, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Servicio de conserjería, Ropa de cama, Servicio de traslado, Fruta, Acceso a pisos superiores en ascensor, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Detectores de humo, Proporciona factura, Reloj despertador, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/43499145.jpg?k=16b04682f8babd7e865853a8fa0692d2f1a4e47f11e5c382b087dacd1322ea0f&o=&hp=1,Cúcuta,Colombia
Hotel Exelsior,https://www.booking.com/hotel/co/exelsior.es.html?aid=2410095,"El Hotel Exelsior se encuentra en Cúcuta y alberga un restaurante. Hay conexión WiFi gratuita.

Las habitaciones cuentan con TV por cable y suelo de baldosa. El baño es privado e incluye ducha. También incluyen escritorio y ropa de cama.

La recepción del Hotel Exelsior está abierta las 24 horas. También cuenta con salón compartido y consigna de equipaje.

Las tiendas del centro comercial Ventura Plaza se encuentran a 7 minutos a pie, mientras que los lugares de interés del Parque Nacional están a 2 minutos a pie. El aeropuerto internacional Camilo Daza está a 6,3 km.","Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Caja fuerte, Teléfono, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Menú para niños, Información turística, Zona TV / salón de uso compartido, Muy buen desayuno, Servicio de traslado, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Mobiliario exterior, Canales por cable, Desayuno en la habitación, Llave de acceso, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/499134638.jpg?k=d5dfc78e126ec0ae78dee0477d70328054c0f93726283cdb4e2a5bbbaf8262b2&o=&hp=1,Cúcuta,Colombia
Hotel 7,https://www.booking.com/hotel/co/7-cucuta.es.html?aid=2410095,"Hotel 7 se encuentra en Cúcuta, a 6,1 km de Biblioteca Pública de Cucuta y a 10 km de Ecoparque Comfanorte. Ofrece alojamiento con restaurante y wifi gratis, además de parking privado gratis. El alojamiento ofrece servicio de habitaciones, mostrador de información turística y cambio de moneda.

Las habitaciones del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

El hotel ofrece desayuno a la carta o americano.

El aeropuerto más cercano (Aeropuerto internacional Camilo Daza) está a pocos pasos del alojamiento.","Desayuno, Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Habitaciones sin humo, Cambio de moneda, Aire acondicionado, Extintores, Tarjetas de transporte público, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Entrada privada, WiFi gratis, Servicio de habitaciones, Enchufe cerca de la cama, Zona de cocina, Proporciona factura, Plancha para ropa, Productos de limpieza, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Restaurante, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Tendedero, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/459066275.jpg?k=3f2021b559feb2986c06302ffbc68dea40f801173052d183532fce344b90182c&o=&hp=1,Cúcuta,Colombia
Hotel Balcon Llanero,https://www.booking.com/hotel/co/balcon-llanero.es.html?aid=2410095,"Hotel Balcon Llanero está en Cúcuta, en la región de Norte de Santander, a 7,9 km de Ecoparque Comfanorte. Este alojamiento ofrece restaurante, salón de uso común y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 4,7 km de Biblioteca Pública de Cucuta.

En el hotel, las habitaciones incluyen armario. Hotel Balcon Llanero ofrece algunas unidades con vistas disponen de, y todas tienen baño privado con ducha. En el alojamiento, todas las habitaciones disponen de TV de pantalla plana con canales por cable.

En Hotel Balcon Llanero se puede disfrutar de un desayuno americano.

El hotel ofrece terraza solárium.

El aeropuerto más cercano (Aeropuerto internacional Camilo Daza) está a 2 km.","Sombrillas, Prohibido fumar en todo el alojamiento, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Perchero, Información turística, Zona TV / salón de uso compartido, Muy buen desayuno, Fruta, WiFi gratis, Ducha, Mobiliario exterior, Canales por cable, Llave de acceso, Servicio de planchado, Servicio de lavandería, WC, Terraza / solárium, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Tendedero, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/247406063.jpg?k=43a348d4f090433654f2ee4d712c0aff87c9522ba80b7b36219e57b5251db830&o=&hp=1,Cúcuta,Colombia
HOTEL VITRU,https://www.booking.com/hotel/co/vitru-cucuta1.es.html?aid=2410095,"HOTEL VITRU está en Cúcuta, a 19 min a pie de Biblioteca Pública de Cucuta y a 5,4 km de Ecoparque Comfanorte. Ofrece alojamiento con terraza y parking privado gratis. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones tienen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones de este alojamiento tienen aire acondicionado y armario.

El aeropuerto (Aeropuerto internacional Camilo Daza) está a 4 km.","Terraza, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Armario, Parking gratis, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Servicio de habitaciones, Enchufe cerca de la cama, Servicio de despertador, Escritorio, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523158011.jpg?k=ff438f1d18de898da153956910d4df83a5e7e7ec219c494337ef712ce733a492&o=&hp=1,Cúcuta,Colombia
Ayenda Hospedaje WIV,https://www.booking.com/hotel/co/hospedaje-wiv.es.html?aid=2410095,"Ayenda Hospedaje WIV, que está a 6,2 km de Biblioteca Pública de Cucuta y a 10 km de Ecoparque Comfanorte, ofrece habitaciones con aire acondicionado y baño privado en Cúcuta. El alojamiento dispone de recepción 24 horas y servicio de organización de tours.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones del alojamiento tienen wifi gratis y baño privado con ducha y artículos de aseo gratuitos. En el hotel, cada habitación cuenta con ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional Camilo Daza) está a pocos pasos.","Teléfono, Vistas, Recepción 24 horas, Baño privado, Aire acondicionado, TV, Perchero, Información turística, Parking gratis, Ropa de cama, WiFi gratis, Ducha, WC, TV de pantalla plana, Toallas, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/343967615.jpg?k=d87857fc9449de1e0798c6608ceeb0930fac2ec39a4dd1e30121225275f21588&o=&hp=1,Cúcuta,Colombia
HOTEL STAMFORD PARK,https://www.booking.com/hotel/co/stamford-park.es.html?aid=2410095,"HOTEL STAMFORD PARK está en Cúcuta, en la región de Norte de Santander, a 5,2 km de Ecoparque Comfanorte. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 15 min a pie de Biblioteca Pública de Cucuta.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones están equipadas con baño privado con ducha.

El aeropuerto más cercano (Aeropuerto internacional Camilo Daza) está a 4 km del alojamiento.","WC, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Baño privado, TV de pantalla plana, Habitaciones familiares, Papel higiénico, Español, Recepción 24 horas, WiFi gratis, Ducha, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/555845004.jpg?k=6350ca7e579e7f85198b7ed9198ea6568edf49d2b5aa9bc5748431000ceccb7d&o=&hp=1,Cúcuta,Colombia
Hotel Manoa,https://www.booking.com/hotel/co/manoa.es.html?aid=2410095,"Hotel Manoa está en Cúcuta, en la región de Norte de Santander, a 5,5 km de Ecoparque Comfanorte. Este hotel de 3 estrellas tiene wifi gratis, recepción 24 horas y mostrador de información turística. Este alojamiento libre de humo se encuentra a 1,7 km de Biblioteca Pública de Cucuta.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones están equipadas con baño privado y ropa de cama.

El aeropuerto más cercano (Aeropuerto internacional Camilo Daza) está a 4 km del alojamiento.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Información turística, Ropa de cama, WiFi gratis, Ducha, Enchufe cerca de la cama, Llave de acceso, Servicio de despertador, Servicio de lavandería, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/345853053.jpg?k=dd59cdb70e716703fcef0ab3e24255225774bc64ec7d1a458005351d869de8c5&o=&hp=1,Cúcuta,Colombia
