hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Mar Sur,https://www.booking.com/hotel/cl/mar-sur.es.html?aid=2410095,"El Hotel Mar Sur ofrece conexión Wi-Fi gratuita, un desayuno gratuito y alojamiento en la histórica ciudad de Talcahuano, el segundo puerto más importante de Chile.

Las habitaciones cuentan con baño privado, TV por cable, caja fuerte, escritorio y vistas a la ciudad. Además, incluyen ropa de cama y toallas.

El Hotel Mar Sur dispone de recepción 24 horas, bar, un salón compartido y mostrador de información turística. Además, proporciona aparcamiento gratuito.

El Hotel Mar Sur tiene una excelente ubicación a poca distancia del puerto de Talcahuano, repleto de tiendas y restaurantes. El casino Marina del Sol y el centro de eventos SurActivo se encuentran a 8 minutos en coche y la base naval de Talcahuano, a 15 minutos en coche. El aeropuerto internacional Carriel Sur está a 15 km y el establecimiento organiza un servicio de traslado por un suplemento.","Terraza, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Información turística, Zona de comedor, Utensilios de planchado, Perchero, Cocina compartida, Desayuno, WiFi gratis, Zona de estar, Registro de entrada / salida privado, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Entrada privada, TV, Español, Calefacción, Caja fuerte, Bañera o ducha, Vistas a la ciudad, Servicio de planchado, Ducha, Armario, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Suelo de baldosa / mármol, Proporciona factura, Canales por cable, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Toallas / sábanas (por un suplemento), Recepción 24 horas, Zona TV / salón de uso compartido, WC, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490652551.jpg?k=834becbdbf74d2bf5467cc55fe119b135a37b0a71d0c46528da7180a4a68612a&o=&hp=1,Talcahuano,Chile
Puerto Perales Talcahuano,https://www.booking.com/hotel/cl/depa-perales-talcahuano.es.html?aid=2410095,"Puerto Perales Talcahuano está en Talcahuano, a 5,5 km de Estadio El Morro, y dispone de alojamiento con terraza, wifi gratis y servicio de conserjería. El alojamiento, que se encuentra a 4,5 km de Estadio CAP, ofrece jardín y parking privado gratis.

El apartamento cuenta con 3 dormitorios, 2 baños, ropa de cama, toallas, TV de pantalla plana, zona de comedor, cocina totalmente equipada y balcón con vistas al jardín.

El apartamento ofrece zona de juegos infantil.

Universidad de San Sebastián está a 9,1 km del alojamiento, y Estadio Municipal de Concepción está a 10 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 4 km del alojamiento.","Peluquería / salón de belleza, Terraza, Tetera / cafetera, TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Vistas al jardín, Zona de comedor, Toda la unidad accesible en silla de ruedas, Zona de juegos para niños, WiFi gratis, Servicio de streaming (como Netflix), Registro de entrada / salida privado, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Apartamento privado en edificio, Horno, Prohibido fumar en todo el alojamiento, Español, Calefacción, Microondas, Utensilios de cocina, Mesa de comedor, Toallas, Cafetera, Jardín, Hervidor eléctrico, Seguridad 24 horas, Nevera, Parking gratis, Baño privado, Tostadora, Habitaciones familiares, Cocina, Lavadora, Habitaciones sin humo, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/383990942.jpg?k=e635c1d1b91a8663e12f556de509e23fffbdafc4f7afeaba4a7f8f7e3c19ff47&o=&hp=1,Talcahuano,Chile
Acogedor departamento,https://www.booking.com/hotel/cl/acogedor-departamento-talcahuano.es.html?aid=2410095,"Acogedor departamento se encuentra en Talcahuano, a 7,3 km de Estadio El Morro y a 8,7 km de Universidad de San Sebastián, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. El alojamiento, que está a 6,2 km de Estadio CAP, dispone de terraza y parking privado gratis.

Este apartamento tiene acceso a un balcón y cuenta con 1 dormitorio y cocina totalmente equipada.

Estadio Municipal de Concepción está a 10 km del alojamiento, y Universidad de Concepción está a 10 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 1 km.","Español, Parking gratis, Terraza, Inglés, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, WiFi gratis, Lavadora, Calefacción, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/481096801.jpg?k=1605db1ee0c87fb5cdfc2422d019722055f72a298dac9e8f563b1c1405084e12&o=&hp=1,Talcahuano,Chile
Departamento43,https://www.booking.com/hotel/cl/departamento43.es.html?aid=2410095,"Departamento43 está en Talcahuano, a 9,1 km de Universidad de San Sebastián, a 10 km de Estadio Municipal de Concepción y a 10 km de Universidad de Concepción. El alojamiento tiene parking privado gratis y está a 4,5 km de Estadio CAP y a 5,5 km de Estadio El Morro.

Universidad del Bio-Bio está a 11 km del alojamiento. El aeropuerto (Aeropuerto Internacional Carriel Sur) está a 4 km.","Español, Prohibido fumar en todo el alojamiento, Parking gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537925605.jpg?k=1d0a60eb3956c0c9e1149effb384b34a1533f613c4e7917ac8ca95d9d8d2a937&o=&hp=1,Talcahuano,Chile
Hermoso y soleado departamento a pasos de casino Marina del Sol,https://www.booking.com/hotel/cl/hermoso-y-soleado-departamento-a-pasos-de-casino-marina-del-sol-talcahuano.es.html?aid=2410095,"Hermoso y soleado departamento a pasos de casino Marina del Sol se encuentra en Talcahuano, a 6,1 km de Estadio CAP, a 7,2 km de Estadio El Morro y a 8,6 km de Universidad de San Sebastián. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento cuenta con 2 dormitorios, TV de pantalla plana y cocina.

Estadio Municipal de Concepción está a 10 km del alojamiento, y Universidad de Concepción está a 10 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 1 km del alojamiento.","Español, Parking gratis, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Vistas, Cocina, WiFi gratis, Lavadora, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537645469.jpg?k=1f58b77b7534030911f8dbe28aa7551170dbfd7b3d0e79bda2ad1719574b40ad&o=&hp=1,Talcahuano,Chile
Wyndham Concepcion Pettra,https://www.booking.com/hotel/cl/radisson-petra-concepcion.es.html?aid=2410095,"El Wyndham Concepción Pettra cuenta con piscina al aire libre y gimnasio. El centro comercial Mall Plaza El Trébol está a 200 metros. El alojamiento también cuenta con WiFi gratuita.

El Wyndham Concepción Pettra ofrece habitaciones con aire acondicionado, TV de pantalla plana por cable, cafetera y minibar. Todas las habitaciones tienen caja fuerte y baño privado con ducha.

Todos los días se sirve un desayuno buffet. El restaurante del alojamiento ofrece comida internacional.

Hay aparcamiento privado gratuito.

El aeropuerto Carriel Sur se encuentra a solo 3 km, mientras que el centro de la ciudad de Concepción está a 5 km. El Wyndham Concepción Pettra está ubicado a 2 horas en coche de las Termas de Chillán.","Terraza, Tarjeta de acceso, Tetera / cafetera, Extintores, Información turística, Alquiler de coches, Utensilios de planchado, Reloj despertador, Adaptado personas de movilidad reducida, Zapatillas, Teléfono, Fruta, Servicio de conserjería, Alarma de seguridad, TV, Caja fuerte, Sauna, Salas de reuniones / banquetes, Cafetera, Spa y centro de bienestar, Cafetería en el alojamiento, Masaje de cuello, Recepción 24 horas, Tumbonas/sillas de playa, Restaurante, Escritorio, Happy hour, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Minibar, Masaje corporal completo, Calefacción, Ducha, Pediluvio, Artículos de aseo gratis, TV de pantalla plana, Ropa de cama, Instalaciones de spa, Enchufe cerca de la cama, Baño de vapor, Traslado aeropuerto, Masaje de cabeza, Menú para niños, Español, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Masaje de espalda, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, WC, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Tetera/cafetera en todas las habitaciones, Bar, Snack-bar, Servicio de lavandería, Masaje de pies, Masajes, Masaje de manos, Menús para dietas especiales (bajo petición), Plancha para ropa, Plancha para pantalones, WiFi gratis, Muy buen desayuno, WC elevado, Bañera o ducha, Guardaequipaje, Servicio de limpieza diario, Masaje en pareja, Desayuno en la habitación, Seguridad 24 horas, Vino / champán, Secador de pelo, Aire acondicionado, Lavamanos más bajo, Zona de spa / relajación, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/327865373.jpg?k=ab80d9e879e024ba7eccc115b1fa3d4ece5ebef1b69f5f31a6fa25455390527c&o=&hp=1,Talcahuano,Chile
"Holiday Inn Express - Concepcion, an IHG Hotel",https://www.booking.com/hotel/cl/holiday-inn-express-concepcion.es.html?aid=2410095,"El Holiday Inn ofrece habitaciones amplias, piscina exterior y conexión gratuita a internet.
Se encuentra a 2 minutos en coche del aeropuerto de Concepción y está enfrente del centro comercial Plaza Trébol.

Las habitaciones del Holiday Inn Express Concepcion incluyen aire acondicionado, TV por cable, escritorio y tetera/cafetera.

Todas las mañanas se sirve un desayuno delicioso. La cafetería Innporio, situada en la 1ª planta del hotel, ofrece platos preparados, sándwiches y bebidas. 

El centro comercial Plaza Trébol alberga restaurantes, tiendas y cines. El Holiday Inn Express Concepción está a 3,5 km del centro de Concepción. El Holiday Inn proporciona aparcamiento gratuito.

Al hacer el registro de entrada, los huéspedes deberán presentar una tarjeta de crédito válida como garantía.","Acceso a pisos superiores en ascensor, Terraza, Inglés, Tetera/cafetera en todas las habitaciones, Tarjeta de acceso, Tetera / cafetera, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Escritorio, Información turística, De temporada, Plancha para ropa, Utensilios de planchado, Reloj despertador, Adaptado personas de movilidad reducida, Soporte para iPod, WiFi gratis, Enchufe cerca de la cama, Bañera, Piscina al aire libre, Teléfono, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Habitaciones insonorizadas, Español, Centro de negocios, Calefacción, Caja fuerte, Bañera o ducha, Guardaequipaje, Ducha, Servicio de despertador / alarma, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Para todas las edades, Cafetera, Jardín, Proporciona factura, Canales por cable, Seguridad 24 horas, Parking gratis, Baño privado, Caja fuerte para ordenador portátil, Secador de pelo, Horario de apertura, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552091685.jpg?k=bd1e668703bf9eb944fc27c62667d870efbca83f5412c374e28b83788cdfc4d1&o=&hp=1,Talcahuano,Chile
ibis Concepcion,https://www.booking.com/hotel/cl/ibis-concepcion.es.html?aid=2410095,"El Ibis Concepción está situado a solo 1,5 km del aeropuerto internacional Carriel Sur, frente al centro comercial Plaza Trébol, y ofrece habitaciones con WiFi gratuita y TV inteligente de 40 pulgadas. Se sirve un desayuno buffet por un suplemento.

Las habitaciones del Ibis Concepción disponen de muebles de madera modernos, calefacción, aire acondicionado y baño privado.

El Ibis Concepción cuenta con un restaurante que sirve una gran variedad de platos internacionales y los mejores vinos chilenos. También hay un bar abierto las 24 horas que ofrece aperitivos y bebidas frías y calientes durante todo el día. Se proporciona aparcamiento cubierto gratuito.","Acceso a pisos superiores en ascensor, Terraza, Inglés, Bar, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Escritorio, Información turística, Boles para mascotas, Zona de fumadores, Alquiler de coches, Plancha para pantalones, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada / salida privado, Fruta, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Centro de negocios, Calefacción, Caja fuerte, Bañera o ducha, Guardaequipaje, Vistas a la ciudad, Ducha, Armario, Vistas, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Cesta para mascotas, Jardín, Proporciona factura, Almuerzos para llevar, Canales por cable, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Caja fuerte para ordenador portátil, Secador de pelo, Aseo adicional, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/83923200.jpg?k=232c3046cafadcf3d40bea99f585dc908dd1f8a2410af78a9e6f0c4ed83a3f92&o=&hp=1,Talcahuano,Chile
MDS Hotel Concepción,https://www.booking.com/hotel/cl/mds-hotel-concepcion.es.html?aid=2410095,"El MDS Hotel Concepción se encuentra en Talcahuano, junto al casino Marina del Sol y a solo 3,2 km del aeropuerto Carriel Sur. Este hotel cuenta con piscina cubierta y conexión WiFi gratuita.

Las habitaciones presentan un diseño moderno con muebles elegantes e incluyen aire acondicionado y TV de pantalla plana. Además, el MDS Hotel Concepción ofrece servicio de habitaciones las 24 horas.

El hotel tiene gimnasio bien equipado, aparcamiento privado gratuito y recepción 24 horas.

El restaurante Esquilón sirve una gran variedad de platos, tanto tradicionales como internacionales. En el bar del vestíbulo se ofrecen bebidas y aperitivos.","Terraza, Tarjeta de acceso, Abierta todo el año, Extintores, Información turística, Alquiler de coches, Utensilios de planchado, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Teléfono, Fruta, Servicio de conserjería, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Sauna, Salas de reuniones / banquetes, Para todas las edades, Jardín, Almuerzos para llevar, Spa y centro de bienestar, Cafetería en el alojamiento, Radio, Recepción 24 horas, Tumbonas/sillas de playa, Servicios de belleza, Silla de masajes, Restaurante, Escritorio, Happy hour, Piscina interior, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Calefacción, Paquetes de spa / bienestar, Servicio de despertador / alarma, Artículos de aseo gratis, Bañera de hidromasaje / jacuzzi, Horario de apertura, TV de pantalla plana, Ropa de cama, Zona de fumadores, Perchero, Instalaciones de spa, Enchufe cerca de la cama, Baño de vapor, Menú para niños, Español, Servicio de planchado, Armario, Piscina en la azotea, Toallas, Gimnasio, Apoyo visual: carteles táctiles, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Inglés, Bar, Snack-bar, Servicio de lavandería, Masajes, Cajero automático en el hotel, Menús para dietas especiales (bajo petición), Plancha para pantalones, WiFi gratis, Baños públicos, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, Habitaciones hipoalergénicas, Casino, Centro de negocios, Apoyo visual: braille, Bañera o ducha, Guardaequipaje, Servicio de limpieza diario, Desayuno en la habitación, Seguridad 24 horas, Secador de pelo, Aire acondicionado, Zona de spa / relajación, Barandillas protectoras para bebés, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/79545942.jpg?k=977f3fc9a7eb0eb8201929a0ea7efc8cf76e812b226730e0e8ba8bc66a480cfa&o=&hp=1,Talcahuano,Chile
Hotel Mosul,https://www.booking.com/hotel/cl/mosul-concepcion.es.html?aid=2410095,"El Hotel Mosul está situado en Concepción y ofrece una piscina al aire libre y conexión Wi-Fi gratuita.

Las habitaciones del Hotel Mosul cuentan con TV por cable, caja fuerte y baño privado.

El Hotel Mosul dispone de un jardín y de una recepción abierta las 24 horas. Además, se ofrece aparcamiento gratuito.

El Hotel Mosul se encuentra a 5 km del centro de Concepción y a 2 km del aeropuerto internacional Carriel Sur. El barco histórico Huáscar está situado a 20 km.","Terraza, Inglés, Snack-bar, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Escritorio, Información turística, De temporada, WiFi gratis, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Mobiliario exterior, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Centro de negocios, Calefacción, Caja fuerte, Guardaequipaje, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Servicio de limpieza diario, Jardín, Proporciona factura, Suelo de baldosa / mármol, Canales por cable, Seguridad 24 horas, Cafetería en el alojamiento, Parking gratis, Baño privado, Secador de pelo, Horario de apertura, Recepción 24 horas, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, WC, Toallas de playa/piscina, Zona de pícnic, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/144171473.jpg?k=6783961549c848b5387724014102cb847bc79c642151b00e21664bd5f007a6dd&o=&hp=1,Talcahuano,Chile
Concepción Suites,https://www.booking.com/hotel/cl/concepcion-suites.es.html?aid=2410095,"Concepción Suites se encuentra a 5 km de Universidad de San Sebastián y ofrece alojamiento con wifi gratis y parking privado gratis.

Cada unidad cuenta con terraza, TV de pantalla plana, cocina bien equipada y baño privado con ducha y artículos de aseo gratuitos.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

Estadio Municipal de Concepción está a 6 km del alojamiento, y Universidad de Concepción está a 6,7 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 3 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Inglés, TV de pantalla plana, Productos de limpieza, Sofá cama, Cama plegable, Sofá, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Traslado aeropuerto, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Español, Calefacción, Bañera o ducha, Ducha, Armario, Vistas, Servicio de limpieza diario, Artículos de aseo gratis, Jardín, Servicio de habitaciones, Parking gratis, Parking en un garaje, Baño privado, Recepción 24 horas, Ascensor, Habitaciones familiares, Cocina, Balcón, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/67657350.jpg?k=2195580ef3155ce5c54194c1345234085216a3f548ef27e9ed97d56a59bbc12c&o=&hp=1,Talcahuano,Chile
Depto Gesoli,https://www.booking.com/hotel/cl/depto-gesoli-hualpen.es.html?aid=2410095,"Depto Gesoli es un alojamiento con jardín que se encuentra en Hualpen, a 6,7 km de Universidad de San Sebastián, a 7,9 km de Estadio CAP y a 8,6 km de Universidad de Concepción. El apartamento, que se encuentra en un edificio de 2005, está a 8,7 km de Estadio Municipal de Concepción y a 9 km de Estadio El Morro.

El apartamento dispone de 1 dormitorio, una sala de estar con TV de pantalla plana, una cocina equipada y 1 baño con bañera.

Universidad del Bio-Bio está a 10 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 5 km del alojamiento.","TV de pantalla plana, Servicio de lavandería, Zona de fumadores, Vistas al jardín, Plancha para pantalones, Bañera, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Jardín, Seguridad 24 horas, Baño privado, Cocina, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/534527269.jpg?k=b77e70aa77ee5da849fe5f9d5a16413f42d4adb6e7bb14f15819bfb78779b03d&o=&hp=1,Talcahuano,Chile
Departamento arriendo diario,https://www.booking.com/hotel/cl/departamento-arriendo-diario-concepcion1.es.html?aid=2410095,"Departamento arriendo diario se encuentra a 9 km de Estadio El Morro y a 9,2 km de Universidad de San Sebastián, en Concepción, y ofrece alojamiento con cocina. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar.

Estadio CAP está a 10 km del alojamiento, y Universidad de Concepción está a 10 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 8 km del alojamiento.","Español, Parking gratis, Ducha, Secador de pelo, TV de pantalla plana, Calefacción, Vistas, Cocina, Escritorio, WC, Sofá cama, Aire acondicionado, WiFi gratis, Balcón, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545829207.jpg?k=0c6d44ebcc48806c8bfbb30d038f95c7b07fe2b66b0569c289f6103961894803&o=&hp=1,Talcahuano,Chile
