hotel,hotel_url,description,popular_facilities,highres_url,city,country
Apê Metrô Paraíso,https://www.booking.com/hotel/br/ape-metro-paraiso.es.html?aid=2410095,"Apê Metrô Paraíso se encuentra en São Paulo, a 2,5 km de Museo de Arte de São Paulo - MASP y a 3 km de Pabellón de Ciccillo Matarazzo, y ofrece vistas a la ciudad y wifi gratis.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo.

Edificio Copan está a 3,9 km del alojamiento, y Catedral Metropolitana de São Paulo está a 3,9 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 9 km del alojamiento.","Acceso a pisos superiores en ascensor, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Escritorio, Zona de comedor, Plancha para ropa, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Adosado, Zona de estar, Fogones, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Minibar, Calefacción, Independiente, Microondas, Guardaequipaje, Utensilios de cocina, Ducha, Mesa de comedor, Toallas, Artículos de aseo gratis, Seguridad 24 horas, Baño privado, Portugués, Secador de pelo, Recepción 24 horas, Ascensor, Aire acondicionado, WC, Habitaciones familiares, Cocina, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532921015.jpg?k=dd79d32c8f0f4075bcfaffd2a288b47ad19bab7438ffd6a30b145953fc7fc21a&o=&hp=1,Mariana,Brasil
Paraíso Suítes by Charlie,https://www.booking.com/hotel/br/paraiso-suites-by-charlie-sao-paulo.es.html?aid=2410095,"Paraíso Suítes by Charlie está muy bien situado en el barrio de Vila Mariana, São Paulo, a 2,6 km de Museo de Arte de São Paulo - MASP, a 3,1 km de Pabellón de Ciccillo Matarazzo y a 3,4 km de Catedral Metropolitana de São Paulo. Este hotel de 4 estrellas ofrece centro de fitness y habitaciones con aire acondicionado, wifi gratis y baño privado. Edificio Copan está a 4 km del hotel y Museo Catavento, a 4,8 km.

En el hotel, cada habitación incluye escritorio y TV de pantalla plana. En Paraíso Suítes by Charlie, las habitaciones disponen de ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet. Paraíso Suítes by Charlie cuenta un restaurante que sirve cocina brasileña.

El hotel ofrece terraza solárium.

El personal de recepción habla inglés, español y portugués, y está dispuesto a ayudar en cualquier momento.

Estadio Pacaembú está a 4,9 km del alojamiento, y Parque Ibirapuera está a 5,3 km. El aeropuerto (Aeropuerto de São Paulo - Congonhas) está a 9 km.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, TV de pantalla plana, Extintores, Detector de monóxido de carbono, Restaurante, Ropa de cama, Escritorio, Parking en el alojamiento, Sofá, WiFi gratis, Suelo de madera o parquet, Minibar, Español, Terraza / solárium, Caja fuerte, Ducha, Armario, Toallas, Gimnasio, Buen desayuno, Servicio de aparcacoches, Parking en un garaje, Baño privado, Secador de pelo, Recepción 24 horas, Aire acondicionado, WC, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/540719505.jpg?k=9ab64f86ec9890eb4cd843390d675fa8e093b15600c3fadc66c8316c2f7c5bb8&o=&hp=1,Mariana,Brasil
Paulista Suites by Charlie,https://www.booking.com/hotel/br/charlie-paraiso.es.html?aid=2410095,"Paulista Suites by Charlie está muy bien situado en el barrio de Vila Mariana, São Paulo, a 2,7 km de Museo de Arte de São Paulo - MASP, a 3,3 km de Pabellón de Ciccillo Matarazzo y a 3,3 km de Catedral Metropolitana de São Paulo. Este hotel de 4 estrellas tiene wifi gratis, salón de uso común y recepción 24 horas. El hotel tiene sauna y centro de negocios.

El hotel ofrece habitaciones con aire acondicionado, escritorio, hervidor, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. En Paulista Suites by Charlie, cada habitación dispone de ropa de cama y toallas.

Edificio Copan está a 4 km del alojamiento, y Museo Catavento está a 4,7 km. El aeropuerto (Aeropuerto de São Paulo - Congonhas) está a 9 km.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, Servicio de lavandería, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Parking en el alojamiento, Sofá, WiFi gratis, Enchufe cerca de la cama, Zona de estar, Teléfono, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Minibar, Español, Centro de negocios, Caja fuerte, Sauna, Supermercado pequeño en el alojamiento, Ducha, Armario, Toallas, Gimnasio, Servicio de aparcacoches, Canales por cable, Hervidor eléctrico, Baño privado, Secador de pelo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, Aire acondicionado, WC, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/279378122.jpg?k=87b76ef10ae1df37c3f264062941ba2cdc1c408fea1f14de3fcb94c0b7ab1dec&o=&hp=1,Mariana,Brasil
Hotel Pousada Bonita - 150m Metrô Paraiso e 1Km do inicio Av Paulista,https://www.booking.com/hotel/br/pousada-bonita.es.html?aid=2410095,"El Hotel Pousada Bonita - 150 metros Metrô Paraiso e 1 km do inicio Av. está muy bien situado en el distrito Paraíso de São Paulo, a solo 260 metros de la estación Paraíso y a 700 metros de la avenida Paulista, y ofrece alojamientos prácticos con aire acondicionado y conexión WiFi gratuita, cocina compartida y consigna de equipaje.

Todas las habitaciones presentan un estilo sencillo y cuentan con TV de pantalla plana, minibar y escritorio. Todos los alojamientos incluyen baño privado con ducha y artículos de aseo gratuitos.

El Hotel Pousada Bonita - 150 metros Metrô Paraiso e 1 km do. El Av Av Paulista está a 2,5 km del Museo MASP. Las estaciones de autobuses Tietê y Jabaquara están a 10 paradas de metro del establecimiento, que está rodeado de lugares de interés turístico, centros comerciales y restaurantes. El aeropuerto de São Paulo/Congonhas es el más cercano y se halla a 6 km.","Tarjeta de acceso, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Escritorio, Cocina compartida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada y salida exprés, Registro de entrada / salida privado, Teléfono, Servicio de conserjería, Entrada privada, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Calefacción, Guardaequipaje, Canales vía satélite, Supermercado pequeño en el alojamiento, Ducha, Armario, Servicio de limpieza diario, Toallas, Artículos de aseo gratis, Suelo de baldosa / mármol, Proporciona factura, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Nevera, Baño privado, Portugués, Parking, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, WC, Habitaciones familiares, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/247198929.jpg?k=b751734f76535df5cca4e6c944176e8af995d6d9c6bb21e43329a4a30f40f3e7&o=&hp=1,Mariana,Brasil
Charlie Hotel Atmosfera Paulista,https://www.booking.com/hotel/br/charlie-ana-rosa-soft-opening.es.html?aid=2410095,"Charlie Hotel Atmosfera Paulista está en São Paulo, a 3,9 km de Pabellón de Ciccillo Matarazzo y a 4,3 km de Catedral Metropolitana de São Paulo, y ofrece wifi gratis. El alojamiento está a unos 4,7 km de Edificio Copan, a 5,6 km de Estadio Pacaembú y a 5,7 km de Museo Catavento. Este alojamiento libre de humo se encuentra a 3,3 km de Museo de Arte de São Paulo - MASP.

Todas las unidades incluyen aire acondicionado, nevera, microondas, cafetera, ducha, secador de pelo y armario. En el hotel, todas las habitaciones tienen baño privado y ropa de cama.

Charlie Hotel Atmosfera Paulista ofrece alojamiento de 3 estrellas con centro de fitness y sauna.

Parque Ibirapuera está a 6,1 km del alojamiento, y Sala São Paulo está a 6,5 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 7 km.","Acceso a pisos superiores en ascensor, Inglés, Servicio de lavandería, TV de pantalla plana, Ropa de cama, Zona de comedor, WiFi gratis, Baño de vapor, Fogones, Prohibido fumar en todo el alojamiento, Español, Sauna, Microondas, Guardaequipaje, Utensilios de cocina, Ducha, Armario, Servicio de limpieza diario, Gimnasio, Toallas, Cafetera, Proporciona factura, Nevera, Baño privado, Secador de pelo, Ascensor, Aire acondicionado, WC, Portugués, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/484689252.jpg?k=71f81b9a5e1b829dc0d5ea729613d0e7de2f3e70c6bd8c2f66197dddad0d19a5&o=&hp=1,Mariana,Brasil
Ez Aclimação Hotel,https://www.booking.com/hotel/br/ez-aclimaassapso.es.html?aid=2410095,"El Ez Aclimação, equipado con piscina, sauna, centro de fitness, 2 restaurantes, bar y WiFi gratuita, se encuentra a 1 km del parque Aclimação y el centro comercial Pátio Paulista, en São Paulo.

Todas las habitaciones tienen minibar, caja fuerte y aire acondicionado. También se ofrece servicio de habitaciones.

El Ez Aclimação Hotel está a 2 calles de la estación de metro Paraíso, a 4 km del centro de São Paulo y a 6 km de la estación de autobuses de Tietê. Queda a 8 km del aeropuerto de Congonhas. El desayuno y el uso del aparcamiento privado conllevan un suplemento.","Terraza, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Insonorización, Ropa de cama, Restaurante, Escritorio, Zona de fumadores, Reloj despertador, WiFi gratis, Enchufe cerca de la cama, Parking privado, Piscina al aire libre, Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Alarma de seguridad, Mobiliario exterior, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, 2 restaurantes, Terraza / solárium, Centro de negocios, Calefacción, Caja fuerte, Sauna, Ducha, Servicio de despertador / alarma, Salas de reuniones / banquetes, Armario, Vistas, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Solo para adultos, Jardín, Canales por cable, Desayuno en la habitación, Solárium, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking en un garaje, Baño privado, Vino / champán, Secador de pelo, Aseo adicional, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/281281506.jpg?k=3bedd306378a2765796057d2ee91bcdcc8ff4efdb0bc55f958bcb5f1a0dd7a7a&o=&hp=1,Mariana,Brasil
Hotel Stela,https://www.booking.com/hotel/br/stela-ltda.es.html?aid=2410095,"Hotel Stela, que está a 2,5 km de Museo de Arte de São Paulo - MASP y a 3 km de Pabellón de Ciccillo Matarazzo, ofrece habitaciones con aire acondicionado y baño privado en São Paulo. Este alojamiento ofrece recepción 24 horas y guardaequipaje, además de wifi gratis en todo el alojamiento. El hotel tiene habitaciones familiares.

En el hotel, las habitaciones tienen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones tienen armario.

Catedral Metropolitana de São Paulo está a 3,5 km del alojamiento, y Edificio Copan está a 3,9 km. El aeropuerto (Aeropuerto de São Paulo - Congonhas) está a 9 km.","TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Servicio de despertador, WC elevado, TV, Minibar, Guardaequipaje, Ducha, Servicio de despertador / alarma, Armario, Toallas, Artículos de aseo gratis, Suelo de baldosa / mármol, Canales por cable, WC con barras de apoyo, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, WC, Lavamanos más bajo, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/57489848.jpg?k=0b3c4026673d818618c53fe2191307da9cf76cd56e8bff91c1539cc43cd6d703&o=&hp=1,Mariana,Brasil
360 Suítes Vila Mariana - Apartamentos mobiliados,https://www.booking.com/hotel/br/360-suites-vila-mariana.es.html?aid=2410095,"360 Suítes Vila Mariana - Apartamentos mobiliados está en São Paulo, a 3,7 km de Pabellón de Ciccillo Matarazzo y a 3,9 km de Museo de Arte de São Paulo - MASP, y ofrece alojamiento con wifi gratis.

Cada unidad tiene baño privado, ducha, aire acondicionado, TV de pantalla plana y microondas.

Catedral Metropolitana de São Paulo está a 4,9 km del alojamiento, y Edificio Copan está a 5,3 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 6 km.","Inglés, Tetera / cafetera, TV de pantalla plana, Llave de acceso, Ropa de cama, WiFi gratis, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Servicio de streaming (como Netflix), Fogones, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Microondas, Ducha, Armario, Toallas, Seguridad 24 horas, Baño privado, Recepción 24 horas, Ascensor, Máquina expendedora (bebidas), Aire acondicionado, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551167438.jpg?k=3b35e29299caba47b314c141193e764605d30b8754d30e672a2e7465f43906d1&o=&hp=1,Mariana,Brasil
Hotel Flor Paulista,https://www.booking.com/hotel/br/flor-paulista.es.html?aid=2410095,"Hotel Flor Paulista, que se encuentra a 3,3 km de Museo de Arte de São Paulo - MASP y a 4 km de Pabellón de Ciccillo Matarazzo, ofrece habitaciones con aire acondicionado y baño privado en São Paulo. El alojamiento está a 4,3 km de Catedral Metropolitana de São Paulo, a 4,7 km de Edificio Copan y a 5,6 km de Estadio Pacaembú. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Las habitaciones de este alojamiento están equipadas con TV. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos. En el hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

Museo Catavento está a 5,7 km del alojamiento, y Parque Ibirapuera está a 6,1 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 7 km del alojamiento.","Ropa de cama, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, TV, Prohibido fumar en todo el alojamiento, Minibar, Bañera o ducha, Ducha, Servicio de limpieza diario, Buen desayuno, Toallas, Artículos de aseo gratis, Servicio de habitaciones, Cafetería en el alojamiento, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Toallas / sábanas (por un suplemento), Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, WC, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/214766930.jpg?k=fa4f931e0e603f88fb8092f5275b56bcad51a2fb783daad7557c04ca5ba090fa&o=&hp=1,Mariana,Brasil
Hotel Paraiso,https://www.booking.com/hotel/br/paraiso-sao-paulo.es.html?aid=2410095,"Hotel Paraiso está muy bien situado en el barrio de Vila Mariana, São Paulo, a 1,8 km de Museo de Arte de São Paulo - MASP, a 2,9 km de Pabellón de Ciccillo Matarazzo y a 3,8 km de Catedral Metropolitana de São Paulo. Este hotel de 3 estrellas ofrece salón de uso común y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Edificio Copan está a 3,9 km del hotel y Estadio Pacaembú, a 4,4 km.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales vía satélite. En el hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

El personal de recepción puede dar consejos sobre la zona.

Parque Ibirapuera está a 4,4 km del alojamiento, y Museo Catavento está a 5,2 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 9 km del alojamiento.","TV de pantalla plana, Ropa de cama, WiFi gratis, Ventilador, Teléfono, TV, Minibar, Canales vía satélite, Ducha, Papel higiénico, Armario, Toallas, Baño privado, Recepción 24 horas, Zona TV / salón de uso compartido, Aire acondicionado, WC, Habitaciones familiares, Portugués, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/128808375.jpg?k=c8bea628492cf244185b3545c2dda460ea82d9adcf056c91c38616d694d99f41&o=&hp=1,Mariana,Brasil
Hotel Estação Paraíso - ao lado do Metrô Paraíso e 600m da Av Paulista,https://www.booking.com/hotel/br/estaassapso-paraaso.es.html?aid=2410095,"Hotel Estação Paraíso - ao lado do El Metrô Paraíso e 600m da Av Paulista ofrece alojamiento práctico y acogedor. Hay conexión Wi-Fi gratuita y aparcamiento en las inmediaciones por un suplemento.

El Hotel Paraíso se encuentra a 7 km del aeropuerto de Congonhas y a 29 km del aeropuerto internacional de Guarulhos. La estación de autobuses de Tiete está a 15 km y la estación de autobuses de Barra Funda, a 9 km.

El Museo de Arte Masp - Sao Paulo y el parque Ibirapuera están a menos de 3 km. El estadio Arena de Itaquera se encuentra a 25 km del Hotel Estação.

Las habitaciones están bien decoradas y cuentan con aire acondicionado frío y caliente, TV, minibar y baño privado con ducha de agua caliente. También tienen suelo de baldosa.

Todos los días se sirve un desayuno buffet con fruta fresca variada, pan y embutidos.","Tarjeta de acceso, Servicio de lavandería, TV de pantalla plana, Desayuno fabuloso, Extintores, Ropa de cama, Zona de fumadores, Adaptado personas de movilidad reducida, WiFi gratis, Estación de carga de vehículos eléctricos, Teléfono, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, WC elevado, TV, Minibar, Calefacción, Caja fuerte, Guardaequipaje, Ducha, Servicio de despertador / alarma, Armario, Servicio de limpieza diario, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Jardín, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Parking en un garaje, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Parking, Máquina expendedora (bebidas), Detectores de humo, Aire acondicionado, WC, Lavamanos más bajo, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/117072959.jpg?k=b23f192d9e67d7e97aea77979977db30d3b001dfbe495e0793a5f0d2be01f4da&o=&hp=1,Mariana,Brasil
Hotel Residenza - 400m do inicio da Av Paulista e Metrô Paraiso,https://www.booking.com/hotel/br/pousada-residenza-mantovani.es.html?aid=2410095,"El Hotel Residenza - 400m do inicio da Av Paulista e Metrô Paraiso se encuentra a solo 100 metros de la avenida Paulista y ofrece conexión Wi-Fi gratuita, un desayuno bufé diario y una sala de TV común. El centro comercial Paulista está a 5 minutos a pie.

Las habitaciones del Hotel Residenza - 400m do inicio da Av Paulista e Metrô Paraiso presentan una decoración sencilla y están equipadas con TV por cable, teléfono, caja fuerte y baño privado. Los alojamientos superiores incluyen aire acondicionado.

Todas las mañanas se sirve un desayuno bufé en la sala de desayunos. Incluye fruta fresca variada, pan, embutidos y una selección de bebidas frías y calientes.

La estación de metro Paraíso se encuentra a 5 minutos a pie y el Museo de Arte de São Paulo está a 1 km. El parque Ibirapuera está a 1,5 km.","Servicio de lavandería, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Perchero, Cocina compartida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada y salida exprés, Registro de entrada / salida privado, Teléfono, Fruta, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Entrada privada, Mobiliario exterior, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Centro de negocios, Caja fuerte, Buffet para niños, Bañera o ducha, Guardaequipaje, Vistas a la ciudad, Canales vía satélite, Salas de reuniones / banquetes, Bidet, Armario, Vistas, Servicio de limpieza diario, Buen desayuno, Toallas, Artículos de aseo gratis, Suelo de baldosa / mármol, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Baño privado, Zona TV / salón de uso compartido, Aire acondicionado, WC, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/132545839.jpg?k=81a213e8e61ca21a8951794eed98e39e7510cb274e4d68b32c16bd9f0c3107ec&o=&hp=1,Mariana,Brasil
