hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel las Palmas,https://www.booking.com/hotel/co/las-palmas-villa-de-leyva.es.html?aid=2410095,"Hotel las Palmas, que se encuentra a 4 min a pie de Plaza de Armas Villa de Leyva y a 400 metros de Museo del Carmen, ofrece habitaciones en Villa de Leyva. Este alojamiento ofrece restaurante, salón de uso común y servicio de habitaciones, además de wifi gratis. Hay parking privado en el propio alojamiento.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la montaña.

En el hotel se puede disfrutar de un desayuno americano.

La zona es ideal para practicar ciclismo y hay alquiler de bicicletas en este hotel de 3 estrellas.

El personal de recepción puede aconsejar qué visitar por la zona.

Parque Nacional de Iguaque está a 29 km del alojamiento, y Parque temático Gondava está a 6,8 km. El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 81 km del alojamiento.","Sombrillas, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Senderismo, Masaje de manos, Recepción 24 horas, Cenas temáticas, Baño privado, Extintores, TV, Ciclismo, Masajes, Tour o clase sobre cultura local, Vino / champán, Menú para niños, Información turística, Masaje en pareja, Zona TV / salón de uso compartido, Muy buen desayuno, Tours en bici, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Masaje de pies, Proporciona factura, Parking privado, Servicio de aparcacoches, Tours a pie, Masaje de cabeza, Alquiler de bicicletas, Desayuno en la habitación, Equitación, Servicio de planchado, Servicio de lavandería, Masaje corporal completo, WC, Masaje de cuello, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Masaje de espalda, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570769929.jpg?k=82a95ad9cb1aef914e90cebb6b55a5e564aafa051333480971413ba2c1edb3fe&o=&hp=1,Villa de Leyva,Colombia
Hotel La Corada,https://www.booking.com/hotel/co/la-corada.es.html?aid=2410095,"Hotel La Corada se encuentra en Villa de Leyva, a pocos pasos de Plaza de Armas Villa de Leyva, y ofrece servicio de conserjería, habitaciones libres de humo, salón de uso común, wifi gratis en todo el alojamiento y restaurante. Este hotel de 4 estrellas ofrece recepción 24 horas y centro de negocios. El hotel dispone de habitaciones familiares.

En el hotel se sirve todos los días un desayuno americano.

Hotel La Corada ofrece terraza solárium.

Museo del Carmen está a 2 min a pie del alojamiento, y Parque Nacional de Iguaque está a 29 km. El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 81 km del alojamiento.","Desayuno, Servicio de entrega de comestibles, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Centro de negocios, Extintores, Tour o clase sobre cultura local, Menú para niños, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Tours en bici, Galerías de arte temporales, Seguridad 24 horas, WiFi gratis, Ducha, Proporciona factura, Mobiliario exterior, Tours a pie, Llave de acceso, Chimenea exterior, Servicio de planchado, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Restaurante, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537558088.jpg?k=41283c070205578e91edfcb91fbb5de57da03cb8927dac33d1d4762b3d318e19&o=&hp=1,Villa de Leyva,Colombia
Posada La Rioja,https://www.booking.com/hotel/co/hospedaje-la-rioja.es.html?aid=2410095,"Posada La Rioja está muy bien situado en el barrio de Historic Center, Villa de Leyva, a 3 min a pie de Plaza de Armas Villa de Leyva, a 300 metros de Museo del Carmen y a 29 km de Parque Nacional de Iguaque. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. El baño privado está equipado con ducha y artículos de aseo gratuitos.

El hostal o pensión ofrece desayuno continental o americano.

Parque temático Gondava está a 6,5 km del alojamiento. El aeropuerto (Aeropuerto internacional de El Dorado) está a 162 km.","Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Alarma de seguridad, Prohibido fumar en todo el alojamiento, Bañera o ducha, Noches de cine, Recepción 24 horas, Baño privado, Extintores, TV, Tour o clase sobre cultura local, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Menús para dietas especiales (bajo petición), Desayuno excepcional, Servicio de traslado, Seguridad 24 horas, Ducha, Detectores de humo, Servicio de habitaciones, Proporciona factura, Servicio de aparcacoches, Mobiliario exterior, Llave de acceso, Eventos deportivos en directo (emisión), Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Wifi rápida gratis (154 Mbps), TV de pantalla plana, Toallas, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/500693645.jpg?k=9d4087a332b2a2bb0569f659c897972ca06422d06f3a66b18c3a0ab5a49e1f64&o=&hp=1,Villa de Leyva,Colombia
Esquina Colonial,https://www.booking.com/hotel/co/esquina-colonial.es.html?aid=2410095,"Esquina Colonial está en Villa de Leyva, a 5 min a pie de Plaza de Armas Villa de Leyva, y ofrece vistas a la montaña. Este alojamiento, que tiene servicio de habitaciones, también ofrece terraza solárium. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

Las unidades de este alojamiento están equipadas con zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y ducha. En el hotel, todas las habitaciones incluyen ropa de cama y toallas.

En Esquina Colonial se puede disfrutar de un desayuno americano.

Museo del Carmen está a 7 min a pie del alojamiento, y Parque Nacional de Iguaque está a 28 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 161 km.","Juegos de mesa / puzles, Vestidor, Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Vistas, Recepción 24 horas, Baño privado, Extintores, TV, Traslado aeropuerto, Información turística, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Tours en bici, Desayuno fabuloso, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Protector de enchufes para niños, Barandillas protectoras para bebés, Alquiler de coches, Zona de juegos interior, Productos de limpieza, Canales por cable, Tours a pie, Vistas a un patio interior, Vistas a la montaña, Canguro / servicios para niños, Zona de estar, Servicio de planchado, Barandillas de seguridad para bebés, Guardaequipaje, Servicio de lavandería, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/128139782.jpg?k=fc3b47c46bc44b7125f917ef96d15b02d79141c79fdfd188255ac975db4e3fba&o=&hp=1,Villa de Leyva,Colombia
Beija Flor Hostel,https://www.booking.com/hotel/co/beija-flor-hostel.es.html?aid=2410095,"Beija Flor Hostel está a 6 min a pie de Plaza de Armas Villa de Leyva, en Villa de Leyva, y tiene equipamiento como bicicletas gratis, jardín y salón de uso común. El alojamiento está a unos 5 min a pie de Museo del Carmen, a 29 km de Parque Nacional de Iguaque y a 7,1 km de Parque temático Gondava.

El aeropuerto (Aeropuerto Juan José Rondón) está a 81 km.","Desayuno, WC, Jardín, Juegos de mesa / puzles, Tours a pie, Zona TV / salón de uso compartido, Entretenimiento nocturno, Senderismo, Tours en bici, Alquiler de bicicletas, Inglés, Cocina compartida, Ducha, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/488250569.jpg?k=077e3e1545421c2a633f65d346a16721841014fe1dd2e2b521c8fa67f9c6b6f9&o=&hp=1,Villa de Leyva,Colombia
Casa Lewana,https://www.booking.com/hotel/co/casa-lewana-villa-de-leyva12.es.html?aid=2410095,"Casa Lewana, que tiene salón de uso común, está en la región de Boyacá, Villa de Leyva, a 6 min a pie de Plaza de Armas Villa de Leyva y a 800 metros de Museo del Carmen. El hotel está a unos 28 km de Parque Nacional de Iguaque y a 6,6 km de Parque temático Gondava. Hay wifi gratis y se ofrece parking privado por un suplemento.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación cuenta con baño privado y ducha, y algunas también ofrecen balcón.

El personal de la recepción 24 horas puede ayudar a la clientela con cualquier consulta que tenga.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 161 km.","Habitaciones sin humo, Papel higiénico, Recepción 24 horas, Baño privado, Extintores, TV, Información turística, Registro de entrada / salida privado, Zona TV / salón de uso compartido, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Servicio de lavandería, TV de pantalla plana, Habitaciones familiares, Español, Parking privado, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552755921.jpg?k=4553903cfeb16a126b87dd2aa63db1fb7b39580b3f35574c76005f97ad8440d3&o=&hp=1,Villa de Leyva,Colombia
Once Once Boutique,https://www.booking.com/hotel/co/once-once-boutique.es.html?aid=2410095,"Once Once Boutique, que cuenta con bicicletas gratis, jardín, salón de uso común y wifi gratis, se encuentra en Villa de Leyva, a 4 min a pie de Plaza de Armas Villa de Leyva y a 400 metros de Museo del Carmen. Este hotel está muy bien situado en el barrio de Historic Center, a 6,3 km de Parque temático Gondava. Este alojamiento libre de humo está a 29 km de Parque Nacional de Iguaque.

En el hotel, todas las habitaciones cuentan con baño privado y algunas también ofrecen terraza.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 161 km del alojamiento.","Desayuno, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Eslovaco, Habitaciones sin humo, Baño privado, Jardín, Extintores, Parking, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Detectores de humo, Alquiler de bicicletas, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Habitaciones familiares, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/560798589.jpg?k=7284a703af19ff90c5adf9a07bdc88654ab9b16c6e61a36af7a00aad3414c0e7&o=&hp=1,Villa de Leyva,Colombia
HOTEL ENCANTO COLONIAL,https://www.booking.com/hotel/co/encanto-colonial.es.html?aid=2410095,"HOTEL ENCANTO COLONIAL está en Villa de Leyva, a 7 min a pie de Plaza de Armas Villa de Leyva, y dispone de alojamiento con wifi gratis y parking privado gratis. El alojamiento se encuentra a 8 min a pie de Museo del Carmen, a 29 km de Parque Nacional de Iguaque y a 6,2 km de Parque temático Gondava. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales vía satélite. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también cuentan con vistas a la ciudad. En el hotel, cada habitación cuenta con ropa de cama y toallas.

En HOTEL ENCANTO COLONIAL se sirve todas las mañanas un desayuno americano.

La clientela puede practicar actividades en Villa de Leyva y alrededores, como ciclismo.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 161 km.","Parking adaptado para personas de movilidad reducida, Bañera o ducha, Habitaciones sin humo, Senderismo, Canales de pago, Recepción 24 horas, Baño privado, Extintores, TV, Ciclismo, Masajes, Masaje en pareja, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Desayuno fabuloso, Ropa de cama, Fruta, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Productos de limpieza, Canales por cable, Desayuno en la habitación, Servicio de lavandería, Masaje corporal completo, WC, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/235001281.jpg?k=2d5245aed56a848790ab483cccf8e630811270f2f25ca1edf8a903096de81e1d&o=&hp=1,Villa de Leyva,Colombia
Casa El Retiro - Villa de Leyva,https://www.booking.com/hotel/co/casa-el-retiro.es.html?aid=2410095,"Casa El Retiro - Villa de Leyva está en Villa de Leyva, a pocos pasos de Museo del Carmen y a 4 min a pie de Plaza de Armas Villa de Leyva, y ofrece habitaciones con wifi gratis. El alojamiento está muy bien situado en el barrio de Historic Center, a 29 km de Parque Nacional de Iguaque y a 6,9 km de Parque temático Gondava. El alojamiento dispone de cocina compartida, servicio de habitaciones y servicio de organización de tours.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En la posada u hostería, las habitaciones cuentan con baño privado y ducha, y algunas también ofrecen balcón.

En Casa El Retiro - Villa de Leyva se puede disfrutar de un desayuno americano.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 162 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Prohibido fumar en todo el alojamiento, Terapia con luz, Baños públicos, Habitaciones sin humo, Servicios de belleza, Masaje de manos, Tinte, Vistas, Baño privado, Manicura, Extintores, TV, Masajes, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Envoltura corporal, Tratamientos corporales, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Masaje de pies, Habitaciones insonorizadas, Servicios de depilación, Masaje de cabeza, Peinado, Llave de acceso, Masaje corporal completo, Exfoliación corporal, Cámaras de seguridad fuera del alojamiento, Corte de pelo, Masaje de cuello, TV de pantalla plana, Pedicura, Habitaciones familiares, Español, Masaje de espalda, Tratamientos faciales, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/464724013.jpg?k=b901e241e7224004043ee98e0228d650c70c7d2de0812704f10c36210c34108c&o=&hp=1,Villa de Leyva,Colombia
Family Host HOSTEL,https://www.booking.com/hotel/co/family-host-villa-de-leyva.es.html?aid=2410095,"Family Host HOSTEL se encuentra en Villa de Leyva, a 11 min a pie de Plaza de Armas Villa de Leyva, y ofrece mostrador de información turística, habitaciones libres de humo, jardín, wifi gratis en todo el alojamiento y salón de uso común. Este alojamiento, que cuenta con habitaciones familiares, también ofrece terraza solárium. El alojamiento dispone de cocina compartida, guardaequipaje y cambio de moneda.

Algunas habitaciones también tienen cocina con nevera y microondas.

El desayuno está disponible todos los días e incluye opciones a la carta, continentales o americanas.

Se puede jugar a los dardos en el hostal o pensión, y también hay alquiler de bicicletas.

Museo del Carmen está a 13 min a pie del alojamiento, y Parque Nacional de Iguaque está a 28 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 161 km del alojamiento.","Dardos, Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Alarma de seguridad, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Wifi buena gratis (40 Mbps), Estación de carga de vehículos eléctricos, Noches de cine, Cambio de moneda, Cenas temáticas, Inglés, Jardín, Extintores, Parking, Información turística, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Tours en bici, Seguridad 24 horas, Cocina compartida, Buen desayuno, Detectores de humo, Proporciona factura, Mobiliario exterior, Tours a pie, Alquiler de bicicletas, Llave de acceso, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Habitaciones familiares, Español, Happy hour, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273946264.jpg?k=b197e5486c94771c2f06028f88ba4352aa58a8959beba8e6eedf709d6a2e03aa&o=&hp=1,Villa de Leyva,Colombia
Cemandy Hostal,https://www.booking.com/hotel/co/cemandy-hostal.es.html?aid=2410095,"Cemandy Hostal está muy bien situado en el barrio de Historic Center, Villa de Leyva, a 2 min a pie de Plaza de Armas Villa de Leyva, a 500 metros de Museo del Carmen y a 28 km de Parque Nacional de Iguaque. El alojamiento, construido en 2014, está a 6,3 km de Parque temático Gondava. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, mostrador de información turística y wifi gratis.

Todas las unidades de este alojamiento incluyen zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y ducha.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 161 km.","Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Muebles de exterior, Recepción 24 horas, Baño privado, Extintores, TV, Parking, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Patio, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Enchufe cerca de la cama, Alquiler de coches, Proporciona factura, Productos de limpieza, Canales por cable, Zona de estar, Llave de acceso, WC, Toda la unidad en la planta baja, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Tarjetas de transporte público, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/112334586.jpg?k=6f96077dec10ff95ff2fad9af5d4d84d52fcf9511471955456bc94945ba51a3c&o=&hp=1,Villa de Leyva,Colombia
Hotel y Spa Getsemani,https://www.booking.com/hotel/co/spa-getsemani.es.html?aid=2410095,"El Hotel y Spa Getsemani se encuentra en Villa de Leyva, a solo 300 metros del centro de la ciudad, y ofrece spa, bañera de hidromasaje, restaurante y habitaciones con conexión Wi-Fi gratuita y TV por cable. Hay aparcamiento gratuito.

Las habitaciones del Getsemani tienen suelo de baldosa, muebles elegantes, escritorio y teléfono. Algunas tienen terraza privada con bañera de hidromasaje.

Todos los días se sirve un desayuno. El restaurante del establecimiento sirve platos internacionales y el bar ofrece bebidas.

El spa ofrece varios tratamientos de belleza y cuenta con sauna, baño turco y sala de masajes.

El Hotel y Spa Getsemani se encuentra a 400 metros de la terminal de autobuses y a 208 km del aeropuerto El Dorado de Bogotá.

HORARIO DE LA ZONA HÚMEDA
De domingo a jueves es de 10:00 a 18:00.
(Todos los martes la zona húmeda está fuera de servicio hasta las 14:00)
Viernes de 10:00 a 20:00 Sábado de 10:00 a 21:00
Para niños: solo se permite el uso de la bañera romana

HORARIO DEL RESTAURANTE: - De 08:00 a 18:00
Viernes: de 08:00 a 19:00
Sábados: de 08:00 a 21:00","Piscina interior, Secador de pelo, Terraza, Servicio de entrega de comestibles, Spa y centro de bienestar, Horario de apertura, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Baños públicos, Teléfono, Minibar, Recepción 24 horas, Baño privado, Jardín, Extintores, Instalaciones de spa, TV, Armario, Masajes, Traslado aeropuerto, Perchero, Vino / champán, Menú para niños, Información turística, Servicio de limpieza en seco, Piscina pequeña, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Zona TV / salón de uso compartido, Desayuno excepcional, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Sauna, Servicio de habitaciones, Enchufe cerca de la cama, Toallas de playa/piscina, Bañera de hidromasaje / jacuzzi, Proporciona factura, Mobiliario exterior, Productos de limpieza, Canales por cable, Habitaciones insonorizadas, Alquiler de bicicletas, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de despertador, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Insonorización, Restaurante, TV de pantalla plana, Abierta todo el año, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/420492356.jpg?k=c25b31c13cf128218677a7e1c4db687f2e2b802956a10182f577d813f1453d42&o=&hp=1,Villa de Leyva,Colombia
Anhyali Hospedaje,https://www.booking.com/hotel/co/apartamento-campestre-2-villa-de-leyva.es.html?aid=2410095,"Anhyali Hospedaje está en Villa de Leyva, en la región de Boyacá, cerca de Plaza de Armas Villa de Leyva y Museo del Carmen. Ofrece alojamiento con wifi gratis y parking privado gratis.

Algunas unidades tienen aire acondicionado e incluyen zona de estar con TV de pantalla plana.

El apartahotel ofrece desayuno continental o americano.

Parque Nacional de Iguaque está a 28 km del alojamiento, y Parque temático Gondava está a 6,5 km. El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 80 km.","Desayuno, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Cenas temáticas, Inglés, Baño privado, Aire acondicionado, Extintores, Tour o clase sobre cultura local, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Tours en bici, Boles para mascotas, WiFi gratis, Cocina compartida, Seguridad 24 horas, Música / espectáculos en directo, Ruta de bares, Servicio de aparcacoches, Mobiliario exterior, Tours a pie, Llave de acceso, Servicio de planchado, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Happy hour",https://cf.bstatic.com/xdata/images/hotel/max1024x768/553297997.jpg?k=85bdde5aa84a2323a64d2a51e2ff31f62e5a9a8e079faa1359fd35883901da74&o=&hp=1,Villa de Leyva,Colombia
