hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Bicentenario Rionegro,https://www.booking.com/hotel/co/bicentenario-rionegro.es.html?aid=2410095,"Hotel Bicentenario Rionegro está en Rionegro, a 31 km de Parque El Poblado y a 31 km de Parque Lleras. Este hotel de 3 estrellas tiene wifi gratis, recepción 24 horas y mostrador de información turística. Hay un restaurante de cocina americana y parking privado gratis.

En el hotel, cada habitación dispone de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones tienen armario.

En Hotel Bicentenario Rionegro se sirve cada mañana un desayuno continental.

Piedra del Peñol está a 36 km del alojamiento, y Segundo Parque Laureles está a 34 km. El aeropuerto (Aeropuerto Internacional José María Córdova) está a 5 km.","Vestidor, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Vistas, Adaptado para sillas de ruedas, Recepción 24 horas, Cenas temáticas, Inglés, Baño privado, Centro de negocios, Extintores, Hipoalergénico, TV, Armario, Menú para niños, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Ropa de cama, Servicio de traslado, Galerías de arte temporales, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Detectores de humo, Enchufe cerca de la cama, Proporciona factura, Música / espectáculos en directo, Ruta de bares, Plancha para ropa, Mobiliario exterior, Productos de limpieza, Canales por cable, Habitaciones insonorizadas, Acceso a pisos superiores en ascensor, Aseo adicional, Llave de acceso, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Insonorización, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524957564.jpg?k=d9bde06f42e7c21feed5de63f1a2200edb802d9aa0cb6ace49194f4587da1ebf&o=&hp=1,Rionegro,Colombia
Hotel Confort Boutique,https://www.booking.com/hotel/co/confort-boutique.es.html?aid=2410095,"Hotel Confort Boutique es un alojamiento de 3 estrellas situado en Rionegro, a 32 km de Parque El Poblado y a 32 km de Parque Lleras. El alojamiento se encuentra a 35 km de Piedra del Peñol, a 35 km de Segundo Parque Laureles y a 35 km de Plaza de Toros La Macarena. El hotel ofrece terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones disponen de armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Parque Explora está a 37 km del alojamiento, y Parque de las Aguas está a 43 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 6 km.","Armario, Terraza, WC, Perchero, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Baño privado, TV de pantalla plana, Toallas, Habitaciones familiares, Ropa de cama, Español, Recepción 24 horas, Artículos de aseo gratis, WiFi gratis, Ducha, Servicio de despertador, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530909638.jpg?k=28decfed3f0fc900f91c0ce74b10a329e9fe61049297e9babd67d4f952ade7a5&o=&hp=1,Rionegro,Colombia
Hostal El Hangar,https://www.booking.com/hotel/co/hostal-el-hangar.es.html?aid=2410095,"El Hostal El Hangar alberga un restaurante, un jardín y un parque infantil, y está situado en Rionegro, a 3 minutos en coche del aeropuerto internacional José María Córdova. Hay conexión Wi-Fi gratuita en todas las instalaciones.

Las habitaciones disponen de TV con canales por cable y baño privado con ducha.

A menos de 300 metros hay varios restaurantes especializados en gastronomía local.
El Hostal El Hangar ofrece un servicio gratuito de enlace con el aeropuerto, una recepción 24 horas y un mostrador de información turística.

Está situado a 11 km de la catedral de San Nicolás y a 35 km del centro de la ciudad de Medellín. Además, ofrece aparcamiento gratuito.","Terraza, Zona de juegos para niños, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Jardín, Traslado aeropuerto, Información turística, Ropa de cama, WiFi gratis, Ducha, Enchufe cerca de la cama, Traslado aeropuerto (gratis), Servicio de lavandería, Bar, Restaurante, Habitaciones familiares, Español, Fax / fotocopiadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/153627270.jpg?k=1a6a967a47f95d7974db2f372b4a0963d5f23b94437547922dc2d877c1a6c7dc&o=&hp=1,Rionegro,Colombia
Finca Hotel Zona Franca,https://www.booking.com/hotel/co/finca-zona-franca.es.html?aid=2410095,"The Finca Hotel Zona Franca se encuentra en Rionegro y ofrece alojamiento de 4 estrellas con salón compartido y jardín. Cuenta con restaurante, recepción 24 horas, servicio de habitaciones y WiFi gratuita en todas las instalaciones. Hay aparcamiento privado gratuito y servicio de enlace con el aeropuerto por un suplemento.

Las habitaciones incluyen balcón. Las habitaciones de la Finca Hotel Zona Franca incluyen armario, TV de pantalla plana y baño privado.

El establecimiento sirve un desayuno americano.

Los huéspedes del FINCA HOTEL ZONA FRANCA podrán disfrutar de actividades en Rionegro y sus alrededores, como senderismo.

Medellín se encuentra a 24 km del hotel, mientras que Guatapé está a 26 km. El aeropuerto más cercano es el aeropuerto internacional José María Córdova, ubicado a 8 km del FINCA HOTEL ZONA FRANCA.","Almuerzos para llevar, Alarma de seguridad, Baños públicos, Senderismo, Cambio de moneda, Recepción 24 horas, Ventilador, Baño privado, Jardín, Extintores, Hammam, TV, Armario, Silla de masajes, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Muy buen desayuno, Entrada privada, Ropa de cama, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Sauna, Proporciona factura, Zona de fumadores, Zona de pícnic, Canales por cable, Aseo adicional, Llave de acceso, Servicio de planchado, Escritorio, Servicio de lavandería, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Billar, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529596173.jpg?k=e7d2eefa3a3e200800642eb9a317b00f6a344342977e947bc060d213e64e57f5&o=&hp=1,Rionegro,Colombia
Hotel & Golf Isak Aeropuerto,https://www.booking.com/hotel/co/isak-finca.es.html?aid=2410095,"El Hotel & Golf Isak Aeropuerto está situado en Rionegro y ofrece jardín. El hotel ofrece terraza, recepción 24 horas, conexión WiFi gratuita y café gratuito.

Las habitaciones del hotel están equipadas con TV de pantalla plana. Todas las habitaciones del Hotel & Golf Isak Aeropuerto disponen de baño privado con ducha.

Medellín se encuentra a 32 km del Hotel & Golf Isak Aeropuerto, mientras que Itagüí está a 35 km. El aeropuerto José María Córdova, el más cercano, está a 1,7 km del hotel. Se ofrece servicio gratuito de enlace con el aeropuerto.","Terraza, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Jardín, Extintores, Campo de golf (a menos de 3 km), Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Muy buen desayuno, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Alquiler de coches, Proporciona factura, Zona de fumadores, Zona de pícnic, Mobiliario exterior, Traslado aeropuerto (gratis), Tarjeta de acceso, Minigolf, Eventos deportivos en directo (emisión), Salas de reuniones / banquetes, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542315914.jpg?k=4a2a9e25d948e18ebe37938b5d42e0b58bd8eed82364016fb432f4adf34d9b7a&o=&hp=1,Rionegro,Colombia
Ayenda Llanogrande Inn,https://www.booking.com/hotel/co/lodge-sietecueros.es.html?aid=2410095,"El Ayenda Llanogrande Inn ocupa una encantadora casa rural de piedra rodeada por un gran jardín y ofrece habitaciones con WiFi gratuita en Rionegro. Alberga un restaurante. El centro comercial Llanogrande está a 4 km.

Las habitaciones del Ayenda Llanogrande Inn están decoradas con paredes de piedra vista y disponen de TV vía satélite, minibar y escritorio. Todas tienen baño privado.

Todos los días se sirve un desayuno americano. El restaurante del establecimiento sirve platos regionales.

Hay aparcamiento gratuito. El Ayenda Llanogrande Inn se encuentra a 45 km de Medellín y a 10 km del aeropuerto José María Córdova.","Servicio de entrega de comestibles, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Baños públicos, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Suelo de madera o parquet, Recepción 24 horas, Cenas temáticas, Baño privado, Jardín, Extintores, Hipoalergénico, TV, Armario, Vino / champán, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Desayuno fabuloso, Ropa de cama, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Zona de pícnic, Mobiliario exterior, Sofá, Zona de estar, Servicio de planchado, Escritorio, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/343334734.jpg?k=11cc4edd28dc30a95e8a8166d407e73a9d8d89323a6308fc14c6b889d89776f6&o=&hp=1,Rionegro,Colombia
Hotel Valle de San Nicolas,https://www.booking.com/hotel/co/valle-de-san-nicolas.es.html?aid=2410095,"Hotel Valle de San Nicolas se encuentra en Rionegro, a 32 km de Parque El Poblado, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento, que cuenta con servicio de conserjería, también ofrece restaurante. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación está equipada con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones incluyen armario.

Parque Lleras está a 32 km del alojamiento, y Piedra del Peñol está a 36 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 6 km del alojamiento.","Terraza, Alarma de seguridad, Teléfono, Toallas / sábanas (por un suplemento), Suelo de madera o parquet, Baño privado, Jardín, Centro de negocios, Extintores, WC con barras de apoyo, Toda la unidad accesible en silla de ruedas, Parking gratis, Parking en un garaje, Ropa de cama, Buen desayuno, Servicio de habitaciones, Proporciona factura, Mobiliario exterior, Máquina expendedora (bebidas), Restaurante, Servicio de entrega de comestibles, Cafetería en el alojamiento, Cambio de moneda, Cenas temáticas, WC elevado, Campo de golf (a menos de 3 km), Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Patio, WiFi gratis, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Llave de acceso, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Toda la unidad en la planta baja, Papel higiénico, Juegos de mesa / puzles, Almuerzos para llevar, Adaptado para sillas de ruedas, TV, Armario, Baño adicional, Servicio de traslado, Seguridad 24 horas, Vistas a un lugar de interés, Bañera de hidromasaje / jacuzzi, Reloj despertador, Ruta de bares, Productos de limpieza, Tours a pie, Secadora de ropa, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, TV de pantalla plana, Toallas, Español, Zona de fumadores, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Recepción 24 horas, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Registro de entrada / salida privado, Servicio de conserjería, Menús para dietas especiales (bajo petición), Fruta, Ducha, Plancha para ropa, Eventos deportivos en directo (emisión), Servicio de despertador, Servicio de lavandería, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447594536.jpg?k=94cd72809436916f0b2a24b0c5e746b4c70f16340d3871d728e918371272a207&o=&hp=1,Rionegro,Colombia
Hotel Santiago de Arma,https://www.booking.com/hotel/co/santiago-de-arma.es.html?aid=2410095,"El Hotel Santiago de Arma se encuentra en Rionegro y alberga un restaurante a la carta. Ofrece conexión Wi-Fi gratuita, servicio de habitaciones y aparcamiento privado gratuito.

Las habitaciones disponen de TV por cable de pantalla plana, zona de estar, minibar y baño privado con ducha, secador de pelo y toallas limpias. Todas tienen vistas al jardín y a la montaña.

El Hotel Santiago de Arma cuenta con sauna, servicio de enlace con el aeropuerto, recepción 24 horas, instalaciones para reuniones, salón compartido y mostrador de información turística.

El aeropuerto Olaya Herrera se encuentra a 17 km.","Secador de pelo, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Almuerzos para llevar, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Recepción 24 horas, Baño privado, Centro de negocios, Extintores, TV, Campo de golf (a menos de 3 km), Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Muy buen desayuno, Ropa de cama, Menús para dietas especiales (bajo petición), Servicio de traslado, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Máquina expendedora (aperitivos), Zona de fumadores, Traslado aeropuerto (gratis), Tarjeta de acceso, Aseo adicional, Desayuno en la habitación, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",Error al acceder a la página del hotel.,Rionegro,Colombia
Hostal Inn II Rionegro,https://www.booking.com/hotel/co/hostal-inn-ii-rionegro.es.html?aid=2410095,"Hostal Inn II Rionegro está en Rionegro, a 29 km de Parque El Poblado, y dispone de alojamiento con piscina de temporada al aire libre, parking privado gratis, jardín y salón de uso común. El alojamiento ofrece bar y se encuentra a 29 km de Parque Lleras. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las habitaciones incluyen baño privado con ducha, algunas ofrecen balcón y otras también tienen vistas a la montaña.

Piedra del Peñol está a 41 km del alojamiento, y Segundo Parque Laureles está a 32 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 1 km.","Desayuno, Servicio de entrega de comestibles, Alarma de seguridad, Baños públicos, Habitaciones sin humo, De temporada, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, Jardín, Extintores, Traslado aeropuerto, Menú para niños, Piscina en la azotea, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Menús para dietas especiales (bajo petición), Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Mesa de comedor, Bingo, Proporciona factura, Zona de fumadores, Detector de monóxido de carbono, Piscina al aire libre, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de despertador, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Bar, Billar, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548554475.jpg?k=807f3f9caf11505e9c7984c99072c51cc7ec71f2aabb60b18fb7a2d98104b290&o=&hp=1,Rionegro,Colombia
Hotel America 52,https://www.booking.com/hotel/co/america-52.es.html?aid=2410095,"Hotel America 52 está en Rionegro, a 32 km de Parque El Poblado, y dispone de mostrador de información turística, habitaciones libres de humo, salón de uso común, wifi gratis en todo el alojamiento y bar. El alojamiento está a unos 32 km de Parque Lleras, a 34 km de Piedra del Peñol y a 35 km de Segundo Parque Laureles. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Las unidades de este alojamiento están equipadas con TV de pantalla plana.

Plaza de Toros La Macarena está a 35 km del alojamiento, y Parque Explora está a 37 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 6 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Extintores, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Proporciona factura, Peluquería / salón de belleza, Guardaequipaje, Bar, TV de pantalla plana, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/335039541.jpg?k=a394a29dead43e1ee2c4a82f49e836ea0154afd900ea118a1a44aa4fd25e3800&o=&hp=1,Rionegro,Colombia
Hotel Hollywood Paradise Rionegro,https://www.booking.com/hotel/co/hollywood-paradise-rionegro.es.html?aid=2410095,"Hotel Hollywood Paradise Rionegro se encuentra en Rionegro, a 28 km de Parque El Poblado, y ofrece alojamiento con jardín, parking privado gratis y salón de uso común. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento hipoalergénico está a 28 km de Parque Lleras.

En el hotel, cada habitación incluye escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones cuentan con nevera.

En Hotel Hollywood Paradise Rionegro se puede disfrutar de un desayuno continental.

Piedra del Peñol está a 40 km del alojamiento, y Segundo Parque Laureles está a 31 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 1 km del alojamiento.","Desayuno, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Baño privado, Jardín, Extintores, Hipoalergénico, TV, Armario, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Máquina expendedora (aperitivos), Proporciona factura, Traslado aeropuerto (gratis), Habitaciones hipoalergénicas, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Microondas, Cámaras de seguridad fuera del alojamiento, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584702165.jpg?k=f38ac7ebfc669f2bccecf21d4a9146e835cf95fd64ff48af1c40173e6596ae24&o=&hp=1,Rionegro,Colombia
Movich Hotel Las Lomas,https://www.booking.com/hotel/co/las-lomas.es.html?aid=2410095,"El hotel Las Lomas tiene 5 estrellas, ofrece suites de lujo entre jardines paisajistas con encanto y se halla a 5 minutos en coche del aeropuerto internacional José María Córdoba. Alberga instalaciones de ocio como pista de tenis, piscina climatizada y gimnasio moderno.

Las suites del Hotel Las Lomas son modernas y presentan una decoración elegante en tonos marrón y beige con moqueta suave. Todas tienen aire acondicionado y minibar. Algunas incluyen zona de estar confortable. Se facilita WiFi gratuita.

El hotel Las Lomas alberga 2 restaurantes donde se sirven platos tradicionales colombianos, platos internacionales exquisitos y especialidades de pescado/marisco. El elegante bar Iraka ofrece cócteles clásicos. Se sirve un desayuno buffet.

El Hotel Las Lomas se encuentra a 15 minutos en coche de la localidad turística de Río Negro y a 30 minutos en coche del centro de Medellín. Se proporciona aparcamiento gratuito.","Spa y centro de bienestar, Alarma de seguridad, Teléfono, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Jardín, Centro de negocios, Extintores, TV, Aire acondicionado, Masajes, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Pista de tenis, Muy buen desayuno, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Reloj despertador, Traslado aeropuerto (gratis), Canales por cable, Piscina al aire libre, Tarjeta de acceso, Llave de acceso, Gimnasio, Servicio de despertador, Escritorio, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Español, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/67387166.jpg?k=e05891fe943aaf22b425a5e039c23b7f4b66e4a8c7f91f32431e296027288f62&o=&hp=1,Rionegro,Colombia
