hotel,hotel_url,description,popular_facilities,highres_url,city,country
HOTEL SUAREL CENTER,https://www.booking.com/hotel/co/suarel-center-duitama1.es.html?aid=2410095,"HOTEL SUAREL CENTER es un alojamiento de 3 estrellas que se encuentra en Duitama. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo está a 25 km de Parque temático Manoa.

En el hotel, las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades tienen armario.

Lago Tota está a 45 km del alojamiento. El aeropuerto (Aeropuerto Juan José Rondón) está a 19 km.","Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Centro de negocios, Extintores, TV, Armario, Perchero, Información turística, Parking gratis, Registro de entrada / salida privado, Ropa de cama, Acceso a pisos superiores en ascensor, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Proporciona factura, Productos de limpieza, Canales por cable, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de despertador, Escritorio, Servicio de lavandería, Zona de comedor exterior, Zona de comedor, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/476353134.jpg?k=77907a03d47d9aed96c09d23d3a0726d09b2dd260511c69bff281f01116b90ea&o=&hp=1,Duitama,Colombia
Hotel Oicatá,https://www.booking.com/hotel/co/oicata.es.html?aid=2410095,"Hotel Oicatá está en Duitama, a 25 km de Parque temático Manoa, y dispone de alojamiento con salón de uso común, parking privado gratis, restaurante y bar. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El alojamiento ofrece mostrador de información turística, guardaequipaje y cambio de moneda.

En el hotel se puede disfrutar de un desayuno americano.

Lago Tota está a 46 km del alojamiento. El aeropuerto (Aeropuerto de El Yopal) está a 165 km.","Almuerzos para llevar, Cambio de moneda, Recepción 24 horas, Desayuno fantástico, Extintores, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Menús para dietas especiales (bajo petición), Fruta, WiFi gratis, Servicio de habitaciones, Desayuno en la habitación, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Bar, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/149804014.jpg?k=4e8a9c56286bf503f33bf4e3da91532e31e5b3829ff587263c081c1c5deb52ba&o=&hp=1,Duitama,Colombia
Hotel Los Geranios,https://www.booking.com/hotel/co/casa-los-geranios.es.html?aid=2410095,"Hotel Los Geranios está en Duitama, en la región de Boyacá, y ofrece alojamiento con wifi gratis y parking privado gratis.

La habitación en casa particular ofrece TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En Hotel Los Geranios se sirve cada mañana un desayuno americano.

El alojamiento ofrece terraza solárium.

Después de un día de senderismo o ciclismo, la clientela puede relajarse en el jardín o el salón de uso común.

Parque temático Manoa está a 25 km del alojamiento, y Lago Tota está a 46 km. El aeropuerto (Aeropuerto de El Yopal) está a 165 km.","Secador de pelo, Spa y centro de bienestar, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Baño privado, Jardín, Extintores, WC con barras de apoyo, Parking gratis, Tours en bici, Ropa de cama, Servicio de habitaciones, Proporciona factura, Zona de juegos interior, Alquiler de bicicletas, Zona de comedor exterior, Máquina expendedora (bebidas), Sala de juegos, Servicio de entrega de comestibles, Cafetería en el alojamiento, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Capilla, Acceso a pisos superiores solo mediante escaleras, Enchufe cerca de la cama, Música / espectáculos en directo, Canales por cable, Desayuno en la habitación, Llave de acceso, Baño de vapor, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Canales vía satélite, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Suelo de baldosa / mármol, Juegos de mesa / puzles, Parking adaptado para personas de movilidad reducida, Desayuno fantástico, TV, Ciclismo, Armario, Masajes, Servicio de traslado, Wifi rápida gratis (226 Mbps), Seguridad 24 horas, Sauna, Karaoke, Bañera de hidromasaje / jacuzzi, Productos de limpieza, Tours a pie, Servicios de depilación, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, TV de pantalla plana, Toallas, Español, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Baños públicos, Servicios de belleza, Recepción 24 horas, Perchero, Información turística, Snack-bar, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Fruta, Ducha, Radio, Aseo adicional, Eventos deportivos en directo (emisión), Servicio de despertador, Servicio de lavandería, Piscina infantil, Artículos de aseo gratis, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/486178372.jpg?k=894fb4019f6c07df2ff68f029d87b2ed241cd2c492bb840c007aeae4a6f4cc36&o=&hp=1,Duitama,Colombia
Hotel Plaza Mayor,https://www.booking.com/hotel/co/plaza-mayor-duitama.es.html?aid=2410095,"Hotel Plaza Mayor, que se encuentra a 25 km de Parque temático Manoa y a 45 km de Lago Tota, ofrece habitaciones en Duitama. Este hotel de 4 estrellas tiene wifi gratis, salón de uso común y servicio de habitaciones. El alojamiento ofrece recepción 24 horas y mostrador de información turística.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación tiene baño privado.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 165 km del alojamiento.","Servicio de lavandería, Información turística, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Baño privado, Adaptado personas de movilidad reducida, TV de pantalla plana, Zona TV / salón de uso compartido, Habitaciones familiares, Plancha para pantalones, Guardaequipaje, Recepción 24 horas, Español, WiFi gratis, Servicio de planchado, Servicio de habitaciones, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/448916007.jpg?k=b792cc3d38d788afe42b5051124b34473e9743038957adf241e93412b282266d&o=&hp=1,Duitama,Colombia
Hotel Continental Duitama,https://www.booking.com/hotel/co/continental-duitama.es.html?aid=2410095,"Hotel Continental Duitama está en Duitama, a 24 km de Parque temático Manoa, y tiene terraza, habitaciones libres de humo y wifi gratis en todo el alojamiento. Lago Tota está a 45 km del hostal o pensión.

En el hostal o pensión, cada habitación cuenta con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 18 km.","Armario, Terraza, WC, Prohibido fumar en todo el alojamiento, Zona de comedor, Baño privado, TV de pantalla plana, Toallas, Ropa de cama, Español, Artículos de aseo gratis, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577353243.jpg?k=2fb07453f4ca6b5926c2cfc3835f1d03248fdf1055686d9eb756f0fe96179072&o=&hp=1,Duitama,Colombia
apartamento amoblado Duitama,https://www.booking.com/hotel/co/apartamento-amoblado-duitama.es.html?aid=2410095,"Apartamento amoblado Duitama ofrece alojamiento en Duitama, a 22 km de Parque temático Manoa y a 44 km de Lago Tota. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento cuenta con 3 dormitorios, TV de pantalla plana y cocina.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 16 km del alojamiento.","Zona de cocina, Prohibido fumar en todo el alojamiento, Parking gratis, TV de pantalla plana, Balcón, Vistas, Español, Inglés, WiFi gratis, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583593866.jpg?k=c9f0cd9fb1a70bf5f9f6d3b38f177ca74e690358e875a9d62549ba43ed295a5f&o=&hp=1,Duitama,Colombia
HOTEL REALPICO VICTORIA,https://www.booking.com/hotel/co/realpico-victoria.es.html?aid=2410095,"HOTEL REALPICO VICTORIA es un alojamiento de 4 estrellas que se encuentra en Duitama, a 25 km de Parque temático Manoa, y que dispone de terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo está a 45 km de Lago Tota.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 18 km.","Terraza, Prohibido fumar en todo el alojamiento, Caja fuerte, Habitaciones sin humo, Recepción 24 horas, Centro de negocios, Extintores, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Seguridad 24 horas, WiFi gratis, Buen desayuno, Parking en el alojamiento, Servicio de habitaciones, Proporciona factura, Mobiliario exterior, Desayuno en la habitación, Guardaequipaje, Salas de reuniones / banquetes, Habitaciones familiares, Español, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/472687505.jpg?k=57c2afbfa72a822b70bd1bab2d3875f061eea1263c65a04908a8297506ce6ef6&o=&hp=1,Duitama,Colombia
Hotel Hisca,https://www.booking.com/hotel/co/hisca.es.html?aid=2410095,"Hotel Hisca se encuentra en Duitama, a 25 km de Parque temático Manoa y a 45 km de Lago Tota. Ofrece alojamiento con salón de uso común y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones tienen TV de pantalla plana con canales vía satélite, zona de cocina, zona de comedor, caja fuerte y baño privado con ducha. En Hotel Hisca, las habitaciones tienen ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 164 km.","Servicio de entrega de comestibles, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Caja fuerte, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Recepción 24 horas, Inglés, Baño privado, Extintores, TV, Armario, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Fogones, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Zona de fumadores, Canales por cable, Desayuno en la habitación, Zona de estar, Llave de acceso, Utensilios de planchado, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Máquina expendedora (bebidas), Microondas, Zona de comedor, Canales vía satélite, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Plancha para pantalones, Vistas a la ciudad, Nevera, Utensilios de cocina, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/103023783.jpg?k=5bce1d8cba53296c8a0a8c615a3878a1566aaac4b580da40eaeac1a1ddd2c925&o=&hp=1,Duitama,Colombia
Hostal La Cestería Pueblito Boyacense,https://www.booking.com/hotel/co/la-cesteria.es.html?aid=2410095,"Hostal La Cestería Pueblito Boyacense se encuentra en Duitama, a 25 km de Parque temático Manoa y a 46 km de Lago Tota. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis. La posada u hostería dispone de habitaciones familiares.

En la posada u hostería, todas las habitaciones disponen de TV de pantalla plana y algunas también ofrecen balcón. En Hostal La Cestería Pueblito Boyacense, cada habitación está equipada con baño privado y ropa de cama.

El alojamiento ofrece desayuno a la carta o americano.

El personal de la recepción habla tanto inglés como español y estará encantado de ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 165 km del alojamiento.","Desayuno, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Inglés, Baño privado, Jardín, Cocina, Parking gratis, Ropa de cama, WiFi gratis, Zona de cocina, Servicio de aparcacoches, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Nevera, Utensilios de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/405868474.jpg?k=99cc7a7777c79ad582d0803f40eec4f5ce585cb878ff190ac31f76eaccaebec1&o=&hp=1,Duitama,Colombia
Hotel Universal,https://www.booking.com/hotel/co/universal.es.html?aid=2410095,"Hotel Universal está en Duitama, a 23 km de Parque temático Manoa y a 43 km de Lago Tota. Algunas unidades del alojamiento tienen una terraza con vistas a la montaña.

En el hotel, las habitaciones están equipadas con armario y TV de pantalla plana. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También cuentan con wifi gratis, y algunas habitaciones también cuentan con vistas a la ciudad. En Hotel Universal, las habitaciones cuentan con ropa de cama y toallas.

El personal de la recepción 24 horas puede ayudar a la clientela con cualquier consulta que tenga.

El aeropuerto (Aeropuerto Juan José Rondón) está a 17 km.","Vestidor, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Canales de pago, Recepción 24 horas, Baño privado, Extintores, TV, Armario, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Productos de limpieza, Servicio de planchado, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/98289150.jpg?k=94b84ffc0ac68a5794dc120db7ad58d8d80dc95ecac1f32ee837a4bec56ae3de&o=&hp=1,Duitama,Colombia
Hotel El Palacio Del Rey,https://www.booking.com/hotel/co/el-palacio-del-rey.es.html?aid=2410095,"Hotel El Palacio Del Rey está en Duitama, a 44 km de Lago Tota, y ofrece vistas a la ciudad. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Este alojamiento libre de humo se encuentra a 23 km de Parque temático Manoa.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, todas las habitaciones tienen baño privado y ropa de cama.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 164 km.","Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Vistas, Recepción 24 horas, Baño privado, Extintores, TV, Parking, Menú para niños, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Servicio de aparcacoches, Mobiliario exterior, Productos de limpieza, Canales por cable, Buffet para niños, Hervidor eléctrico, Habitaciones insonorizadas, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Servicio de despertador, Guardaequipaje, Servicio de lavandería, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Plancha para pantalones, Vistas a la ciudad, Servicio de despertador / alarma, Español, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/464796769.jpg?k=a1d291bbf4435aa4a81e50c38c0e11da1c1f932955f018362470a0ddde924ac6&o=&hp=1,Duitama,Colombia
Hotel Dinastia Real,https://www.booking.com/hotel/co/dinastia-real-duitama.es.html?aid=2410095,"El Hotel Dinastía Real goza de una ubicación excelente en el centro de Duitama y cuenta con piscina cubierta, jardín y restaurante. Ofrece conexión Wi-Fi gratuita y un desayuno americano y se encuentra a 5 minutos a pie del parque del Carmen y de la estación de autobuses.

Las habitaciones del Hotel Dinastía Real son tranquilas y cuentan con baño privado, TV de pantalla plana y minibar.

El Hotel Dinastía Real también ofrece servicio de habitaciones, recepción 24 horas y servicio de lavandería bajo petición.

Bogotá se encuentra a 3 horas en coche y el aeropuerto Gustavo Rojas Pinilla, a 45 km. Hay aparcamiento privado gratuito en el hotel.","Piscina interior, Terraza, Spa y centro de bienestar, Horario de apertura, Piscina climatizada, Prohibido fumar en todo el alojamiento, Caja fuerte, Teléfono, Habitaciones sin humo, Recepción 24 horas, Inglés, Baño privado, Jardín, Centro de negocios, Extintores, Masajes, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Muy buen desayuno, Acceso a pisos superiores en ascensor, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Canales por cable, Tarjeta de acceso, Servicio de planchado, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Zona de spa / relajación, Restaurante, TV de pantalla plana, Abierta todo el año, Tumbonas/sillas de playa, Toallas, Paquetes de spa / bienestar, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/298880104.jpg?k=7a1e4e423a1db9567c13a6c15a2444d93f61d60b8b7457b76b5e2d53a2ebc39f&o=&hp=1,Duitama,Colombia
CASA FAMILIAR CENTRICA,https://www.booking.com/hotel/co/casa-familiar-centrica.es.html?aid=2410095,"CASA FAMILIAR CENTRICA se encuentra en Duitama y ofrece alojamiento con jardín y wifi gratis a 26 km de Parque temático Manoa y a 46 km de Lago Tota.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 166 km del alojamiento.","Salas de reuniones / banquetes, Jardín, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Español, Inglés, WiFi gratis, Baño compartido",https://cf.bstatic.com/xdata/images/hotel/max1024x768/493162596.jpg?k=a28d7f593c38247ac926d3352a144a2ea5e36f9d3244c56b26e94312da7e9472&o=&hp=1,Duitama,Colombia
Hotel el Marquez de san Fernando,https://www.booking.com/hotel/co/el-marquez-de-san-fernando.es.html?aid=2410095,"Hotel el Marquez de san Fernando se encuentra en Duitama, en la región de Boyacá, a 45 km de Lago Tota. Este hotel de 5 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo está a 23 km de Parque temático Manoa.

En el hotel, todas las habitaciones incluyen escritorio y TV de pantalla plana. Las unidades disponen de baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 17 km.","Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Inglés, Baño privado, Extintores, Armario, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Bañera, Escritorio, Servicio de lavandería, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/553300036.jpg?k=de6c7d1ac23f865ac2d1469e4f25d07bd39297dd175f5f480f430c81998a174c&o=&hp=1,Duitama,Colombia
HOTEL OLIMPIA,https://www.booking.com/hotel/co/olimpia.es.html?aid=2410095,"HOTEL OLIMPIA se encuentra en Duitama, a 23 km de Parque temático Manoa, y ofrece alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento hipoalergénico está a 43 km de Lago Tota.

En el hotel, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades incluyen armario.

En HOTEL OLIMPIA se sirve todos los días un desayuno americano.

Hay una cafetería en el propio alojamiento, y también se puede usar la zona business.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 163 km del alojamiento.","Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baño privado, Centro de negocios, Extintores, Hipoalergénico, WC con barras de apoyo, Parking gratis, Parking en un garaje, Ropa de cama, Servicio de habitaciones, Alquiler de coches, Servicio de aparcacoches, Mobiliario exterior, Restaurante, Servicio de entrega de comestibles, Cafetería en el alojamiento, Cenas temáticas, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Canales por cable, Habitaciones insonorizadas, Desayuno en la habitación, Llave de acceso, Acceso al salón executive, Habitaciones hipoalergénicas, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Lavadora, Habitaciones familiares, Plancha para pantalones, Servicio de despertador / alarma, Papel higiénico, Fax / fotocopiadora, Suelo de baldosa / mármol, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Adaptado para sillas de ruedas, TV, Armario, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Detectores de humo, Reloj despertador, Productos de limpieza, Servicio de planchado, Guardaequipaje, Apoyo visual: braille, WC, Terraza / solárium, TV de pantalla plana, Toallas, Español, Prohibido fumar en todo el alojamiento, Vistas, Recepción 24 horas, Inglés, Vino / champán, Información turística, Snack-bar, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Fruta, Ducha, Aseo adicional, Eventos deportivos en directo (emisión), Servicio de despertador, Servicio de lavandería, Vistas a la ciudad, Ascensor, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/208474346.jpg?k=4b0b57dd677d9cb0abc8169c8822f09fe7d257f6baea8a95eeb128a79781a971&o=&hp=1,Duitama,Colombia
Holly Hotel,https://www.booking.com/hotel/co/habitacion-resort-con-cocina.es.html?aid=2410095,"Holly Hotel está en Duitama, a 23 km de Parque temático Manoa, y ofrece vistas a la ciudad. Este alojamiento, que tiene servicio de habitaciones, también ofrece terraza. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades tienen armario.

En Holly Hotel se sirve cada mañana un desayuno buffet.

Lago Tota está a 46 km del alojamiento. El aeropuerto (Aeropuerto de El Yopal) está a 166 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Vistas, Recepción 24 horas, Inglés, Baño privado, Extintores, Armario, Traslado aeropuerto, Perchero, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Escritorio, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Tendedero, Vistas a la ciudad, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/386463747.jpg?k=7d2b591a538e9be5083820aa43ef00349563479fd2e699c881a7060b1ba7b9c9&o=&hp=1,Duitama,Colombia
