hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Thama,https://www.booking.com/hotel/co/thama.es.html?aid=2410095,"El Hotel Thama está situado en Palmira y ofrece un salón compartido. Este hotel de 3 estrellas alberga un restaurante y ofrece habitaciones con aire acondicionado y baño privado. El alojamiento cuenta con recepción 24 horas y WiFi gratuita en todas las instalaciones.

Los alojamientos del hotel están equipados con TV de pantalla plana con Direct TV gratuita y Netflix gratuito.

Se sirve un desayuno americano en la zona de desayunos.

Cali se encuentra a 27 km del Hotel Thama. El aeropuerto internacional Alfonso Bonilla Aragón queda a 10 km.","Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Caja fuerte, Baños públicos, Habitaciones sin humo, Parking en la calle, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, Extintores, TV, Armario, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Acceso a pisos superiores en ascensor, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Buen desayuno, Proporciona factura, Canales por cable, Habitaciones insonorizadas, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Insonorización, Restaurante, TV de pantalla plana, Toallas, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/268701698.jpg?k=7801f4d8fa511559cb6599052aceddf8a82d61af35d1b35fa607c4756d4828bd&o=&hp=1,Palmira,Colombia
Hotel Boutique los Remansos,https://www.booking.com/hotel/co/boutique-los-remansos.es.html?aid=2410095,"Hotel Boutique los Remansos está en Palmira, a 30 km de La Ermita, y dispone de servicio de conserjería, habitaciones hipoalergénicas, jardín, wifi gratis en todo el alojamiento y restaurante. El alojamiento está a unos 31 km de Catedral de San Pedro, a 33 km de Teatro Jorge Isaacs y a 36 km de Parque Panamericano. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y cambio de moneda.

Algunas habitaciones cuentan con cocina con nevera, lavavajillas y minibar.

En el alojamiento se puede disfrutar de un desayuno americano, vegetariano o sin gluten.

Iglesia Nuestra Señora de la Merced está a 28 km del alojamiento, y Parque del Avión está a 28 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 13 km.","Servicio de entrega de comestibles, Almuerzos para llevar, Alarma de seguridad, Cafetería en el alojamiento, Habitaciones sin humo, Masaje de manos, Cambio de moneda, Recepción 24 horas, Inglés, Jardín, Desayuno fantástico, Extintores, Aire acondicionado, Masajes, Masaje en pareja, Vino / champán, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Parking en un garaje, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Masaje de pies, Proporciona factura, Barandillas protectoras para bebés, Zona de fumadores, Mobiliario exterior, Masaje de cabeza, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Guardaequipaje, Servicio de lavandería, Masaje corporal completo, Cámaras de seguridad fuera del alojamiento, Masaje de cuello, Restaurante, Habitaciones familiares, Español, Masaje de espalda, Parking privado, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/298080084.jpg?k=d71e9a5832ccef1cfb13acdad03c7e5abaa22e8efdb0b52cb70354064db5bc94&o=&hp=1,Palmira,Colombia
Hotel Palms Central,https://www.booking.com/hotel/co/palms-central.es.html?aid=2410095,"Hotel Palms Central se encuentra en Palmira, a 29 km de La Ermita, y dispone de salón de uso común, habitaciones libres de humo y wifi gratis. Todas las habitaciones disponen de TV de pantalla plana con canales por cable y baño privado. El cafetería es ideal para tomar algo.

En el hotel, cada habitación tiene ropa de cama y toallas.

El personal de recepción puede dar consejos sobre la zona.

Catedral de San Pedro está a 30 km del alojamiento, y Teatro Jorge Isaacs está a 31 km. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 11 km del alojamiento.","Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Enchufe cerca de la cama, Proporciona factura, Canales por cable, Servicio de planchado, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/203313754.jpg?k=01d5adb63f722be292df3d32c61aad833793de449cc1e6965851010291c04f54&o=&hp=1,Palmira,Colombia
Hotel Don Jacobo,https://www.booking.com/hotel/co/hospedaje-don-jacobo-palmira.es.html?aid=2410095,"Hotel Don Jacobo, que se encuentra a 35 km de Parque Panamericano y a 27 km de Iglesia Nuestra Señora de la Merced, ofrece habitaciones en Palmira. El alojamiento está a unos 30 km de La Ermita, a 30 km de Catedral de San Pedro y a 32 km de Teatro Jorge Isaacs. El alojamiento ofrece recepción 24 horas y guardaequipaje.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones del alojamiento tienen wifi gratis y baño privado con ducha y artículos de aseo gratuitos. En el hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

Parque del Avión está a 27 km del alojamiento, y Parque La Flora está a 27 km. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 12 km del alojamiento.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Baño privado, Extintores, TV, Registro de entrada / salida privado, Ropa de cama, WiFi gratis, Ducha, Canales por cable, Llave de acceso, Guardaequipaje, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/333891292.jpg?k=eba2a1d23285e506287892e66bb3d5a3cf7055e1991e2bd755d803db2bb82779&o=&hp=1,Palmira,Colombia
Hotel Colonial Palmira,https://www.booking.com/hotel/co/hostal-colonial-palmira.es.html?aid=2410095,"Hotel Colonial Palmira está en Palmira, a 30 km de La Ermita, y dispone de mostrador de información turística, habitaciones libres de humo, jardín, wifi gratis en todo el alojamiento y salón de uso común. El alojamiento está a unos 30 km de Catedral de San Pedro, a 32 km de Teatro Jorge Isaacs y a 35 km de Parque Panamericano. El alojamiento ofrece recepción 24 horas y guardaequipaje.

Las unidades de este alojamiento están equipadas con TV con canales por cable. Todas las habitaciones tienen baño privado, artículos de aseo gratuitos y ropa de cama.

En el hotel se sirve cada mañana un desayuno continental.

Iglesia Nuestra Señora de la Merced está a 27 km del alojamiento, y Parque del Avión está a 27 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 12 km.","Supermercado pequeño en el alojamiento, Alarma de seguridad, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Ventilador, Baño privado, Jardín, Extintores, TV, Parking, Información turística, Zona TV / salón de uso compartido, Parking en un garaje, Desayuno fabuloso, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Proporciona factura, Zona de fumadores, Servicio de aparcacoches, Canales por cable, Guardaequipaje, Servicio de lavandería, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/318050910.jpg?k=12e8aa88b473b1a5fd7e51b76254e1f42f43db53763e5a650c1baf5bd4736ddc&o=&hp=1,Palmira,Colombia
Hotel Pacifico,https://www.booking.com/hotel/co/pacifico.es.html?aid=2410095,"Hotel Pacifico, que está a 29 km de La Ermita y a 29 km de Catedral de San Pedro, ofrece habitaciones en Palmira. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Teatro Jorge Isaacs está a 31 km del hotel y Parque Panamericano, a 35 km.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, las habitaciones tienen baño privado y ropa de cama.

Iglesia Nuestra Señora de la Merced está a 26 km del alojamiento, y Parque del Avión está a 27 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 11 km.","TV, Canales por cable, Baño privado, Toallas / sábanas (por un suplemento), TV de pantalla plana, Toallas, Habitaciones familiares, Papel higiénico, Ropa de cama, Recepción 24 horas, Ventilador, Español, WiFi gratis, Servicio de habitaciones, Enchufe cerca de la cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/105378505.jpg?k=0cd83d7f1b284c98900477588b7d494a17dd818109e966f828ecd07aac74f8ef&o=&hp=1,Palmira,Colombia
Hotel Belalcazar Palmira,https://www.booking.com/hotel/co/belalcazar-palmira.es.html?aid=2410095,"Hotel Belalcazar Palmira está en Palmira, a 29 km de La Ermita y a 30 km de Catedral de San Pedro. Este hotel de 3 estrellas tiene wifi gratis, cocina compartida y servicio de habitaciones. El hotel dispone de terraza y recepción 24 horas.

En el hotel, las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas habitaciones también incluyen cocina con microondas. Todas las habitaciones cuentan con nevera.

Teatro Jorge Isaacs está a 32 km del alojamiento, y Parque Panamericano está a 35 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 11 km.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Mesa de comedor, Proporciona factura, Mobiliario exterior, Llave de acceso, Servicio de despertador, Escritorio, Servicio de lavandería, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Toda la unidad en la planta baja, Zona de comedor, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528835493.jpg?k=af2bbac066b234bd885d1d2116d270951b16ef6ede466796b70f1ba9806357a2&o=&hp=1,Palmira,Colombia
Hotel Sin Escala,https://www.booking.com/hotel/co/sin-escala-palmira.es.html?aid=2410095,"Hotel Sin Escala se encuentra en Palmira, a 27 km de Parque Panamericano y a 19 km de Iglesia Nuestra Señora de la Merced. El alojamiento está a 21 km de La Ermita, a 22 km de Catedral de San Pedro y a 24 km de Teatro Jorge Isaacs. Hay wifi gratis y recepción 24 horas.

Todas las habitaciones están equipadas con aire acondicionado, TV de pantalla plana con canales vía satélite, nevera, hervidor, ducha y armario. En el hotel, las habitaciones cuentan con baño privado.

Parque del Avión está a 19 km del alojamiento, y Parque La Flora está a 19 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a pocos pasos.","Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Aire acondicionado, TV, Armario, WiFi gratis, Ducha, Hervidor eléctrico, Servicio de despertador, Guardaequipaje, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Nevera, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/452156303.jpg?k=84c4d211ccf516686d78a9bb759632281043c08f6efa0f41017d7a58c872478f&o=&hp=1,Palmira,Colombia
Hotel Boutique Iyarí,https://www.booking.com/hotel/co/boutique-iyari.es.html?aid=2410095,"Hotel Boutique Iyarí está en Palmira, a 29 km de La Ermita, y ofrece alojamiento con aire acondicionado y piscina al aire libre. El alojamiento dispone de bar y se encuentra a 29 km de Catedral de San Pedro. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones tienen armario. Todas las habitaciones tienen baño privado, artículos de aseo gratuitos y ropa de cama.

Hay opciones continentales o americanas de desayuno disponibles cada mañana en Hotel Boutique Iyarí.

Teatro Jorge Isaacs está a 31 km del alojamiento, y Parque Panamericano está a 34 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 11 km.","Desayuno, Spa y centro de bienestar, Horario de apertura, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baño privado, Centro de negocios, Extintores, Instalaciones de spa, Silla de masajes, Equipamiento de juegos para exterior, Toda la unidad accesible en silla de ruedas, Envoltura corporal, Ropa de cama, Servicio de habitaciones, Mesa de comedor, Toallas de playa/piscina, Masaje de pies, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Masaje de cabeza, Zona de comedor, Masaje de espalda, Tratamientos faciales, Piscina privada, Aire acondicionado, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Enchufe cerca de la cama, Canales por cable, Piscina al aire libre, Tarjeta de acceso, Vistas a un patio interior, Zona de estar, Llave de acceso, Salas de reuniones / banquetes, Clases de yoga, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Masaje de cuello, Habitaciones familiares, Toda la unidad en la planta baja, Papel higiénico, Juegos de mesa / puzles, Masaje de manos, Armario, Masajes, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Productos de limpieza, Guardaequipaje, Exfoliación corporal, WC, Bar, Toallas, Español, Prohibido fumar en todo el alojamiento, Baños públicos, Servicios de belleza, Recepción 24 horas, Libros, DVD o música para niños, Calefacción, Masaje en pareja, Traslado aeropuerto, Registro de entrada / salida privado, Tratamientos corporales, Ducha, Para todas las edades, Masaje corporal completo, Abierta todo el año, Tumbonas/sillas de playa, Zona poco profunda, Artículos de aseo gratis, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538885984.jpg?k=6c2e7f4cdba38eec34d45a7ee30e91423a5eeea6e11d694a566dce1e2201fa51&o=&hp=1,Palmira,Colombia
Residencias Escorial,https://www.booking.com/hotel/co/escorial-palmira.es.html?aid=2410095,"Residencias Escorial está en Palmira, a 29 km de La Ermita y a 29 km de Catedral de San Pedro. El alojamiento está a unos 31 km de Teatro Jorge Isaacs, a 35 km de Parque Panamericano y a 26 km de Iglesia Nuestra Señora de la Merced. El hotel también dispone de wifi gratis y servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, las habitaciones están equipadas con patio. Las habitaciones de este alojamiento tienen baño compartido con ducha y artículos de aseo gratuitos, y también tienen vistas al jardín.

El personal de recepción puede dar consejos sobre la zona.

Parque del Avión está a 27 km del alojamiento, y Parque La Flora está a 27 km. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 11 km.","Servicio de entrega de comestibles, Baños públicos, Bañera o ducha, Recepción 24 horas, Baño privado, Baño compartido, TV, Traslado aeropuerto, Perchero, Toda la unidad accesible en silla de ruedas, Registro de entrada / salida privado, Patio, WiFi gratis, Ducha, Mobiliario exterior, Aseo adicional, Vistas al jardín, Servicio de planchado, Baño al aire libre, WC, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/99756075.jpg?k=a2f64d326056bdd42b5a63b9f1615e580b6d026474356f907740a0b2fe848806&o=&hp=1,Palmira,Colombia
Apartamento full con aire,https://www.booking.com/hotel/co/apartamento-full-con-aire.es.html?aid=2410095,"Apartamento full con aire está en Palmira y dispone de alojamiento a 34 km de Teatro Jorge Isaacs, a 37 km de Parque Panamericano y a 29 km de Iglesia Nuestra Señora de la Merced. El alojamiento tiene parking privado gratis y está a 32 km de La Ermita y a 32 km de Catedral de San Pedro.

Parque del Avión está a 29 km del alojamiento, y Parque La Flora está a 29 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 15 km.","Prohibido fumar en todo el alojamiento, Español, Parking gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583966505.jpg?k=77559b19220dabfbdbf33c558d9a5a5a66ed80bf578352aa8262bfa08deccaa9&o=&hp=1,Palmira,Colombia
hotel koral palmira,https://www.booking.com/hotel/co/koral-palmira-palmira.es.html?aid=2410095,"Hotel koral palmira se encuentra en Palmira, a 30 km de La Ermita y a 30 km de Catedral de San Pedro, y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la ciudad.

El apartahotel ofrece TV de pantalla plana y baño privado con artículos de aseo gratuitos, albornoces y bidet. Algunas unidades también tienen una cocina americana equipada con nevera.

Teatro Jorge Isaacs está a 32 km del alojamiento, y Parque Panamericano está a 35 km. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 11 km del alojamiento.","Albornoz, Terraza, Juegos de mesa / puzles, Independiente, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Ventilador, Baño privado, Jardín, TV, Accesible para personas sordas, Fax, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Mesa de comedor, Enchufe cerca de la cama, Plancha para ropa, Parking privado, Bidet, Utensilios de planchado, WC, Insonorización, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/510188733.jpg?k=afc3a63bf82c573fc163c2a94bd92c607a72c13af9cca0c7d78eec2d52c36362&o=&hp=1,Palmira,Colombia
Hotel el Dorado - Palmira,https://www.booking.com/hotel/co/el-dorado-palmira.es.html?aid=2410095,"Hotel el Dorado - Palmira, que se encuentra a 29 km de Catedral de San Pedro y a 31 km de Teatro Jorge Isaacs, ofrece habitaciones en Palmira. Este alojamiento ofrece restaurante, salón de uso común y servicio de habitaciones, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo está a 29 km de La Ermita.

En el hotel, las habitaciones están equipadas con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El personal de recepción puede ofrecer consejos sobre qué hacer por la zona.

Parque Panamericano está a 34 km del alojamiento, y Iglesia Nuestra Señora de la Merced está a 26 km. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 11 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Baño privado, Extintores, Parking, Armario, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Servicio de lavandería, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585260442.jpg?k=24a8e2abdced0ac1838cbb6eadb79c3cab1224fb8d6d288d03f73de17f905c45&o=&hp=1,Palmira,Colombia
Hotel Campestre Nala,https://www.booking.com/hotel/co/campestre-nala.es.html?aid=2410095,"Hotel Campestre Nala se encuentra en Palmira, a 32 km de La Ermita, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis. Este alojamiento libre de humo está a 32 km de Catedral de San Pedro.

El hotel ofrece habitaciones con aire acondicionado, armario, caja fuerte, TV de pantalla plana y baño privado con bidet. En Hotel Campestre Nala, todas las habitaciones cuentan con ropa de cama y toallas.

El alojamiento ofrece terraza.

Teatro Jorge Isaacs está a 34 km del alojamiento, y Parque Panamericano está a 37 km. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 15 km del alojamiento.","Servicio de entrega de comestibles, Secador de pelo, Terraza, Juegos de mesa / puzles, Piscina de agua salada, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Almuerzos para llevar, Baños públicos, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Cenas temáticas, Servicio de limpieza diario, Baño privado, Jardín, Centro de negocios, Extintores, TV, Aire acondicionado, Armario, Silla de masajes, Vino / champán, Menú para niños, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Ping pong, Parking en un garaje, Muy buen desayuno, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Zona de fumadores, Mobiliario exterior, Piscina al aire libre, Aseo adicional, Bidet, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de despertador, Para todas las edades, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Billar, Restaurante, TV de pantalla plana, Abierta todo el año, Tumbonas/sillas de playa, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Nevera, Fax / fotocopiadora, Sala de juegos, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/147887743.jpg?k=838e447720221be5273d71114b5f85293e0f71b0bd49d21556467540b1c29915&o=&hp=1,Palmira,Colombia
A diez minutos del aeropuerto,https://www.booking.com/hotel/co/a-dies-minutos-de-aeropuerto.es.html?aid=2410095,"A diez minutos del aeropuerto se encuentra en Palmira, a solo 28 km de La Ermita, y ofrece alojamiento con vistas al jardín, wifi gratis y parking privado gratis. Este apartamento está a 28 km de Catedral de San Pedro y a 30 km de Teatro Jorge Isaacs.

El apartamento dispone de 1 dormitorio, TV de pantalla plana, una cocina equipada con nevera y lavavajillas, y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

Parque Panamericano está a 33 km del alojamiento, y Iglesia Nuestra Señora de la Merced está a 25 km. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 11 km del alojamiento.","Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Vistas, Ventilador, Baño privado, Apartamento privado en edificio, Cocina, TV, Armario, Parking gratis, Fogones, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Mesa de comedor, Zona de cocina, Cafetera, Lavavajillas, Zona de estar, Vistas al jardín, WC, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Nevera, Independiente, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524343072.jpg?k=85c0885b154d9cb14d20c51eefa083facf07b04e23756eea4a45138ac2e628cb&o=&hp=1,Palmira,Colombia
villa de las palmas,https://www.booking.com/hotel/co/villa-de-las-palmas-palmira.es.html?aid=2410095,"Villa de las palmas está en Palmira, a 30 km de La Ermita y a 31 km de Catedral de San Pedro. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Hay parking privado en el propio alojamiento.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones tienen baño privado con ducha, algunas ofrecen terraza y otras también incluyen vistas a la ciudad.

Teatro Jorge Isaacs está a 32 km del alojamiento, y Parque Panamericano está a 36 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 12 km.","Zona de comedor, Servicio de habitaciones, Habitaciones sin humo, Baño privado, Toallas, TV de pantalla plana, Habitaciones familiares, Papel higiénico, Español, Recepción 24 horas, Ventilador, WiFi gratis, Ducha, Parking privado, TV",https://cf.bstatic.com/xdata/images/hotel/max1024x768/437434343.jpg?k=382b7b87109713ced39b835fc4162a5751a937aab12636017039aa502f281124&o=&hp=1,Palmira,Colombia
Hotel Las Victorias Palmira,https://www.booking.com/hotel/co/las-victorias.es.html?aid=2410095,"El Hotel Las Victorias Palmira está en Palmira, justo al lado de la Universidad Nacional. Ofrece una piscina al aire libre, un restaurante regional, un jardín, conexión Wi-Fi gratuita e instalaciones para reuniones.

Las habitaciones del Hotel Las Victorias Palmira gozan de un ambiente tranquilo e incluyen baño privado y TV.

El Hotel Las Victorias Palmira cuenta con servicio de habitaciones y recepción las 24 horas.

Las Victorias se encuentra a 18 km del aeropuerto Alfonso Bonilla y dispone de aparcamiento privado gratuito.","Juegos de mesa / puzles, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Caja fuerte, Baños públicos, Teléfono, Vistas a la piscina, Vistas, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, Jardín, Extintores, Aire acondicionado, TV, Armario, Accesible para personas sordas, Traslado aeropuerto, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Entrada privada, Ropa de cama, Menús para dietas especiales (bajo petición), Servicio de traslado, WiFi gratis, Ducha, Buen desayuno, Sauna, Enchufe cerca de la cama, Proporciona factura, Mobiliario exterior, Canales por cable, Piscina al aire libre, Aseo adicional, Vistas al jardín, Servicio de planchado, Servicio de despertador, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, WC, Servicio de streaming (como Netflix), Piscina infantil, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Abierta todo el año, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Tumbonas/sillas de playa, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520875988.jpg?k=73bf54d67d06bfa45b23bdd0da4de9ffc59c425b4363933fb3eca42de16355e4&o=&hp=1,Palmira,Colombia
