hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
NH Andorra la Vella,US$98,"8,7",Fabuloso,3.205,https://cf.bstatic.com/xdata/images/hotel/max1024x768/252864342.webp?k=946a0c88e66caffd82e9e77a65d17b5eb9a8970c63f50ebc15cdf2f15044e9b1&o=,https://www.booking.com/hotel/ad/nh-andorra-la-vella.es.html?aid=2410095,"Parking en un garaje, TV de pantalla plana, Recepción 24 horas, Español, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Guardaequipaje, Canales vía satélite, Alarma de seguridad, Suelo de madera o parquet, Escritorio, Árabe, Secador de pelo, Reloj despertador, Servicio de lavandería, Caja fuerte, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, TV, Artículos de aseo gratis, Extintores, Proporciona factura, Aire acondicionado, WiFi gratis, Servicio de planchado, Desayuno en la habitación, Información turística, Habitaciones insonorizadas, Francés, Muy buen desayuno, Servicio de despertador / alarma, Bar, Servicio de limpieza diario, Tarjeta de acceso, Adaptado personas de movilidad reducida, Baño privado, Enchufe cerca de la cama, Detectores de humo, Toda la unidad accesible en silla de ruedas, Portugués, Habitaciones familiares, Toallas, Teléfono, Inglés, Ascensor, Servicio de conserjería, Insonorización, Armario, Bereber, Habitaciones sin humo, Parking privado, WC, Minibar, Acceso a pisos superiores en ascensor, Radio, Buffet para niños, Ropa de cama, Servicio de despertador",Andorra la Vella,Andorra,"El NH Andorra la Vella está ubicado en una de las principales calles comerciales de Andorra la Vella. Ofrece habitaciones modernas con aire acondicionado, WiFi gratuita y TV de pantalla plana con canales vía satélite.

Asimismo, las habitaciones son amplias y disponen de calefacción, minibar, caja fuerte y escritorio. El baño privado incluye artículos de aseo y secador de pelo. La mayoría tiene balcón.

El restaurante del hotel sirve un desayuno buffet. Este hotel también alberga un bar. Hay servicio de habitaciones.

Está bien comunicado con las pistas de esquí de Andorra. La estación de esquí de Vallnord queda a unos 20 minutos en coche. Este hotel cuenta con guardaesquíes.

El NH Andorra la Vella tiene recepción 24 horas y se halla a poca distancia a pie de muchos de los centros comerciales libres de impuestos de Andorra la Vella."
Hotel Best Andorra Center,US$63,"7,5",Bien,7.262,https://cf.bstatic.com/xdata/images/hotel/max1024x768/499965668.webp?k=73d8b8be2e34673c29f1c5c44c997e7a53f2cf93082d0b84a85391de865136b0&o=,https://www.booking.com/hotel/ad/andorra-center.es.html?aid=2410095,"Máquina expendedora (aperitivos), Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Sombrillas, Extintores, Artículos de aseo gratis, Zona de spa / relajación, Cafetería en el alojamiento, Francés, Piscina interior, Detectores de humo, Servicio de conserjería, Piscina climatizada, Sala de juegos, Parking privado, Zona poco profunda, Acceso a pisos superiores en ascensor, Parking en un garaje, Perchero, Abierta todo el año, Escritorio, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, WiFi gratis, Piscina con vistas, Enchufe cerca de la cama, Habitaciones familiares, Teléfono, Billar, Armario, Máquina expendedora (bebidas), Spa y centro de bienestar, WC, Toallas de playa/piscina, Fax / fotocopiadora, Ruso, TV de pantalla plana, Recepción 24 horas, Español, Bañera, Zona TV / salón de uso compartido, Fruta, Bidet, Solárium, Servicio de planchado, Instalaciones de spa, Servicio de limpieza diario, Baño privado, Toallas, Inglés, Parking adaptado para personas de movilidad reducida, Menús para dietas especiales (bajo petición), Vino / champán, Ropa de cama, Para todas las edades, Cámaras de seguridad en las zonas comunitarias, Sauna, Suelo de madera o parquet, Caja fuerte, TV, Aire acondicionado, Gimnasio, Proporciona factura, Nevera, Información turística, Muy buen desayuno, Salas de reuniones / banquetes, Bar, Restaurante, Tarjeta de acceso, Cubierta para piscina, Ascensor, Terraza / solárium, Habitaciones sin humo, Horario de apertura, Tumbonas/sillas de playa, Alarma de seguridad, Servicio de despertador",Andorra la Vella,Andorra,"El Hotel Andorra Center está situado en el centro de Andorra la Vieja y tiene una terraza solárium con vistas a la montaña. Los huéspedes disfrutan de acceso gratuito a la piscina cubierta climatizada, la bañera de hidromasaje, el gimnasio y la sauna del hotel.

El Hotel Andorra Center se encuentra en la principal zona comercial de la ciudad, a solo 100 metros del Centro de Conferencias de Andorra la Vieja. La estación de autobuses de Andorra se encuentra a 10 minutos a pie del hotel. Además, el establecimiento cuenta con parking seguro.

Las habitaciones del Andorra Center tienen una decoración sencilla y suelo de madera. Todas las habitaciones disponen de calefacción central, TV vía satélite y minibar. El baño incluye secador de pelo y artículos de aseo.

El Hotel Andorra Center tiene un restaurante buffet de ambiente formal.

El Hotel Andorra Center tiene un restaurante que sirve comidas buffet y a la carta en un ambiente formal. El hotel también cuenta con una cafetería tranquila."
Acta Arthotel,US$102,"9,0",Fantástico,1.696,https://cf.bstatic.com/xdata/images/hotel/max1024x768/470349343.webp?k=96fcb8f41a6d4b81a6ef98a54ef1d05e67e14b3bce6517158b2f63b5ffa7ef52&o=,https://www.booking.com/hotel/ad/arthotel.es.html?aid=2410095,"Papel higiénico, Parking en el alojamiento, Canales vía satélite, Guardaequipaje, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Adaptado para sillas de ruedas, Zona de spa / relajación, Habitaciones insonorizadas, Francés, Detectores de humo, Bañera de hidromasaje / jacuzzi, Boles para mascotas, Servicio de conserjería, Ciclismo, Parking en un garaje, WC elevado, Escritorio, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, WiFi gratis, Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Hammam, Habitaciones familiares, Teléfono, Snack-bar, Armario, Hervidor eléctrico, Spa y centro de bienestar, WC, Fax / fotocopiadora, Venta de forfaits, TV de pantalla plana, Recepción 24 horas, Español, Bañera, Zona TV / salón de uso compartido, Bidet, Servicio de planchado, Instalaciones de spa, Servicio de limpieza diario, Baño privado, Toallas, Inglés, Masajes, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Servicio de habitaciones, Terraza, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Sauna, Alquiler de coches, Guardaesquíes, Suelo de madera o parquet, Paquetes de spa / bienestar, Caja fuerte, TV, Aire acondicionado, Gimnasio, Proporciona factura, Información turística, WC con barras de apoyo, Esquí, Salas de reuniones / banquetes, Bar, Restaurante, Ascensor, Cesta para mascotas, Canales por cable, Habitaciones sin humo, Centro de negocios, Minibar, Alarma de seguridad, Servicio de despertador",Andorra la Vella,Andorra,"El Acta Arthotel se encuentra en Andorra la Vella y alberga el restaurante de gastronomía local Plató, así como un spa con sauna y baño turco. Todas las habitaciones tienen WiFi gratuita.

Este hotel de diseño cuenta con gimnasio. El hotel se encuentra en una de las calles principales de Andorra la Vella. Está bien comunicado con las tiendas y las pistas de esquí

El restaurante Plató está situado en la planta baja y tiene vistas al río. Sirve platos gourmet y cuenta con exposiciones de arte. El restaurante Gallery de la 5ª planta ofrece vistas panorámicas a las montañas. El desayuno se sirve aquí.

Las habitaciones del Acta Arthotel están insonorizadas y equipadas con aire acondicionado. Hay agua gratuita en el minibar. Cada habitación es amplia y dispone de TV

Hay paradas de autobús cercanas con servicios a los aeropuertos y las pistas de esquí. El centro de la ciudad queda a poca distancia a pie.

Hay centro de negocios y servicio de masajes disponibles por un suplemento.

 Las plazas de aparcamiento son limitadas."
Novotel Andorra,US$78,"8,1",Muy bien,3.807,https://cf.bstatic.com/xdata/images/hotel/max1024x768/162634129.webp?k=d3d2996c69383c3d0c2c326e6f913c22f97635160b603a0f90ce040edde33376&o=,https://www.booking.com/hotel/ad/novotel-andorra.es.html?aid=2410095,"Estación de carga de vehículos eléctricos, Máquina expendedora (aperitivos), Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Zona de spa / relajación, Cafetería en el alojamiento, Habitaciones insonorizadas, Francés, Zona de juegos para niños, Piscina interior, Portugués, Detectores de humo, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Sala de juegos, Sofá, Parking privado, Acceso a pisos superiores en ascensor, Ducha, Parking en un garaje, Abierta todo el año, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, WiFi gratis, Adaptado personas de movilidad reducida, Hammam, Habitaciones familiares, Teléfono, Taquillas en el gimnasio / spa, Snack-bar, Vistas, Armario, Suelo de moqueta, Máquina expendedora (bebidas), Hervidor eléctrico, Spa y centro de bienestar, Toallas de playa/piscina, Fax / fotocopiadora, TV de pantalla plana, Recepción 24 horas, Español, Bañera, Servicio de planchado, Instalaciones de spa, Servicio de limpieza diario, Baño privado, Toallas, Inglés, Insonorización, Ropa de cama, Desayuno fabuloso, Sauna, Alquiler de coches, Guardaesquíes, Caja fuerte, TV, Aire acondicionado, Gimnasio, Información turística, Esquí, Salas de reuniones / banquetes, Bar, Restaurante, Tarjeta de acceso, Taquillas, Ascensor, Terraza / solárium, Habitaciones sin humo, Horario de apertura, Centro de negocios, Tumbonas/sillas de playa, Minibar, Servicio de despertador",Andorra la Vella,Andorra,"Ideal para una escapada, el Novotel Andorra se encuentra en el centro de Andorra la Vella, rodeado de las boutiques y tiendas libres de impuestos de la ciudad.

El establecimiento cuenta con piscina cubierta, piscina al aire libre, sauna y bañera de hidromasaje. El hotel alberga un restaurante y 3 bares.

La piscina, el spa, el gimnasio, las pistas de pádel y la zona de juegos infantiles se encuentran en el Mercure Hotel, situado junto al Novotel Andora.

Se ofrece alojamiento gratuito para un máximo de 2 niños menores de 16 años si comparten la habitación con sus padres."
Mercure Andorra,US$78,"8,0",Muy bien,3.340,https://cf.bstatic.com/xdata/images/hotel/max1024x768/356214647.webp?k=dfe24612153821e309ae6755b139dbe640c05062678d6a9575d062b1ec3d6df3&o=,https://www.booking.com/hotel/ad/mercure-andorra.es.html?aid=2410095,"Estación de carga de vehículos eléctricos, Máquina expendedora (aperitivos), Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Zona de spa / relajación, Habitaciones insonorizadas, Francés, Zona de juegos para niños, Piscina interior, Portugués, Detectores de humo, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Sala de juegos, Parking privado, Acceso a pisos superiores en ascensor, Zona de juegos interior, Escritorio, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, WiFi gratis, Adaptado personas de movilidad reducida, Hammam, Habitaciones familiares, Teléfono, Taquillas en el gimnasio / spa, Armario, Suelo de moqueta, Máquina expendedora (bebidas), Spa y centro de bienestar, WC, Toallas de playa/piscina, Fax / fotocopiadora, TV de pantalla plana, Recepción 24 horas, Español, Bañera, Servicio de planchado, Instalaciones de spa, Servicio de limpieza diario, Baño privado, Toallas, Inglés, Insonorización, Parking adaptado para personas de movilidad reducida, Menús para dietas especiales (bajo petición), Ropa de cama, Servicio de habitaciones, Terraza, Seguridad 24 horas, Sauna, Alquiler de coches, Guardaesquíes, Caja fuerte, TV, Aire acondicionado, Gimnasio, Proporciona factura, Información turística, Muy buen desayuno, Esquí, Salas de reuniones / banquetes, Bar, Restaurante, Tarjeta de acceso, Taquillas, Ascensor, Terraza / solárium, Habitaciones sin humo, Horario de apertura, Centro de negocios, Tumbonas/sillas de playa, Minibar, Servicio de despertador",Andorra la Vella,Andorra,"El Hotel Mercure se encuentra en el centro comercial de Andorra la Vella. Dispone de spa gratuito, zonas comunes y habitaciones con calefacción y minibar.

Todas las habitaciones están insonorizadas. Hay baño privado y aire acondicionado.

El spa del hotel incluye una piscina cubierta y una bañera de hidromasaje. También hay baño turco y sauna.

El Mercure Andorra tiene muchas instalaciones para niños. Alberga una sala de juegos. 

El alojamiento tiene bar y restaurante. El hotel cuenta con una gran terraza.

La zona es ideal para ir de compras y esquiar. El establecimiento proporciona guardaesquíes."
Eurostars Andorra,US$98,"8,3",Muy bien,3.147,https://cf.bstatic.com/xdata/images/hotel/max1024x768/134109832.webp?k=222241210e1df6e89fcefbe10db50a9dfaaf8cab599cd407fac20bb7874fb484&o=,https://www.booking.com/hotel/ad/eurostars-andorra-centre.es.html?aid=2410095,"Zona de estar, Parking en un garaje, Servicio de habitaciones, TV de pantalla plana, Recepción 24 horas, Menú para niños, Español, Bañera, Zona TV / salón de uso compartido, Seguridad 24 horas, WC elevado, Fruta, Cámaras de seguridad en las zonas comunitarias, Bidet, Guardaequipaje, Alarma de seguridad, Suelo de madera o parquet, Escritorio, Secador de pelo, Caja fuerte, Servicio de lavandería, Prohibido fumar en todo el alojamiento, Catalán, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Gimnasio, Proporciona factura, Calefacción, WiFi gratis, Servicio de planchado, Desayuno en la habitación, Información turística, Habitaciones insonorizadas, Sofá cama, WC con barras de apoyo, Francés, Muy buen desayuno, Salas de reuniones / banquetes, Alquiler de bicicletas, Servicio de despertador / alarma, Bar, Servicio de limpieza diario, Restaurante, Tarjeta de acceso, Adaptado personas de movilidad reducida, Baño privado, Enchufe cerca de la cama, Detectores de humo, Almuerzos para llevar, Habitaciones familiares, Toallas, Teléfono, Inglés, Ascensor, Servicio de conserjería, Vistas, Parking adaptado para personas de movilidad reducida, Insonorización, Armario, Plancha para pantalones, Habitaciones sin humo, Sofá, Parking privado, Centro de negocios, WC, Vino / champán, Minibar, Acceso a pisos superiores en ascensor, Fax / fotocopiadora, Ropa de cama, Servicio de despertador",Andorra la Vella,Andorra,"El Eurostars Andorra se encuentra en el centro de Andorra la Vella y alberga restaurante y centro de fitness.

Las habitaciones son elegantes, están insonorizadas y disponen de aire acondicionado, calefacción, WiFi gratuita, sofá y minibar. El baño privado tiene secador de pelo y artículos de aseo gratuitos.

El Eurostars Andorra también ofrece bar, aparcamiento privado y salas de reuniones.

También hay restaurante y cafetería.

El hotel goza de vistas a los Pirineos y está a menos de 10 minutos a pie de la principal zona comercial de Andorra. El spa termal Caldea se encuentra a 15 minutos a pie del hotel, mientras que el Parque Central está a 800 metros."
Les Closes,US$78,"8,6",Fabuloso,4.574,https://cf.bstatic.com/xdata/images/hotel/max1024x768/283283218.webp?k=631571c803a071a43deb6486c66a8588fe531a72fa877411f738d817ef436c76&o=,https://www.booking.com/hotel/ad/les-closes.es.html?aid=2410095,"Papel higiénico, Guardaequipaje, Secador de pelo, Extintores, Artículos de aseo gratis, Adaptado para sillas de ruedas, Cafetería en el alojamiento, Zona de fumadores, Francés, Portugués, Detectores de humo, Servicio de conserjería, Parking privado, Acceso a pisos superiores en ascensor, Buffet para niños, Ducha, Parking en un garaje, Tour o clase sobre cultura local, Balcón, Senderismo, Escritorio, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, Galerías de arte temporales, WiFi gratis, Eventos deportivos en directo (emisión), Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Almuerzos para llevar, Tours en bici, Teléfono, Vistas, Armario, Suelo de moqueta, Fax / fotocopiadora, Servicio de traslado, TV de pantalla plana, Recepción 24 horas, Español, Bañera, Zona TV / salón de uso compartido, Bidet, 2 restaurantes, Patio, Servicio de limpieza diario, Baño privado, Toallas, Inglés, Menús para dietas especiales (bajo petición), Vino / champán, Ropa de cama, Terraza, Acceso a pisos superiores solo mediante escaleras, Alquiler de coches, Guardaesquíes, Caja fuerte, Pista de tenis, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Información turística, Muy buen desayuno, Esquí, Bar, Restaurante, Tarjeta de acceso, Suelo de baldosa / mármol, Toda la unidad accesible en silla de ruedas, Ascensor, Mobiliario exterior, Ruta de bares, Habitaciones sin humo, Música / espectáculos en directo, Tours a pie, Servicio de despertador",Andorra la Vella,Andorra,"Este moderno hotel se encuentra en el centro del complejo andorrano de Escaldes-Engordany, rodeado de tiendas libres de impuestos y a sólo 5 minutos a pie del famoso centro termal de spa Caldea. 

 Les Closes es un punto de partida perfecto para disfrutar de las fantásticas pistas de esquí locales o visitar las numerosas tiendas sin impuestos que ofrece Andorra. Después, podrá volver tras un día ajetreado, para relajarse tomando una bebida en el café-bar, donde podrá sociabilizarse, o disfrutando de una deliciosa comida casera en el restaurante del hotel. 

Las instalaciones de ocio de Les Closes incluyen un salón de TV y mesa de billar. También podrá hacer uso de la conexión inalámbrica a internet.  

Las habitaciones, recientemente reformadas, ofrecen baño completo y aire acondicionado, lo que le asegurará una noche de sueño reparador."
Hotel Starc by Pierre & Vacances Premium,US$113,"9,0",Fantástico,2.352,https://cf.bstatic.com/xdata/images/hotel/max1024x768/529688123.webp?k=3f9c1dc1e80acec7be82266e2e9a5821abb7640d93702ad784b07389b1c0bca9&o=,https://www.booking.com/hotel/ad/starc-by-pierre-amp-vacances.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Parking en un garaje, TV de pantalla plana, Recepción 24 horas, Senderismo, Perchero, Soporte para iPod, Menú para niños, Español, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Guardaesquíes, Alarma de seguridad, Escritorio, Secador de pelo, Caja fuerte, Catalán, Extintores, TV, Artículos de aseo gratis, Calefacción, Gimnasio, Proporciona factura, Aire acondicionado, WiFi gratis, Escuela de esquí, Habitaciones insonorizadas, Francés, Muy buen desayuno, Esquí, Bar, Restaurante, Detectores de humo, Baño privado, Enchufe cerca de la cama, Toallas, Inglés, Ascensor, Armario, Habitaciones sin humo, Bañera de hidromasaje, Parking privado, Vino / champán, Minibar, Ciclismo, Ropa de cama, Servicio de despertador",Andorra la Vella,Andorra,"Hotel Starc by Pierre & Vacances Premium es un alojamiento bien situado en el centro de Andorra la Vella que ofrece habitaciones con aire acondicionado y wifi gratis, parking privado y servicio de habitaciones. El alojamiento tiene un bar y un restaurante que sirve cocina mediterránea. Parque de atracciones Naturlandia está a 16 km del hotel y Santuari de Meritxell, a 9 km.

En el hotel, las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones incluyen caja fuerte, algunas ofrecen balcón y otras también cuentan con vistas a la ciudad. Las unidades del alojamiento están equipadas con artículos de aseo gratuitos y soporte para iPod.

El desayuno diario ofrece opciones buffet, continentales o italianas.

La clientela puede practicar actividades en Andorra la Vella y alrededores, como senderismo, esquí y ciclismo.

El personal de recepción habla catalán, inglés, español y francés, y puede ayudar a la clientela a planificar su estancia.

Estadio comunal de Aixovall está a 2,3 km del alojamiento, y Campo de golf Vall d'Ordino está a 7,5 km. El aeropuerto (Aeropuerto de Andorra-La Seu d'Urgell) está a 26 km."
Glaner Hotel Cafe,US$59,"7,9",Bien,2.340,https://cf.bstatic.com/xdata/images/hotel/max1024x768/527523101.webp?k=957a068298f9c82d954df6c2ede944cd39c5ece007624f10017802447772a081&o=,https://www.booking.com/hotel/ad/valmar.es.html?aid=2410095,"Ducha, TV de pantalla plana, Senderismo, Perchero, Español, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bañera o ducha, Guardaequipaje, Guardaesquíes, Alarma de seguridad, Vistas a un patio interior, Suelo de madera o parquet, Escritorio, Caja fuerte, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, TV, Artículos de aseo gratis, Extintores, Proporciona factura, WiFi gratis, Cafetería en el alojamiento, Información turística, Francés, Esquí, Salas de reuniones / banquetes, Bar, Portugués, Detectores de humo, Baño privado, Enchufe cerca de la cama, Registro de entrada y salida exprés, Llave de acceso, Habitaciones hipoalergénicas, Toallas, Inglés, Ascensor, Mobiliario exterior, Armario, Centro de negocios, Cámaras de seguridad fuera del alojamiento, Vino / champán, Acceso a pisos superiores en ascensor, Fax / fotocopiadora, Venta de forfaits, Ropa de cama",Andorra la Vella,Andorra,"El Glaner Hotel Cafe se encuentra en Andorra la Vella y ofrece bar, guardaesquíes gratuito y WiFi gratuita en todas las instalaciones. La estación de esquí de Vallnord está a 15 km.

Las habitaciones cuentan con TV, calefacción, armario, caja fuerte y baño privado con artículos de aseo gratuitos.

El Glaner Hotel Cafe ofrece información turística de la zona. En las inmediaciones hay restaurantes y supermercados.

El hotel está a 1,8 km del estadio Comunal de Aixovall. Hay aparcamiento público en las inmediaciones."
Roc Blanc Hotel & Spa,US$96,"8,4",Muy bien,5.067,https://cf.bstatic.com/xdata/images/hotel/max1024x768/157684125.webp?k=ecf86434c1216e89122c06d44dccc74179c6574459976f074ebdefe11661db32&o=,https://www.booking.com/hotel/ad/roc-blanc.es.html?aid=2410095,"Menú para niños, Estación de carga de vehículos eléctricos, Masaje de pies, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Servicios de belleza, Lavamanos más bajo, Extintores, Masaje de espalda, Artículos de aseo gratis, Adaptado para sillas de ruedas, Zona de spa / relajación, Cafetería en el alojamiento, Habitaciones insonorizadas, Francés, Portugués, Detectores de humo, Boles para mascotas, Habitaciones hipoalergénicas, Albornoz, Servicio de conserjería, Masaje de manos, Parking privado, Masaje en pareja, Baños termales, Acceso a pisos superiores en ascensor, Ducha, Parking en un garaje, WC elevado, Juegos de mesa / puzles, Escritorio, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, Exfoliación corporal, WiFi gratis, Adaptado personas de movilidad reducida, Servicios de depilación, Enchufe cerca de la cama, Hammam, Habitaciones familiares, Teléfono, Taquillas en el gimnasio / spa, Snack-bar, Vistas, Billar, Armario, Masaje de cabeza, Hervidor eléctrico, Spa y centro de bienestar, Masaje de cuello, Fax / fotocopiadora, Servicio de traslado, TV de pantalla plana, Recepción 24 horas, Español, Fruta, Zapatillas, Reloj despertador, Vistas a la montaña, Servicio de planchado, Masaje corporal completo, Desayuno en la habitación, Servicio de despertador / alarma, Instalaciones de spa, Servicio de limpieza diario, Envoltura corporal, Terapia con luz, Baño privado, Toallas, Inglés, Masajes, Traslado aeropuerto, Insonorización, Plancha para pantalones, Menús para dietas especiales (bajo petición), Vino / champán, Ropa de cama, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Toallas / sábanas (por un suplemento), Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Sauna, Alquiler de coches, Servicio de aparcacoches, Caja fuerte, Tratamientos faciales, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Nevera, Información turística, WC con barras de apoyo, Muy buen desayuno, Salas de reuniones / banquetes, Bar, Restaurante, Tarjeta de acceso, Taquillas, Ascensor, Cesta para mascotas, Habitaciones sin humo, Centro de negocios, Minibar, Tratamientos corporales, Alarma de seguridad, Servicio de despertador",Andorra la Vella,Andorra,"El Roc Blanc Hotel & Spa está situado en Escaldes-Engordany, a solo 5 minutos a pie del centro de Andorra la Vella. Ofrece 2 restaurantes y habitaciones elegantes con materiales hipoalergénicos.

Además, el restaurante El Pi del Roc Blanc, de estilo montañés, tiene chimenea y el restaurante a la carta Entrecote sirve platos de carne.

El Roc Blanc Hotel & Spa se halla a solo 5 km de las pistas de esquí más cercanas de Soldeu y a 15 km de la estación de esquí de Grau-Roig. Asimismo, el establecimiento queda a 5 minutos a pie de Caldea y de las principales calles comerciales de Escaldes-Engordany."
Hotel Màgic Andorra,US$72,"8,2",Muy bien,3.204,https://cf.bstatic.com/xdata/images/hotel/max1024x768/479202956.webp?k=26de531f21222f679d35cc59238d7dfd5aa574824b57f69c6711b3a23998549d&o=,https://www.booking.com/hotel/ad/magicandorra.es.html?aid=2410095,"Corte de pelo, Estación de carga de vehículos eléctricos, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Servicios de belleza, Extintores, Artículos de aseo gratis, Escuela de esquí, Cafetería en el alojamiento, Francés, Detectores de humo, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Casino, Parking privado, Buffet para niños, Parking en un garaje, Peluquería / salón de belleza, Senderismo, Servicios de maquillaje, Escritorio, Prohibido fumar en todo el alojamiento, Catalán, Calefacción, Galerías de arte temporales, Exfoliación corporal, WiFi gratis, Eventos deportivos en directo (emisión), Alquiler de bicicletas, Adaptado personas de movilidad reducida, Servicios de depilación, Hammam, Habitaciones familiares, Teléfono, Snack-bar, Armario, Baño de vapor, WC, Alquiler de equipamiento de esquí en el alojamiento, Venta de forfaits, Recepción 24 horas, Español, Bañera, Zona TV / salón de uso compartido, Tinte, Equitación, Solárium, Servicio de planchado, Desayuno en la habitación, Servicio de limpieza diario, Envoltura corporal, Terapia con luz, Baño privado, Toallas, Inglés, Masajes, Parking adaptado para personas de movilidad reducida, Peinado, Vino / champán, Ropa de cama, Servicio de habitaciones, Servicio de limpieza en seco, Manicura, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Pedicura, Sauna, Alquiler de coches, Guardaesquíes, Suelo de madera o parquet, Caja fuerte, Tratamientos capilares, Tratamientos faciales, TV, Aire acondicionado, Gimnasio, Proporciona factura, Información turística, Muy buen desayuno, Esquí, Bingo, Bar, Restaurante, Taquillas, Ascensor, Habitaciones sin humo, Centro de negocios, Tours a pie, Minibar, Tratamientos corporales, Alarma de seguridad, Servicio de despertador",Andorra la Vella,Andorra,"El Hotel Màgic Andorra goza de una ubicación ideal en el centro de Andorra La Vella. Ofrece servicio de guardaesquíes y alquiler de material de esquí. En el spa hay una bañera de hidromasaje, una sauna y un gimnasio.

El Hotel Màgic Andorra ofrece habitaciones amplias con TV vía satélite, aire acondicionado y calefacción. El baño privado está equipado con secador de pelo.

El bar cafetería del Hotel Màgic Andorra dispone de TV, mesa de billar y ordenadores con conexión a internet. En el restaurante bufé se sirven platos tradicionales e internacionales.

Los remontes de Vallnord se encuentran a unos 20 minutos en coche. A 5 minutos a pie se encuentran las tiendas libres de impuestos, los bares y los restaurantes."
Fènix Hotel,US$86,"8,2",Muy bien,5.240,https://cf.bstatic.com/xdata/images/hotel/max1024x768/281025219.webp?k=b80a7ff1f878f41c353227b7eed68095f47624bd96ff3bd465035c9baedc37f7&o=,https://www.booking.com/hotel/ad/hotelfenix.es.html?aid=2410095,"Servicio de habitaciones, Parking en un garaje, Terraza, TV de pantalla plana, Recepción 24 horas, Español, Bañera, Estación de carga de vehículos eléctricos, Zona TV / salón de uso compartido, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Canales vía satélite, Alquiler de coches, Guardaesquíes, Sauna, Secador de pelo, Caja fuerte, Servicio de lavandería, Hipoalergénico, 2 restaurantes, Prohibido fumar en todo el alojamiento, Catalán, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Calefacción, WiFi gratis, Servicio de planchado, Desayuno en la habitación, Información turística, Zona de fumadores, Habitaciones insonorizadas, Francés, Muy buen desayuno, Esquí, Salas de reuniones / banquetes, Bar, Restaurante, Adaptado personas de movilidad reducida, Baño privado, Enchufe cerca de la cama, Detectores de humo, Habitaciones familiares, Teléfono, Inglés, Ascensor, Terraza / solárium, Canales por cable, Plancha para pantalones, Habitaciones sin humo, Parking privado, Spa y centro de bienestar, WC, Radio, Fax / fotocopiadora, Servicio de traslado, Venta de forfaits",Andorra la Vella,Andorra,"El moderno Hotel Fenix está ubicado en Escaldes-Engordany, a 150 metros del spa Caldea, y cuenta con WiFi gratuita y azotea con terraza y vistas panorámicas. Alberga una zona de bienestar disponible por un suplemento.

Las habitaciones del hotel Fenix están insonorizadas y disponen de aire acondicionado, calefacción y TV de pantalla plana de 32 pulgadas. Algunas incluyen bañera de hidromasaje.

La zona de bienestar del Hotel Fenix tiene terraza con vistas a Escaldes, sauna y una pequeña piscina cubierta. También hay centro de negocios y guardaesquíes gratuito.

El restaurante Kronos del hotel sirve platos locales con ingredientes frescos y tiene vistas magníficas a la localidad.

Se encuentra a menos de 10 km de las estaciones de esquí de Grandvalira y Vallnord. Se proporciona un servicio de traslado gratuito (sujeto a disponibilidad). Las tiendas de Andorra La Vella se ubican a menos de 1 km del hotel."
