hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
YHA Newcastle Beach,US$39,"7,9",Bien,768,https://cf.bstatic.com/xdata/images/hotel/max1024x768/485310440.webp?k=537f89c911f7d9e89c9d9f250afb2839f69e130587361c74c66a00e433355080&o=,https://www.booking.com/hotel/au/newcastle-beach-yha.es.html?aid=2410095,"Billar, Guardaequipaje, Zona de juegos interior, Fax / fotocopiadora, Taquillas, Cocina compartida, Situado frente a la playa, Ropa de cama, Zona de fumadores, Ducha, Ventilador, Servicio de lavandería, Sala de juegos, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza, Alquiler de bicicletas, Adaptado personas de movilidad reducida, Pesca, Terraza / solárium, Barbacoa, Alemán, Ciclismo, Habitaciones sin humo, Playa, Inglés, Entretenimiento nocturno, WiFi gratis, Información turística, Tour o clase sobre cultura local, Ping pong, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, WC, Extintores, Cámaras de seguridad en las zonas comunitarias, Jardín, Dardos, Habitaciones familiares, Mobiliario exterior",Newcastle,Australia,"El YHA Newcastle Beach ocupa un antiguo club de caballeros y conserva elementos históricos, como una zona de salón común con chimenea, paneles de madera y sofás de cuero. El establecimiento se encuentra frente a la playa de Newcastle y a 50 metros de la parada de tranvía de Newcastle Beach. Tome el tranvía desde la parada de autobús Greyhound en el intercambiador de Newcastle hasta la playa de Newcastle.

Este albergue cuenta con terraza con zona de barbacoa, cocina compartida grande y sala de juegos con mesa de ping pong y mesa de billar. Los huéspedes pueden utilizar de forma gratuita tablas de surf y bodyboard. El albergue también cuenta con mostrador de información turística y servicio de lavandería.

Hay habitaciones compartidas y privadas. Todas ofrecen acceso a un baño compartido. Todas las habitaciones incluyen ventilador y ropa de cama.


 Se pueden alquilar bicicletas y tablas de surf de forma gratuita."
Backpackers Newcastle,US$34,"8,2",Muy bien,553,https://cf.bstatic.com/xdata/images/hotel/max1024x768/269483484.webp?k=2b0c41970761663ef2bd12e773b1cee98a828483f95f19a27d69f308f270076e&o=,https://www.booking.com/hotel/au/backpackers-newcastle.es.html?aid=2410095,"Billar, Guardaequipaje, Seguridad 24 horas, Tumbonas/sillas de playa, Solo para adultos, Calefacción, Cámaras de seguridad fuera del alojamiento, Cocina compartida, Situado frente a la playa, Zona de fumadores, Ducha, Servicio de lavandería, Sala de juegos, Llave de acceso, Aire acondicionado, Abierta todo el año, Sombrillas, Juegos de mesa / puzles, Terraza / solárium, Barbacoa, Parking gratis, Valla alrededor de la piscina, Habitaciones sin humo, Playa, Parking en la calle, Inglés, WiFi gratis, Servicio de limpieza diario, Para todas las edades, Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, Baño compartido, WC, Extintores, Piscina al aire libre, Piscina de agua salada, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Jardín, Alarma de seguridad, Caja fuerte, Mobiliario exterior",Newcastle,Australia,"Somos un albergue juvenil, un destino para viajeros de entre 18 y 45 años. Como este es un destino para huéspedes internacionales y viajeros australianos interestatales, no aceptamos a nadie de la zona de Newcastle. Al hacer el registro de entrada, los huéspedes deberán presentar un documento de identidad con fotografía válido.


El Backpackers se encuentra a solo 5 minutos en coche de Bar Beach y cuenta con piscina al aire libre y zona de barbacoa. Todas las habitaciones tienen acceso a una cocina y un salón compartidos.

El Newcastle Backpackers se encuentra a 5 minutos a pie de la estación de autobuses de Hamilton y a 10 minutos a pie de la calle Beaumont, donde hay cafeterías, restaurantes y tiendas. El valle de Hunter está a 1 hora en coche.

El establecimiento ofrece habitaciones compartidas y privadas. Todas las habitaciones disponen de ventilador y ropa de cama. Todas tienen acceso a un baño compartido y utensilios de planchado.

Los huéspedes tienen acceso gratuito a una zona de ocio con mesa de billar. La piscina es perfecta para refrescarse después de un duro día de mochilero."
Surf Beach Motel Newcastle,US$76,"8,9",Fabuloso,1.218,https://cf.bstatic.com/xdata/images/hotel/max1024x768/490397848.webp?k=1cdb1dd689d116441c2fe5f8b324009e7d3760b68e4a5e568eb994ab8966ac77&o=,https://www.booking.com/hotel/au/newcastle-motel.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Toallas, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ropa de cama, Ducha, Suelo de madera o parquet, Aire acondicionado, TV de pantalla plana, Registro de entrada / salida privado, Microondas, Camas extralargas (más de 2 metros), Utensilios de cocina, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Registro de entrada y salida exprés, Detectores de humo, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Extintores, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Proporciona factura, Parking adaptado para personas de movilidad reducida",Newcastle,Australia,"Surf Beach Motel Newcastle está en Newcastle, a 5,7 km de Newcastle International Hockey Centre, y dispone de alojamiento con wifi gratis y parking privado gratis. El alojamiento se encuentra a 6,1 km de Estadio Energy Australia, a 7,5 km de Newcastle Showground y a 7,8 km de Newcastle Entertainment Centre. Universidad de Newcastle está a 12 km del motel y Newcastle City Library, a 4,4 km.

Todas las unidades de este alojamiento están equipadas con hervidor. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también incluyen zona de estar. En el motel, cada habitación dispone de ropa de cama y toallas.

Wests Convention Centre está a 5,3 km del alojamiento, y Hunter Medical Research Institute está a 7 km. El aeropuerto (Aeropuerto de Newcastle (Australia)) está a 29 km."
ibis Budget - Newcastle,US$76,"6,3",Puntuación,2.623,https://cf.bstatic.com/xdata/images/hotel/max1024x768/248083012.webp?k=ebf368097edae3d698c30b4771ba427fcf680e95b2deab8969132139cc17351a&o=,https://www.booking.com/hotel/au/formule-1-newcastle.es.html?aid=2410095,"Desayuno, Toallas, Prohibido fumar en todo el alojamiento, Baño privado, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Calefacción, Ropa de cama, Ducha, Reloj despertador, Aire acondicionado, Máquina expendedora (aperitivos), Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Tarjeta de acceso, Habitaciones sin humo, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, WC con barras de apoyo, Parking privado, Máquina expendedora (bebidas), Detectores de humo, Papel higiénico, WC, Extintores, TV, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Proporciona factura, Parking adaptado para personas de movilidad reducida",Newcastle,Australia,"Este hotel ofrece alojamiento con aparcamiento gratuito y se encuentra a solo 450 metros del centro comercial Wallsend Plaza, así como a 11 km del centro de Newcastle.

Las habitaciones cuentan con aire acondicionado, escritorio, TV de pantalla plana, nevera, set de té/café y baño privado con ducha y tocador.

El hotel ibis ofrece servicio de lavandería y consigna de equipaje. El ibis Budget Newcastle cuenta con máquinas expendedoras de bebidas y aperitivos ligeros. También hay un microondas disponible.

El ibis Budget Hotel Newcastle se encuentra a 10 minutos del hospital John Hunter y del estadio Hunter, sede de los Newcastle Knights y los Newcastle Jets. Los parques Wal Herd y Wallsend están a 900 metros. Asimismo, el establecimiento se sitúa a 11 km de la reserva de Glenrock, a 12 km de la playa de Newcastle y a 20 km de Fullerton Cove."
Reign Inn Newcastle,US$99,"8,2",Muy bien,1.582,https://cf.bstatic.com/xdata/images/hotel/max1024x768/197614765.webp?k=fec19b433a9d1954e160031381b4f26452c4afc90cdf7970b5be9fc3309abfb9&o=,https://www.booking.com/hotel/au/sovereign-inn-newcastle.es.html?aid=2410095,"Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Plancha para ropa, Baño privado, Toda la unidad en la planta baja, Bañera o ducha, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Ventilador, Servicio de lavandería, Reloj despertador, Tostadora, Aire acondicionado, TV de pantalla plana, Terraza, Adaptado personas de movilidad reducida, Microondas, Zona de comedor, Servicio de streaming (como Netflix), Barbacoa, Parking gratis, Habitaciones sin humo, Vino / champán, Canales vía satélite, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Detectores de humo, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, TV, Extintores, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Entrada privada, Habitaciones familiares, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Newcastle,Australia,"El Reign Inn Newcastle está muy bien situado en Mayfield:  A pie de Cafés y Restaurantes, Cerca del Hospital Mater, Newcastle Uni, Estadio de Fútbol. Las playas y el distrito financiero están a 7 km.  El motel ofrece WiFi rápida gratuita, Smart TV con Netflix, zona de barbacoa y aparcamiento gratuito.

Las habitaciones disponen de aire acondicionado, Smart TV grande con NetFlix, set de té y café, minibar, hervidor de agua, tostadora, microondas y baño privado con secador de pelo. Se proporcionan toallas y champú.
Solo tenemos 3 habitaciones con cama grande que admiten mascotas.

El establecimiento cuenta con zona de barbacoa. Hay servicio de lavandería.

El establecimiento se encuentra a 1,5 km del hospital Mater, a 2,5 km de la Universidad de Newcastle, a unos 7 km del distrito financiero de Newcastle y a solo 16 km del aeropuerto de Newcastle."
Newcastle Hotel,US$61,"7,5",Bien,379,https://cf.bstatic.com/xdata/images/hotel/max1024x768/201198921.webp?k=5abdbefd9a0a2f5b00df291e2292654e263a473c3c213be4620d6c0b43ef0efc&o=,https://www.booking.com/hotel/au/the-gateway-hotel.es.html?aid=2410095,"Billar, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Prohibido fumar en todo el alojamiento, Cajero automático en el hotel, Fax / fotocopiadora, Artículos de aseo gratis, Cocina, Cámaras de seguridad fuera del alojamiento, Bar, Cocina compartida, Ropa de cama, Enchufe cerca de la cama, Solo para adultos, Zona de fumadores, Ventilador, Discoteca / DJ, Tostadora, Llave de acceso, Aseo compartido, Restaurante, TV de pantalla plana, Registro de entrada / salida privado, Microondas, Música / espectáculos en directo, Karaoke, Utensilios de cocina, Habitaciones sin humo, Inglés, Entretenimiento nocturno, WiFi gratis, Happy hour, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Baño compartido, Nevera, Ruta de bares, Buen desayuno, TV, Extintores, Tetera / cafetera, Sofá, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Suelo de moqueta, Mobiliario exterior",Newcastle,Australia,"El Newcastle Hotel está situado en Newcastle, encima de un animado pub y discoteca, y ofrece restaurante, bar y conexión WiFi gratuita. El Newcastle International Hockey Centre está a solo 2,3 km.

Todas las habitaciones tienen baño compartido.

El establecimiento cuenta con cajero automático.

El Newcastle Hotel se encuentra a 5 km de la Universidad de Newcastle y a 7 km de la playa de Stockton. El aeropuerto de Newcastle está a 16 km."
"Holiday Inn Express Newcastle, an IHG Hotel",US$219,"8,5",Muy bien,2.550,https://cf.bstatic.com/xdata/images/hotel/max1024x768/230553961.webp?k=4bfb1f0254a9de121111285e43a08d3ac06c0ae0c358cec3552e7d9accaea931&o=,https://www.booking.com/hotel/au/holiday-inn-express-newcastle.es.html?aid=2410095,"Snack-bar, Seguridad 24 horas, Toallas, Vistas a la ciudad, Lavamanos más bajo, Baño privado, Fax / fotocopiadora, Servicio de lavandería, Ascensor, Habitaciones hipoalergénicas, Centro de negocios, Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Parking en el alojamiento, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Alarma de seguridad, Parking en un garaje, Servicio de despertador, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aire acondicionado, Canales vía satélite, Escritorio, Insonorización, Nevera, Extintores, Teléfono, Caja fuerte, Recepción 24 horas, Guardaequipaje, Canales por cable, Artículos de aseo gratis, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Suelo de baldosa / mármol, Zona TV / salón de uso compartido, Detectores de humo, Armario, Hipoalergénico, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Fruta, Parking adaptado para personas de movilidad reducida, WC elevado, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Llave de acceso, Adaptado personas de movilidad reducida, Inglés, Registro de entrada y salida exprés, Gimnasio, Habitaciones insonorizadas, Zona de estar",Newcastle,Australia,"Este hotel está situado en la animada ciudad portuaria de Newcastle, Nueva Gales del Sur, a solo 16 minutos en coche de la Universidad de Newcastle. Ofrece un desayuno ""Express Start"" y conexión Wi-Fi gratuita en todas sus instalaciones.

Las habitaciones del Holiday Inn Express Newcastle cuentan con caja fuerte, armario independiente, calefacción/aire acondicionado, utensilios de planchado y cortinas opacas. Dispone de baño privado con artículos de aseo, secador de pelo, ducha independiente a ras de suelo y zona de tocador independiente. También incluye nevera pequeña, tetera/cafetera y TV de pantalla plana con canales por cable/vía satélite.

El Holiday Inn Express - Newcastle cuenta con un centro de fitness con pesas, cinta para correr y máquinas elípticas. También hay servicio de lavandería.

Se encuentra a 3,1 km del Newcastle Entertainment Centre y a 3 km de la playa de Newcastle. El aeropuerto de Newcastle está a 25 km."
Colliery Inn Wallsend,US$65,"6,1",Puntuación,230,https://cf.bstatic.com/xdata/images/hotel/max1024x768/322671817.webp?k=881e99082e3dda71cf580c5b27337fae85ed19185c2e8feb85dd72c774b646b1&o=,https://www.booking.com/hotel/au/colliery-inn-wallsend.es.html?aid=2410095,"WiFi gratis, Inglés, Habitaciones sin humo",Newcastle,Australia,"Colliery Inn Wallsend, dispone de wifi gratis, está en Newcastle, a 5 km de Universidad de Newcastle y a 6,2 km de Estadio Energy Australia. El alojamiento se encuentra a 6,5 km de Newcastle International Hockey Centre, a 6,9 km de Newcastle Showground y a 7,2 km de Newcastle Entertainment Centre. Hunter Medical Research Institute está a 4 km del hotel y Wests Convention Centre, a 5,6 km.

Estadio Newcastle International Sports Centre está a 6,4 km del alojamiento, y Newcastle City Library está a 8 km. El aeropuerto (Aeropuerto de Newcastle (Australia)) está a 27 km."
Rydges Newcastle,US$236,"8,0",Muy bien,2.468,https://cf.bstatic.com/xdata/images/hotel/max1024x768/498312874.webp?k=b57b0d01c5096ed14d788dff268f172f600e328c612bad42c11211f81d7d3fed&o=,https://www.booking.com/hotel/au/crowne-plaza-newcastle.es.html?aid=2410095,"Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Abierta todo el año, Sombrillas, Ascensor, Restaurante, Camas extralargas (más de 2 metros), Zona de comedor, Centro de negocios, Servicio de limpieza en seco, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Buffet para niños, Servicio de limpieza diario, Utensilios de planchado, Información turística, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Sofá, Alarma de seguridad, Valla alrededor de la piscina, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Vistas, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aire acondicionado, Terraza, Playa, Sofá cama, Parking privado, Escritorio, Extintores, Nevera, Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Tumbonas/sillas de playa, Habitaciones comunicadas disponibles, Servicio de conserjería, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, Estación de carga de vehículos eléctricos, Servicio de aparcacoches, TV de pantalla plana, Alquiler de bicicletas, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, WiFi gratis, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Tetera/cafetera en todas las habitaciones, Tobogán de agua, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Adaptado personas de movilidad reducida, Radio, Servicio de streaming (como Netflix), Tendedero, Inglés, Cama plegable, Minibar, Cambio de moneda, Piscina al aire libre, Canguro / servicios para niños, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Newcastle,Australia,"Located directly on the historic Newcastle harbour front, Rydges Newcastle boasts a range of well-appointed guest rooms with spectacular views, plus an on-site restaurant and 25-metre pool, fitness centre located next door to the hotel.

Each room includes an ergonomic work space with high-speed internet access (available for an additional fee). All rooms feature a small refrigerator, a separate living room and luxurious en suite bathroom.

Enjoy an indulgent meal at Wharf 350 Restaurant, open daily for breakfast, lunch and dinner, renowned for its fresh seafood and dishes prepared from fresh local produce. You can relax in the hotel bar and watch the sunset over Newcastle harbour.

Remain active while you travel with the on-site fitness centre with 25-metre private swimming pool. The Hunter Valley is 45 minutes’ drive away, while Newcastle's beaches are just 800 metres away.

Rydges Newcastle is just a 25-minute taxi ride from Newcastle Airport and only 100 metres from Civic Light Rail stop. Newcastle Light Rail is available from Newcastle Interchange Train Station."
Best Western Plus Apollo International,US$150,"8,4",Muy bien,3.560,https://cf.bstatic.com/xdata/images/hotel/max1024x768/184232416.webp?k=59976280327df5c7fb8955566e524e3d91468b21cd1a5f2483db1f5240b02420&o=,https://www.booking.com/hotel/au/quality-apollo-international.es.html?aid=2410095,"Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Cantonés, Toallas de playa/piscina, Abierta todo el año, Sombrillas, Proporciona factura, Ascensor, Restaurante, Japonés, Servicio de limpieza en seco, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Buffet para niños, Servicio de limpieza diario, Utensilios de planchado, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Valla alrededor de la piscina, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Aire acondicionado, Terraza, Escritorio, Extintores, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Almuerzos para llevar, Tumbonas/sillas de playa, Servicio de conserjería, Desayuno en la habitación, Perchero, Artículos de aseo gratis, Calefacción, Ropa de cama, Estación de carga de vehículos eléctricos, Cafetería en el alojamiento, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Coreano, WiFi gratis, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Fruta, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Adaptado personas de movilidad reducida, Parking gratis, Inglés, Registro de entrada y salida exprés, Piscina al aire libre, Jardín, Afrikáans, Gimnasio, Suelo de moqueta, Zona de estar",Newcastle,Australia,"Best Western Plus Apollo International offers 4.5-star accommodation, featuring a restaurant, outdoor swimming pool, fitness centre and garden views. Guests also receive 1GB free WiFi per day, per device.

Best Western Plus Apollo is only 15 minutes’ drive Newcastle's city centre. The shops, restaurants, cafes and bars of Charlestown are only 1 km away.

Each air-conditioned room opens onto a balcony overlooking acres of lush native bush. All rooms feature a 55” flat screen TV including free in-house movies, tea/coffee making facilities, a minibar, work desk, hairdryer, and ironing facilities.

Babbingtons Bar & Grill offers a relaxed atmosphere with peaceful views over the surrounding countryside. It offers a la carte Breakfast, Lunch and Dinner for an additional charge.

Free car parking, laundry facilities and dry cleaning services are all provided on site. The reception desk is open 24/7 and there are conference and banquet facilities available."
Citigate Motel Newcastle,US$88,"8,0",Muy bien,682,https://cf.bstatic.com/xdata/images/hotel/max1024x768/63247436.webp?k=8379fa852d5db29efacde47b9d81fd55003c9d0c6b3a577dc5a117babbf18442&o=,https://www.booking.com/hotel/au/citigate-motel-newcastle.es.html?aid=2410095,"Guardaequipaje, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Servicio de despertador, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Albornoz, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Calefacción, Ducha, Servicio de lavandería, Reloj despertador, Tostadora, Aire acondicionado, TV de pantalla plana, Registro de entrada / salida privado, Microondas, Barbacoa, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Máquina expendedora (bebidas), Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Habitaciones familiares, Suelo de moqueta",Newcastle,Australia,"El Citigate Motel, situado a solo 5 minutos en coche del distrito central de negocios y de ocio de Newcastle, ofrece habitaciones con aire acondicionado, TV por cable gratuita, conexión WiFi gratuita y aparcamiento gratuito.

Todas las habitaciones disponen de escritorio, microondas, nevera y set de té y café. Todas las habitaciones tienen baño privado con ducha.

El Citigate Motel Newcastle está a 15 minutos en coche de la playa de Nobby y del faro de Nobby. El aeropuerto de Williamtown Newcastle se encuentra a 20 minutos en coche."
Sunnyside Tavern,US$87,"7,2",Bien,511,https://cf.bstatic.com/xdata/images/hotel/max1024x768/20271668.webp?k=0d20826abd73e768ea68a5f4900c3c4548f6c069690124c8c76f016421b7aeee&o=,https://www.booking.com/hotel/au/sunnyside-tavern.es.html?aid=2410095,"Toallas, Cajero automático en el hotel, Artículos de aseo gratis, Cámaras de seguridad fuera del alojamiento, Bar, Cocina compartida, Ropa de cama, Zona de fumadores, Ventilador, Reloj despertador, Sala de juegos, Aire acondicionado, Restaurante, TV de pantalla plana, Terraza, Radio, Eventos deportivos en directo (emisión), Parking gratis, Habitaciones sin humo, Canales vía satélite, Inglés, WiFi gratis, Servicio de limpieza diario, Happy hour, Escritorio, Acceso a pisos superiores solo mediante escaleras, Armario, TV, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Suelo de moqueta, Zona de estar",Newcastle,Australia,"El Sunnyside Tavern está Situado en el centro de Newcastle y ofrece conexión Wi-Fi gratuita, un bar y un restaurante. Las habitaciones están recién reformadas y disponen de TV de pantalla plana por cable.

El Newcastle Sunnyside Tavern se encuentra a 5 minutos en coche del Newcastle Entertainment Centre y a 10 minutos en coche de la playa de Newcastle y del río Hunter.

El establecimiento cuenta con un patio soleado, un parque infantil y cocina compartida.

El restaurante y el bar abren a diario para el almuerzo y la cena, y sirven hamburguesas, ensaladas, schnitzels y filetes."
The Greenroof,US$88,"7,9",Bien,382,https://cf.bstatic.com/xdata/images/hotel/max1024x768/99324688.webp?k=ea91662faffbd157ee7395c051cb061b21fc8c8eac9e51b3d81ae95e4ab9020d&o=,https://www.booking.com/hotel/au/the-greenroof.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Cajero automático en el hotel, Plancha para ropa, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de despertador / alarma, Reloj despertador, Llave de acceso, Aseo compartido, Aire acondicionado, Cafetería en el alojamiento, Restaurante, TV de pantalla plana, Música / espectáculos en directo, Servicio de streaming (como Netflix), Eventos deportivos en directo (emisión), Parking gratis, Caja fuerte para ordenador portátil, Habitaciones sin humo, Parking en la calle, Vino / champán, Canales vía satélite, Menús para dietas especiales (bajo petición), Inglés, Entretenimiento nocturno, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Happy hour, Detectores de humo, Insonorización, Papel higiénico, Armario, Hervidor eléctrico, Plancha para pantalones, Nevera, TV, Extintores, Entrada privada, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Dardos, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Proporciona factura, Parking adaptado para personas de movilidad reducida",Newcastle,Australia,"The Greenroof está en Newcastle, a 2,1 km de Newcastle Showground, y dispone de restaurante, habitaciones libres de humo, wifi gratis en todo el alojamiento y bar. El alojamiento se encuentra a 2,3 km de Newcastle Entertainment Centre, a 3,2 km de Newcastle International Hockey Centre y a 3,3 km de Estadio Energy Australia. El alojamiento ofrece ocio nocturno y cajero automático.

Las unidades están equipadas con aire acondicionado, TV de pantalla plana con canales vía satélite, nevera, hervidor, ducha, artículos de aseo gratuitos y armario. Algunas de las habitaciones ofrecen cocina con microondas y tostadora. En el hotel, cada habitación cuenta con ropa de cama y toallas.

Se puede jugar a los dardos en este hotel de 3 estrellas.

Universidad de Newcastle está a 7,3 km del alojamiento, y Centro de Convenciones NEX - Newcastle está a 1,8 km. El aeropuerto más cercano (Aeropuerto de Newcastle (Australia)) está a 25 km."
QT Newcastle,US$253,"9,0",Fantástico,1.030,https://cf.bstatic.com/xdata/images/hotel/max1024x768/371924302.webp?k=9534dd67345a785bc039dc37e49757bc1a3b4a24a4854154da53e7b1f071acf8&o=,https://www.booking.com/hotel/au/qt-newcastle.es.html?aid=2410095,"WC elevado, Snack-bar, Almuerzos para llevar, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Servicio de despertador, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Plancha para ropa, Baño privado, Desayuno en la habitación, Fax / fotocopiadora, Artículos de aseo gratis, Albornoz, Cámaras de seguridad fuera del alojamiento, Bar, Calefacción, Servicio de despertador / alarma, Servicio de habitaciones, Ducha, Alarma de seguridad, Reloj despertador, Apoyo visual: braille, Aire acondicionado, Cafetería en el alojamiento, Ascensor, Restaurante, TV de pantalla plana, Terraza, Adaptado personas de movilidad reducida, Lavamanos más bajo, Muy buen desayuno, Parking en un garaje, Servicio de limpieza en seco, Tarjeta de acceso, Habitaciones sin humo, Cafetera, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, WC con barras de apoyo, Información turística, Parking privado, Minibar, Registro de entrada y salida exprés, Detectores de humo, Servicio de traslado, Papel higiénico, Armario, WC, Plancha para pantalones, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares, Servicio de planchado, Caja fuerte, Proporciona factura, Recepción 24 horas, Fruta",Newcastle,Australia,"QT Newcastle se encuentra en Newcastle, a 14 min a pie de Newcastle Beach, y ofrece alojamiento con terraza, parking privado, restaurante y bar. Este hotel de 5 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Este alojamiento libre de humo está a 16 min a pie de Nobbys Beach.

Las habitaciones incluyen aire acondicionado, nevera, minibar, cafetera, ducha, artículos de aseo gratuitos y armario. Cada habitación incluye baño privado con secador de pelo, y algunas disponen de vistas a la ciudad. Las unidades del alojamiento están equipadas con TV de pantalla plana y albornoces.

En el alojamiento se puede disfrutar de un desayuno a la carta, vegetariano o vegano.

Cerca del alojamiento hay puntos de interés como Stockton Beach, Newcastle Local Court y Newcastle Civic Theatre. El aeropuerto más cercano (Aeropuerto de Newcastle (Australia)) está a 26 km del alojamiento."
