hotel,hotel_url,description,popular_facilities,highres_url,city,country
Helechos Hotel,https://www.booking.com/hotel/hn/helechos.es.html?aid=2410095,"Helechos Hotel ofrece habitaciones con aire acondicionado en Comayagua. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, cada habitación tiene escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas de las habitaciones están equipadas con cocina con nevera, microondas y minibar.

En la recepción se hablan varios idiomas, como inglés y español.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 17 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Servicio de despertador, Inglés, Baño privado, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Patio, TV de pantalla plana, Canales por cable, Toallas, Bañera o ducha, Servicio de traslado, Recepción 24 horas, Enchufe cerca de la cama, Terraza, Artículos de aseo gratis, Ducha, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, Alquiler de coches, Registro de entrada y salida exprés, Muy buen desayuno, WiFi gratis, Bañera de hidromasaje / jacuzzi, Perchero, Toallas / sábanas (por un suplemento), Productos de limpieza, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/487267473.jpg?k=d838bdc066fa874f57fd4368591567ed6d05adbddedbff49b45822e7978e8ec6&o=&hp=1,Comayagua,Honduras
Hotel Caxa Real,https://www.booking.com/hotel/hn/caxa-real-comayagua.es.html?aid=2410095,"Hotel Caxa Real, que tiene bar, está en Comayagua. Este hotel de 3 estrellas ofrece terraza y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay un restaurante de cocina americana y parking privado gratis.

En el hotel, todas las habitaciones incluyen armario. En Hotel Caxa Real, todas las habitaciones disponen de escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En el alojamiento, las habitaciones tienen ropa de cama y toallas.

El personal, que habla inglés, español y francés, ofrece consejos las 24 horas en la recepción.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 8 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","2 restaurantes, Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, TV de pantalla plana, Francés, Toallas, WC, Bar, Restaurante, Recepción 24 horas, Terraza, Ducha, Artículos de aseo gratis, Escritorio, Prohibido fumar en todo el alojamiento, Mesa de comedor, WiFi gratis, Perchero, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520647523.jpg?k=939e0e7378b2fedc45cb247c1f914640b9109f17ec71809f51487b4bcda51d9e&o=&hp=1,Comayagua,Honduras
Hotel Antigua Comayagua,https://www.booking.com/hotel/hn/antigua-comayagua.es.html?aid=2410095,"El Hotel Antigua Comayagua, situado a solo 50 metros del parque central y la catedral de Comayagua, cuenta con una piscina al aire libre, unos preciosos jardines y un bar restaurante. Hay conexión Wi-Fi gratuita y desayuno americano gratis.

Las habitaciones del Antigua Comayagua Hotel cuentan con aire acondicionado, TV por cable de pantalla plana, minibar y baño con bañera y artículos de aseo gratuitos. Algunas habitaciones ofrecen vistas al jardín.

El Hotel Antigua Comayagua alberga una recepción 24 horas que ofrece consigna de equipaje y servicios de lavandería y planchado bajo petición. Hay aparcamiento gratuito.

A 5 minutos a pie del Hotel Antigua Comayagua hay bares, restaurantes internacionales y tiendas de comestibles. La estación de Autobuses de Comayagua se encuentra a 150 metros y el aeropuerto internacional de Tegucigalpa, a 1 hora en coche.","Caja fuerte, Alarma de seguridad, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Snack-bar, Guardaequipaje, Restaurante, Buen desayuno, Recepción 24 horas, Servicio de lavandería, Terraza, Abierta todo el año, Servicio de planchado, Jardín, Servicio de limpieza diario, Extintores, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/245030411.jpg?k=157660fec0412d77ccd9ba15ba8acf05ff1af9326f42c477d06e34449de39a66&o=&hp=1,Comayagua,Honduras
Hotel Santa Maria de Comayagua,https://www.booking.com/hotel/hn/santa-maria-de-comayagua.es.html?aid=2410095,"Hotel Santa Maria de Comayagua tiene piscina al aire libre, jardín, terraza y restaurante en Comayagua. Este alojamiento, que tiene habitaciones familiares, también ofrece zona de juegos infantil. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y cambio de moneda.

Algunas habitaciones incluyen cocina con nevera y fogones.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 16 km.","Piscina infantil, Caja fuerte, Adecuada para niños, Vino / champán, 2 piscinas, Aire acondicionado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Zona de juegos para niños, Desayuno en la habitación, Sombrillas, Seguridad 24 horas, Menús para dietas especiales (bajo petición), Bar, Guardaequipaje, Restaurante, Buen desayuno, Recepción 24 horas, Equipamiento de juegos para exterior, Servicio de lavandería, Almuerzos para llevar, Terraza, Abierta todo el año, Servicio de planchado, Jardín, Cambio de moneda, Mobiliario exterior, Llave de acceso, Prohibido fumar en todo el alojamiento, Toallas de playa/piscina, Servicio de limpieza diario, Extintores, Para todas las edades, Servicio de habitaciones, WiFi gratis, Terraza / solárium, Tumbonas/sillas de playa, Habitaciones familiares, Inglés, Menú para niños, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/291198431.jpg?k=6765af488f5ee265994dfa236d8af01d382e2c645b06339894354bcc84db971b&o=&hp=1,Comayagua,Honduras
Palmerola Trebol,https://www.booking.com/hotel/hn/palmerola-trebol.es.html?aid=2410095,"Palmerola Trebol se encuentra en Comayagua. Hay parking privado en el propio alojamiento y wifi gratis.

Este apartamento tiene aire acondicionado y cuenta con 2 dormitorios y 2 baños con ducha y artículos de aseo gratuitos. El alojamiento ofrece cocina.","Cocina, Prohibido fumar en todo el alojamiento, Papel higiénico, Independiente, Baño privado, Apartamento privado en edificio, Aire acondicionado, Parking gratis, Detector de monóxido de carbono, Enchufe cerca de la cama, Ducha, Artículos de aseo gratis, TV de pantalla plana, Español, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586391799.jpg?k=61ae772efdfa0d2ebace87967820bb90c50e7c4838c0da9544832c56c318002e&o=&hp=1,Comayagua,Honduras
LA ESTANCIA,https://www.booking.com/hotel/hn/la-estancia.es.html?aid=2410095,"LA ESTANCIA se encuentra en Comayagua y dispone de vistas al jardín, wifi gratis y parking privado gratis.

El alojamiento dispone de cocina totalmente equipada con nevera y cafetera, TV de pantalla plana y baño privado con ducha. Todas las unidades tienen aire acondicionado e incluyen zona de estar y/o de comedor.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 8 km del alojamiento.","WC con barras de apoyo, Papel higiénico, Vistas al jardín, Baño privado, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Zona de comedor exterior, Adaptado para sillas de ruedas, TV de pantalla plana, Zona de cocina, Sofá cama, Vistas, Cámaras de seguridad en las zonas comunitarias, Lavamanos más bajo, Toallas, Plancha para ropa, Bañera o ducha, Entrada privada, Plancha para pantalones, Nevera, Sofá, Utensilios de cocina, Ducha, Lavadora, Zona de comedor, Cafetera, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Tostadora, Microondas, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, Cocina, Apartamento privado en edificio, Productos de limpieza, Toallas / sábanas (por un suplemento), Zona de estar, Tetera / cafetera, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537292807.jpg?k=4a30c4cf13f68d1362101abc92c96d7d7087cd7e3d7cc2f8b348296e6032d2e0&o=&hp=1,Comayagua,Honduras
Hotel Condesa,https://www.booking.com/hotel/hn/condesa-comayagua1.es.html?aid=2410095,"Hotel Condesa tiene jardín, terraza, restaurante y bar en Comayagua. El hotel también dispone de wifi gratis y parking privado gratis.

En el hotel, cada habitación cuenta con armario y TV de pantalla plana. Las unidades disponen de baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 17 km.","Papel higiénico, Inglés, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, TV de pantalla plana, Vistas, Bañera o ducha, WC, Bar, Buen desayuno, Terraza, Ducha, Artículos de aseo gratis, Jardín, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Perchero, Armario, Habitaciones familiares, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/390284733.jpg?k=05c45a687c0f22b7ac762852f46f646acb13dd8e1c70192f5278754d468ab5bb&o=&hp=1,Comayagua,Honduras
Casavana,https://www.booking.com/hotel/hn/casavana.es.html?aid=2410095,"Casavana se encuentra en Comayagua y ofrece terraza. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un patio.

Este apartamento de 1 dormitorio tiene aire acondicionado y cuenta con zona de comedor, TV de pantalla plana y cocina con nevera.

En el apartamento se puede disfrutar de un desayuno continental.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 7 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Inglés, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Patio, Seguridad 24 horas, TV de pantalla plana, Español, Horario de apertura, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, WC, Barbacoa, Nevera, Almuerzos para llevar, Terraza, Ducha, Abierta todo el año, Zona de comedor, Prohibido fumar en todo el alojamiento, Para todas las edades, Piscina al aire libre, WiFi gratis, Cocina, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Desayuno, Parque acuático",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547185987.jpg?k=c1bde0b3f88c45bdb1e26ae2b82b4b0c2f6dc7ab278212455a389f73ddb58886&o=&hp=1,Comayagua,Honduras
APARTAMENTOS CASCO HISTORICO COMAYAGUA,https://www.booking.com/hotel/hn/apartamentos-casco-historico-comayagua.es.html?aid=2410095,"APARTAMENTOS CASCO HISTORICO COMAYAGUA está en Comayagua y ofrece alojamiento con wifi gratis y parking privado gratis.

Todas las unidades están equipadas con terraza con vistas a la ciudad, cocina con nevera y horno, y baño privado con ducha. También hay microondas y tostadora, además de cafetera.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 18 km.","Ropa de cama, Papel higiénico, Baño privado, Aire acondicionado, Parking gratis, TV de pantalla plana, Canales por cable, Sofá cama, Toallas, Plancha para ropa, Bañera o ducha, Entrada privada, Vistas a la ciudad, Nevera, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Terraza, Lavadora, Cafetera, Prohibido fumar en todo el alojamiento, Tostadora, Horno, Microondas, WiFi gratis, Cocina, Secadora de ropa, Apartamento privado en edificio, Ventilador, Perchero, Tetera / cafetera, Armario, TV, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/285616384.jpg?k=eb57144cb9d1d4999763ddf428c793582404f3062df0a87f7bfe3e6b5a6e92a0&o=&hp=1,Comayagua,Honduras
Aparta Hotel Palmerola,https://www.booking.com/hotel/hn/aparta-palmerola-palmerola.es.html?aid=2410095,"Aparta Hotel Palmerola se encuentra en Comayagua y dispone de jardín. Este alojamiento ofrece restaurante, cocina compartida y servicio de habitaciones, además de wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.

Todas las habitaciones tienen baño privado, algunas ofrecen balcón y otras también tienen vistas al jardín.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 4 km.","2 restaurantes, Fax / fotocopiadora, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Desayuno en la habitación, Supermercado pequeño en el alojamiento, Cocina compartida, Servicio de traslado, Barbacoa, Zona de fumadores, Restaurante, Servicio de lavandería, Jardín, Cambio de moneda, Mobiliario exterior, Servicio de entrega de comestibles, Zona de pícnic, Servicio de limpieza diario, Parking en un garaje, Servicio de habitaciones, WiFi gratis, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582686741.jpg?k=8aa750c0a7654173e7183d41155b0cafbe683cd088dd412109ed05abf1742e56&o=&hp=1,Comayagua,Honduras
Céntrico y Confortable,https://www.booking.com/hotel/hn/centrico-y-confortable.es.html?aid=2410095,"Céntrico y Confortable es un alojamiento con wifi gratis y vistas al jardín que se encuentra en Comayagua.

El apartamento incluye 1 dormitorio y una cocina con microondas y cafetera. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 17 km.","Ropa de cama, Papel higiénico, Vistas al jardín, TV de pantalla plana, Zona de cocina, Toallas, Entrada privada, Sofá, Cafetera, Prohibido fumar en todo el alojamiento, Microondas, WiFi gratis, Cocina, Tendedero, Apartamento privado en edificio, Ventilador, Productos de limpieza, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515923577.jpg?k=ad26357266e017a5f3b5d8ac877f255c904712adff032ef9ccb7a99b834a1251&o=&hp=1,Comayagua,Honduras
Caco Historico Afrodita,https://www.booking.com/hotel/hn/caco-historico-afrodita.es.html?aid=2410095,"Caco Historico Afrodita está en Comayagua. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación cuenta con balcón. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. Las unidades de este alojamiento disponen de aire acondicionado y armario.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 8 km.","Papel higiénico, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Sofá cama, Vistas, Toallas, Plancha para ropa, WC, Vistas a la ciudad, Entrada privada, Terraza, Ducha, Artículos de aseo gratis, Prohibido fumar en todo el alojamiento, WiFi gratis, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/536088404.jpg?k=e503db0d39afc68645cae3a17527d9fc8946c5474d188ccad806fea9c8233aed&o=&hp=1,Comayagua,Honduras
Casco histórico Demeter,https://www.booking.com/hotel/hn/casco-historico.es.html?aid=2410095,"Casco histórico Demeter se encuentra en Comayagua. El alojamiento dispone de wifi gratis en todo el alojamiento.

El apartamento cuenta con 2 dormitorios, sala de estar, zona de comedor y cocina bien equipada con nevera. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 18 km del alojamiento.","Ropa de cama, Papel higiénico, Parking gratis, Habitaciones sin humo, Vistas a un patio interior, Zona de cocina, Toallas, WC, Entrada privada, Nevera, Utensilios de cocina, Parking adaptado para personas de movilidad reducida, Zona de comedor, Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Parking en la calle, WiFi gratis, Cocina, Toallas / sábanas (por un suplemento), Tetera / cafetera, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/409832802.jpg?k=6a40ed25acea367f7ad7f53a8e948d06c5eed2a4ab7d4813e5b85686938ed6e0&o=&hp=1,Comayagua,Honduras
Palmerola Inn,https://www.booking.com/hotel/hn/palmerola-inn.es.html?aid=2410095,"Palmerola Inn dispone de alojamiento con aire acondicionado en Comayagua. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación cuenta con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 4 km.","Papel higiénico, Ropa de cama, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, TV de pantalla plana, Toallas, Bañera o ducha, WC, Servicio de traslado, Terraza, Ducha, Artículos de aseo gratis, Zona de comedor, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, WiFi gratis, Traslado aeropuerto (gratis), Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504577778.jpg?k=6b12cc4397767767d6d14263c6cd58f5de09f3745e3fb7562e46008376dcb7fb&o=&hp=1,Comayagua,Honduras
Casco histórico Habitación Hermès,https://www.booking.com/hotel/hn/casco-historico-hermes.es.html?aid=2410095,"Casco histórico Habitación Hermès se encuentra en Comayagua. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 8 km.","Vistas a la montaña, Toallas, Prohibido fumar en todo el alojamiento, Papel higiénico, Ropa de cama, WC, Inglés, Baño privado, Parking gratis, Habitaciones sin humo, Tetera / cafetera, Ducha, Terraza, Artículos de aseo gratis, Español, WiFi gratis, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528084003.jpg?k=affd0db7fff03654a7c0ea10b3e20e61bd64ead9194480b8ed07de714176c0c7&o=&hp=1,Comayagua,Honduras
