hotel,hotel_url,description,popular_facilities,highres_url,city,country
Quinta Sierra de Fuego,https://www.booking.com/hotel/ec/quinta-sierra-de-fuego-penipe.es.html?aid=2410095,"Quinta Sierra de Fuego, que tiene jardín, salón de uso común y terraza, dispone de alojamiento en Penipe con wifi gratis y vistas a la montaña. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

El bed and breakfast dispone de TV de pantalla plana vía satélite. La cocina está equipada con nevera, horno y microondas, además de cafetera y hervidor.

El bed and breakfast ofrece desayuno continental o americano.

En Quinta Sierra de Fuego, la clientela puede disfrutar de bañera de hidromasaje.","Desayuno, Terraza, Juegos de mesa / puzles, Chimenea, Alarma de seguridad, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Minibar, Canales de pago, Vistas, Inglés, Calefacción, Baño privado, Jardín, Extintores, Cocina, TV, Armario, Vino / champán, Tetera / cafetera, Vídeo, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Fogones, Zona TV / salón de uso compartido, Patio, WiFi gratis, Ducha, Mesa de comedor, Bañera de hidromasaje / jacuzzi, Zona de cocina, Zona de pícnic, Barbacoa, Mobiliario exterior, Productos de limpieza, Hervidor eléctrico, Bañera, Vistas a la montaña, Cafetera, Cama plegable, Sofá, Vistas al jardín, Chimenea exterior, Escritorio, WC, Zona de comedor exterior, Microondas, Terraza / solárium, Sofá cama, Cámaras de seguridad fuera del alojamiento, Vistas al río, Toda la unidad en la planta baja, Bar, Zona de comedor, TV de pantalla plana, Balcón, Canales vía satélite, Toallas, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Horno, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/536976216.jpg?k=379b4faa91f5ee0af61cad9393c66a7df4ffc75ac1de6ad9d788f38c1cbb5541&o=&hp=1,Penipe,Ecuador
Villa Don Alonso: Casa de Campo,https://www.booking.com/hotel/ec/villa-don-alonso-casa-de-campo.es.html?aid=2410095,"Villa Don Alonso: Casa de Campo está en Penipe, en la región de Provincia de Chimborazo, y dispone de patio y vistas a la montaña. Esta villa tiene jardín y parking privado gratis.

Esta villa dispone de 2 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 1 baño con ducha. Hay toallas y ropa de cama en la villa.

Se puede descubrir la zona practicando senderismo en los alrededores.","Secador de pelo, Juegos de mesa / puzles, Independiente, Chimenea, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Minibar, Senderismo, Suelo de madera o parquet, Inglés, Calefacción, Libros, DVD o música para niños, Jardín, Cocina, TV, Armario, Perchero, Tetera / cafetera, Vídeo, Parking gratis, Fogones, Patio, Entrada privada, Ropa de cama, Artículos de aseo gratis, WiFi gratis, Ducha, Mesa de comedor, Enchufe cerca de la cama, Vistas a un lugar de interés, Zona de cocina, Plancha para ropa, Barbacoa, Productos de limpieza, Tours a pie, Hervidor eléctrico, Cafetera, Sofá, Vistas a un patio interior, Vistas a la montaña, Zona de estar, Vistas al jardín, Guardaequipaje, WC, Zona de comedor exterior, Servicio de streaming (como Netflix), Vistas al río, Zona de comedor, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Tendedero, Español, Nevera, Utensilios de cocina, Papel higiénico, Horno, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517207089.jpg?k=c74ed57f08fa1dcadfd21f345b5e81649ff4813581c3054c26e1d2efccb6bc7c&o=&hp=1,Penipe,Ecuador
San Fernando de la Cruz,https://www.booking.com/hotel/ec/san-fernando-de-la-cruz-riobamba.es.html?aid=2410095,"San Fernando de la Cruz, que cuenta con bañera de hidromasaje, se encuentra en Riobamba. Esta casa o chalet también dispone de wifi gratis.

Esta casa o chalet con aire acondicionado da a una terraza con vistas al jardín y cuenta con 1 dormitorio y cocina totalmente equipada. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 271 km del alojamiento.","Zona de cocina, Terraza, Inglés, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Lavadora, Español, Bañera de hidromasaje, Calefacción, WiFi gratis, Vistas al jardín, Cocina, Aire acondicionado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/467149290.jpg?k=a03423c1cddcf8f0d5a3f3e4ea31fb0d11dc39216b35e7283fbc5d04be0e10a2&o=&hp=1,Penipe,Ecuador
Hotel Hacienda Abraspungo,https://www.booking.com/hotel/ec/hacienda-abraspungo.es.html?aid=2410095,"El Abraspungo está situado en Riobamba, en una casa de estilo rústico con una elegante decoración colonial y habitaciones con conexión Wi-Fi gratuita.

El Hotel Hacienda Abraspungo tiene galerías españolas que dan al jardín.

Las habitaciones del Abraspungo son elegantes y cuentan con vistas al jardín, TV por cable de pantalla plana y baño privado con artículos de aseo gratuitos. Algunas tienen balcón privado.

El restaurante ofrece platos regionales e internacionales.

El establecimiento está a 1,5 km del centro comercial Riobamba y alberga una tienda de recuerdos con artesanía regional.

La estación principal de autobuses de Riobamba está a 15 minutos en coche. Hay aparcamiento privado gratuito.","Secador de pelo, Terraza, Spa y centro de bienestar, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Teléfono, Recepción 24 horas, Inglés, Calefacción, Centro de negocios, Jardín, Extintores, Ciclismo, Armario, Masajes, Tour o clase sobre cultura local, Traslado aeropuerto, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Patio, Tours en bici, Ropa de cama, Desayuno excepcional, Galerías de arte temporales, Menús para dietas especiales (bajo petición), Seguridad 24 horas, WiFi gratis, Ducha, Servicio de traslado, Servicio de habitaciones, Enchufe cerca de la cama, Zona de fumadores, Canales por cable, Tours a pie, Detector de monóxido de carbono, Desayuno en la habitación, Gimnasio, Vistas al jardín, Chimenea exterior, Equitación, Escritorio, Servicio de planchado, Servicio de despertador, Servicio de lavandería, Salas de reuniones / banquetes, WC, Bar, Billar, TV de pantalla plana, Canales vía satélite, Adaptado personas de movilidad reducida, Toallas, Restaurante, Habitaciones familiares, Servicio de despertador / alarma, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/371718342.jpg?k=4c7b66bbb8a84f16a9ce558d8fa13db5d7d176d789f7e4399911153e94ff4778&o=&hp=1,Penipe,Ecuador
Sama Jauka,https://www.booking.com/hotel/ec/sama-jauka.es.html?aid=2410095,"Sama Jauka se encuentra en Guano, a 44 km de Chimborazo Volcano, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay bar.

En el hotel, cada habitación incluye balcón. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la montaña.

En Sama Jauka se puede disfrutar de un desayuno continental.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 266 km del alojamiento.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Inglés, Baño privado, Jardín, Perchero, Parking gratis, WiFi gratis, Ducha, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Vistas a la montaña, WC, Bar, Restaurante, TV de pantalla plana, Balcón, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/500453089.jpg?k=9038edd724896d22556961cf6fdb71c34b92ef2cc4843ab359b4cfdff50e9446&o=&hp=1,Penipe,Ecuador
Hotel Marquez de Guano,https://www.booking.com/hotel/ec/las-ruinas.es.html?aid=2410095,"Hotel Marquez de Guano ofrece alojamiento en Guano. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 45 km de Chimborazo Volcano.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones incluyen baño privado.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 265 km.","Desayuno, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Cafetería en el alojamiento, Habitaciones sin humo, Vistas, Adaptado para sillas de ruedas, Recepción 24 horas, Inglés, Baño privado, Extintores, Vino / champán, Información turística, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Parking en un garaje, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/159757711.jpg?k=958eee4e1aaebd8fb1656d676f07cdc743910dd7b6f593c33c4bf6d49b9531c2&o=&hp=1,Penipe,Ecuador
Minkana Hotel,https://www.booking.com/hotel/ec/minkana.es.html?aid=2410095,"Minkana Hotel está en Guano, a 44 km de Chimborazo Volcano, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El alojamiento ofrece karaoke y servicio de conserjería.

En el resort, todas las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades cuentan con nevera.

Minkana Hotel ofrece desayuno buffet o americano.

El alojamiento ofrece zona de juegos infantil. Puedes jugar al billar en Minkana Hotel.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 268 km.","Desayuno, Secador de pelo, Terraza, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Baño privado, Jardín, Centro de negocios, Extintores, WC con barras de apoyo, Tour o clase sobre cultura local, Equipamiento de juegos para exterior, Parking gratis, Ropa de cama, Servicio de habitaciones, Mesa de comedor, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Baño al aire libre, Zona de comedor, Restaurante, Piscina privada, Sala de juegos, Piscina interior, Servicio de entrega de comestibles, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Enchufe cerca de la cama, Desayuno en la habitación, Zona de estar, Equitación, Chimenea exterior, Acceso al salón executive, Escritorio, Salas de reuniones / banquetes, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Suelo de baldosa / mármol, Juegos de mesa / puzles, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Adaptado para sillas de ruedas, TV, Armario, Seguridad 24 horas, Sauna, Vistas a un lugar de interés, Karaoke, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Tours a pie, Vistas a la montaña, Secadora de ropa, Vistas al jardín, Servicio de planchado, Guardaequipaje, WC, Bar, TV de pantalla plana, Toallas, Tendedero, Español, Nevera, Zona de fumadores, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Baños públicos, Recepción 24 horas, Inglés, Vino / champán, Perchero, Información turística, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Menús para dietas especiales (bajo petición), Fruta, Ducha, Plancha para ropa, Gimnasio, Servicio de despertador, Servicio de lavandería, Piscina infantil, Billar, Tumbonas/sillas de playa, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548241511.jpg?k=20fdeefcead9d81656187f5af5979ce6e8c9f67fc4045eb5a4e9eee62911af29&o=&hp=1,Penipe,Ecuador
Cabaña para su descanso,https://www.booking.com/hotel/ec/cabana-para-su-descanso.es.html?aid=2410095,"Cabaña para su descanso se encuentra a 45 km de Chimborazo Volcano, en Guano, y ofrece alojamiento con cocina. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 268 km.","Zona de cocina, Parking gratis, Balcón, Vistas, Español, Vistas al jardín, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567221297.jpg?k=a8e4dee88a10b06a797aa248b1332c4a8ea8f0232b56ed5ef848840b7f5df1d3&o=&hp=1,Penipe,Ecuador
Cabaña del río,https://www.booking.com/hotel/ec/la-cabana-del-rio.es.html?aid=2410095,"Cabaña del río, que tiene bañera de hidromasaje, está en Clemencia. Esta villa dispone de jardín, zona de barbacoa, wifi gratis y parking privado gratis.

La villa cuenta con patio y vistas a la montaña, y tiene 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 2 baños con ducha.

En la villa, la clientela puede disfrutar de bañera de hidromasaje. Se puede descubrir la zona practicando ciclismo en los alrededores.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 199 km.","Independiente, Prohibido fumar en todo el alojamiento, Bañera o ducha, Senderismo, Cenas temáticas, Baño privado, Jardín, TV, Cocina, Ciclismo, Parking gratis, Patio, Tours en bici, Fruta, WiFi gratis, Ducha, Bañera de hidromasaje / jacuzzi, Zona de cocina, Barbacoa, Tours a pie, Vistas a la montaña, Bañera de hidromasaje, Microondas, Vistas al río, Zona de comedor, TV de pantalla plana, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532143843.jpg?k=673b6c3e2e0a36d6ddaabe0d6b433178fb5841455ac932a92189816ed351b807&o=&hp=1,Penipe,Ecuador
Casa de campo con hermosa vista,https://www.booking.com/hotel/ec/casa-de-campo-con-hermosa-vista-riobamba.es.html?aid=2410095,"Casa de campo con hermosa vista se encuentra en Riobamba, en la región de Provincia de Chimborazo, y tiene balcón y vistas a la montaña. Este apartamento dispone de jardín y parking privado gratis.

Este apartamento de 2 dormitorios ofrece wifi gratis, TV de pantalla plana y cocina con nevera y lavavajillas. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 255 km del alojamiento.","Chimenea, Bañera o ducha, Toallas / sábanas (por un suplemento), Muebles de exterior, Vistas, Calefacción, Jardín, Cocina, Armario, Parking gratis, Patio, Entrada privada, Ropa de cama, WiFi gratis, Ducha, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Barbacoa, Productos de limpieza, Bañera, Sofá, Vistas a la montaña, Lavavajillas, Vistas al jardín, Guardaequipaje, Tostadora, Zona de comedor exterior, Sofá cama, Zona de comedor, TV de pantalla plana, Balcón, Toallas, Español, Nevera, Utensilios de cocina, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/498206763.jpg?k=7d7d0770cf77d54948a846c259b74dd5c4400f0bf45a7a9846affe8b51ecec3c&o=&hp=1,Penipe,Ecuador
Casa de campo con hermosa vista,https://www.booking.com/hotel/ec/casa-de-campo-con-hermosa-vista.es.html?aid=2410095,"Casa de campo con hermosa vista está en Riobamba, en la región de Provincia de Chimborazo, y tiene balcón y vistas al jardín. Esta casa o chalet dispone de parking privado gratis, recepción 24 horas y wifi gratis.

La casa o chalet incluye 2 dormitorios y una cocina con lavavajillas y horno.

La casa o chalet dispone de zona de juegos infantil, además de jardín.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 255 km.","Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Chimenea, Alarma de seguridad, Habitaciones sin humo, Papel higiénico, Vistas, Recepción 24 horas, Calefacción, Jardín, Extintores, Cocina, Información turística, Equipamiento de juegos para exterior, Parking gratis, Registro de entrada / salida privado, Entrada privada, Seguridad 24 horas, WiFi gratis, Zona de cocina, Zona de pícnic, Barbacoa, Mobiliario exterior, Lavavajillas, Vistas al jardín, Guardaequipaje, Balcón, Toallas, Habitaciones familiares, Español, Sombrillas, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/497622640.jpg?k=eab638a218afab652cfb80cfdf84c78a88af98ab5feee59ec5bee080a9bf8eea&o=&hp=1,Penipe,Ecuador
Rancho Descanso,https://www.booking.com/hotel/ec/rancho-descanso.es.html?aid=2410095,"Rancho Descanso se encuentra en Guano. Esta casa o chalet tiene acceso a una zona de cocina totalmente equipada.

Hay parking privado gratis en la casa o chalet.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 268 km.","Zona de cocina, Parking gratis, Español, Vistas, Vistas al jardín",https://cf.bstatic.com/xdata/images/hotel/max1024x768/479661968.jpg?k=b22e2bea8e4b9de10f6fb41bda4722458586ebfb6af139e3e27b492176fe636a&o=&hp=1,Penipe,Ecuador
Hotel El Altar,https://www.booking.com/hotel/ec/el-altar.es.html?aid=2410095,"El Hotel El Altar está situado en Riobamba, a 39 km de Baños, y ofrece alojamientos con capacidad para animales de compañía, WiFi gratuita y un restaurante. El hotel tiene parque infantil, vistas a la ciudad y restaurante. Dispone de aparcamiento privado gratuito.

Las habitaciones disponen de TV vía satélite. También tienen baño privado.

La recepción está abierta las 24 horas.

San Andrés se encuentra a 8 km del Hotel El Altar y Ambato, a 46 km.","Servicio de entrega de comestibles, Terraza, Spa y centro de bienestar, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Caja fuerte, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Recepción 24 horas, Calefacción, Baño privado, Centro de negocios, Extintores, TV, Armario, Traslado aeropuerto, Perchero, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Fruta, Boles para mascotas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Detectores de humo, Bañera de hidromasaje / jacuzzi, Plancha para ropa, Zona de juegos interior, Canales por cable, Desayuno en la habitación, Acceso al salón executive, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Baño de vapor, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Canales vía satélite, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Toda la unidad en la planta baja, Minibar, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/180966002.jpg?k=c1466b52540b694212bca60254872c23b2ae602dacd271483016dad157d5605e&o=&hp=1,Penipe,Ecuador
Rio Hotel,https://www.booking.com/hotel/ec/rio-riobamba.es.html?aid=2410095,"El Rio Hotel ocupa una casa de estilo colonial con una decoración típica ecuatoriana situada en Riobamba. Dispone de restaurante y WiFi gratuita.

Toas habitaciones ofrecen TV por cable de pantalla plana y baño privado. Además, hay habitaciones con vistas a la ciudad.

Este hotel cuenta con recepción 24 horas.

El Rio Hotel está situado en el centro, rodeado de iglesias, museos y parques. El Rio Hotel se encuentra a 10 km de San Andrés, a 40 km de Baños y a 48 km de Ambato.","Secador de pelo, Terraza, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Muebles de exterior, Vistas, Recepción 24 horas, Inglés, Baño privado, TV, Armario, Información turística, Baño adicional, Zona TV / salón de uso compartido, Parking en un garaje, Muy buen desayuno, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Parking privado, Canales por cable, Acceso al salón executive, WC, Trona, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/125101675.jpg?k=22c2672dca4b02ee1f1d0a176e72ce6c44f1df08160127fe971619b3a75ba7cc&o=&hp=1,Penipe,Ecuador
