hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Mittagskogel Pitztal,US$365,"8,9",Fabuloso,107,https://cf.bstatic.com/xdata/images/hotel/max1024x768/417385219.webp?k=e7c5d5c16558cb1c71b50304cfbc854c2ca8cdf6ca11be3696a36de7b0185a5c&o=,https://www.booking.com/hotel/at/sportiv-mittagskogel.es.html?aid=2410095,"Guardaesquíes, Billar, Supermercado pequeño en el alojamiento, Almuerzos para llevar, Toallas, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Senderismo, Menú para niños, Cajero automático en el hotel, Baño privado, Sauna, Bañera o ducha, Artículos de aseo gratis, Albornoz, Acceso directo a pistas, Bar, Calefacción, Ropa de cama, Piscina interior, Servicio de despertador / alarma, Esquí, Escuela de esquí, Suelo de madera o parquet, Abierta todo el año, Venta de forfaits, Juegos de mesa / puzles, Cafetería en el alojamiento, Desayuno excepcional, Ascensor, Restaurante, TV de pantalla plana, Baño de vapor, Alquiler de bicicletas, Radio, Zapatillas, Terraza / solárium, Parking gratis, Tarjeta de acceso, Alemán, Equitación, Masajes, Ciclismo, Habitaciones sin humo, Alquiler de equipamiento de esquí en el alojamiento, Parking en la calle, Vino / champán, Canales vía satélite, Menús para dietas especiales (bajo petición), Inglés, WiFi gratis, Balcón, Servicio de limpieza diario, Para todas las edades, Ping pong, Minibar, Escritorio, Detectores de humo, Instalaciones de spa, Papel higiénico, Armario, WC, Extintores, Secador de pelo, Teléfono, Caja fuerte, Proporciona factura",Sankt Leonhard,Austria,"El Sportiv-Hotel Mittagskogel Pitztal está situado frente al teleférico de Rifflsee, a solo 1 minuto del glaciar de Pitztal. Todas las habitaciones tienen un balcón grande con vistas panorámicas a las montañas.

Las habitaciones del Sportiv-Hotel disponen de TV vía satélite, minibar, caja fuerte y baño con albornoces y secador de pelo.

La zona de spa incluye piscina cubierta, varias saunas, baño de vapor y cabina de infrarrojos. Se ofrece una variedad de masajes, baños y tratamientos de belleza.

El Hotel Mittagskogel Pitztal tiene un restaurante que sirve cocina tirolesa e internacional y una selección de vinos de calidad. También hay un bar para después de esquiar.

Frente al hotel hay una parada de autobús con servicio gratuito a las pistas de esquí. Los huéspedes del hotel podrán alquilar equipos de esquí y bicicletas de montaña con descuento en una tienda de deportes situada en Mandarfen. En verano se ofrecen excursiones guiadas de senderismo y de bicicleta de montaña, así como servicio de guardería.

Los huéspedes que se alojen entre junio y mediados de octubre recibirán la tarjeta Pilztal Sommer, que incluye la entrada a 17 lugares de interés de ocio y alrededor del valle Pilztal."
Hotel Garni Romantika,US$170,"9,0",Fantástico,275,https://cf.bstatic.com/xdata/images/hotel/max1024x768/182128962.webp?k=4847e6e6df83cac4b59fb902f05ade72f8c80fecd4d0d145c6d02fcd58678d8d&o=,https://www.booking.com/hotel/at/apart-garni-romantika.es.html?aid=2410095,"Guardaesquíes, Guardaequipaje, Supermercado pequeño en el alojamiento, Almuerzos para llevar, Toallas, Canales por cable, Servicio de despertador, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Senderismo, Sauna, Baño privado, Desayuno en la habitación, Fax / fotocopiadora, Artículos de aseo gratis, Albornoz, Vistas, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Esquí, Spa y centro de bienestar, Llave de acceso, Escuela de esquí, Sombrillas, Juegos de mesa / puzles, Ascensor, TV de pantalla plana, Terraza, Adaptado personas de movilidad reducida, Terraza / solárium, Parking gratis, Alemán, Ciclismo, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Inglés, Adaptado para sillas de ruedas, WiFi gratis, Información turística, Tarjetas de transporte público, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Instalaciones de spa, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Extintores, TV, Secador de pelo, Caja fuerte, Jardín, Zona de spa / relajación, Habitaciones familiares, Alarma de seguridad, Servicio de traslado, Mobiliario exterior, Desayuno fabuloso",Sankt Leonhard,Austria,"El Hotel Garni Romantika está situado en St. Leonhard, en el valle de Pitz, y ofrece una zona de spa con sauna y cabina de infrarrojos. En verano se puede disfrutar del gran jardín. El glaciar Pitztal está a 9 km.

Las habitaciones y apartamentos del Hotel Garni Romantika son amplios y cuentan con TV por cable y baño con secador de pelo. La mayoría tiene balcón. También incluyen una mochila de uso gratuito.

Hay guardaesquíes y aparcamiento privado gratuito. El autobús gratuito que va al glaciar de Pitztal para a solo 100 metros. El autobús funciona en verano como un autobús de senderismo. Hay un supermercado a 1 minuto a pie."
Apart Belvita,US$174,"9,3",Fantástico,97,https://cf.bstatic.com/xdata/images/hotel/max1024x768/51557989.webp?k=87b4ceae3b25f6b94c63626cf31dcc88b9ce4b98b99b1f3457e37099d43d25ae&o=,https://www.booking.com/hotel/at/ferienhaus-bra1-4ggler.es.html?aid=2410095,"Guardaesquíes, Toallas, Vistas a la montaña, Senderismo, Baño privado, Perchero, Piragüismo, Cocina, Zona de cocina, Pista de tenis, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Capilla, Parque acuático, Zona de fumadores, Esquí, Calefacción, Tours en bici, Tostadora, Escuela de esquí, Traslado aeropuerto, TV de pantalla plana, Restaurante, Terraza, Zona de comedor, Pesca, Radio, 2 restaurantes, Trona, Terraza / solárium, Tendedero, Utensilios de cocina, Parking gratis, Barbacoa, Instalaciones para deportes acuáticos en el alojamiento, Equitación, Alemán, Fogones, Habitaciones sin humo, Parking en la calle, Ciclismo, Cafetera, Apartamento privado en edificio, Italiano, Inglés, WiFi gratis, Vistas, Bolos, Tours a pie, Registro de entrada y salida exprés, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Entrada privada, Vistas al río, Zona de comedor exterior, Secador de pelo, Jardín, Habitaciones familiares, Horno, Lavavajillas, Proporciona factura, Mobiliario exterior, Zona de estar",Sankt Leonhard,Austria,"El Apart Belvita se encuentra en el valle de Pitz y ofrece aparcamiento gratuito y apartamentos con cocina totalmente equipada y lavavajillas. Hay autobuses gratuitos que llegan a las pistas de esquí y paran frente al establecimiento

Todas los alojamientos cuentan con TV por cable, zona de estar y baño con ducha o bañera. Algunos tienen terraza.

Hay un jardín con zona de barbacoa. Asimismo, el Apart Belvita dispone de una sala guardaesquíes con secador de botas de esquí. Se ofrecen panecillos recién hechos bajo petición.

Sankt Leonhard im Pitztal, que alberga restaurantes, bares y tiendas, se halla a 5 minutos en coche. A 15 minutos en coche, están las estaciones de esquí de Hochzeiger, Rifflsee y Pitztal Glacier."
Explorer Hotel Ötztal,US$167,"8,5",Muy bien,1.151,https://cf.bstatic.com/xdata/images/hotel/max1024x768/510629392.webp?k=bf10bfd77ebef802659ed514c46f76bd993480eea1918c82d645fff121f07256&o=,https://www.booking.com/hotel/at/explorer-otztal.es.html?aid=2410095,"Guardaesquíes, Snack-bar, Toallas, Senderismo, Baño privado, Fax / fotocopiadora, Minigolf, Spa y centro de bienestar, Tours en bici, Venta de forfaits, Ascensor, Habitaciones hipoalergénicas, Instalaciones para deportes acuáticos en el alojamiento, Caja fuerte para ordenador portátil, Alemán, Habitaciones sin humo, Alquiler de equipamiento de esquí en el alojamiento, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Información turística, Acceso a pisos superiores en ascensor, Papel higiénico, WC, TV, Secador de pelo, Alarma de seguridad, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Vistas, Bar, Desayuno fantástico, Terraza, Taquillas en el gimnasio / spa, Ciclismo, Detector de monóxido de carbono, Canales vía satélite, Parking privado, Insonorización, Extintores, Campo de golf (a menos de 3 km), Caja fuerte, Mobiliario exterior, Guardaequipaje, Almuerzos para llevar, Vistas a la montaña, Tumbonas/sillas de playa, Habitaciones comunicadas disponibles, Sauna, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Calefacción, Ropa de cama, Escuela de esquí, Cafetería en el alojamiento, TV de pantalla plana, Alquiler de bicicletas, Terraza / solárium, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, WiFi gratis, Zona TV / salón de uso compartido, Detectores de humo, Instalaciones de spa, Armario, Hipoalergénico, Zona de spa / relajación, Enchufe cerca de la cama, Ducha, Esquí, Baño de vapor, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Inglés, Registro de entrada y salida exprés, Vistas al jardín, Hammam, Gimnasio, Habitaciones insonorizadas, Zona de estar",Sankt Leonhard,Austria,"Explorer Hotel Ötztal se encuentra en Umhausen, a 16 km de Parque de aventuras Area 47, y ofrece alojamiento con centro de fitness, parking privado, salón de uso común y terraza. El alojamiento está a 33 km de Golfpark Mieminger Plateau y a 47 km de Paso de Fern, y dispone de un punto de venta de forfaits y guardaesquíes. Hay un centro de spa y bienestar con sauna, hammam y bar.

En el hotel, todas las habitaciones disponen de zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Explorer Hotel Ötztal, cada habitación tiene ropa de cama y toallas.

En el alojamiento se sirve todas las mañanas un desayuno continental.

La clientela puede practicar actividades en Umhausen y alrededores, como senderismo, esquí y ciclismo.

El aeropuerto más cercano (Aeropuerto de Innsbruck) está a 57 km."
Familienferienhaus Florentine,US$850,10,Excepcional,5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/232852392.webp?k=02205ec5d466a0f8228b7619ac3bb1c7a704975298ab48f08451b7803b5b7fde&o=,https://www.booking.com/hotel/at/ferienhaus-florentine.es.html?aid=2410095,"Guardaesquíes, Billar, Toallas, Senderismo, Baño privado, Pista de tenis, Zona de comedor, Alemán, Fogones, Habitaciones sin humo, Cafetera, Ping pong, Acceso a pisos superiores solo mediante escaleras, Hervidor eléctrico, WC, TV, Zona de comedor exterior, Secador de pelo, Sofá, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Vistas, Mesa de comedor, Aseo adicional, Tostadora, Aseo compartido, Suelo de madera o parquet, Juegos de mesa / puzles, Terraza, Microondas, Ciclismo, Zona de juegos para niños, Canales vía satélite, Balcón, Chimenea, Escritorio, Insonorización, Nevera, Extintores, Vistas a un lugar de interés, Horno, Mobiliario exterior, Canales por cable, Vistas a la montaña, Habitaciones comunicadas disponibles, Sauna, Bañera o ducha, Calefacción, Cocina compartida, Ropa de cama, Reproductor de DVD, Sala de juegos, Reproductor de CD, TV de pantalla plana, Alquiler de bicicletas, Trona, Terraza / solárium, Utensilios de cocina, Barbacoa, Equitación, WiFi gratis, Suelo de baldosa / mármol, Armario, Baño compartido, Hipoalergénico, Habitaciones familiares, Bañera, Lavavajillas, Habitaciones insonorizadas, Parking adaptado para personas de movilidad reducida, Independiente, Cocina, Enchufe cerca de la cama, Ducha, Esquí, Llave de acceso, Radio, Servicio de streaming (como Netflix), Parking gratis, Inglés, Vistas al jardín, Baño adicional, Jardín, Proporciona factura, Zona de estar",Sankt Leonhard,Austria,"El Ferienhaus Florentine se encuentra en Längenfeld y ofrece terraza y balcón con vistas impresionantes a las montañas. La casa se encuentra a 1 km del baño termal Aqua Dome y ofrece conexión WiFi gratuita.

Esta casa familiar para no fumadores dispone de TV de pantalla plana grande con conexión a internet, cocina con lavavajillas y varios baños con ducha y aseo. El establecimiento ofrece, bajo petición, un servicio de entrega panecillos recién horneados por las mañanas.

El Ferienhaus Florentine cuenta con sauna comunitaria, jardín y sala de juegos con mesa de billar, futbolín y dardos. Tanto en el establecimiento como en los alrededores se pueden practicar diversas actividades, como esquí, ciclismo y senderismo.

El establecimiento ofrece 2 plazas de aparcamiento privado gratuito, y hay más plazas de aparcamiento gratuitas a 50 metros.

El establecimiento ofrece un descuento del 20% en el alquiler de equipos de esquí, un 5% de descuento en cursos de esquí y, bajo petición, descuentos en el spa termal Aquadome.

El Ferienhaus Florentine tiene una sauna y una sala de juegos en el sótano, que están conectadas con el Ferienhaus Alpenroyal.
Este servicio está disponible para los huéspedes de ambas casas."
Aktivhotel Feichtner Hof,US$247,"8,9",Fabuloso,200,https://cf.bstatic.com/xdata/images/hotel/max1024x768/507859325.webp?k=5124e9c958055a583ccd2981b8b5f2c853894c2379a062acad6c0aa19fa7d4b3&o=,https://www.booking.com/hotel/at/feichternhof.es.html?aid=2410095,"Guardaesquíes, Toallas, Senderismo, Baño privado, Fax / fotocopiadora, Albornoz, Pista de tenis, Zona de fumadores, Servicio de lavandería, Spa y centro de bienestar, Tours en bici, Masaje corporal completo, Sombrillas, Venta de forfaits, Ascensor, Restaurante, Habitaciones hipoalergénicas, Instalaciones para deportes acuáticos en el alojamiento, Alemán, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Francés, Buffet para niños, Servicio de limpieza diario, Información turística, Acceso a pisos superiores en ascensor, Papel higiénico, WC, TV, Secador de pelo, Equipamiento de juegos para exterior, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Vistas, Bar, Servicio de despertador / alarma, Juegos de mesa / puzles, Terraza, Pesca, Ciclismo, Zona de juegos para niños, Escritorio, Insonorización, Extintores, Teléfono, Caja fuerte, Mobiliario exterior, Guardaequipaje, Supermercado pequeño en el alojamiento, Almuerzos para llevar, Vistas a la montaña, Canales por cable, Masaje de espalda, Tumbonas/sillas de playa, Sauna, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, Sala de juegos, Escuela de esquí, Estación de carga de vehículos eléctricos, Cafetería en el alojamiento, TV de pantalla plana, Pediluvio, Alquiler de bicicletas, Terraza / solárium, Tarjeta de acceso, Cenas temáticas, Equitación, Masajes, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, Tarjetas de transporte público, Zona TV / salón de uso compartido, Detectores de humo, Instalaciones de spa, Armario, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Zona de spa / relajación, Habitaciones familiares, Servicio de planchado, Servicio de traslado, Habitaciones insonorizadas, Zona de juegos interior, Fruta, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Paquetes de spa / bienestar, Esquí, Llave de acceso, Baño de vapor, Adaptado personas de movilidad reducida, Radio, Parking gratis, Inglés, Tours a pie, Registro de entrada y salida exprés, Vistas al jardín, Hammam, Cuerda de emergencia en el baño, Masaje de cabeza, Gimnasio, Proporciona factura, Desayuno fabuloso, Zona de estar",Sankt Leonhard,Austria,"El Aktivhotel Feichtner Hof se encuentra a 150 metros del centro de Feichten. Las instalaciones de bienestar incluyen baño de vapor, varias saunas y sala de masajes. El glaciar Kaunertal está a 18 km.

Algunas habitaciones tienen balcón privado. La decoración es moderna y acogedora.

El régimen de media pensión incluye un abundante desayuno buffet abundante, un aperitivo activo por la tarde con un buffet dulce y salado, así como una cena de 5 platos con sopas y ensaladas frescas.

El bar salón es un lugar ideal para relajarse y conocer a otros viajeros.

El remonte de la localidad está justo al lado del hotel y la estación de esquí de Fendels, a 15 km. La parada de autobús está justo al lado del hotel."
Landhaus Waldhart,US$191,"9,5",Excepcional,18,https://cf.bstatic.com/xdata/images/hotel/max1024x768/174084885.webp?k=d99b91af9ecb68ba848ee512f65cc36c7b6f12d317a76e843fc09fb97b9e6836&o=,https://www.booking.com/hotel/at/landhaus-waldhart-umhausen.es.html?aid=2410095,"Guardaesquíes, Toallas, Senderismo, Baño privado, Piragüismo, Pista de tenis, Minigolf, Libros, DVD o música para niños, Zona de fumadores, Sombrillas, Habitaciones hipoalergénicas, Camas extralargas (más de 2 metros), Zona de comedor, Eventos deportivos en directo (emisión), Instalaciones para deportes acuáticos en el alojamiento, Alemán, Fogones, Habitaciones sin humo, Cafetera, Utensilios de planchado, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Zona de comedor exterior, Secador de pelo, Sofá, Zona de pícnic, Equipamiento de juegos para exterior, Clases de cocina, Prohibido fumar en todo el alojamiento, Vistas, Mesa de comedor, Parque acuático, Aseo adicional, Tostadora, Aseo compartido, Suelo de madera o parquet, Juegos de mesa / puzles, Terraza, Cochecitos de bebé, Microondas, Pesca, Ciclismo, Apartamento privado en edificio, Zona de juegos para niños, Canales vía satélite, Bolos, Tour o clase sobre cultura local, Escritorio, Insonorización, Nevera, Extintores, Caja fuerte, Horno, Mobiliario exterior, Guardaequipaje, Vistas a la montaña, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Zona de cocina, Perchero, Taquillas, Ropa de cama, Calefacción, Sala de juegos, Escuela de esquí, Estación de carga de vehículos eléctricos, TV de pantalla plana, Trona, Terraza / solárium, Utensilios de cocina, Barbacoa, Equitación, WiFi gratis, Suelo de baldosa / mármol, Lavadora, Armario, Hipoalergénico, Tetera / cafetera, Habitaciones familiares, Lavavajillas, Habitaciones insonorizadas, Zona de juegos interior, Parking adaptado para personas de movilidad reducida, Plancha para ropa, Independiente, Cocina, Enchufe cerca de la cama, Ducha, Esquí, Patio, Productos de limpieza, Llave de acceso, Registro de entrada / salida privado, Radio, Música / espectáculos en directo, Tendedero, Parking gratis, Inglés, Registro de entrada y salida exprés, Vistas al jardín, Jardín, Tiro con arco, Proporciona factura, Zona de estar",Sankt Leonhard,Austria,"El Landhaus Waldhart se encuentra en el valle de Ötz y está rodeado por un jardín. La estación de esquí de Hochötz Kühtai está a solo 10 minutos en coche.

Los apartamentos son luminosos y están equipados con muebles de madera. Todos los alojamientos disponen de cocina con nevera y lavavajillas. Los apartamentos cuentan con sala de estar y TV vía satélite. Todos los apartamentos tienen al menos 1 baño con ducha o bañera.

Hay conexión WiFi gratuita en todo el edificio. El establecimiento cuenta con guardaesquíes y secador de botas de esquí. El Landhaus Waldhart cuenta con terraza. Hay un parque infantil a solo 300 metros de la casa de apartamentos.

El centro de Umhausen queda a 2 minutos a pie. La estación de autobús de esquí más cercana está a solo 50 metros de los apartamentos. A 300 metros hay un lago donde se puede nadar en verano. La estación de esquí de Hochoetz-Küthai es de 12 Kilometes y la estación de esquí de Sölden se encuentra a 22 km. La estación de esquí de Obergurgl-Hochgurgl está a 44 kilomémetros del establecimiento."
Ferienhof Haderlehn,US$152,"9,0",Fantástico,38,https://cf.bstatic.com/xdata/images/hotel/max1024x768/77148328.webp?k=0e347a85bc1e6c23ef4ff0fe1d4ddd1922159e1ee7c7cf1909a9376df8442a2f&o=,https://www.booking.com/hotel/at/ferienhof-haderlehn.es.html?aid=2410095,"Prohibido fumar en todo el alojamiento, Baño privado, Calefacción, Llave de acceso, Terraza, Registro de entrada / salida privado, Tendedero, Barbacoa, Parking gratis, Alemán, Habitaciones sin humo, Inglés, WiFi gratis, Detectores de humo, Extintores, Jardín, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Proporciona factura, Mobiliario exterior",Sankt Leonhard,Austria,"Ferienhof Haderlehn está en Sautens, a 7 km de Parque de aventuras Area 47 y a 24 km de Golfpark Mieminger Plateau. Ofrece alojamiento con wifi gratis y un jardín con terraza.

Paso de Fern está a 38 km del alojamiento, y Estación de tren de Lermoos está a 49 km. El aeropuerto (Aeropuerto de Innsbruck) está a 48 km."
Hotel Gasthof Stuibenfall,US$170,"8,9",Fabuloso,37,https://cf.bstatic.com/xdata/images/hotel/max1024x768/56070460.webp?k=d8ca614c45966e9e7278fcdc5fac81328a6c62bfc240187ee0d8f272dc31b821&o=,https://www.booking.com/hotel/at/gasthof-stuibenfall.es.html?aid=2410095,"Guardaesquíes, Almuerzos para llevar, Desayuno, Toallas, Vistas a la montaña, Habitaciones insonorizadas, Galerías de arte temporales, Prohibido fumar en todo el alojamiento, Senderismo, Zona de juegos interior, Menú para niños, Tumbonas/sillas de playa, Baño privado, Sauna, Artículos de aseo gratis, Albornoz, Vistas, Calefacción, Ropa de cama, Enchufe cerca de la cama, Capilla, Esquí, Spa y centro de bienestar, Sala de juegos, Llave de acceso, Escuela de esquí, Juegos de mesa / puzles, Cafetería en el alojamiento, Baño de vapor, Restaurante, TV de pantalla plana, Terraza, Registro de entrada / salida privado, Habitaciones hipoalergénicas, Terraza / solárium, Música / espectáculos en directo, Español, Parking gratis, Cenas temáticas, Tarjeta de acceso, Alemán, Ciclismo, Habitaciones sin humo, Zona de juegos para niños, Canales vía satélite, Vino / champán, Menús para dietas especiales (bajo petición), Inglés, Francés, WiFi gratis, Servicio de limpieza diario, Tours a pie, Información turística, Tarjetas de transporte público, Zona TV / salón de uso compartido, Detectores de humo, Instalaciones de spa, Papel higiénico, WC, Hammam, Extintores, TV, Secador de pelo, Jardín, Zona de spa / relajación, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Sankt Leonhard,Austria,"El Hotel Gasthof Stuibenfall alberga un restaurante y un centro de spa y se encuentra en Niederthai, a 500 metros del remonte y a 10 minutos a pie de las cascadas. La conexión WiFi es gratuita en las zonas comunes.

Las habitaciones tienen vistas a las montañas y disponen de TV vía satélite de pantalla plana, zona de estar y baño con bañera, secador de pelo y artículos de aseo gratuitos.

El Hotel Gasthof Stuibenfall cuenta con sauna, baño de vapor, salón común y guardaesquíes. Además, proporciona servicio de alquiler de equipos de esquí. Se pueden practicar numerosas actividades en los alrededores, como esquí, ciclismo y senderismo.

El aeropuerto de Innsbruck se halla a 33 km."
Genusshotel Alpenblick,US$312,"9,0",Fantástico,137,https://cf.bstatic.com/xdata/images/hotel/max1024x768/375721268.webp?k=2506fa6ad4932d9ba00ac6c4f9fae0866cab929e3e48130d147d5352c2db13ed&o=,https://www.booking.com/hotel/at/gasthof-alpneblick.es.html?aid=2410095,"Guardaesquíes, Supermercado pequeño en el alojamiento, Almuerzos para llevar, Toallas, Vistas a la montaña, Servicio de despertador, Prohibido fumar en todo el alojamiento, Senderismo, Cajero automático en el hotel, Sauna, Baño privado, Bañera o ducha, Artículos de aseo gratis, Albornoz, Vistas, Bar, Perchero, Ropa de cama, Enchufe cerca de la cama, Ducha, Calefacción, Esquí, Llave de acceso, Suelo de madera o parquet, Venta de forfaits, Juegos de mesa / puzles, Cafetería en el alojamiento, Desayuno excepcional, Acceso al salón executive, Restaurante, TV de pantalla plana, Terraza, Ascensor, Habitaciones hipoalergénicas, Baño de vapor, Zapatillas, Terraza / solárium, Parking gratis, Alemán, Equitación, Ciclismo, Habitaciones sin humo, Vino / champán, Menús para dietas especiales (bajo petición), Inglés, WiFi gratis, Servicio de limpieza diario, Información turística, Escritorio, Detectores de humo, Instalaciones de spa, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Extintores, TV, Hipoalergénico, Secador de pelo, Zona de spa / relajación, Teléfono, Habitaciones familiares, Caja fuerte, Proporciona factura, Zona de estar",Sankt Leonhard,Austria,"Dos generaciones, una filosofía y una estrella de More. Más carácter. Más comodidad. Y sobre todo, aún más disfrute, servicio y hospitalidad.

El Genusshotel Alpenblick se encuentra en Huben, en el Ötztal, y ofrece mucho espacio para pocos huéspedes. Las 24 exclusivas habitaciones y suites están decoradas con materiales naturales locales y ofrecen mucho espacio para relajarse y recargar energías. Ofrece vistas a la montaña. Con nosotros experimentará el lujo de la comodidad - un domicilio excepcional para viajeros y conocedores exigentes.
En el ático hay sauna, baño de vapor y cabina de infrarrojos a grandes alturas.
El punto culminante de la zona de bienestar es nuestra luminosa sala de relajación panorámica.

El restaurante sirve especialidades tirolesas y austriacas, así como composiciones creativas y delicias culinarias de la lejanía y un desayuno buffet con productos de la región y alternativas veganas."
Hotel Andy 4 Sterne Superior,US$469,"8,9",Fabuloso,446,https://cf.bstatic.com/xdata/images/hotel/max1024x768/504623992.webp?k=6d33619cc678185dd2c54af24575ae6a1483ec138258f589efb4f364043b3bb7&o=,https://www.booking.com/hotel/at/hotelkultur-andy.es.html?aid=2410095,"Guardaesquíes, Billar, Toallas, Senderismo, Baño privado, Fax / fotocopiadora, Albornoz, Servicios de depilación, Zona de fumadores, 2 piscinas, Servicio de lavandería, Spa y centro de bienestar, Exfoliación corporal, Tours en bici, Clases de yoga, Masaje corporal completo, Abierta todo el año, Sombrillas, Venta de forfaits, Traslado aeropuerto, Ascensor, Restaurante, Habitaciones hipoalergénicas, Eventos deportivos en directo (emisión), Alemán, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Peluquería / salón de belleza, Información turística, Envoltura corporal, Acceso a pisos superiores en ascensor, Masaje de pies, Papel higiénico, WC, TV, Secador de pelo, Sofá, Alarma de seguridad, Parking en un garaje, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Servicio de entrega de comestibles, Vistas, Bar, Juegos de mesa / puzles, Terraza, Pesca, Ciclismo, Balcón, Escritorio, Extintores, Teléfono, Caja fuerte, Mobiliario exterior, Guardaequipaje, Canales por cable, Masaje de espalda, Vistas a la montaña, Bañera de hidromasaje / jacuzzi, Cajero automático en el hotel, Sauna, Tratamientos faciales, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, Sala de juegos, Escuela de esquí, Estación de carga de vehículos eléctricos, Cafetería en el alojamiento, TV de pantalla plana, Pediluvio, Terraza / solárium, Tratamientos corporales, Tarjeta de acceso, Equitación, Masajes, Vino / champán, Servicios de maquillaje, Adaptado para sillas de ruedas, Manicura, WiFi gratis, WC con barras de apoyo, Tarjetas de transporte público, Detectores de humo, Instalaciones de spa, Servicios de belleza, Armario, Hipoalergénico, Masaje de cuello, Zona de spa / relajación, Habitaciones familiares, Servicio de planchado, Servicio de traslado, Zona de juegos interior, Pedicura, Fruta, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ducha, Paquetes de spa / bienestar, Reloj despertador, Esquí, Baño de vapor, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Radio, Parking gratis, Boles para mascotas, Inglés, Tours a pie, Registro de entrada y salida exprés, Hammam, Gimnasio, Tiro con arco, Proporciona factura, Desayuno fabuloso, Zona de estar",Sankt Leonhard,Austria,"Hotel Andy 4 Sterne Superior está en Jerzens y dispone de vistas a la montaña, piscina al aire libre, centro de fitness, terraza, restaurante y bar. En el apartahotel, tanto el wifi como el parking privado son gratis.

Hotel Andy 4 Sterne Superior ofrece zona de estar con TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha. También hay una cocina equipada con nevera, lavavajillas y microondas en algunas unidades

El desayuno diario ofrece opciones buffet, continentales o vegetarianas.

El alojamiento ofrece alojamiento de 4 estrellas con piscina cubierta, sauna y bañera de hidromasaje.

Se puede practicar senderismo, esquí y ciclismo en la zona, y Hotel Andy 4 Sterne Superior ofrece un punto de venta de forfaits.

Parque de aventuras Area 47 está a 25 km del alojamiento, y Paso de Fern está a 38 km. El aeropuerto (Aeropuerto de Innsbruck) está a 65 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
